Date/Time,BULKSTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BULKSTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Cooling Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,87267907.79327543,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,32635265.957167195,1053400446.6964696,1053400446.6964696,850128606.0471861,0.0,822984083.8762295,0.0,55718087.519957277,0.0,445350950.7095893,0.0 
 01/01  02:00:00,7.2,30.0,15.6,26.7,15.5,30.0,86109193.51542259,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,31476551.679314358,1182796220.6668344,1182796220.6668344,950510367.152157,0.0,923852756.0012037,0.0,53206444.25765154,0.0,429281062.5289856,0.0 
 01/01  03:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,95612140.61892045,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,40979498.78281221,1366901645.8100589,1366901645.8100589,1099252670.9174119,0.0,1067884897.5036771,0.0,71193317.60049044,0.0,575464477.989262,0.0 
 01/01  04:00:00,7.2,30.0,15.6,26.7,15.5,30.0,86069120.81420759,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,31436478.97809934,1166446530.1699844,1166446530.1699844,937763811.7435389,0.0,911110815.0799955,0.0,53659041.41443058,0.0,427879481.6786305,0.0 
 01/01  05:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,95490982.18524269,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,40858340.349134448,1358757118.6222828,1358757118.6222828,1092813390.4914737,0.0,1061538685.1386778,0.0,71466057.48926014,0.0,573039901.4517846,0.0 
 01/01  06:00:00,7.2,30.0,15.6,26.7,15.5,30.0,85972920.51471457,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,31340278.678606329,1158024345.0546804,1158024345.0546804,931117508.6763836,0.0,904541214.9356153,0.0,53646667.43136193,0.0,426252882.3887617,0.0 
 01/01  07:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,95487861.39593104,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,40855219.55982281,1360209644.2042809,1360209644.2042809,1093963902.0022355,0.0,1062673193.8174193,0.0,71530435.74241899,0.0,572856911.9827384,0.0 
 01/01  08:00:00,7.2,30.0,15.6,26.7,15.5,30.0,59588002.312208469,0.0,0.0,11542082.99495346,13149600.0,3641758.8411547804,31254560.47610022,1150060101.008503,1150060101.008503,924807530.8002359,0.0,898320740.8707697,0.0,53296740.68023471,0.0,425156831.9379064,0.0 
 01/01  09:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,54468990.508726108,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,39285148.67261787,1285444556.5667403,1285444556.5667403,1034276275.4908292,0.0,1004250652.671052,0.0,67105039.162112187,0.0,550237570.1429108,0.0 
 01/01  10:00:00,7.2,30.0,15.6,26.7,15.5,30.0,43714499.83930362,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,28530658.003195377,999565634.719022,999565634.719022,804942691.902678,0.0,780779215.3598931,0.0,46776521.281292509,0.0,385543691.21080097,0.0 
