Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,25785164.146236946,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,8095183.924942408,0.000014538461538461542,45599530.12955357,45527530.12955357,72000.0,42911822.49860524,0.0,66266.90267790991,36422024.10364285,0.0 
 01/01  02:00:00,24372158.1809687,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,6682177.959674163,0.000014538461538461542,48048465.13900719,46377403.79365621,1671061.345350978,41919907.46679319,0.0,66266.90267790991,37101923.03492497,0.0 
 01/01  03:00:00,26042702.670887244,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,8352722.449592704,0.000014538461538461542,45978396.80407931,45906396.80407931,72000.0,43019230.23368369,0.0,66266.90267790991,36725117.44326345,0.0 
 01/01  04:00:00,24372158.1809687,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,6682177.959674163,0.000014538461538461542,41737854.56089768,40066833.19218134,1671021.3687163345,37738949.9781618,0.0,66266.90267790991,32053466.553745077,0.0 
 01/01  05:00:00,26042702.670887244,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,8352722.449592704,0.000014538461538461542,48989509.94861634,47318424.8773482,1671085.071268143,44196615.154740188,0.0,66266.90267790991,37854739.90187856,0.0 
 01/01  06:00:00,24372158.1809687,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,6682177.959674163,0.000014538461538461542,41013801.93569229,40941801.93569229,72000.0,38440629.53097619,0.0,115967.07968634236,32753441.548553833,0.0 
 01/01  07:00:00,26042702.670887244,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,8352722.449592704,0.000014538461538461542,50111272.64514288,48440265.52307298,1671007.122069908,45097245.21316818,0.0,66266.90267790991,38752212.41845839,0.0 
 01/01  08:00:00,17733758.1809687,0.0,0.0,1792322.3073600005,3319200.0,5940057.91392,6682177.959674163,0.000014538461538461542,42950902.669888969,41279814.51031324,1671088.1595757297,38668527.63916278,0.0,66266.90267790991,33023851.608250597,0.0 
 01/01  09:00:00,16085102.670887245,0.0,0.0,1792322.3073600005,0.0,5940057.91392,8352722.449592704,0.000014538461538461542,49766783.31258282,49694783.31258282,72000.0,45289121.85254802,0.0,66266.90267790991,39755826.65006625,0.0 
 01/01  10:00:00,14414558.180968704,0.0,0.0,1792322.3073600005,0.0,5940057.91392,6682177.959674165,0.000014538461538461542,36355859.36910311,34684762.689772989,1671096.6793301225,33427937.189481994,0.0,66266.90267790991,27747810.15181839,0.0 
 01/01  11:00:00,16085102.670887245,0.0,0.0,1792322.3073600005,0.0,5940057.91392,8352722.449592706,0.000014538461538461542,39362128.20355328,37691048.58349357,1671079.6200597133,36837022.93038858,0.0,66266.90267790991,30152838.866794859,0.0 
 01/01  12:00:00,14223132.247635177,0.0,0.0,1792322.3073600005,0.0,5940057.91392,6490752.0263406359,0.000014538461538461542,22895144.42407963,22823144.42407963,72000.0,23561226.69744601,0.0,99400.35401686483,18258515.53926371,0.0 
