Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),ATTIC:Zone Thermostat Heating Setpoint Temperature [C](Hourly),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_ZN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly),PSZ-AC:5:Air System Total Heating Energy [J](Hourly),PSZ-AC:5:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,15.600000000000004,26.700000000000008,15.600000000000004,26.700000000000008,15.600000000000004,26.700000000000008,15.600000000000004,26.700000000000008,15.600000000000004,26.700000000000008,25785164.146236946,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,8095183.924942408,0.000014538461538461542,45599530.12955357,45527530.12955357,72000.0,42911822.49860524,0.0,66266.90267790991,36422024.10364285,0.0,3151156.109787965,0.0,11791309.697320115,0.0,8355022.34927006,0.0,12661311.203305137,0.0,8558408.668902033,0.0 
 01/01  02:00:00,1247290.876282248,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,24372158.1809687,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,6682177.959674163,0.000014538461538461542,48048465.13900719,46377403.79365621,1671061.345350978,41919907.46679319,0.0,66266.90267790991,37101923.03492497,0.0,3114868.9933659557,0.0,11797861.256103076,0.0,8185869.297081023,0.0,12346194.767129783,0.0,8339306.680919371,0.0 
 01/01  03:00:00,0.0,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,26042702.670887244,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,8352722.449592704,0.000014538461538461542,45978396.80407931,45906396.80407931,72000.0,43019230.23368369,0.0,66266.90267790991,36725117.44326345,0.0,3568390.0898205309,0.0,12133281.982823143,0.0,8366436.825320829,0.0,12503825.04097692,0.0,8505905.953915015,0.0 
 01/01  04:00:00,1247259.6939315519,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,24372158.1809687,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,6682177.959674163,0.000014538461538461542,41737854.56089768,40066833.19218134,1671021.3687163345,37738949.9781618,0.0,66266.90267790991,32053466.553745077,0.0,2965859.1751232838,0.0,10441274.074401796,0.0,7207897.779783023,0.0,10792500.966810123,0.0,7328112.517301016,0.0 
 01/01  05:00:00,1247309.3828392963,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,26042702.670887244,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,8352722.449592704,0.000014538461538461542,48989509.94861634,47318424.8773482,1671085.071268143,44196615.154740188,0.0,66266.90267790991,37854739.90187856,0.0,3767732.9506871507,0.0,12467883.112202632,0.0,8555844.596896165,0.0,12732815.791779049,0.0,8683185.899906384,0.0 
 01/01  06:00:00,0.0,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,24372158.1809687,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,6682177.959674163,0.000014538461538461542,41013801.93569229,40941801.93569229,72000.0,38440629.53097619,0.0,115967.07968634236,32753441.548553833,0.0,3101687.296462749,0.0,10656278.423147669,0.0,7318282.129641134,0.0,10931408.768603122,0.0,7427962.890373693,0.0 
 01/01  07:00:00,1247248.581342184,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,26042702.670887244,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,8352722.449592704,0.000014538461538461542,50111272.64514288,48440265.52307298,1671007.122069908,45097245.21316818,0.0,66266.90267790991,38752212.41845839,0.0,3967358.279559575,0.0,12735161.886354894,0.0,8690439.446864833,0.0,12904349.48645068,0.0,8807625.768821175,0.0 
 01/01  08:00:00,1247311.7917636864,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,17733758.1809687,0.0,0.0,1792322.3073600005,3319200.0,5940057.91392,6682177.959674163,0.000014538461538461542,42950902.669888969,41279814.51031324,1671088.1595757297,38668527.63916278,0.0,66266.90267790991,33023851.608250597,0.0,3259198.008908986,0.0,10662157.317143714,0.0,7219167.340087395,0.0,11053383.830743246,0.0,7512123.071041647,0.0 
 01/01  09:00:00,0.0,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,16085102.670887245,0.0,0.0,1792322.3073600005,0.0,5940057.91392,8352722.449592704,0.000014538461538461542,49766783.31258282,49694783.31258282,72000.0,45289121.85254802,0.0,66266.90267790991,39755826.65006625,0.0,4051396.395027441,0.0,11627187.649339922,0.0,8222178.331196457,0.0,14436671.045912298,0.0,9771115.678182882,0.0 
 01/01  10:00:00,1247318.4372947997,0.0,0.0,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,14414558.180968704,0.0,0.0,1792322.3073600005,0.0,5940057.91392,6682177.959674165,0.000014538461538461542,36355859.36910311,34684762.689772989,1671096.6793301225,33427937.189481994,0.0,66266.90267790991,27747810.15181839,0.0,2705427.919866088,0.0,6729644.088566566,0.0,6071916.76825486,0.0,11331430.974669878,0.0,7591568.360135278,0.0 
