Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.988819E-01,9.667249E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.682786E+03,1.436409E-01,1.589076E+03,4.108386E+03,6.141052E-01,1.473581E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.275661E+03,8.076072E-02,8.118741E+02,2.581171E+03,3.934781E-01,9.299641E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.567386E+02,5.384546E-02,5.644862E+02,1.702959E+03,5.964980E-01,1.439935E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.275661E+03,7.868291E-02,7.828693E+02,2.522344E+03,3.932716E-01,9.295693E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.567386E+02,6.313755E-02,6.941767E+02,1.953034E+03
00:20:00,2.988844E-01,9.667297E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.692970E+03,1.457140E-01,1.607829E+03,4.110452E+03,6.141088E-01,1.473587E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.283381E+03,8.134988E-02,8.123776E+02,2.567583E+03,3.934805E-01,9.299686E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.613181E+02,5.426272E-02,5.657301E+02,1.695565E+03,5.965016E-01,1.439942E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.283381E+03,7.941822E-02,7.854132E+02,2.513302E+03,3.932739E-01,9.295738E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.613181E+02,6.357706E-02,6.957307E+02,1.944075E+03
00:30:00,2.988868E-01,9.667343E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.703154E+03,1.473399E-01,1.620342E+03,4.102387E+03,6.141123E-01,1.473594E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.291101E+03,8.157801E-02,8.078420E+02,2.543591E+03,3.934828E-01,9.299729E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.658977E+02,5.443175E-02,5.635102E+02,1.681044E+03,5.965050E-01,1.439948E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.291101E+03,7.979271E-02,7.829208E+02,2.493767E+03,3.932762E-01,9.295782E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.658977E+02,6.375090E-02,6.935784E+02,1.927842E+03
00:40:00,2.988891E-01,9.667387E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.713338E+03,1.485990E-01,1.627735E+03,4.086140E+03,6.141157E-01,1.473600E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.298821E+03,8.151296E-02,7.992145E+02,2.511330E+03,3.934850E-01,9.299771E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.704772E+02,5.439956E-02,5.584822E+02,1.660907E+03,5.965084E-01,1.439955E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.298821E+03,7.987255E-02,7.763155E+02,2.465832E+03,3.932784E-01,9.295824E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.704772E+02,6.370923E-02,6.884192E+02,1.905906E+03
00:50:00,2.988914E-01,9.667430E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.723521E+03,1.495563E-01,1.630916E+03,4.063300E+03,6.141189E-01,1.473607E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.306541E+03,8.120949E-02,7.872589E+02,2.472515E+03,3.934871E-01,9.299812E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.750568E+02,5.420397E-02,5.511738E+02,1.636347E+03,5.965116E-01,1.439961E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.306541E+03,7.971138E-02,7.663464E+02,2.431190E+03,3.932805E-01,9.295864E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.750568E+02,6.349228E-02,6.808142E+02,1.879496E+03
01:00:00,2.988935E-01,9.667472E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.733705E+03,1.502655E-01,1.630636E+03,4.035174E+03,6.141221E-01,1.473613E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.314261E+03,8.071284E-02,7.726070E+02,2.428541E+03,3.934891E-01,9.299851E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.796363E+02,5.387611E-02,5.420192E+02,1.608325E+03,5.965147E-01,1.439967E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.314261E+03,7.935381E-02,7.536357E+02,2.391230E+03,3.932826E-01,9.295903E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.796363E+02,6.313307E-02,6.712240E+02,1.849585E+03
01:10:00,2.988956E-01,9.667512E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.740494E+03,1.510417E-01,1.634687E+03,4.020977E+03,6.141251E-01,1.473618E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.319407E+03,8.029284E-02,7.615984E+02,2.396517E+03,3.934911E-01,9.299888E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.826893E+02,5.358182E-02,5.348599E+02,1.587146E+03,5.965177E-01,1.439972E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.319407E+03,7.906798E-02,7.444999E+02,2.363049E+03,3.932846E-01,9.295941E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.826893E+02,6.279941E-02,6.635172E+02,1.826380E+03
01:20:00,2.988977E-01,9.667551E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.747283E+03,1.516723E-01,1.636705E+03,4.003961E+03,6.141280E-01,1.473624E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.324554E+03,7.979104E-02,7.494478E+02,2.362503E+03,3.934930E-01,9.299924E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.857424E+02,5.322981E-02,5.268947E+02,1.564665E+03,5.965205E-01,1.439978E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.324554E+03,7.869527E-02,7.341511E+02,2.332683E+03,3.932865E-01,9.295977E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.857424E+02,6.240094E-02,6.549054E+02,1.801908E+03
01:30:00,2.988997E-01,9.667589E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.754072E+03,1.521832E-01,1.637052E+03,3.984698E+03,6.141308E-01,1.473629E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.329700E+03,7.923033E-02,7.364747E+02,2.327133E+03,3.934948E-01,9.299960E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.887954E+02,5.283589E-02,5.183443E+02,1.541297E+03,5.965233E-01,1.439983E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.329700E+03,7.825848E-02,7.229076E+02,2.300776E+03,3.932883E-01,9.296012E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.887954E+02,6.195443E-02,6.456228E+02,1.776559E+03
01:40:00,2.989016E-01,9.667625E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.760861E+03,1.525975E-01,1.636051E+03,3.963688E+03,6.141336E-01,1.473635E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.334847E+03,7.863108E-02,7.229633E+02,2.290959E+03,3.934966E-01,9.299994E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.918484E+02,5.241394E-02,5.094025E+02,1.517401E+03,5.965260E-01,1.439988E+04,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.334847E+03,7.777790E-02,7.110529E+02,2.267889E+03,3.932901E-01,9.296046E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.918484E+02,6.147463E-02,6.358752E+02,1.750675E+03
