Time,CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:10:00,4.827594E+03,1.550900E+03,2.490682E-01,1.197007E-01,9.924313E+03,8.718203E+02,5.117544E-01,6.730060E-02,6.359297E+03,5.812325E+02,3.278985E-01,4.487122E-02,9.639791E+03,8.493971E+02,4.970817E-01,6.556909E-02,6.355959E+03,6.814922E+02,3.277263E-01,5.261462E-02
00:20:00,4.827635E+03,1.573266E+03,2.490703E-01,1.214283E-01,9.924371E+03,8.781732E+02,5.117574E-01,6.779157E-02,6.359335E+03,5.857330E+02,3.279004E-01,4.521893E-02,9.639849E+03,8.573271E+02,4.970846E-01,6.618185E-02,6.355997E+03,6.862334E+02,3.277283E-01,5.298088E-02
00:30:00,4.827674E+03,1.590811E+03,2.490723E-01,1.227833E-01,9.924428E+03,8.806343E+02,5.117603E-01,6.798168E-02,6.359372E+03,5.875580E+02,3.279023E-01,4.535979E-02,9.639905E+03,8.613675E+02,4.970875E-01,6.649393E-02,6.356034E+03,6.881117E+02,3.277302E-01,5.312575E-02
00:40:00,4.827711E+03,1.604401E+03,2.490743E-01,1.238325E-01,9.924482E+03,8.799348E+02,5.117631E-01,6.792747E-02,6.359408E+03,5.872139E+02,3.279041E-01,4.533297E-02,9.639958E+03,8.622311E+02,4.970903E-01,6.656045E-02,6.356069E+03,6.876670E+02,3.277320E-01,5.309103E-02
00:50:00,4.827747E+03,1.614735E+03,2.490761E-01,1.246302E-01,9.924534E+03,8.766645E+02,5.117658E-01,6.767457E-02,6.359442E+03,5.851078E+02,3.279059E-01,4.516998E-02,9.640010E+03,8.604963E+02,4.970930E-01,6.642615E-02,6.356104E+03,6.853324E+02,3.277338E-01,5.291024E-02
01:00:00,4.827783E+03,1.622396E+03,2.490779E-01,1.252213E-01,9.924585E+03,8.713110E+02,5.117684E-01,6.726070E-02,6.359475E+03,5.815752E+02,3.279076E-01,4.489676E-02,9.640061E+03,8.566433E+02,4.970956E-01,6.612818E-02,6.356137E+03,6.814637E+02,3.277355E-01,5.261089E-02
01:10:00,4.827817E+03,1.630782E+03,2.490797E-01,1.258681E-01,9.924634E+03,8.667862E+02,5.117709E-01,6.691070E-02,6.359507E+03,5.784057E+02,3.279092E-01,4.465152E-02,9.640109E+03,8.535663E+02,4.970981E-01,6.588998E-02,6.356169E+03,6.778715E+02,3.277371E-01,5.233284E-02
01:20:00,4.827849E+03,1.637598E+03,2.490814E-01,1.263936E-01,9.924681E+03,8.613779E+02,5.117733E-01,6.649253E-02,6.359537E+03,5.746128E+02,3.279108E-01,4.435818E-02,9.640155E+03,8.495508E+02,4.971005E-01,6.557939E-02,6.356199E+03,6.735792E+02,3.277387E-01,5.200079E-02
01:30:00,4.827881E+03,1.643121E+03,2.490830E-01,1.268194E-01,9.924726E+03,8.553337E+02,5.117757E-01,6.602527E-02,6.359567E+03,5.703672E+02,3.279124E-01,4.402991E-02,9.640200E+03,8.448438E+02,4.971028E-01,6.521540E-02,6.356229E+03,6.687680E+02,3.277402E-01,5.162869E-02
01:40:00,4.827912E+03,1.647603E+03,2.490846E-01,1.271646E-01,9.924771E+03,8.488733E+02,5.117780E-01,6.552590E-02,6.359596E+03,5.658190E+02,3.279139E-01,4.367828E-02,9.640244E+03,8.396640E+02,4.971050E-01,6.481492E-02,6.356258E+03,6.635971E+02,3.277417E-01,5.122885E-02
