Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,213351298.3303812,0.0,0.0,57110192.35920001,30870000.0,105272514.0,13916729.50444315,277116.04837385829,5904746.418364213,336307281.85145476,324694833.85145476,11540448.000000002,72000.0,87506227.47484792,4432168.386858862,2864062.8068676136,15996369.723884915,235327212.3678462,0.0 
 01/01  02:00:00,214869303.95598049,0.0,0.0,57110192.35920001,30870000.0,105272514.0,15326235.366375704,407420.72392438558,5882941.506480392,380864663.9139758,369252215.9139758,11540448.000000002,72000.0,119338677.76200298,5089941.144510902,2864062.816929088,15867129.38483279,272578130.75531128,0.0 
 01/01  03:00:00,217382546.3483273,0.0,0.0,57110192.35920001,30870000.0,105272514.0,17709493.882448786,547352.1037828634,5872994.002895659,468668620.6258483,446748671.32882216,11540448.000000002,10379501.29702611,152718220.81435357,3525928.0293263595,2864062.816770774,15808180.420040358,332335550.8732944,0.0 
 01/01  04:00:00,215185289.1175758,0.0,0.0,57110192.35920001,30870000.0,105272514.0,15582493.561103588,486842.3141668672,5863246.883105334,388708451.1795802,377096003.1795802,11540448.000000002,72000.0,140622432.8712465,3319761.4391327847,2864062.817019254,15750396.979948122,291243241.46523436,0.0 
 01/01  05:00:00,219042578.1883942,0.0,0.0,57110192.35920001,30870000.0,105272514.0,18478268.46663244,687423.6935288064,6624179.669032898,504409157.5725733,482489185.1647736,11540448.000000002,10379524.407799719,181397946.60721485,1695388.154824794,2864062.8169011247,18982080.111801737,359229251.64972046,0.0 
 01/01  06:00:00,216452221.30041576,0.0,0.0,57110192.35920001,30870000.0,105272514.0,16043758.31161378,590124.7581505755,6565631.871451376,414760619.3513448,403148171.3513448,11540448.000000002,72000.0,161822227.32053123,1547381.350512639,2864062.8170199326,18716881.52075254,311387246.9827176,0.0 
 01/01  07:00:00,219596940.45541949,0.0,0.0,57110192.35920001,30870000.0,105272514.0,18939533.21714263,794641.2212164997,6610059.657860326,527920653.22579726,506000744.2915534,11540448.000000002,10379460.934243853,202697794.54842914,1200513.1167101637,2864062.816938822,19272361.45460108,379250923.72242119,0.0 
 01/01  08:00:00,195396099.88988076,0.0,0.0,57110192.35920001,10290000.0,105272514.0,15890003.39477705,457812.989169433,6375577.146734236,359972431.70980486,348359983.7098048,11540448.000000002,72000.0,131966429.66358455,1480354.0736370427,2864062.817010399,18423793.310697155,280244925.95575156,0.0 
 01/01  09:00:00,184300326.81811638,0.0,0.0,57110192.35920001,0.0,105272514.0,15105766.698633898,398557.126875873,6413296.633406557,375012886.1253332,353086409.5584606,11540448.000000002,10386028.566872567,104872738.43250196,3839522.695467421,4773437.859117128,18644834.50901414,270596800.9858377,0.0 
 01/01  10:00:00,179927165.11642675,0.0,0.0,57110192.35920001,0.0,105272514.0,10889395.335133762,164475.76492206986,6490587.657170886,196189430.14287705,184576982.14287705,11540448.000000002,72000.0,48145334.79364967,15300437.32018729,4773438.019659136,19103913.13752922,147147665.3925576,0.0 
 01/01  11:00:00,182241375.79155983,0.0,0.0,57110192.35920001,0.0,105272514.0,13253907.345359903,159660.1545759349,6445101.932423955,220587909.59129066,198661817.72573967,11540448.000000002,10385643.865550999,49001481.63094774,29354819.983087429,4773437.841568501,18831239.08195685,154977897.97937,0.0 
 01/01  12:00:00,180634228.3072671,0.0,0.0,57110192.35920001,0.0,105272514.0,9140170.139359774,68335.52335244835,9043016.285354848,134878453.66683445,112952294.05545882,11540448.000000002,10385711.611375632,23136021.23648451,25551992.820080185,4773438.007733125,21440663.608225086,90245204.65190646,0.0 
 01/01  13:00:00,176151104.40494476,0.0,0.0,57110192.35920001,0.0,105272514.0,7335915.494320806,62164.08684412962,6370318.464579767,73269139.40285431,61656691.4028543,11540448.000000002,72000.0,16910535.58839121,30913866.30121225,4773437.995716607,18380712.136269,50916262.47328293,0.0 
 01/01  14:00:00,173425640.6816218,0.0,0.0,57110192.35920001,0.0,105272514.0,4495770.878429486,32920.46470002963,6514242.979292275,43431227.05300447,21505036.691462086,11540448.000000002,10385742.361542393,5288001.8605884839,21461993.40814152,4773437.83607142,19242536.46487485,19166408.334024077,0.0 
 01/01  15:00:00,172293363.44917054,0.0,0.0,57110192.35920001,0.0,105272514.0,3325991.2108292465,18939.951903508307,6565725.927237735,24266788.886403506,12654340.886403505,11540448.000000002,72000.0,2530117.5128571207,17425415.019386826,2864062.813256142,19550376.34364723,11282110.175952316,0.0 
 01/01  16:00:00,172437183.34464426,0.0,0.0,57110192.35920001,0.0,105272514.0,3509339.0028007205,19967.707915247778,6525170.274728233,35477554.605266179,13557958.245402467,11540448.000000002,10379148.35986371,2712773.8104978438,18055370.37748795,2864062.7840635667,19306571.866483336,11901548.767523606,0.0 
 01/01  17:00:00,192671834.25685419,0.0,0.0,57110192.35920001,20580000.0,105272514.0,3509339.0028007205,23175.249354809013,6176613.645498598,27585912.843094835,15973464.843094835,11540448.000000002,72000.0,3238962.932500873,16274145.363951277,2864062.815255383,17214839.991282364,13570168.646680758,0.0 
 01/01  18:00:00,202965236.97461797,0.0,0.0,57110192.35920001,30870000.0,105272514.0,3509339.0028007205,26117.367482645215,6177074.245134575,40166216.96962561,18246444.55288603,11540448.000000002,10379324.416739576,4193031.102248234,15205376.787280206,2864062.7899734836,17217539.166283475,15136090.835705053,0.0 
 01/01  19:00:00,205329399.28825826,0.0,0.0,57110192.35920001,30870000.0,105272514.0,5848898.338001201,53205.02632795386,6174589.564729049,49340148.44717013,37727700.44717014,11540448.000000002,72000.0,9761995.898820784,22246950.317123187,2864062.815255228,17202978.609321409,30171207.11357349,0.0 
 01/01  20:00:00,204919683.96568723,0.0,0.0,57110192.35920001,30870000.0,105272514.0,4679118.67040096,46019.35731135107,6941839.578774855,54981392.19589148,33061444.26619035,11540448.000000002,10379499.929701126,8316734.810807297,15587755.793097644,2864062.813416509,20472385.835387794,26062001.515188796,0.0 
 01/01  21:00:00,206053368.12411536,0.0,0.0,57110192.35920001,30870000.0,105272514.0,5848898.338001201,63057.214669530185,6888706.212244563,57330223.87090982,45717775.87090982,11540448.000000002,72000.0,12132666.913428786,17946616.119648328,2864062.803269234,20239552.519211424,35409360.98513584,0.0 
 01/01  22:00:00,209457684.84503738,0.0,0.0,57110192.35920001,30870000.0,105272514.0,9635842.524799642,88250.79242549816,6480885.168612238,156129712.2190343,134209768.78468418,11540448.000000002,10379495.434350128,24462168.19488263,5824190.587189008,2864062.8152322855,18490724.348228307,102351397.67430467,0.0 
 01/01  23:00:00,211598222.90496022,0.0,0.0,57110192.35920001,30870000.0,105272514.0,12292639.348719489,131599.00502499564,5921278.192015757,197262757.7358734,185650309.7358734,11540448.000000002,72000.0,36689958.63387401,3922954.8820044465,2864062.8036104824,16094366.680560183,140281232.77810738,0.0 
 01/01  24:00:00,213726678.55344356,0.0,0.0,57110192.35920001,30870000.0,105272514.0,11746497.505814543,142686.71148043034,8584787.976948582,186672051.62584267,175059603.62584267,11540448.000000002,72000.0,40347290.1560813,6069558.008936834,2864062.8164033435,19122323.040937719,133177538.42784345,0.0 
 01/02  01:00:00,214678066.88386408,0.0,0.0,57110192.35920001,30870000.0,105272514.0,15296314.09210524,215401.42828318769,5913645.004275601,281156842.03102496,259230551.61537863,11540448.000000002,10385842.415646295,64521410.294765967,6711112.051646053,4782611.604336631,16049112.71438174,194419070.8118983,0.0 
 01/02  02:00:00,211831427.2676007,0.0,0.0,57110192.35920001,30870000.0,105272514.0,12481475.054690648,187664.09901073739,5909581.754699314,242961236.4563403,221035527.8847979,11540448.000000002,10385260.57154239,58560726.88266447,4604450.71022604,4782611.7151518729,16025029.344740488,167040453.80867554,0.0 
 01/02  03:00:00,215216557.9365869,0.0,0.0,57110192.35920001,30870000.0,105272514.0,15800517.506828802,257737.68522422415,5905596.385333867,297609149.4674774,285996701.4674774,11540448.000000002,72000.0,79768953.09620196,5573811.17284631,4782611.745337225,16001418.734804431,216025412.70747955,0.0 
 01/02  04:00:00,212111524.68199034,0.0,0.0,57110192.35920001,30870000.0,105272514.0,12746373.305977975,211329.57419860335,5901115.442613751,253289933.5439533,231363696.3566681,11540448.000000002,10385789.187285165,66973629.68514908,4117905.8607003989,4782611.706803441,15974848.493275032,176553269.4686606,0.0 
 01/02  05:00:00,216119471.78479044,0.0,0.0,57110192.35920001,30870000.0,105272514.0,15932966.632472463,263410.8622801391,6670387.930837791,300363833.6624282,278437310.1489434,11540448.000000002,10386075.513484784,81161752.88435923,4584356.255963361,4782611.631780185,19255962.04512453,212629392.58845873,0.0 
 01/02  06:00:00,212814197.36837823,0.0,0.0,57110192.35920001,30870000.0,105272514.0,12746373.305977975,195136.207978133,6619981.4952220809,224389947.22893355,212777499.22893355,11540448.000000002,72000.0,61676135.78005616,3552155.7450488817,4782611.745999635,19039018.287042057,164416461.49031515,0.0 
 01/02  07:00:00,235191498.74356628,0.0,24955.556773599248,57110192.35920001,30870000.0,107346114.0,26201683.414542837,7272738.200623611,6365815.212426192,1930584504.320707,1908658064.5164173,11540448.000000002,10385991.804290055,672898219.1696371,19828399.728660868,4782611.677242128,17864475.136529037,1377503674.1427429,208377.0278597512 
 01/02  08:00:00,445605494.00172689,0.0,1723.2296072785414,289899453.59999999,10290000.0,107346114.0,26201683.414542837,4932772.072047374,6933747.685529466,1585347339.4827166,1563406123.826263,11540448.000000002,10400767.656453923,492568219.3267018,28202081.7037863,9565216.693282942,17889824.518787777,1209213390.1689165,15196.803322214262 
 01/02  09:00:00,595159230.6732926,0.0,20614.94081829507,289899453.59999999,0.0,270330255.0,26201683.414542837,1622579.6966317625,7084644.021299893,1136645509.0932716,1008391129.3357953,86553360.0,41701019.75747621,90409127.7719496,42121758.31844732,32521686.34382645,18768411.552333058,787365539.615279,171989.7526158453 
 01/02  10:00:00,594934728.5121735,0.0,9477.79879631483,289899453.59999999,0.0,270330255.0,26201683.414542837,1273360.4904986053,7220498.208335853,1039937163.5777092,879862859.6090477,86553360.0,73520943.96866153,44805255.84227234,92491770.90522301,57391339.19172921,19497524.425078636,672522881.407129,76340.2735508368 
 01/02  11:00:00,609175853.8967288,0.0,11836.801634607054,289899453.59999999,0.0,284728041.0,26201683.414542837,1042574.4485272613,7292264.632024191,956663998.967819,757158689.4982461,115404480.0,84100829.46957298,23432527.747396344,133629929.17183241,60260901.88414658,19722405.005846126,580320490.436738,92091.231713341 
 01/02  12:00:00,611804305.6218166,0.0,0.0,289899453.59999999,0.0,284728041.0,26201683.414542837,936760.5349610536,10038367.072312847,840506029.8935664,640766364.2537817,115404480.0,84335185.63978458,8593414.61961706,197403603.37767364,68869558.95935282,23127625.537988925,490045241.9689003,0.0 
 01/02  13:00:00,609078414.3087717,0.0,0.0,289899453.59999999,0.0,284728041.0,26201683.414542837,906152.863697073,7343083.430531906,826114291.2052835,615620694.1827657,115404480.0,95089117.02251773,4582948.879495078,219046057.89595623,75565259.74385378,19904371.86042986,470225933.700487,0.0 
 01/02  14:00:00,594836742.6125441,0.0,0.0,289899453.59999999,0.0,270330255.0,26201683.414542837,1016767.3344881216,7388583.263513177,862571879.6984569,709665608.4895277,57702240.0,95204031.20892921,3550571.2416235499,190129367.59639169,79391054.55535047,20402450.51637186,538878618.7073726,0.0 
 01/02  15:00:00,594954693.0447098,0.0,0.0,289899453.59999999,0.0,270330255.0,26201683.414542837,1154958.0392314925,7368342.990935637,883598038.7242814,752357585.1917312,57702240.0,73538213.53255023,3018886.245084504,196622498.58599273,58347856.9085252,20439709.02942362,574112520.7144868,0.0 
 01/02  16:00:00,587607976.8250802,0.0,0.0,289899453.59999999,0.0,263131362.0,26201683.414542837,1088168.9941990097,7287308.816338373,828498079.2713726,732809847.3592886,11540448.000000002,84147783.91208405,6253553.247201671,195369044.93125428,62173950.2467635,19918315.105315098,564498239.74232,0.0 
 01/02  17:00:00,607755261.4343876,0.0,0.0,289899453.59999999,20580000.0,263131362.0,26201683.414542837,1065780.782748797,6876981.637096084,743005858.8309891,721065603.05109,11540448.000000002,10399807.779899203,7218849.160911311,174858346.04274965,9565217.073314297,17380779.859792647,554676863.9592509,0.0 
 01/02  18:00:00,462480672.7434268,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,1337983.1812326099,6825438.547651407,892707966.0454989,870766473.4666455,11540448.000000002,10401044.57885321,26566010.71036625,98907036.52004357,9565217.502308766,17183396.949023267,668844370.5566223,0.0 
 01/02  19:00:00,462500504.5675139,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,1356293.189515465,6826960.363455663,931104576.5589032,888418598.3519476,11540448.000000002,31145530.206955539,30232034.23340682,81036815.07934088,18173876.694795744,17170747.12919367,682430729.9435685,0.0 
 01/02  20:00:00,463220254.5434044,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,1268781.5608752829,7634221.967986349,906699706.3460118,863957654.5514789,11540448.000000002,31201603.79453288,31556967.493262866,73631592.30798628,23912981.002631558,20528273.149761544,661931263.536333,0.0 
 01/02  21:00:00,463136620.9424729,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,1210614.4196915595,7608755.5082386159,876621507.5462797,844274301.5871255,11540448.000000002,20806757.95915404,32319252.89333666,69013702.38328812,21043427.939226144,20339331.453339064,646747163.2637042,0.0 
 01/02  22:00:00,199765910.794612,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.12731822256806395,6513204.30809374,42719893.22729745,0.0,11540448.000000002,31179445.227297449,0.0,0.0,21043423.690720586,18292122.209863336,0.0,0.0 
 01/02  23:00:00,199331948.55770473,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.06940811377601627,6079242.129096575,21948406.754893993,0.0,11540448.000000002,10407958.754893993,0.0,0.0,11478258.593967069,16852043.383593747,0.0,0.0 
 01/02  24:00:00,202149613.13777418,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.052117479906087896,8896906.726456674,32264185.539759406,0.0,11540448.000000002,20723737.539759406,0.0,0.0,8608696.79538843,20786493.953785935,0.0,0.0 
 01/03  01:00:00,199399301.34892,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.028884704901309636,6146594.960835245,11612448.000000002,0.0,11540448.000000002,72000.0,0.0,0.0,4791611.103598229,17431064.32833653,0.0,0.0 
 01/03  02:00:00,199390125.22103889,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.02899270480081366,6137418.832846171,21925730.5388534,0.0,11540448.000000002,10385282.5388534,0.0,0.0,4791611.045963935,17375447.14900577,0.0,0.0 
 01/03  03:00:00,199386321.29186616,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.028954084784190503,6133614.90371205,21925789.42130854,0.0,11540448.000000002,10385341.421308538,0.0,0.0,4791611.500281486,17278144.403520839,0.0,0.0 
 01/03  04:00:00,199368374.06887196,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.028880052046318873,6115667.680791866,11612448.000000002,0.0,11540448.000000002,72000.0,0.0,0.0,4791611.090075854,17193128.02283938,0.0,0.0 
 01/03  05:00:00,203173783.1540377,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.02898894362254282,9921076.76584877,21925847.61794448,0.0,11540448.000000002,10385399.617944479,0.0,0.0,4791611.066705948,33456518.340944768,0.0,0.0 
 01/03  06:00:00,202549593.59176184,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.028960372834296416,9296887.20360142,21925905.734380939,0.0,11540448.000000002,10385457.734380935,0.0,0.0,4791611.519444792,30767137.385120509,0.0,0.0 
 01/03  07:00:00,235648054.06544847,0.0,10283.702971890783,57110192.35920001,30870000.0,107346114.0,26201683.414542837,6428711.5210976409,7681069.067636039,1849822759.271508,1838210311.271508,11540448.000000002,72000.0,581392138.3281474,33107314.31706936,4791611.5658914879,23613701.03201133,1370331048.623668,85730.59934565105 
 01/03  08:00:00,443674626.1658789,0.0,2753.379160738754,289899453.59999999,10290000.0,107346114.0,26201683.414542837,2977494.4005201787,6957127.371655239,1445524248.434119,1423582068.631825,11540448.000000002,10401731.802293955,286662467.40575608,35450197.924862,9583218.405135364,18027491.698699275,1100754499.0858753,26599.746835866237 
 01/03  09:00:00,595404127.987968,0.0,12426.431959089245,289899453.59999999,0.0,270330255.0,26201683.414542837,1868416.5742996145,7091892.96716652,1164213888.447975,1035955307.4335454,86553360.0,41705221.01442968,31901289.132177865,124412550.0003959,32582865.2666637,18812020.36495617,786099193.1924256,115578.45211979783 
 01/03  10:00:00,595499611.7376082,0.0,7297.834045228587,289899453.59999999,0.0,270330255.0,26201683.414542837,1871371.7443189324,7189550.144701277,1166959877.8712388,1006884787.025866,86553360.0,73521730.84537277,19144907.08782691,149103450.58163826,57499337.42175641,19392408.785490358,770409789.8256226,68702.07990523457 
 01/03  11:00:00,609840975.4238099,0.0,4531.558851486232,289899453.59999999,0.0,284728041.0,26201683.414542837,1787445.6802798156,7219820.17013585,1167181118.2285383,967677422.5786967,115404480.0,84099215.64984167,10013930.711636577,163493203.3744508,60374269.110822979,19562543.80988556,741609380.2730966,42090.44667507304 
 01/03  12:00:00,612480396.888884,0.0,0.0,289899453.59999999,0.0,284728041.0,26201683.414542837,1671935.420867787,9979283.453473343,1063706834.5004075,863964359.5964465,115404480.0,84337994.90396092,4180350.4460768958,221786271.2178203,68999153.43110043,22959247.763900378,661679106.6686475,0.0 
 01/03  13:00:00,609647390.8888534,0.0,0.0,289899453.59999999,0.0,284728041.0,26201683.414542837,1567345.038167518,7250867.836143243,1032494919.0664796,822005553.860379,115404480.0,95084885.20610047,3161827.612043909,237507826.04271765,75707062.80058901,19725013.767633015,629388088.5214477,0.0 
 01/03  14:00:00,595276161.2678857,0.0,0.0,289899453.59999999,0.0,270330255.0,26201683.414542837,1521907.5123700698,7322861.740972774,1020332617.1978198,856851667.5706754,57702240.0,105778709.6271446,2362598.1080203328,205303841.36971466,79540479.88361554,20171029.129066577,656156730.424185,0.0 
 01/03  15:00:00,595260099.6753833,0.0,0.0,289899453.59999999,0.0,270330255.0,26201683.414542837,1515751.8620958208,7312955.798744793,984936224.4344235,853691177.8005872,57702240.0,73542806.6338364,2012228.935742017,209627568.25755633,58457659.34534559,20122916.15349572,653881403.8890424,0.0 
 01/03  16:00:00,587965095.2603486,0.0,0.0,289899453.59999999,0.0,263131362.0,26201683.414542837,1514203.0953786607,7218393.150427088,949563801.6532126,864391514.8538838,11540448.000000002,73631838.79932882,5208562.613422778,205456318.36261685,62290948.21882945,19564983.91090409,662472447.6531253,0.0 
 01/03  17:00:00,608158751.0690299,0.0,0.0,289899453.59999999,20580000.0,263131362.0,26201683.414542837,1565048.0437754715,6781204.0107117299,899716949.5326467,877774632.7661193,11540448.000000002,10401868.766527504,7053334.845725846,181605436.79384277,9583215.961568382,16955256.511550975,673931745.7372621,0.0 
 01/03  18:00:00,462787186.4205043,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,1724192.1037742499,6745743.302187277,1011882229.209239,979609736.3091842,11540448.000000002,20732044.90005501,27263713.22887684,112223368.82586392,9583221.94586235,16747120.17047774,754558377.6181866,0.0 
 01/03  19:00:00,462849237.1205646,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,1790786.9600085268,6741199.146013295,1058887478.0902393,1026559312.2109015,11540448.000000002,20787717.879337744,33782185.72804523,86918885.17912492,18208050.2998452,16720448.218326113,785300575.707112,0.0 
 01/03  20:00:00,462895576.4338167,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,1834464.939932724,6743860.479341185,1093951972.0884226,1051203926.6564915,11540448.000000002,31207597.43193113,38593169.45132422,73175168.74594118,23958053.756041904,16735475.914323904,803479011.7934435,0.0 
 01/03  21:00:00,462930722.6008303,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,1868579.7004510984,6744891.885836456,1112020114.407395,1069306001.8488228,11540448.000000002,31173664.558571958,45006608.7231579,65811071.38346611,21083051.334993718,16740498.681309078,816981653.4665194,0.0 
 01/03  22:00:00,199069210.63594593,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.12726184945181052,5816504.149484013,32349277.6374947,0.0,11540448.000000002,20808829.6374947,0.0,0.0,21083069.981227518,15512819.426361423,0.0,0.0 
 01/03  23:00:00,199244834.7395045,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.06951724186179079,5992128.31078722,32284481.14722926,0.0,11540448.000000002,20744033.14722926,0.0,0.0,11499860.720522047,16534412.563617859,0.0,0.0 
