Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,81317382.51279482,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,13393585.03863483,426437930.1194813,426437930.1194813,346883470.5112757,0.0,338108561.2192942,0.0 
 01/01  02:00:00,82077523.42031832,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,14153725.946158324,450811801.033525,450811801.033525,366739059.0855584,0.0,357457700.0264851,0.0 
 01/01  03:00:00,87184183.78974663,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,19260386.315586624,618339723.7591699,618339723.7591699,499630013.88402208,0.0,490299481.54409798,0.0 
 01/01  04:00:00,82577995.22134446,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,14654197.747184463,466749255.69445946,466749255.69445946,379748845.0680982,0.0,370100704.14070799,0.0 
 01/01  05:00:00,87636655.39521298,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,19712857.921052964,633095784.7385242,633095784.7385242,511635775.4774354,0.0,502005625.7304242,0.0 
 01/01  06:00:00,82798095.31910964,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,14874297.844949639,473834188.61870107,473834188.61870107,385552496.4863253,0.0,375731928.70923778,0.0 
 01/01  07:00:00,87947051.01238024,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,20023253.538220254,643040933.288629,643040933.288629,519804137.3506485,0.0,509909008.0139861,0.0 
 01/01  08:00:00,50413127.46768691,0.0,0.0,14473678.14936,16198800.0,4853719.3248000009,14886929.99352692,474185665.3984165,474185665.3984165,385862684.8414237,0.0,376014261.8738489,0.0 
 01/01  09:00:00,96270907.84095733,0.0,0.0,28947356.29872,0.0,9707438.649600001,57616112.89263735,1389824125.6463528,1389824125.6463528,740740268.2655217,0.0,1102497197.240385,0.0 
 01/01  10:00:00,96270907.84095733,0.0,0.0,28947356.29872,0.0,9707438.649600001,57616112.89263735,1027697156.2783754,1027697156.2783754,485063398.4339588,0.0,815131684.4973289,0.0 
 01/01  11:00:00,192820415.3867174,0.0,0.0,115789425.19488,0.0,19414877.299200003,57616112.89263734,830563140.0702067,830563140.0702067,354429358.8678249,0.0,658762724.9504982,0.0 
 01/01  12:00:00,192820415.3867174,0.0,0.0,115789425.19488,0.0,19414877.299200003,57616112.89263735,721183529.1160543,721183529.1160543,290548839.4479246,0.0,572011751.1006537,0.0 
 01/01  13:00:00,257186753.75055746,0.0,0.0,173684137.79232,0.0,25886503.0656,57616112.89263734,616633528.5277168,616633528.5277168,225849314.95686937,0.0,489123351.65953829,0.0 
 01/01  14:00:00,257186753.75055746,0.0,0.0,173684137.79232,0.0,25886503.0656,57616112.89263735,567491564.7535571,567491564.7535571,201737275.4678029,0.0,450165238.79681476,0.0 
 01/01  15:00:00,257186753.75055746,0.0,0.0,173684137.79232,0.0,25886503.0656,57616112.89263734,543941097.9242047,543941097.9242047,189227662.83999304,0.0,431496836.7391324,0.0 
 01/01  16:00:00,257186753.75055746,0.0,0.0,173684137.79232,0.0,25886503.0656,57616112.89263735,541424165.5865656,541424165.5865656,187156205.13161589,0.0,429507676.46475788,0.0 
 01/01  17:00:00,289584353.7505575,0.0,0.0,173684137.79232,32397600.0,25886503.0656,57616112.89263735,544328781.5303526,544328781.5303526,189425970.20374353,0.0,431813039.6734406,0.0 
 01/01  18:00:00,241416815.3867175,0.0,0.0,115789425.19488,48596400.0,19414877.299200003,57616112.89263734,848257143.6680323,848257143.6680323,425698892.628199,0.0,672813570.4547657,0.0 
 01/01  19:00:00,177050477.02287738,0.0,0.0,57894712.59744,48596400.0,12943251.5328,57616112.89263734,920865696.6906319,920865696.6906319,475898726.68751999,0.0,730378357.4904937,0.0 
 01/01  20:00:00,70161265.2505781,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,2237467.7764181236,71945301.19947118,71945301.19947118,58579913.36694607,0.0,56877899.870293859,0.0 
 01/01  21:00:00,73282662.89497045,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,5358865.420810455,170477887.81013827,170477887.81013827,139498383.86837728,0.0,134991653.57384474,0.0 
 01/01  22:00:00,75069711.2837917,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,7145913.809631715,227253654.075559,227253654.075559,185305900.06180836,0.0,180207723.6658055,0.0 
 01/01  23:00:00,75143429.33616184,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,7219631.862001834,229689037.50847448,229689037.50847448,187659919.48727919,0.0,181974282.30203057,0.0 
