Date/Time,LGSTORE1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LGSTORE1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),LGSTORE2:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LGSTORE2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),SMSTORE1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),SMSTORE1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),SMSTORE2:Zone Thermostat Heating Setpoint Temperature [C](Hourly),SMSTORE2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),SMSTORE3:Zone Thermostat Heating Setpoint Temperature [C](Hourly),SMSTORE3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),SMSTORE4:Zone Thermostat Heating Setpoint Temperature [C](Hourly),SMSTORE4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),SMSTORE5:Zone Thermostat Heating Setpoint Temperature [C](Hourly),SMSTORE5:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),SMSTORE6:Zone Thermostat Heating Setpoint Temperature [C](Hourly),SMSTORE6:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),SMSTORE7:Zone Thermostat Heating Setpoint Temperature [C](Hourly),SMSTORE7:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),SMSTORE8:Zone Thermostat Heating Setpoint Temperature [C](Hourly),SMSTORE8:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC_10:10:Air System Total Heating Energy [J](Hourly),PSZ-AC_10:10:Air System Total Cooling Energy [J](Hourly),PSZ-AC_1:1:Air System Total Heating Energy [J](Hourly),PSZ-AC_1:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC_2:2:Air System Total Heating Energy [J](Hourly),PSZ-AC_2:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC_3:3:Air System Total Heating Energy [J](Hourly),PSZ-AC_3:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC_4:4:Air System Total Heating Energy [J](Hourly),PSZ-AC_4:4:Air System Total Cooling Energy [J](Hourly),PSZ-AC_5:5:Air System Total Heating Energy [J](Hourly),PSZ-AC_5:5:Air System Total Cooling Energy [J](Hourly),PSZ-AC_6:6:Air System Total Heating Energy [J](Hourly),PSZ-AC_6:6:Air System Total Cooling Energy [J](Hourly),PSZ-AC_7:7:Air System Total Heating Energy [J](Hourly),PSZ-AC_7:7:Air System Total Cooling Energy [J](Hourly),PSZ-AC_8:8:Air System Total Heating Energy [J](Hourly),PSZ-AC_8:8:Air System Total Cooling Energy [J](Hourly),PSZ-AC_9:9:Air System Total Heating Energy [J](Hourly),PSZ-AC_9:9:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,53429524.04940898,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,662233.3436489874,20225529.61689824,20225529.61689824,16705477.152691488,0.0,16180423.69351859,0.0,7090073.053082284,0.0,8062780.461122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689803.5229623428,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,15.6,30.000000000000005,54997885.96050626,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,2230595.2547462715,67784968.5296135,67784968.5296135,56061625.88162699,0.0,54227974.8236908,0.0,11373817.433861528,0.0,14375974.888678117,0.0,2723029.7492860325,0.0,2484148.7847277105,0.0,2693268.812444668,0.0,2733455.8942894318,0.0,8706282.731159544,0.0,3435625.888807109,0.0,3462465.05678724,0.0,4470500.838395119,0.0 
 01/01  03:00:00,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,55456663.22516269,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,2689372.5194026988,81482060.78780751,81482060.78780751,67525201.80556333,0.0,65185648.630246,0.0,11025372.159341226,0.0,16995874.66276755,0.0,4297630.251812969,0.0,4502286.598600957,0.0,4282268.558628296,0.0,4315843.267188806,0.0,9200888.24206189,0.0,4614023.341422959,0.0,4642625.771772277,0.0,3998208.2960509227,0.0 
 01/01  04:00:00,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,55782981.16144702,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,3015690.455687028,91358518.40613382,91358518.40613382,75675741.56240714,0.0,73086814.72490707,0.0,13110671.908739267,0.0,16991626.863210463,0.0,4739421.966109557,0.0,4236214.574486989,0.0,4722629.922966373,0.0,4750220.434540473,0.0,11529820.616274273,0.0,4895158.909210297,0.0,4919885.290339571,0.0,6206854.69471544,0.0 
 01/01  05:00:00,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,56184845.44857981,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,3417554.742819812,103457925.05422777,103457925.05422777,85730239.92395893,0.0,82766340.04338223,0.0,12568802.523454657,0.0,20005384.809844968,0.0,5991780.665049538,0.0,6451522.08993105,0.0,5971648.401829931,0.0,5997019.436792114,0.0,11617413.98283612,0.0,6150208.848062508,0.0,6178594.111853095,0.0,5251519.9165473389,0.0 
 01/01  06:00:00,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,56350924.45170435,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,3583633.74594435,108605630.55241752,108605630.55241752,89879367.78041812,0.0,86884504.44193402,0.0,14469079.271073396,0.0,19056985.71438245,0.0,5966549.548955458,0.0,5332792.356414313,0.0,5940103.229343827,0.0,5962441.071928897,0.0,13857372.110320552,0.0,6092905.216158747,0.0,6118765.473905387,0.0,7671144.195394144,0.0 
 01/01  07:00:00,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,56703280.33860691,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,3935989.6328469186,119166653.73104751,119166653.73104751,98706818.25027646,0.0,95333322.98483801,0.0,13624674.437622946,0.0,22079834.5864377,0.0,7166568.922935586,0.0,7751348.483883553,0.0,7133146.06620626,0.0,7152851.572076714,0.0,13573923.500517156,0.0,7285159.440233185,0.0,7313868.60269149,0.0,6187937.005078983,0.0 
 01/01  08:00:00,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,15.6,30.0,29071366.445691229,0.0,0.0,6567571.38096,13782000.0,4853719.3248000009,3868075.7399312288,117240719.75709154,117240719.75709154,96997866.84017249,0.0,93792575.80567323,0.0,14968928.149879989,0.0,20192240.559919985,0.0,6604594.510863453,0.0,5942412.4410432339,0.0,6564013.824541995,0.0,6574874.471796023,0.0,14939314.065292184,0.0,6700128.336994689,0.0,6727675.181805081,0.0,8446470.003466849,0.0 
 01/01  09:00:00,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,51138486.74151541,0.0,0.0,13135142.76192,0.0,9707438.649600001,28295905.329995406,1011110680.093325,1011110680.093325,426511457.0424717,0.0,808888544.0746601,0.0,77249152.708141,0.0,141540500.50135786,0.0,69163970.13033766,0.0,69516244.61461383,0.0,69147227.95523079,0.0,69089853.24587357,0.0,133491834.03158632,0.0,69204700.24504395,0.0,69216895.17640224,0.0,69564070.79607056,0.0 
 01/01  10:00:00,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,51138486.74151541,0.0,0.0,13135142.76192,0.0,9707438.649600001,28295905.329995406,789000689.5776224,789000689.5776224,271814844.2248182,0.0,631200551.6620979,0.0,61424222.56475744,0.0,112871278.32858661,0.0,53919049.954142797,0.0,54030127.86530489,0.0,53984287.07432388,0.0,53988849.45979943,0.0,106257680.94426003,0.0,54226890.80710176,0.0,54246446.90731671,0.0,54547623.08650208,0.0 
