Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,211242390.74647058,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,74055778.99518758,30384.33882352941,374447964.6803141,374375964.6803141,72000.0,351173307.56204816,0.0,656357.8931907268,292013252.4506451,0.0 
 01/01  02:00:00,200974253.18282128,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,63787641.43153834,30384.33882352941,384231093.3309604,384159093.3309604,72000.0,347009734.3866759,0.0,656357.8931907268,299644092.79814919,0.0 
 01/01  03:00:00,217727910.53416003,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,80541298.78287705,30384.338823529408,526011836.9332743,522041148.65572568,3970688.2775486928,451191800.66540637,0.0,656357.8931907268,407192095.9514661,0.0 
 01/01  04:00:00,200974253.18282128,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,63787641.43153834,30384.33882352941,402950222.8033052,402878222.8033052,72000.0,360518155.2599536,0.0,656357.8931907268,314245013.7865781,0.0 
 01/01  05:00:00,218188908.8161338,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,81002297.06485082,30384.338823529408,538121405.3360795,534150515.8320003,3970889.5040791837,461064558.9812654,0.0,656357.8931907268,416637402.3489603,0.0 
 01/01  06:00:00,201896249.74676884,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,64709637.9954859,30384.33882352941,409653681.92630526,409581681.92630526,72000.0,366654838.0675069,0.0,1148626.3130837719,319473711.90251806,0.0 
 01/01  07:00:00,218649907.09810759,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,81463295.3468246,30384.338823529408,546332263.042947,542361519.6883619,3970743.3545852538,468208904.306926,0.0,656357.8931907268,423041985.35692229,0.0 
 01/01  08:00:00,159615648.0287426,0.0,0.0,15146841.55919508,21370800.0,57896985.85326433,65170636.27745968,30384.33882352941,406826757.77332749,406754757.77332749,72000.0,365033355.6071287,0.0,656357.8931907268,317268711.0631955,0.0 
 01/01  09:00:00,153615510.53415997,0.0,0.0,15146841.55919508,0.0,57896985.85326433,80541298.78287705,30384.338823529408,446029284.1719589,442058403.706543,3970880.465415878,393326053.94797369,0.0,656357.8931907268,344805554.8911036,0.0 
 01/01  10:00:00,134868314.42545886,0.0,80953.51151958236,15146841.55919508,0.0,57896985.85326433,61713149.16265632,30384.33882352941,263681250.9712307,263609250.9712307,72000.0,254102209.8969894,0.0,656357.8931907268,205615215.75755997,339743.272702407 
