Time,CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:10:00,9.036093E+03,4.741271E+03,4.663906E-01,3.342155E-01,1.349778E+04,1.058446E+04,6.966768E-01,7.461003E-01,4.295003E+04,1.140332E+04,2.216831E+00,8.038202E-01,1.819896E+04,5.280527E+02,9.384767E-01,3.764649E-02,1.208797E+04,3.147292E+02,6.233295E-01,2.248163E-02,1.803147E+04,4.995168E+02,9.298373E-01,3.567555E-02,1.207472E+04,4.078970E+02,6.226462E-01,2.884811E-02,1.958223E+04,9.579242E+02,1.009822E+00,6.754918E-02,1.293125E+04,5.861415E+02,6.668231E-01,4.133220E-02,1.944290E+04,8.944290E+02,1.002635E+00,6.307059E-02,1.297159E+04,8.451525E+02,6.689036E-01,5.960279E-02,2.615590E+04,1.097555E+03,1.348874E+00,7.739808E-02,1.706739E+04,6.739204E+02,8.801494E-01,4.752373E-02,2.606826E+04,1.035292E+03,1.344352E+00,7.300625E-02,1.713671E+04,9.280915E+02,8.837247E-01,6.545358E-02
00:20:00,9.048234E+03,4.786709E+03,4.670172E-01,3.374180E-01,1.351587E+04,1.071962E+04,6.976105E-01,7.556260E-01,4.301342E+04,1.142455E+04,2.220103E+00,8.053140E-01,1.820107E+04,5.057205E+02,9.385852E-01,3.610561E-02,1.208930E+04,2.983664E+02,6.233979E-01,2.134820E-02,1.803358E+04,4.783379E+02,9.299464E-01,3.421223E-02,1.207605E+04,3.882160E+02,6.227147E-01,2.750430E-02,1.958626E+04,9.508452E+02,1.010030E+00,6.705029E-02,1.293379E+04,5.806905E+02,6.669545E-01,4.094795E-02,1.944695E+04,8.891096E+02,1.002844E+00,6.269578E-02,1.297414E+04,8.342810E+02,6.690350E-01,5.883617E-02,2.616890E+04,1.067074E+03,1.349544E+00,7.524849E-02,1.707557E+04,6.535910E+02,8.805715E-01,4.609001E-02,2.608132E+04,1.006784E+03,1.345025E+00,7.099580E-02,1.714489E+04,9.013624E+02,8.841466E-01,6.356822E-02
00:30:00,9.060207E+03,4.826291E+03,4.676352E-01,3.402077E-01,1.353389E+04,1.083744E+04,6.985404E-01,7.639286E-01,4.307464E+04,1.143032E+04,2.223262E+00,8.057186E-01,1.820315E+04,5.057205E+02,9.386925E-01,3.610561E-02,1.209061E+04,2.983664E+02,6.234656E-01,2.134820E-02,1.803567E+04,4.783379E+02,9.300544E-01,3.421223E-02,1.207736E+04,3.882160E+02,6.227824E-01,2.750430E-02,1.959027E+04,9.391940E+02,1.010237E+00,6.622866E-02,1.293633E+04,5.722029E+02,6.670852E-01,4.034938E-02,1.945099E+04,8.793070E+02,1.003053E+00,6.200456E-02,1.297667E+04,8.201882E+02,6.691657E-01,5.784207E-02,2.618142E+04,1.032424E+03,1.350190E+00,7.280453E-02,1.708346E+04,6.304888E+02,8.809783E-01,4.446054E-02,2.609391E+04,9.741550E+02,1.345675E+00,6.869449E-02,1.715278E+04,8.718214E+02,8.845531E-01,6.148426E-02
00:40:00,9.072006E+03,4.863558E+03,4.682442E-01,3.428340E-01,1.355181E+04,1.094147E+04,6.994656E-01,7.712595E-01,4.313375E+04,1.142422E+04,2.226313E+00,8.052864E-01,1.820520E+04,4.789081E+02,9.387985E-01,3.425159E-02,1.209191E+04,2.768283E+02,6.235325E-01,1.984784E-02,1.803774E+04,4.523237E+02,9.301610E-01,3.241226E-02,1.207866E+04,3.641139E+02,6.228492E-01,2.585727E-02,1.959425E+04,9.240767E+02,1.010443E+00,6.516239E-02,1.293885E+04,5.614128E+02,6.672153E-01,3.958831E-02,1.945500E+04,8.660896E+02,1.003260E+00,6.107234E-02,1.297919E+04,8.037126E+02,6.692957E-01,5.667973E-02,2.619349E+04,9.947778E+02,1.350813E+00,7.014912E-02,1.709106E+04,6.053928E+02,8.813704E-01,4.269035E-02,2.610604E+04,9.385540E+02,1.346300E+00,6.618337E-02,1.716037E+04,8.403097E+02,8.849449E-01,5.926116E-02
00:50:00,9.083629E+03,4.895894E+03,4.688441E-01,3.451126E-01,1.356963E+04,1.103444E+04,7.003855E-01,7.778109E-01,4.319084E+04,1.140897E+04,2.229260E+00,8.042088E-01,1.820723E+04,4.789081E+02,9.389032E-01,3.425159E-02,1.209319E+04,2.768283E+02,6.235985E-01,1.984784E-02,1.803978E+04,4.523237E+02,9.302662E-01,3.241226E-02,1.207994E+04,3.641139E+02,6.229152E-01,2.585727E-02,1.959822E+04,9.063655E+02,1.010647E+00,6.391303E-02,1.294136E+04,5.489004E+02,6.673446E-01,3.870570E-02,1.945900E+04,8.503022E+02,1.003466E+00,5.995873E-02,1.298170E+04,7.855027E+02,6.694250E-01,5.539495E-02,2.620513E+04,9.550403E+02,1.351413E+00,6.734607E-02,1.709839E+04,5.789052E+02,8.817483E-01,4.082195E-02,2.611773E+04,9.008682E+02,1.346904E+00,6.352513E-02,1.716769E+04,8.074701E+02,8.853226E-01,5.694433E-02
01:00:00,9.095076E+03,4.924117E+03,4.694349E-01,3.471013E-01,1.358735E+04,1.111846E+04,7.013000E-01,7.837310E-01,4.324601E+04,1.138663E+04,2.232108E+00,8.026319E-01,1.820924E+04,4.464786E+02,9.390065E-01,3.199985E-02,1.209445E+04,2.518105E+02,6.236636E-01,1.809598E-02,1.804180E+04,4.190782E+02,9.303701E-01,3.009357E-02,1.208120E+04,3.373495E+02,6.229804E-01,2.402263E-02,1.960216E+04,8.867454E+02,1.010850E+00,6.252897E-02,1.294385E+04,5.351233E+02,6.674730E-01,3.773384E-02,1.946296E+04,8.326123E+02,1.003670E+00,5.871086E-02,1.298419E+04,7.660606E+02,6.695534E-01,5.402320E-02,2.621635E+04,9.139095E+02,1.351992E+00,6.444474E-02,1.710545E+04,5.514925E+02,8.821128E-01,3.888831E-02,2.612901E+04,8.617852E+02,1.347486E+00,6.076831E-02,1.717475E+04,7.737958E+02,8.856868E-01,5.456861E-02
01:10:00,9.106470E+03,4.966536E+03,4.700230E-01,3.500902E-01,1.360525E+04,1.121372E+04,7.022237E-01,7.904431E-01,4.329954E+04,1.137736E+04,2.234870E+00,8.019760E-01,1.821124E+04,4.464786E+02,9.391097E-01,3.199985E-02,1.209571E+04,2.518105E+02,6.237288E-01,1.809598E-02,1.804381E+04,4.190782E+02,9.304740E-01,3.009357E-02,1.208247E+04,3.373495E+02,6.230455E-01,2.402263E-02,1.960613E+04,8.698198E+02,1.011055E+00,6.133424E-02,1.294636E+04,5.230570E+02,6.676026E-01,3.688224E-02,1.946697E+04,8.176296E+02,1.003877E+00,5.765327E-02,1.298670E+04,7.483110E+02,6.696830E-01,5.277019E-02,2.622722E+04,8.760248E+02,1.352553E+00,6.177173E-02,1.711230E+04,5.261528E+02,8.824658E-01,3.710054E-02,2.613994E+04,8.259540E+02,1.348049E+00,5.824028E-02,1.718159E+04,7.422223E+02,8.860396E-01,5.234053E-02
01:20:00,9.117690E+03,5.006435E+03,4.706021E-01,3.529013E-01,1.362303E+04,1.130363E+04,7.031414E-01,7.967780E-01,4.335132E+04,1.136460E+04,2.237543E+00,8.010740E-01,1.821321E+04,4.067830E+02,9.392116E-01,2.908288E-02,1.209696E+04,2.223998E+02,6.237930E-01,1.593259E-02,1.804580E+04,3.777746E+02,9.305765E-01,2.704602E-02,1.208371E+04,3.082621E+02,6.231098E-01,2.194000E-02,1.961008E+04,8.530666E+02,1.011259E+00,6.015119E-02,1.294885E+04,5.110973E+02,6.677313E-01,3.603791E-02,1.947094E+04,8.027947E+02,1.004082E+00,5.660568E-02,1.298920E+04,7.307817E+02,6.698117E-01,5.153226E-02,2.623772E+04,8.388397E+02,1.353094E+00,5.914776E-02,1.711891E+04,5.012665E+02,8.828067E-01,3.534460E-02,2.615049E+04,7.907948E+02,1.348593E+00,5.575937E-02,1.718820E+04,7.112514E+02,8.863802E-01,5.015462E-02
01:30:00,9.128741E+03,5.043898E+03,4.711725E-01,3.555405E-01,1.364069E+04,1.138878E+04,7.040530E-01,8.027776E-01,4.340144E+04,1.134901E+04,2.240130E+00,7.999723E-01,1.821516E+04,4.067830E+02,9.393122E-01,2.908288E-02,1.209819E+04,2.223998E+02,6.238564E-01,1.593259E-02,1.804776E+04,3.777746E+02,9.306777E-01,2.704602E-02,1.208494E+04,3.082621E+02,6.231732E-01,2.194000E-02,1.961399E+04,8.366365E+02,1.011461E+00,5.899098E-02,1.295133E+04,4.993597E+02,6.678591E-01,3.520928E-02,1.947489E+04,7.882565E+02,1.004286E+00,5.557904E-02,1.299167E+04,7.135880E+02,6.699394E-01,5.031809E-02,2.624787E+04,8.025181E+02,1.353618E+00,5.658484E-02,1.712529E+04,4.769570E+02,8.831361E-01,3.362943E-02,2.616069E+04,7.564712E+02,1.349119E+00,5.333751E-02,1.719458E+04,6.810005E+02,8.867094E-01,4.801966E-02
01:40:00,9.139624E+03,5.079306E+03,4.717342E-01,3.580351E-01,1.365823E+04,1.146990E+04,7.049583E-01,8.084933E-01,4.344999E+04,1.133136E+04,2.242635E+00,7.987263E-01,1.821709E+04,3.658732E+02,9.394114E-01,2.606445E-02,1.209940E+04,1.945623E+02,6.239190E-01,1.387343E-02,1.804969E+04,3.351878E+02,9.307775E-01,2.389377E-02,1.208615E+04,2.796053E+02,6.232357E-01,1.987148E-02,1.961788E+04,8.207767E+02,1.011661E+00,5.787105E-02,1.295379E+04,4.880117E+02,6.679860E-01,3.440816E-02,1.947881E+04,7.742591E+02,1.004488E+00,5.459060E-02,1.299413E+04,6.969011E+02,6.700663E-01,4.913974E-02,2.625768E+04,7.673160E+02,1.354124E+00,5.410100E-02,1.713147E+04,4.533972E+02,8.834546E-01,3.196722E-02,2.617054E+04,7.232382E+02,1.349628E+00,5.099269E-02,1.720075E+04,6.516419E+02,8.870275E-01,4.594777E-02
