Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,709425826.7021406,0.0,0.0,189733389.44400008,78746400.0,189143078.4,226937535.99674968,13044063.442564737,11821359.418826167,1429018812.5233594,1411543476.5233594,17403336.0,72000.0,1127412603.3001309,9461.21713061626,4298454.808827964,30999887.53116354,1104276128.8355692,0.0 
 01/01  02:00:00,707125565.4449799,0.0,0.0,189733389.44400008,78746400.0,189143078.4,225624954.09844268,12321050.821953819,11556692.680583429,1478424443.8250838,1460949107.8250838,17403336.0,72000.0,1145051588.9910403,0.0,4298454.811210795,29456375.12782092,1151452744.7086549,0.0 
 01/01  03:00:00,716681402.1144945,0.0,0.0,189733389.44400008,78746400.0,189143078.4,231389847.56466327,16431913.683380478,11236773.02245064,2009218005.787162,1991742669.787162,17403336.0,72000.0,1533208280.1210278,0.0,4298454.81126176,27590792.909862967,1570459866.0868049,0.0 
 01/01  04:00:00,707485611.6294165,0.0,0.0,189733389.44400008,78746400.0,189143078.4,226190925.4864697,12565767.914556092,11106050.384390692,1538694799.6389986,1521219463.6389986,17403336.0,72000.0,1200352079.8192075,0.0,4298454.810978253,26828883.016198189,1198351193.495914,0.0 
 01/01  05:00:00,718694431.2389044,0.0,0.0,189733389.44400008,78746400.0,189143078.4,231783103.5990913,16684947.721366086,12603512.074446962,2100273546.557941,2051861569.2940479,17403336.0,31008641.263893144,1586609158.720903,0.0,4298454.811050972,33153007.281679527,1617239765.3572505,0.0 
 01/01  06:00:00,718728181.3023464,0.0,0.0,189733389.44400008,78746400.0,189143078.4,235918390.39205397,12704460.653845784,12482462.412446497,1565305791.4874864,1547830455.4874864,17403336.0,72000.0,1235982993.3392819,0.0,4298454.81106737,32601588.272404985,1218961126.9755483,0.0 
 01/01  07:00:00,729283696.2899181,0.0,0.0,189733389.44400008,78746400.0,189143078.4,242163199.7175949,16905836.343862054,12591792.384461094,2113293354.5119999,2095818018.5119999,17403336.0,72000.0,1627088071.3467885,0.0,4298454.81134938,33835054.69376374,1651884724.8647915,0.0 
 01/01  08:00:00,608829629.8227772,0.0,0.0,189733389.44400008,26248800.0,189143078.4,181669886.96196727,9929018.949808175,12105456.067001638,1089230779.460829,1071755443.4608293,17403336.0,72000.0,834247199.7248986,0.0,4298454.81126559,32148284.368827009,842654824.9320778,0.0 
 01/01  09:00:00,596380481.2701663,0.0,0.0,189733389.44400008,0.0,189143078.4,197403254.02878068,7668199.688647686,12432559.708737802,1067292722.286279,1049817386.286279,17403336.0,72000.0,889222860.293793,2908380.286712673,7164091.3495971369,34020923.25619285,861438019.4165889,0.0 
 01/01  10:00:00,564680659.0257566,0.0,0.0,189733389.44400008,0.0,189143078.4,170886865.37056045,2084115.4924832034,12833210.31871293,558715089.212075,510279383.2194035,17403336.0,31032369.992671484,512125134.7797227,7873517.474777719,7164091.334476166,36342692.66153854,500815775.988497,0.0 
