Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),DINING:Zone Thermostat Heating Setpoint Temperature [C](Hourly),DINING:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),KITCHEN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),KITCHEN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),ATTIC:Zone Thermostat Heating Setpoint Temperature [C](Hourly),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC_1:1:Air System Total Heating Energy [J](Hourly),PSZ-AC_1:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC_2:2:Air System Total Heating Energy [J](Hourly),PSZ-AC_2:2:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,6603561.944885328,21.0,24.0,19.0,26.0,0.0,0.0,49625260.859354149,0.0,0.0,6039267.112881936,10666800.0,20077200.0,7856718.8863113769,0.0038974483869948295,4985274.856263385,267373327.6559307,248031418.89570955,10803960.0,8537948.760221154,16193907.256252913,1139163.3700074049,6438149.020911513,11950163.28561106,195486593.95822678,0.0,119496912.8693451,0.0,83846399.96958848,0.0 
 01/01  02:00:00,0.0,15.6,30.0,15.6,30.0,0.0,0.0,35265635.712283927,0.0,0.0,2013089.0376273122,10666800.0,18000000.0,0.0,0.0,4585746.674656611,10875960.0,0.0,10803960.0,72000.0,0.0,0.0,0.0,10800871.75656795,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,1647554.5617009854,15.6,30.0,15.6,30.0,0.0,0.0,38261309.11928885,0.0,0.0,2013089.0376273122,10666800.0,18000000.0,3058629.8106596397,0.0,4522790.271001888,88775390.99275613,75787220.55005218,10803960.0,2184210.4427039448,2298171.2840603047,0.0,0.0,10421629.993100197,59114032.02904071,0.0,62172661.83782238,0.0,0.0,0.0 
 01/01  04:00:00,0.0,15.600000000000002,30.0,15.600000000000002,30.0,0.0,0.0,40310763.51064284,0.0,0.0,2013089.0376273122,10666800.0,18000000.0,5151811.367419545,0.0,4479063.10559598,154207904.75384007,143331944.75384007,10803960.0,72000.0,5859770.939202563,0.0,0.0,10162931.671076617,112827800.97376856,0.0,75342794.11337482,0.0,42636818.224259149,0.0 
 01/01  05:00:00,1647571.60709625,15.599999999999998,30.0,15.599999999999998,30.0,0.0,0.0,39533618.206814978,0.0,0.0,2013089.0376273122,10666800.0,18000000.0,3928359.4431556884,0.0,4925369.726031962,125527316.00949268,112539123.71412133,10803960.0,2184232.2953713557,5399898.872520389,0.0,0.0,11962330.260058493,88808658.7149119,0.0,50129873.846046958,0.0,42607144.30921839,0.0 
 01/01  06:00:00,0.0,21.0,24.0,19.0,26.0,0.0,0.0,50010716.362861659,0.0,0.0,6039267.112881936,10666800.0,20077200.0,7856718.8863113769,0.0,5370730.363668339,299864776.7595194,283586836.7595194,16205939.999999999,72000.0,27615787.76232154,0.0,0.0,13438098.284802815,223552749.2727524,0.0,134245892.95371325,0.0,97163575.19974453,0.0 
 01/01  07:00:00,4947420.139333067,21.0,24.0,19.0,26.0,0.0,0.0,101619538.81634805,0.0,0.0,12078534.225763873,10666800.0,65077200.0,7856718.8863113769,0.002339168457911247,5940285.701933645,304976935.3069869,249944386.07321016,48617819.99999999,6414729.233776769,7929582.592068199,6832779.9725644499,3862881.379351969,15174932.311082785,196990958.4962514,0.0,120511271.82440339,0.0,84336405.55255363,0.0 
 01/01  08:00:00,4948009.650248952,21.0,24.0,19.0,26.0,0.0,0.0,93437144.24959187,0.0,0.0,12078534.225763873,2666700.0,65077200.0,7856718.8863113769,0.0023408477841581818,5757991.135175794,313678645.9177797,231635440.9147303,75627720.0,6415485.003049341,720434.2325310776,11590734.984694576,3862889.129184886,14525919.928553176,182568543.21636004,0.0,111746378.79559607,0.0,78678883.30147067,0.0 
 01/01  09:00:00,3299163.1135561878,21.0,24.0,19.0,26.0,0.0,0.0,72769748.04220775,0.0,0.0,12078534.225763873,0.0,47077200.0,7856718.886311376,0.002340322179460754,5757294.927792174,282555602.3774906,224234184.16476048,54019800.0,4301618.212730097,172612.27980456933,10807544.03980022,3862891.9879557385,14522380.200758465,176752683.51939763,0.0,107645696.3780725,0.0,76963706.02203204,0.0 
 01/01  10:00:00,4949003.084257957,21.0,24.0,19.0,26.0,0.0,0.0,72804555.35146712,0.0,0.0,12078534.225763873,0.0,47077200.0,7856718.8863113769,0.002339230531038739,5792102.237052637,265598886.1892376,205162327.5763566,54019800.0,6416758.612880986,0.0,13807578.270891512,3862893.8713053569,14731960.32268165,161718359.1628164,0.0,98942420.72653744,0.0,70632657.31698495,0.0 
 01/01  11:00:00,14890253.719197147,21.0,24.0,19.0,26.0,0.0,0.0,90793572.66998899,0.0,0.0,12078534.225763873,0.0,65077200.0,7856718.8863113769,0.0078015523897018439,5781119.550112203,314208237.56471428,176202961.12598939,118843560.0,19161716.43872488,0.0,24289360.57753669,12876302.544609793,14658767.639955923,138787416.5404122,0.0,89716949.74884424,0.0,56927185.672274339,0.0 
 01/01  12:00:00,13230751.651796654,21.0,24.0,19.0,26.0,0.0,0.0,94964864.74652994,0.0,0.0,12078534.225763873,0.0,65077200.0,7856718.8863113769,0.007798740218368826,9952411.626655953,309884890.3538964,146997241.39009357,145853460.00000004,17034188.963802767,0.0,36136022.195546727,12876307.962637857,17625118.767790706,115736997.8289768,0.0,77464823.73487519,0.0,46128892.97480773,0.0 
 01/01  13:00:00,9916471.911537869,21.0,24.0,19.0,26.0,0.0,0.0,91584106.6041374,0.0,0.0,12078534.225763873,0.0,65077200.0,7856718.8863113769,0.0062422251512291239,6571653.485819949,271995343.9298773,129562633.11165899,129647519.99999999,12785190.818218295,0.0,41114173.16274844,10301025.842070694,17950165.676852757,101992274.59995483,0.0,69549251.37957433,0.0,40299742.10108694,0.0 
 01/01  14:00:00,11570760.59230165,21.0,24.0,19.0,26.0,0.0,0.0,90862223.31468214,0.0,0.0,12078534.225763873,0.0,65077200.0,7856718.8863113769,0.006237993745086752,5849770.196368903,250547346.9927457,122199732.40523294,113441580.0,14906034.58751275,0.0,39662423.93460068,10300981.70480141,15062545.966467027,96162784.32223559,0.0,67176870.17013186,0.0,36842633.03281007,0.0 
 01/01  15:00:00,8256911.495297488,21.0,24.0,19.0,26.0,0.0,0.0,72885997.07350104,0.0,0.0,12078534.225763873,0.0,47077200.0,7856718.8863113769,0.004679949194661127,5873543.956745851,218295810.29815663,132010501.75968439,75627720.0,10657588.538472236,0.0,29179064.819338189,7725787.504352847,15208314.810103538,103907937.55280389,0.0,71211898.03685242,0.0,40552758.39665753,0.0 
