Time,DINING:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DINING:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DINING:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DINING:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],KITCHEN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],KITCHEN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],KITCHEN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],KITCHEN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:15:00,8.535367E+03,9.404969E+03,4.402625E-01,9.251067E-01,4.697399E+03,4.742975E+03,2.193096E-01,3.877929E-01
00:30:00,9.287439E+03,9.324972E+03,4.790341E-01,9.172984E-01,5.413958E+03,4.636379E+03,2.527530E-01,3.790669E-01
00:45:00,1.003953E+04,9.244423E+03,5.177774E-01,9.094323E-01,6.131541E+03,4.529045E+03,2.862394E-01,3.702837E-01
01:00:00,1.079182E+04,9.163239E+03,5.565170E-01,9.015071E-01,6.849601E+03,4.420830E+03,3.197432E-01,3.614339E-01
01:15:00,1.079218E+04,7.166943E+03,5.564674E-01,6.934835E-01,7.341320E+03,3.411939E+03,3.426717E-01,2.765784E-01
01:30:00,1.079280E+04,5.109212E+03,5.564500E-01,4.821760E-01,7.832369E+03,2.499936E+03,3.655272E-01,1.979234E-01
01:45:00,1.079353E+04,3.173305E+03,5.564677E-01,2.787974E-01,8.322644E+03,1.732794E+03,3.883315E-01,1.284238E-01
02:00:00,1.079418E+04,1.300786E+03,5.564946E-01,7.981156E-02,8.812733E+03,1.042115E+03,4.111251E-01,6.389094E-02
02:15:00,1.079474E+04,1.420272E+03,5.565210E-01,8.709788E-02,8.813452E+03,1.367170E+03,4.110770E-01,8.384696E-02
02:30:00,1.079517E+04,1.641897E+03,5.565424E-01,1.007434E-01,8.814477E+03,1.641556E+03,4.110951E-01,1.007226E-01
02:45:00,1.079553E+04,1.774285E+03,5.565608E-01,1.089323E-01,8.815432E+03,1.809169E+03,4.111296E-01,1.110562E-01
03:00:00,1.079584E+04,1.870791E+03,5.565768E-01,1.149060E-01,8.816245E+03,1.931867E+03,4.111643E-01,1.186198E-01
03:15:00,1.079611E+04,1.939633E+03,5.565906E-01,1.191668E-01,8.816913E+03,2.023082E+03,4.111945E-01,1.242392E-01
03:30:00,1.079634E+04,1.989915E+03,5.566026E-01,1.222765E-01,8.817464E+03,2.092607E+03,4.112199E-01,1.285182E-01
03:45:00,1.079654E+04,2.027280E+03,5.566130E-01,1.245848E-01,8.817925E+03,2.146738E+03,4.112414E-01,1.318467E-01
04:00:00,1.079672E+04,2.055220E+03,5.566222E-01,1.263090E-01,8.818318E+03,2.189726E+03,4.112597E-01,1.344881E-01
04:15:00,1.079688E+04,2.077238E+03,5.566305E-01,1.276663E-01,8.818659E+03,2.225215E+03,4.112756E-01,1.366675E-01
04:30:00,1.079702E+04,2.095039E+03,5.566378E-01,1.287628E-01,8.818959E+03,2.255133E+03,4.112896E-01,1.385043E-01
04:45:00,1.079715E+04,2.109825E+03,5.566445E-01,1.296733E-01,8.819226E+03,2.280862E+03,4.113021E-01,1.400836E-01
05:00:00,1.079727E+04,2.129392E+03,5.566506E-01,1.308771E-01,8.819466E+03,2.303488E+03,4.113133E-01,1.414725E-01
05:15:00,1.004529E+04,4.298512E+03,5.178823E-01,3.271361E-01,7.613969E+03,3.683226E+03,3.550926E-01,2.502700E-01
05:30:00,9.293308E+03,6.505405E+03,4.791363E-01,5.606731E-01,6.408209E+03,4.737070E+03,2.989010E-01,3.476822E-01
05:45:00,8.541147E+03,8.594014E+03,4.403972E-01,7.851736E-01,5.201194E+03,5.611151E+03,2.426565E-01,4.309496E-01
06:00:00,7.788790E+03,1.063074E+04,4.016556E-01,1.004987E+00,3.993495E+03,6.399054E+03,1.863822E-01,5.072024E-01
06:15:00,7.788334E+03,1.049377E+04,4.016813E-01,1.027511E+00,3.991091E+03,5.771661E+03,1.863199E-01,4.714221E-01
06:30:00,7.787697E+03,1.030577E+04,4.016767E-01,1.011526E+00,3.988642E+03,5.430479E+03,1.862145E-01,4.438947E-01
06:45:00,7.787097E+03,1.023075E+04,4.016582E-01,1.004145E+00,3.987217E+03,5.242690E+03,1.861511E-01,4.284585E-01
07:00:00,7.786576E+03,1.019949E+04,4.016362E-01,1.000989E+00,3.986296E+03,5.123499E+03,1.861093E-01,4.186906E-01
07:15:00,7.786145E+03,1.019719E+04,4.016159E-01,1.000700E+00,4.001019E+03,5.034307E+03,1.867971E-01,4.113876E-01
07:30:00,7.785800E+03,1.021529E+04,4.015987E-01,1.002472E+00,4.015901E+03,4.979526E+03,1.874919E-01,4.069084E-01
07:45:00,7.785522E+03,1.024813E+04,4.015847E-01,1.005662E+00,4.030890E+03,4.949139E+03,1.881916E-01,4.044185E-01
08:00:00,7.785296E+03,1.029527E+04,4.015731E-01,1.010249E+00,4.045951E+03,4.937139E+03,1.888946E-01,4.034306E-01
08:15:00,7.785110E+03,1.034925E+04,4.015635E-01,1.015507E+00,4.045692E+03,4.953413E+03,1.888823E-01,4.047544E-01
08:30:00,7.784953E+03,1.040640E+04,4.015554E-01,1.021072E+00,4.045476E+03,4.976876E+03,1.888722E-01,4.066655E-01
08:45:00,7.784820E+03,1.046335E+04,4.015486E-01,1.026702E+00,4.045290E+03,5.005937E+03,1.888635E-01,4.090487E-01
09:00:00,7.784705E+03,1.051253E+04,4.015426E-01,1.031542E+00,4.045127E+03,5.038158E+03,1.888559E-01,4.116852E-01
09:15:00,7.784605E+03,1.055001E+04,4.015374E-01,1.035266E+00,4.044983E+03,5.071940E+03,1.888492E-01,4.144547E-01
09:30:00,7.784516E+03,1.057524E+04,4.015329E-01,1.037798E+00,4.044854E+03,5.106260E+03,1.888432E-01,4.172701E-01
09:45:00,7.784436E+03,1.058838E+04,4.015288E-01,1.039100E+00,4.044739E+03,5.140580E+03,1.888378E-01,4.200781E-01
10:00:00,7.784365E+03,1.059377E+04,4.015251E-01,1.039676E+00,4.044633E+03,5.175398E+03,1.888329E-01,4.229329E-01
10:15:00,7.784300E+03,1.059555E+04,4.015217E-01,1.039864E+00,4.044537E+03,5.209770E+03,1.888284E-01,4.257454E-01
10:30:00,7.784241E+03,1.060101E+04,4.015187E-01,1.040399E+00,4.044449E+03,5.244126E+03,1.888243E-01,4.285546E-01
10:45:00,7.784186E+03,1.061858E+04,4.015159E-01,1.042180E+00,4.044367E+03,5.278718E+03,1.888205E-01,4.313927E-01
11:00:00,7.784136E+03,1.065304E+04,4.015133E-01,1.045641E+00,4.044292E+03,5.312937E+03,1.888169E-01,4.342035E-01
11:15:00,7.784089E+03,1.070452E+04,4.015108E-01,1.050774E+00,4.044221E+03,5.345769E+03,1.888136E-01,4.369010E-01
11:30:00,7.784045E+03,1.076992E+04,4.015086E-01,1.057340E+00,4.044155E+03,5.377685E+03,1.888105E-01,4.395337E-01
11:45:00,7.784004E+03,1.083664E+04,4.015065E-01,1.064022E+00,4.044094E+03,5.407332E+03,1.888077E-01,4.419769E-01
12:00:00,7.783966E+03,1.089751E+04,4.015045E-01,1.070113E+00,4.044036E+03,5.435427E+03,1.888051E-01,4.442898E-01
12:15:00,7.783930E+03,1.095602E+04,4.015026E-01,1.076029E+00,4.043980E+03,5.463445E+03,1.888025E-01,4.466044E-01
12:30:00,7.783896E+03,1.100531E+04,4.015009E-01,1.081062E+00,4.043928E+03,5.489269E+03,1.888001E-01,4.487389E-01
12:45:00,7.783863E+03,1.104631E+04,4.014992E-01,1.085257E+00,4.043877E+03,5.514319E+03,1.887976E-01,4.508054E-01
13:00:00,7.783833E+03,1.108105E+04,4.014976E-01,1.088837E+00,4.043829E+03,5.538529E+03,1.887953E-01,4.528033E-01
