Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Humidifier:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,2157344840.349423,0.0,121118795.59916105,350530781.5515637,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,155685511.46930979,2431621.032595941,510998396.48032787,15253180.790598488,3227978208.109018,3176125763.246474,20392811.859456,31459633.003087887,596600542.9857224,283641395.95062997,504346980.01759776,49026750.65727262,36642876.321013677,2525909285.7762305,223922229.10515226 
 01/01  02:00:00,2141931871.9202004,0.0,59839422.42533961,350530781.5515637,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,154885363.93525414,0.0,560232530.4457643,15117220.13641299,3707335352.5434315,3624076387.172166,20392811.859456,62866153.51180945,293993809.61450859,327923997.8186195,480884371.02829536,49026787.01830007,35850760.112030047,2866491917.306541,109048279.7664499 
 01/01  03:00:00,2136165216.440806,0.0,63227763.53850237,350530781.5515637,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,154983449.24605394,0.0,551002928.3330262,15093740.345794023,3667125562.967607,3583867201.2624466,20392811.859456,62865549.845704358,310694402.58558997,335099733.08117118,470909998.5511863,49026996.810071539,35718270.77483251,2834524072.942588,121713259.89436123 
 01/01  04:00:00,2134046724.723826,0.0,65689980.82202567,350530781.5515637,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,155076439.19890286,0.0,546330909.9749754,15092059.750492432,3669483364.9155848,3586225605.771512,20392811.859456,62864947.2846161,322624235.21066907,351361052.52936497,464784404.5340142,49027181.68098615,35711189.346268858,2836479684.6119148,126966373.9569897 
 01/01  05:00:00,2247804316.265488,0.0,69205672.88141227,466682061.59458956,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,154988940.19373558,0.0,538197002.860857,17404085.309027509,3617192996.6723549,3533935839.5175778,20392811.859456,62864345.295320767,339937246.3788953,349876081.2320427,486269098.9211749,49027343.274160359,45580771.55560672,2797683851.4301044,134749438.0044865 
 01/01  06:00:00,2252940894.078835,0.0,72397280.99575468,466682061.59458956,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,155021803.98664267,0.0,540254909.346127,17258284.72985526,3632503957.0780375,3518658183.541791,50982029.64864,62863743.88760632,355314472.52849599,356484540.80725,490374961.43114289,49027481.59310225,44960923.30074606,2783467811.9512937,140244035.4465052 
 01/01  07:00:00,2604420333.127324,0.0,73266116.55957087,582833341.6376149,74984400.0,636801372.8715168,117333098.90109866,401083044.7459069,154280176.2468089,0.0,546536348.2928997,17302433.871907347,3504007470.271936,3339178243.78785,101964059.29728,62865167.18680603,359456201.83699789,296373177.2981086,581574340.4566681,49027593.53152157,46083778.204066459,2654182161.921837,141372397.61741115 
 01/01  08:00:00,2574116028.6723797,0.0,77375492.00689402,582833341.6376149,18746100.0,663791564.0523169,117333098.90109866,401083044.7459069,154123809.2465818,0.0,542395113.8407731,16434464.2411935,3463246658.3292815,3247438022.767253,152946088.94592,62862546.61610834,379828790.4233924,284962220.8377586,622385020.3160751,49027672.55442451,42819264.759332749,2570380399.6273357,150530636.61545918 
 01/01  09:00:00,2876944675.6083395,0.0,96149308.95087275,642985923.0816147,0.0,792155392.2367202,234666197.8021973,401083044.7459069,153916629.3872037,0.0,539327694.489644,16660484.914179825,3250710774.1564829,2952018742.704977,203928118.59456,94763912.85694623,472709760.72972378,231608041.25036115,736588202.4336217,65324637.225139837,43331522.730181489,2343000993.7484695,185714674.3666723 
 01/01  10:00:00,2891499249.4534566,0.0,139074434.12261475,642985923.0816147,0.0,765165201.0559201,234666197.8021973,401083044.7459069,154811408.95368774,0.0,536955668.1292186,16757371.562296156,2975160135.4740135,2726940031.9329979,152946088.94592,95274014.59509574,684651273.5419309,201293584.13542704,784493029.2020968,81621465.61239673,43916192.540297258,2157075061.0234558,271490960.78813496 
