Time,CAV_1:DesPer 1:Des Heat Mass Flow [kg/s],CAV_1:DesPer 1:Des Heat Cap [W],CAV_1:DesPer 1:Des Cool Mass Flow [kg/s],CAV_1:DesPer 1:Des Sens Cool Cap [W],CAV_1:DesPer 1:Des Tot Cool Cap [W],CAV_1:DesPer 2:Des Heat Mass Flow [kg/s],CAV_1:DesPer 2:Des Heat Cap [W],CAV_1:DesPer 2:Des Cool Mass Flow [kg/s],CAV_1:DesPer 2:Des Sens Cool Cap [W],CAV_1:DesPer 2:Des Tot Cool Cap [W],CAV_2:DesPer 1:Des Heat Mass Flow [kg/s],CAV_2:DesPer 1:Des Heat Cap [W],CAV_2:DesPer 1:Des Cool Mass Flow [kg/s],CAV_2:DesPer 1:Des Sens Cool Cap [W],CAV_2:DesPer 1:Des Tot Cool Cap [W],CAV_2:DesPer 2:Des Heat Mass Flow [kg/s],CAV_2:DesPer 2:Des Heat Cap [W],CAV_2:DesPer 2:Des Cool Mass Flow [kg/s],CAV_2:DesPer 2:Des Sens Cool Cap [W],CAV_2:DesPer 2:Des Tot Cool Cap [W],VAV_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_1:DesPer 1:Des Heat Cap [W],VAV_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_1:DesPer 1:Des Sens Cool Cap [W],VAV_1:DesPer 1:Des Tot Cool Cap [W],VAV_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_1:DesPer 2:Des Heat Cap [W],VAV_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_1:DesPer 2:Des Sens Cool Cap [W],VAV_1:DesPer 2:Des Tot Cool Cap [W],VAV_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_2:DesPer 1:Des Heat Cap [W],VAV_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_2:DesPer 1:Des Sens Cool Cap [W],VAV_2:DesPer 1:Des Tot Cool Cap [W],VAV_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_2:DesPer 2:Des Heat Cap [W],VAV_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_2:DesPer 2:Des Sens Cool Cap [W],VAV_2:DesPer 2:Des Tot Cool Cap [W]
00:15:00,6.300710E+00,1.728999E+05,1.795181E+01,4.959956E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.707215E+05,4.915482E+05,3.587416E+00,1.145915E+05,1.410469E+01,5.856457E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.127055E+05,3.209319E+05,7.856969E+00,2.274150E+05,1.083742E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.152768E+01,1.823895E+05,3.845758E+05,1.361776E+01,4.202019E+05,3.263934E+01,1.682486E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.332166E+01,5.606837E+05,9.663126E+05
00:30:00,6.308359E+00,1.728608E+05,1.795181E+01,4.959956E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.699349E+05,4.881069E+05,3.588186E+00,1.145958E+05,1.410469E+01,5.852771E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.122244E+05,3.188926E+05,7.870890E+00,2.274262E+05,1.083981E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.152038E+01,1.812656E+05,3.808622E+05,1.363404E+01,4.202483E+05,3.263934E+01,1.671275E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.329282E+01,5.583632E+05,9.597927E+05
00:45:00,6.315209E+00,1.728259E+05,1.795181E+01,4.959956E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.691484E+05,4.846925E+05,3.588876E+00,1.145996E+05,1.410469E+01,5.849541E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.117433E+05,3.168681E+05,7.884286E+00,2.274369E+05,1.084218E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.151376E+01,1.801550E+05,3.771650E+05,1.364966E+01,4.202927E+05,3.263934E+01,1.660541E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.327697E+01,5.562781E+05,9.536294E+05
01:00:00,6.321432E+00,1.727941E+05,1.795181E+01,4.959956E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.683618E+05,4.812890E+05,3.589504E+00,1.146030E+05,1.410469E+01,5.846674E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.112622E+05,3.148530E+05,7.897240E+00,2.274473E+05,1.084452E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.150767E+01,1.790549E+05,3.734788E+05,1.366465E+01,4.203351E+05,3.263934E+01,1.650173E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.326801E+01,5.543180E+05,9.476426E+05
01:15:00,6.327155E+00,1.727649E+05,1.795181E+01,4.959956E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.678383E+05,4.788582E+05,3.590084E+00,1.146062E+05,1.410469E+01,5.844095E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.109419E+05,3.134371E+05,7.909801E+00,2.274573E+05,1.084685E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.150234E+01,1.782969E+05,3.710148E+05,1.367906E+01,4.203757E+05,3.263934E+01,1.639934E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.325977E+01,5.529736E+05,9.438695E+05
01:30:00,6.332475E+00,1.727378E+05,1.795181E+01,4.959956E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.673147E+05,4.766164E+05,3.590626E+00,1.146092E+05,1.410469E+01,5.841747E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.106215E+05,3.121026E+05,7.922012E+00,2.274669E+05,1.084915E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.149764E+01,1.775509E+05,3.685919E+05,1.369291E+01,4.204147E+05,3.263934E+01,1.629938E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.325211E+01,5.516415E+05,9.401346E+05
01:45:00,6.337463E+00,1.727124E+05,1.795181E+01,4.959956E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.667908E+05,4.744475E+05,3.591137E+00,1.146121E+05,1.410469E+01,5.839584E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.103011E+05,3.107912E+05,7.933906E+00,2.274762E+05,1.085143E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.149352E+01,1.768160E+05,3.661900E+05,1.370624E+01,4.204520E+05,3.263934E+01,1.620144E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.324495E+01,5.503206E+05,9.364159E+05
02:00:00,6.342174E+00,1.726883E+05,1.795181E+01,4.959956E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.662668E+05,4.723076E+05,3.591621E+00,1.146147E+05,1.410469E+01,5.837572E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.099805E+05,3.094886E+05,7.945506E+00,2.274852E+05,1.085368E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.148996E+01,1.760915E+05,3.638012E+05,1.371907E+01,4.204877E+05,3.263934E+01,1.610521E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.323826E+01,5.490097E+05,9.327035E+05
02:15:00,6.346649E+00,1.726655E+05,1.795181E+01,4.959956E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.658741E+05,4.706555E+05,3.592082E+00,1.146173E+05,1.410469E+01,5.835682E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.097403E+05,3.084816E+05,7.956833E+00,2.274940E+05,1.085591E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.148666E+01,1.755360E+05,3.620082E+05,1.373143E+01,4.205221E+05,3.263934E+01,1.601044E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.323190E+01,5.480064E+05,9.300755E+05
02:30:00,6.350921E+00,1.726437E+05,1.795181E+01,4.959956E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.654813E+05,4.691021E+05,3.592522E+00,1.146197E+05,1.410469E+01,5.833893E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.094999E+05,3.075154E+05,7.967901E+00,2.275024E+05,1.085811E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.148361E+01,1.749852E+05,3.602327E+05,1.374333E+01,4.205551E+05,3.263934E+01,1.591695E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.322586E+01,5.470099E+05,9.274640E+05
