Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,561134386.9413319,0.0,0.0,156648030.75360007,64537200.0,189143078.4,137625628.64374394,1154138.9425298444,12026310.20145806,601719636.0797608,584244300.0797608,17403336.0,72000.0,0.0,418333842.2674375,22245314.384471947,4298454.809188793,32210960.40303059,437869822.634146,0.0 
 01/01  02:00:00,561476810.9885005,0.0,0.0,156648030.75360007,64537200.0,189143078.4,137923950.0698244,1228571.2203048764,11995980.544771169,574099681.4567201,556624345.4567201,17403336.0,72000.0,0.0,435868188.3262446,11693531.034387157,4298454.811360946,32031192.874758357,441483707.6826543,0.0 
 01/01  03:00:00,608033918.9971919,0.0,0.0,156648030.75360007,64537200.0,189143078.4,183826635.68265093,1891229.0879860845,11987745.07295473,796930342.3482798,779455006.3482798,17403336.0,72000.0,0.0,595034671.5413745,14416208.297513776,4298454.811277383,31982402.415556514,594154616.03035,0.0 
 01/01  04:00:00,563403579.4399414,0.0,0.0,156648030.75360007,64537200.0,189143078.4,139703288.92872549,1389910.0830208539,11982071.274595002,611575424.1194176,594100088.1194176,17403336.0,72000.0,0.0,475599224.30324777,11410515.020848083,4298454.81118988,31948750.955106766,476799532.76982828,0.0 
 01/01  05:00:00,611641306.1087216,0.0,0.0,156648030.75360007,64537200.0,189143078.4,185605974.541552,2188201.553373019,13518820.860196544,898308199.7056525,849895923.8277769,17403336.0,31008939.877875598,0.0,654339710.191015,14250748.148804522,4298454.811159747,38500336.56101049,648917692.3406313,0.0 
 01/01  06:00:00,568991425.0382114,0.0,0.0,156648030.75360007,64537200.0,189143078.4,143694875.61259646,1552896.8851926639,13415343.386822192,654618790.3417499,637143454.3417499,17403336.0,72000.0,0.0,516841143.9550749,11277570.71768907,4298454.810032271,38050655.62700343,512172141.5957325,0.0 
 01/01  07:00:00,611844566.0116572,0.0,0.0,156648030.75360007,64537200.0,189143078.4,185605974.541552,2394349.6072806555,13515932.709224573,916997326.9726646,899521990.9726646,17403336.0,72000.0,0.0,698247836.7574979,13923884.891284557,4298454.810917435,39231162.841772157,688848717.9429873,0.0 
 01/01  08:00:00,495634856.5397917,0.0,0.0,156648030.75360007,21512400.0,189143078.4,113974429.96659859,1304677.586867454,13052239.832725564,541983070.1678126,524507734.1678126,17403336.0,72000.0,0.0,409794869.201227,13068058.783654245,4298454.811301637,37557163.95283468,431819037.3242429,0.0 
 01/01  09:00:00,495599107.0229777,0.0,0.0,156648030.75360007,0.0,189143078.4,135102338.48743583,1580520.0697913804,13125139.312150483,632073878.9555208,614598542.9555208,17403336.0,72000.0,0.0,436621859.9759007,22127141.268858304,7164091.348345399,37984364.57803813,473811511.6129192,0.0 
 01/01  10:00:00,406121659.6710044,0.0,0.0,156648030.75360007,0.0,189143078.4,46246281.222166169,805387.5906988976,13278881.704539204,387201315.905661,338760391.92405769,17403336.0,31037587.981603344,0.0,221263432.715078,25537416.071008617,7164091.295985486,38897601.34450285,279328221.76939359,0.0 
 01/01  11:00:00,407916647.6954335,0.0,0.0,156648030.75360007,0.0,189143078.4,48021487.80375166,926528.0785565659,13177522.659525156,402809683.73397067,385334347.73397067,17403336.0,72000.0,0.0,231978747.8002811,58216698.063683498,7164091.351461271,38291380.54488913,290167037.2937351,182.0738838487083 
 01/01  12:00:00,403807915.4533307,0.0,0.0,156648030.75360007,0.0,189143078.4,40908264.64546287,516984.0646848151,16591557.589582915,243219068.2634337,225743732.2634337,17403336.0,72000.0,0.0,149741626.64370439,56839596.60763414,7164091.348669872,41017179.211377,189746563.161392,0.0 
 01/01  13:00:00,394986107.49605259,0.0,0.0,156648030.75360007,0.0,189143078.4,35566115.79144397,635467.3036800413,12993415.247328498,328313014.2992686,279871841.47333678,17403336.0,31037836.825931804,0.0,157846866.77284117,66535200.56194258,7164091.336322275,37187914.87670009,220998973.55926816,0.0 
 01/01  14:00:00,400307733.9671814,0.0,0.0,156648030.75360007,0.0,189143078.4,40908264.64546287,352479.0756528166,13255881.092465597,196621936.75488005,179146600.75488005,17403336.0,72000.0,0.0,112713226.88108325,44697514.09819019,7164091.337540029,38762814.70493531,163445216.31356208,0.0 
 01/01  15:00:00,377320873.0206697,0.0,0.0,156648030.75360007,0.0,189143078.4,17772727.202432977,421279.10335172645,13335757.561284937,249400447.31603588,231925111.31603588,17403336.0,72000.0,0.0,112376972.3238007,54555987.91987029,4298454.811080502,39243187.35523624,194187331.44316919,0.0 
