Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,89300167.15424872,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,34667525.31814048,1133585292.861604,1133585292.861604,912709311.3864427,0.0,884196528.4320512,0.0 
 01/01  02:00:00,88295051.4007896,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,33662409.564681369,1279617954.7474614,1279617954.7474614,1026267524.5503408,0.0,998102004.7030199,0.0 
 01/01  03:00:00,98593924.59159518,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,43961282.755486939,1490301440.2280386,1490301440.2280386,1195279727.4170724,0.0,1162435123.37787,0.0 
 01/01  04:00:00,88622014.44033958,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,33989372.604231338,1282687677.6261967,1282687677.6261967,1028932031.2721086,0.0,1000496388.5484334,0.0 
 01/01  05:00:00,98536151.0402956,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,43903509.20418736,1486549159.8456302,1486549159.8456302,1192293100.5468906,0.0,1159508344.6795912,0.0 
 01/01  06:00:00,88502347.48139997,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,33869705.64529172,1274461947.9107292,1274461947.9107292,1022418917.0935717,0.0,994080319.3703687,0.0 
 01/01  07:00:00,98484215.08959827,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,43851573.253490049,1486491444.845566,1486491444.845566,1192229408.462435,0.0,1159463326.9795416,0.0 
 01/01  08:00:00,62082802.86767275,0.0,0.0,11542082.99495346,13149600.0,3641758.8411547804,33749361.03156451,1265030843.1821905,1265030843.1821905,1014941977.4714713,0.0,986724057.6821088,0.0 
 01/01  09:00:00,57223974.929390128,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,42040133.09328188,1400789181.4562684,1400789181.4562684,1123854095.5359715,0.0,1092615561.5358897,0.0 
 01/01  10:00:00,45673554.204228799,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,30489712.368120556,1089538366.4529772,1089538366.4529772,875393415.7538084,0.0,849839925.8333222,0.0 
 01/01  11:00:00,51307364.19372559,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,36123522.357617359,1127511646.3098989,1127511646.3098989,906661059.6590499,0.0,879459084.1217213,0.0 
 01/01  12:00:00,41181301.353860039,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,25997459.51775179,844287843.7051659,844287843.7051659,680302633.8618479,0.0,658544518.0900295,0.0 
 01/01  13:00:00,46458931.010434959,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,31275089.174326719,890831246.589052,890831246.589052,718232242.4571129,0.0,694848372.3394606,0.0 
 01/01  14:00:00,38347595.204016868,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,23163753.367908617,673167944.3955599,673167944.3955599,544659595.3913672,0.0,525070996.6285367,0.0 
 01/01  15:00:00,44072515.18997999,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,28888673.353871764,764702080.4443083,764702080.4443083,618661082.0934332,0.0,596467622.7465606,0.0 
 01/01  16:00:00,37780750.67795715,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,22596908.8418489,632011095.3801218,632011095.3801218,512208757.4250624,0.0,492968654.396495,0.0 
 01/01  17:00:00,70763733.30838596,0.0,0.0,11542082.99495346,26299200.0,3641758.8411547804,29280691.472277706,769438322.4218763,769438322.4218763,622603248.2722613,0.0,600161891.4890635,0.0 
 01/01  18:00:00,77855106.29983951,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,23222464.463731275,659530335.6997718,659530335.6997718,534128045.3931061,0.0,514433661.8458219,0.0 
 01/01  19:00:00,85276527.33054427,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,30643885.494436027,834072256.9043553,834072256.9043553,673784226.8177077,0.0,650576360.3853972,0.0 
 01/01  20:00:00,78436697.50721865,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,23804055.671110408,683965779.0750859,683965779.0750859,553530191.0279002,0.0,533493307.678567,0.0 
 01/01  21:00:00,84920810.35758731,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,30288168.52147907,814927984.5437635,814927984.5437635,658640574.3245684,0.0,635643827.9441356,0.0 
 01/01  22:00:00,78196703.6504203,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,23564061.814312053,674987689.443955,674987689.443955,546380688.2298663,0.0,526490397.7662849,0.0 
 01/01  23:00:00,84920966.539694,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,30288324.70358575,817280900.5037063,817280900.5037063,660473216.9995568,0.0,637479102.3928909,0.0 
 01/01  24:00:00,78666251.31680914,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,24033609.480700897,699660239.9108383,699660239.9108383,565969993.4463142,0.0,545734987.1304538,0.0 
 01/02  01:00:00,86907461.92399922,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,32274820.08789099,915649308.6792019,915649308.6792019,738446500.1573589,0.0,714206460.7697775,0.0 
 01/02  02:00:00,80419182.62597309,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,25786540.789864854,797052730.9569017,797052730.9569017,643253951.0470344,0.0,621701130.1463833,0.0 
 01/02  03:00:00,87632579.80731754,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,32999937.971209326,943280389.6561732,943280389.6561732,760318836.664819,0.0,735758703.9318152,0.0 
 01/02  04:00:00,80350433.25962277,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,25717791.42351452,792526751.0071687,792526751.0071687,639646217.0629466,0.0,618170865.7855916,0.0 
 01/02  05:00:00,86486711.61228773,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,31854069.776179509,879115844.6761668,879115844.6761668,709413996.4249904,0.0,685710358.84741,0.0 
 01/02  06:00:00,78668886.2281831,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,24036244.392074866,691273236.9683261,691273236.9683261,559433846.5648613,0.0,539193124.8352944,0.0 
 01/02  07:00:00,127608012.49696788,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,72975370.66085965,914954395.1298325,914954395.1298325,752127098.8932282,0.0,713664428.2012694,0.0 
 01/02  08:00:00,150502096.84644736,0.0,0.0,46168331.97981384,13149600.0,18208794.2057739,72975370.66085965,780398354.7497709,780398354.7497709,652953002.6226688,0.0,608710716.7048214,0.0 
 01/02  09:00:00,182904022.35477213,0.0,0.0,80794580.96467422,0.0,29134070.729238243,72975370.66085965,700173657.7069494,700173657.7069494,590968410.7935476,0.0,546135453.0114205,0.0 
 01/02  10:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,614890813.0791509,614890813.0791509,525465533.7533976,0.0,479614834.2017378,0.0 
 01/02  11:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085963,531263042.56152936,531263042.56152936,461754213.48060169,0.0,414385173.19799289,0.0 
 01/02  12:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,473502021.73325219,473502021.73325219,417478377.611411,0.0,369331576.9519367,0.0 
 01/02  13:00:00,194446105.34972555,0.0,0.0,92336663.95962768,0.0,29134070.729238243,72975370.66085965,454685866.24633887,454685866.24633887,402795306.06921097,0.0,354654975.6721443,0.0 
 01/02  14:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,479578859.61515197,479578859.61515197,420494452.76247617,0.0,374071510.49981859,0.0 
 01/02  15:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,533984256.1285136,533984256.1285136,461115949.20863929,0.0,416507719.78024068,0.0 
 01/02  16:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,514580021.68273159,514580021.68273159,446749648.9199531,0.0,401372416.91253069,0.0 
 01/02  17:00:00,235929147.1858338,0.0,0.0,103878746.95458116,26299200.0,32775829.57039302,72975370.66085965,497040989.4489429,497040989.4489429,433917954.598319,0.0,387691971.7701755,0.0 
 01/02  18:00:00,110865280.1695033,0.0,0.0,34626248.98486037,39448800.0,14567035.364619121,22223195.82002382,532329444.040858,532329444.040858,434216270.39441636,0.0,415216966.3518692,0.0 
 01/02  19:00:00,74924579.78357537,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,20291937.947467138,511484321.3025962,511484321.3025962,416496719.7225479,0.0,398957770.6160251,0.0 
 01/02  20:00:00,79755116.48623377,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,25122474.650125535,584790012.4746299,584790012.4746299,475848562.37685999,0.0,456136209.73021146,0.0 
 01/02  21:00:00,74402283.61701584,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,19769641.7809076,464035705.6834229,464035705.6834229,379052646.7540093,0.0,361947850.4330698,0.0 
 01/02  22:00:00,78835349.50039359,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,24202707.664285359,533034591.50306287,533034591.50306287,434758334.2480291,0.0,415766981.37238898,0.0 
 01/02  23:00:00,74742996.44764753,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,20110354.611539287,489914284.2354222,489914284.2354222,399538194.1553986,0.0,382133141.7036293,0.0 
 01/02  24:00:00,81019848.85819605,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,26387207.022087814,646494982.10595,646494982.10595,524670951.27365007,0.0,504266086.04264107,0.0 
 01/03  01:00:00,76053421.20455529,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,21420779.36844705,554465961.4976181,554465961.4976181,450838710.9046938,0.0,432483449.96814206,0.0 
 01/03  02:00:00,81549062.9345849,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,26916421.098476657,665321703.004205,665321703.004205,539636264.70092,0.0,518950928.34327986,0.0 
 01/03  03:00:00,76168333.7205798,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,21535691.88447157,551685629.8324337,551685629.8324337,448739997.5232479,0.0,430314791.2692983,0.0 
 01/03  04:00:00,81547074.22044367,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,26914432.38433543,660446888.8699296,660446888.8699296,535837056.24419429,0.0,515148573.3185451,0.0 
 01/03  05:00:00,77090672.23368527,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,22458030.39757704,605827772.907191,605827772.907191,491680593.58818659,0.0,472545662.8676091,0.0 
