Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,48713304.00537001,0.0,0.0,6681021.5801592,9104400.0,20077200.0,7864969.111196254,0.003897450427459522,4985713.310117099,239080705.72465054,219950449.57695074,10803960.0,8326296.147699798,3025358.401493051,10130795.207240303,6438149.023229638,11952501.018252749,173334220.51285646,0.0 
 01/01  02:00:00,34080511.90322137,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,4749104.709834965,10875960.0,0.0,10803960.0,72000.0,0.0,0.0,0.0,11771830.998744846,0.0,0.0 
 01/01  03:00:00,34147751.479929808,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,4816344.2865434079,12935364.2101226,0.0,10803960.0,2131404.210122601,0.0,0.0,0.0,12162335.034769144,0.0,0.0 
 01/01  04:00:00,34190450.31358864,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,4859043.1202022419,10875960.0,0.0,10803960.0,72000.0,0.0,0.0,0.0,12410892.669613146,0.0,0.0 
 01/01  05:00:00,34729717.59974,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,5398310.406353602,12935385.550206878,0.0,10803960.0,2131425.5502068775,0.0,0.0,0.0,14751757.930445593,0.0,0.0 
 01/01  06:00:00,49233408.2400905,0.0,0.0,6681021.5801592,9104400.0,20077200.0,7864969.111196254,0.0,5505817.548735045,271117596.65759369,254839656.65759368,16205939.999999999,72000.0,9310725.469721143,4261130.162675935,0.0,14235092.218527928,200887392.22983394,0.0 
 01/01  07:00:00,101348899.44861186,0.0,0.0,13362043.1603184,9104400.0,65077200.0,7864969.111196254,0.00233916835688489,5940287.174758051,283095365.4355593,228221387.2255457,48617819.99999999,6256158.210013581,0.0,16032108.091895037,3862881.3690913377,15174720.319438138,179861338.0474385,0.0 
 01/01  08:00:00,94339628.13183752,0.0,0.0,13362043.1603184,2276100.0,65077200.0,7864969.111196254,0.0023408478310406198,5759315.857982015,293298729.4434538,211414114.35703326,75627720.0,6256895.086420558,0.0,26822573.87429995,3862889.1306534737,14533290.334015768,166620922.85630924,0.0 
 01/01  09:00:00,74062303.21818695,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.002340323888997316,5758090.944331978,263883561.96954895,205667881.29491953,54019800.0,4195880.674629442,0.0,25284535.477675126,3862892.4802076045,14526561.588519928,162109515.8522095,0.0 
 01/01  10:00:00,74096514.2053099,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.0023392302114235658,5792301.9314560149,248327643.48073978,188049706.26623488,54019800.0,6258137.214504878,0.0,27311271.635424485,3862893.8713982857,14732601.831602741,148221752.26685275,0.0 
