Time,DINING:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DINING:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DINING:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DINING:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],KITCHEN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],KITCHEN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],KITCHEN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],KITCHEN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:15:00,5.430476E+03,9.872036E+03,2.802338E-01,9.707335E-01,1.824791E+03,4.607423E+03,8.521107E-02,3.766556E-01
00:30:00,5.630961E+03,9.835922E+03,2.905779E-01,9.672170E-01,2.015732E+03,4.570396E+03,9.412673E-02,3.736255E-01
00:45:00,5.831445E+03,9.800302E+03,3.009165E-01,9.637442E-01,2.207010E+03,4.533689E+03,1.030578E-01,3.706228E-01
01:00:00,6.031974E+03,9.765044E+03,3.112542E-01,9.603066E-01,2.398492E+03,4.497108E+03,1.119980E-01,3.676322E-01
01:15:00,6.032082E+03,7.807139E+03,3.112477E-01,7.495222E-01,2.892178E+03,3.581466E+03,1.350486E-01,2.883783E-01
01:30:00,6.032241E+03,5.916665E+03,3.112447E-01,5.430811E-01,3.385702E+03,2.795549E+03,1.580811E-01,2.171460E-01
01:45:00,6.032455E+03,4.138601E+03,3.112495E-01,3.437945E-01,3.878992E+03,2.149572E+03,1.810986E-01,1.546245E-01
02:00:00,6.032668E+03,2.421157E+03,3.112574E-01,1.485404E-01,4.372195E+03,1.576584E+03,2.041103E-01,9.672282E-02
02:15:00,6.032861E+03,2.680180E+03,3.112659E-01,1.645045E-01,4.372461E+03,1.952889E+03,2.041039E-01,1.198415E-01
02:30:00,6.033031E+03,2.907505E+03,3.112740E-01,1.786356E-01,4.372885E+03,2.241936E+03,2.041153E-01,1.376796E-01
02:45:00,6.033179E+03,3.050287E+03,3.112813E-01,1.875941E-01,4.373290E+03,2.425018E+03,2.041297E-01,1.490160E-01
03:00:00,6.033307E+03,3.155255E+03,3.112878E-01,1.941878E-01,4.373645E+03,2.562975E+03,2.041438E-01,1.575565E-01
03:15:00,6.033417E+03,3.232100E+03,3.112934E-01,1.990164E-01,4.373950E+03,2.669474E+03,2.041566E-01,1.641411E-01
03:30:00,6.033512E+03,3.290324E+03,3.112983E-01,2.026736E-01,4.374208E+03,2.754194E+03,2.041679E-01,1.693695E-01
03:45:00,6.033595E+03,3.335849E+03,3.113025E-01,2.055240E-01,4.374427E+03,2.823380E+03,2.041776E-01,1.736312E-01
04:00:00,6.033667E+03,3.372454E+03,3.113062E-01,2.078071E-01,4.374614E+03,2.881150E+03,2.041861E-01,1.771843E-01
