Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,88333040.03364569,0.0,5980.238427382124,20186052.19281932,18291600.0,29481120.0,15222087.243232048,0.012964977390075232,5146200.346201968,480390315.96277406,440649848.8266656,12023568.0,27716899.136108485,21868340.415140965,3810004.279908251,21409546.57705568,12907283.633402143,343716000.83632978,49300.026772786325 
 01/01  02:00:00,56769889.59968535,0.0,0.0,6728684.064273106,18291600.0,26964720.0,0.0,0.0,4784885.535412246,12095568.0,0.0,12023568.0,72000.0,0.0,0.0,0.0,11982825.200980887,0.0,0.0 
 01/01  03:00:00,56703940.303199019,0.0,0.0,6728684.064273106,18291600.0,26964720.0,0.0,0.0,4718936.2389259119,14207804.272488349,0.0,12023568.0,2184236.272488349,0.0,0.0,0.0,11586959.386501397,0.0,0.0 
 01/01  04:00:00,56660721.25649001,0.0,0.0,6728684.064273106,18291600.0,26964720.0,0.0,0.0,4675717.192216903,12095568.0,0.0,12023568.0,72000.0,0.0,0.0,0.0,11329205.77487891,0.0,0.0 
 01/01  05:00:00,57141341.95801944,0.0,0.0,6728684.064273106,18291600.0,26964720.0,0.0,0.0,5156337.893746348,14207826.118660694,0.0,12023568.0,2184258.118660694,0.0,0.0,0.0,13324327.304551037,0.0,0.0 
 01/01  06:00:00,88670631.39700428,0.0,22206.930851485828,20186052.19281932,18291600.0,29481120.0,15222087.243232048,0.0,5467565.030101409,530064617.2911633,499933697.2911633,30058920.000000005,72000.0,41701833.18568707,4842744.061262796,0.0,14011313.053806842,390018773.9723818,202613.95309449043 
 01/01  07:00:00,149909093.08336238,0.0,43871.82126182817,40372104.38563864,18291600.0,69928200.0,15222087.243232048,0.007782821981858123,6051229.625447039,543210681.9355934,466053666.3659752,60117840.00000001,17039175.56961823,15520691.310194903,6037655.85839169,12845721.464660403,15835720.56384774,363521859.76546069,387244.55136068598 
 01/01  08:00:00,163056774.60542573,0.0,40669.794961622756,40372104.38563864,4572900.0,96892920.0,15222087.243232048,0.007783644442497174,5956093.173809724,523375522.35119149,414039282.7576122,90176760.0,19159479.593579268,0.0,26880855.417514817,12845729.786302114,15695545.801524103,322950640.55093756,344758.76912783549 
 01/01  09:00:00,158509605.29107628,0.0,5482.363613085933,40372104.38563864,0.0,96892920.0,15222087.243232046,0.007778818066383109,6017011.290813669,529736223.98138228,392464240.7867765,120235680.00000002,17036303.19460572,0.0,32647618.86461761,12845728.658401505,16051389.995935172,306122107.81368568,45374.431358206144 
 01/01  10:00:00,131557435.87014053,0.0,0.0,40372104.38563864,0.0,69928200.0,15222087.243232048,0.007782533606509543,6035044.233487301,495928805.033472,388710792.9019183,90176760.0,17041252.131553677,0.0,14416401.48398732,12845729.526085765,16163202.502012633,303195830.5247313,0.0 
 01/01  11:00:00,158564887.66690118,0.0,20374.541633419085,40372104.38563864,0.0,96892920.0,15222087.243232046,0.02593663007011124,6057401.470460445,559028342.8923869,352978919.04811707,150294600.0,55754823.84426978,0.0,21134744.5232702,42819095.22018606,16290096.670128879,275323556.8575313,160790.68850121398 
 01/01  12:00:00,161355317.05183859,0.0,0.0,40372104.38563864,0.0,96892920.0,15222087.243232048,0.025938942819889754,8868205.397028948,522698116.71526589,316643697.4633026,150294600.0,55759819.251963239,0.0,29597381.082107657,42819098.87694775,19406706.990028666,246982084.02137605,0.0 
 01/01  13:00:00,158759655.41346205,0.0,0.0,40372104.38563864,0.0,96892920.0,15222087.243232048,0.020751101162337184,6272543.763840228,475774886.3012115,280556630.4623913,150294600.0,44923655.838820178,0.0,42425025.69963415,34255278.42636414,17218819.931798836,218834171.76066525,0.0 
 01/01  14:00:00,131681395.52123168,0.0,0.0,40372104.38563864,0.0,69928200.0,15222087.243232048,0.020751117407025948,6159003.8716098689,433443752.4428683,268294501.64263714,120235680.00000002,44913570.800231087,0.0,38811277.339993339,34255277.80689242,16891335.33857481,209272951.37466265,0.0 
 01/01  15:00:00,131688723.25335466,0.0,0.0,40372104.38563864,0.0,69928200.0,15222087.243232048,0.015562777184388074,6166331.608921176,401430008.25583526,277101893.08432677,90176760.0,34151355.171508509,0.0,27143341.39538604,25691451.599484885,16939042.345240375,216141616.99565763,0.0 
 01/01  16:00:00,131645814.78312469,0.0,0.0,40372104.38563864,0.0,69928200.0,15222087.243232048,0.015562607328834423,6123423.138691395,440117331.3726821,285732425.9345141,120235680.00000002,34149225.43816794,0.0,20719132.054380135,25691459.709490245,16682091.033201447,222871292.22892104,0.0 
 01/01  17:00:00,172131639.52821595,0.0,33269.72802273539,40372104.38563864,13718700.0,96892920.0,15222087.243232048,0.015562817272859273,5892558.1557597,491921307.9209991,277420651.95378389,180353520.0,34147135.967215228,0.0,27917873.228346766,25691459.709728205,15288216.056075573,216388108.5239514,238477.57580739735 
 01/01  18:00:00,176717275.73427467,0.0,0.0,40372104.38563864,18291600.0,96892920.0,15222087.243232048,0.02075097179949748,5938564.084652974,500363409.5801037,275091707.40177246,180353520.0,44918182.17833119,0.0,33761993.65169269,34255276.94343017,15558764.78767478,214571531.77338255,0.0 
 01/01  19:00:00,176733691.66654868,0.0,0.0,40372104.38563864,18291600.0,96892920.0,15222087.243232048,0.025939303421430826,5954980.011738648,503788421.6421457,267683294.4523691,180353520.0,55751607.189776558,0.0,45893155.83621185,42819058.60680291,15655769.33224362,208792969.6728479,0.0 
 01/01  20:00:00,150254626.0031234,0.0,0.0,40372104.38563864,18291600.0,69928200.0,15222087.243232048,0.025939223649843247,6440634.348313483,433383617.42366656,257389571.7642939,120235680.00000002,55758365.659372579,0.0,47533880.92022637,42819098.60728552,17683282.49000738,200769920.86074049,0.0 
 01/01  21:00:00,150194750.69069303,0.0,0.0,40372104.38563864,18291600.0,69928200.0,15222087.243232048,0.020750966155475699,6380759.0410713669,417713091.02544918,252559492.4182732,120235680.00000002,44917918.60717597,0.0,51022215.38442832,34255278.69821726,17383424.188691737,196996404.0862531,0.0 
 01/01  22:00:00,149942028.69828848,0.0,0.0,40372104.38563864,18291600.0,69928200.0,15222087.243232048,0.025939926084052678,6128037.04347788,423082378.7704653,277142796.9072195,90176760.0,55762821.86324578,0.0,30137235.80313597,42819097.12084864,16276399.56586191,216171381.58763127,0.0 
 01/01  23:00:00,149543955.13622044,0.0,0.0,40372104.38563864,18291600.0,69928200.0,15222087.243232048,0.020751279290984766,5729963.48659848,397450415.91401919,292409686.49282917,60117840.00000001,44922889.421189967,0.0,19761806.69554739,34255278.59941426,14530982.264801722,228082038.15418775,0.0 
 01/01  24:00:00,152451101.11521945,0.0,0.0,40372104.38563864,18291600.0,69928200.0,15222087.243232048,0.010373809805291359,8637109.475974944,350554388.3778356,297063993.0640847,30058920.000000005,23431475.313750864,0.0,18547374.794214757,17127610.25401765,18020131.46370465,231713690.87664125,0.0 
 01/02  01:00:00,88421999.39975819,0.0,0.0,20186052.19281932,18291600.0,29481120.0,15222087.243232048,0.010377981293898076,5241139.953328831,392757223.4421161,357301992.9050774,12023568.0,23431662.537038648,15543817.926422235,2557665.984366495,17158885.778576487,13343363.031421379,278703812.56769767,0.0 
 01/02  02:00:00,56841833.735151607,0.0,0.0,6728684.064273106,18291600.0,26964720.0,0.0,0.0,4856829.670878495,14207812.578605183,0.0,12023568.0,2184244.578605182,0.0,0.0,0.0,12409667.288938225,0.0,0.0 
 01/02  03:00:00,56823018.372358087,0.0,0.0,6728684.064273106,18291600.0,26964720.0,0.0,0.0,4838014.30808499,12095568.0,0.0,12023568.0,72000.0,0.0,0.0,0.0,12293277.476672,0.0,0.0 
 01/02  04:00:00,56794281.04126688,0.0,0.0,6728684.064273106,18291600.0,26964720.0,0.0,0.0,4809276.976993782,12095568.0,0.0,12023568.0,72000.0,0.0,0.0,0.0,12121049.950964895,0.0,0.0 
 01/02  05:00:00,57292569.94605888,0.0,0.0,6728684.064273106,18291600.0,26964720.0,0.0,0.0,5307565.881785774,14207834.411565796,0.0,12023568.0,2184266.4115657976,0.0,0.0,0.0,14221058.806843009,0.0,0.0 
 01/02  06:00:00,88811546.12301718,0.0,75304.03609030164,20186052.19281932,18291600.0,29481120.0,15222087.243232048,0.0,5555382.650875501,367892761.7623613,337761841.7623613,30058920.000000005,72000.0,23287699.801154443,3380518.362978507,0.0,14528399.872910278,263481543.96822915,562962.5146208735 
 01/02  07:00:00,149990400.7356846,0.0,52548.55414981715,40372104.38563864,18291600.0,69928200.0,15222087.243232048,0.007784983756684019,6123860.544879133,384803067.9457376,305526116.2830852,60117840.00000001,19159111.66265241,1690341.2483509978,3848146.7743376574,12869165.942046935,16262446.389747587,238310370.7008065,386626.41269207236 
 01/02  08:00:00,163185803.59872715,0.0,65206.62601526204,40372104.38563864,4572900.0,96892920.0,15222087.243232048,0.031134267789320034,6060585.312706899,426815548.3216082,269973894.9985223,90176760.0,66664893.32308589,0.0,28108344.40314202,51476642.34239384,16305345.073392686,210579638.0988474,467508.1442824738 
 01/02  09:00:00,158615207.41020049,0.0,0.0,40372104.38563864,0.0,96892920.0,15222087.243232048,0.028544935726546214,6128095.75278483,441053275.7272552,260695400.46170945,120235680.00000002,60122195.26554577,0.0,30356362.419720528,47186920.10132163,16702616.672631033,203342412.36013336,0.0 
 01/02  10:00:00,131686805.27428372,0.0,0.0,40372104.38563864,0.0,69928200.0,15222087.243232048,0.023349960555588864,6164413.622063081,395980245.23527327,254390686.3949163,90176760.0,51412798.84035696,0.0,27822466.09702161,38607485.770941119,16845413.968341285,198429091.375444,0.0 
 01/02  11:00:00,158703697.79845969,0.0,31925.739740086177,40372104.38563864,0.0,96892920.0,15222087.243232048,0.020759902625285193,6184660.409089011,443746935.10413888,248533649.03121526,150294600.0,44918686.07292358,0.0,22574228.90688071,34317759.60126534,16777791.420322759,193856246.24434788,220100.4326778842 
 01/02  12:00:00,161441877.67901499,0.0,0.0,40372104.38563864,0.0,96892920.0,15222087.243232048,0.023352067985551375,8954766.02679223,419135579.94995418,217441768.92828185,150294600.0,51399211.02167232,0.0,41743699.46512048,38607497.489967528,19752789.08860837,169604579.76405985,0.0 
 01/02  13:00:00,158891617.8105019,0.0,0.0,40372104.38563864,0.0,96892920.0,15222087.243232048,0.020757966984746687,6404506.16087322,386910886.9165235,191695387.2852403,150294600.0,44920899.63128317,0.0,61887029.81464577,34317771.99320464,17651760.55155262,149522402.08248747,0.0 
 01/02  14:00:00,131773997.6391575,0.0,0.0,40372104.38563864,0.0,69928200.0,15222087.243232048,0.018164884001682044,6251605.992121932,377902954.21939888,219206182.83547236,120235680.00000002,38461091.38392653,0.0,52504963.57049528,30028027.06706982,17303874.10881705,170986966.96482987,0.0 
 01/02  15:00:00,131754844.1936447,0.0,0.0,40372104.38563864,0.0,69928200.0,15222087.243232048,0.015568308762804476,6232452.5492057059,381859460.6953355,257528871.2076615,90176760.0,34153829.48767398,0.0,34705708.22973428,25738331.77724097,17322225.215926209,200872519.54197596,0.0 
 01/02  16:00:00,131717247.21429047,0.0,0.0,40372104.38563864,0.0,69928200.0,15222087.243232048,0.015568162236683444,6194855.569851612,420008880.6851902,265620680.90335999,120235680.00000002,34152519.78183025,0.0,22420309.224412335,25738332.76085841,17051908.70595814,207184131.1046208,0.0 
 01/02  17:00:00,172213006.738555,0.0,37615.335666731466,40372104.38563864,13718700.0,96892920.0,15222087.243232048,0.015568251657092129,5969579.758449312,465136385.07338777,250631630.66868068,180353520.0,34151234.40470709,0.0,29566195.571192486,25738332.764096567,15617026.69429352,195492671.9215709,258732.9708350216 
 01/02  18:00:00,176779141.25658194,0.0,0.0,40372104.38563864,18291600.0,96892920.0,15222087.243232048,0.02075912878303326,6000429.606952089,467781378.2348393,242504295.6663769,180353520.0,44923562.56846249,0.0,44350272.92192352,34317768.32428656,15902948.401408116,189153350.61977399,0.0 
 01/02  19:00:00,176824380.11204646,0.0,17443.26970825518,40372104.38563864,18291600.0,96892920.0,15222087.243232048,0.028540857375648246,6028225.184926629,456152405.9067297,213525173.6776508,180353520.0,62273712.22907889,0.0,63726419.063226457,47186942.978715877,16036464.429695674,166549635.4685676,119805.84552275679 
 01/02  20:00:00,150356465.66452683,0.0,0.0,40372104.38563864,18291600.0,69928200.0,15222087.243232048,0.031137923639380076,6542474.004518207,392941916.12743887,206054717.4728472,120235680.00000002,66651518.6545916,0.0,59885990.50276203,51476602.83211071,18094938.188722154,160726544.5642153,0.0 
 01/02  21:00:00,150313814.1377662,0.0,0.0,40372104.38563864,18291600.0,69928200.0,15222087.243232048,0.02594872434302398,6499822.482946809,373161439.8563784,197169189.05235208,120235680.00000002,55756570.804026249,0.0,60410361.02648407,42897209.1031284,17784478.48986563,153791967.46083463,0.0 
