Time,DINING:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DINING:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DINING:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DINING:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],KITCHEN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],KITCHEN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],KITCHEN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],KITCHEN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:15:00,1.741296E+04,2.626858E+04,8.983677E-01,2.583107E+00,3.119636E+03,6.651895E+03,1.456718E-01,5.436609E-01
00:30:00,1.878205E+04,2.610000E+04,9.689728E-01,2.566572E+00,3.941226E+03,6.531359E+03,1.840300E-01,5.337994E-01
00:45:00,2.015128E+04,2.593086E+04,1.039549E+00,2.550022E+00,4.764215E+03,6.409442E+03,2.224520E-01,5.238290E-01
01:00:00,2.152085E+04,2.576097E+04,1.110124E+00,2.533426E+00,5.587951E+03,6.286173E+03,2.609070E-01,5.137533E-01
01:15:00,2.152165E+04,2.003817E+04,1.110073E+00,1.942420E+00,6.666855E+03,5.418912E+03,3.112683E-01,4.281369E-01
01:30:00,2.152284E+04,1.429064E+04,1.110067E+00,1.351019E+00,7.744623E+03,4.815133E+03,3.615110E-01,3.588577E-01
01:45:00,2.152419E+04,8.840313E+03,1.110104E+00,7.788778E-01,8.821415E+03,4.391313E+03,4.116792E-01,3.010401E-01
02:00:00,2.152540E+04,3.551613E+03,1.110152E+00,2.177822E-01,9.897836E+03,4.062180E+03,4.618206E-01,2.494090E-01
02:15:00,2.152642E+04,3.985576E+03,1.110199E+00,2.443981E-01,9.898809E+03,4.613410E+03,4.617487E-01,2.833316E-01
02:30:00,2.152723E+04,4.542335E+03,1.110238E+00,2.787046E-01,9.900228E+03,4.957228E+03,4.617679E-01,3.046774E-01
02:45:00,2.152785E+04,4.881794E+03,1.110269E+00,2.997355E-01,9.901463E+03,5.167324E+03,4.618085E-01,3.177136E-01
03:00:00,2.152840E+04,5.126778E+03,1.110297E+00,3.149418E-01,9.902521E+03,5.320878E+03,4.618520E-01,3.271988E-01
03:15:00,2.152887E+04,5.307004E+03,1.110321E+00,3.261353E-01,9.903406E+03,5.435209E+03,4.618914E-01,3.342370E-01
03:30:00,2.152929E+04,5.443532E+03,1.110343E+00,3.346106E-01,9.904138E+03,5.522692E+03,4.619249E-01,3.396105E-01
03:45:00,2.152966E+04,5.548911E+03,1.110362E+00,3.411458E-01,9.904750E+03,5.591148E+03,4.619533E-01,3.438103E-01
04:00:00,2.152998E+04,5.632070E+03,1.110379E+00,3.463010E-01,9.905271E+03,5.645835E+03,4.619776E-01,3.471635E-01
04:15:00,2.153028E+04,5.700635E+03,1.110394E+00,3.505525E-01,9.905720E+03,5.691174E+03,4.619985E-01,3.499430E-01
04:30:00,2.153054E+04,5.758380E+03,1.110407E+00,3.541338E-01,9.906114E+03,5.729545E+03,4.620169E-01,3.522953E-01
04:45:00,2.153078E+04,5.807992E+03,1.110420E+00,3.572101E-01,9.906464E+03,5.762657E+03,4.620333E-01,3.543254E-01
05:00:00,2.153100E+04,5.864895E+03,1.110431E+00,3.607304E-01,9.906778E+03,5.791833E+03,4.620480E-01,3.561145E-01
05:15:00,2.016214E+04,1.158697E+04,1.039834E+00,8.690530E-01,8.010450E+03,7.162251E+03,3.736040E-01,4.742715E-01
05:30:00,1.879319E+04,1.769819E+04,9.692641E-01,1.516515E+00,6.113783E+03,7.940471E+03,2.851742E-01,5.664688E-01
05:45:00,1.742386E+04,2.349122E+04,8.986938E-01,2.139203E+00,4.215337E+03,8.495464E+03,1.966629E-01,6.412967E-01
06:00:00,1.605418E+04,2.914125E+04,8.281163E-01,2.748655E+00,2.315895E+03,8.944151E+03,1.081055E-01,7.074786E-01
06:15:00,1.605325E+04,2.904861E+04,8.281355E-01,2.846068E+00,2.312437E+03,7.979173E+03,1.079761E-01,6.515405E-01
06:30:00,1.605209E+04,2.851503E+04,8.281142E-01,2.799480E+00,2.308862E+03,7.556960E+03,1.078113E-01,6.176673E-01
06:45:00,1.605105E+04,2.826971E+04,8.280815E-01,2.775020E+00,2.306735E+03,7.324333E+03,1.077127E-01,5.985461E-01
07:00:00,1.605014E+04,2.813282E+04,8.280455E-01,2.761059E+00,2.305352E+03,7.174856E+03,1.076484E-01,5.862885E-01
07:15:00,1.604938E+04,2.806665E+04,8.280116E-01,2.754133E+00,2.319772E+03,7.065222E+03,1.083219E-01,5.773031E-01
07:30:00,1.604875E+04,2.805114E+04,8.279820E-01,2.752378E+00,2.334455E+03,6.996019E+03,1.090075E-01,5.716344E-01
07:45:00,1.604823E+04,2.806815E+04,8.279570E-01,2.753781E+00,2.349309E+03,6.955633E+03,1.097011E-01,5.683171E-01
08:00:00,1.604781E+04,2.811672E+04,8.279359E-01,2.758400E+00,2.364275E+03,6.936479E+03,1.103999E-01,5.667427E-01
08:15:00,1.604746E+04,2.817912E+04,8.279182E-01,2.764414E+00,2.363943E+03,6.946752E+03,1.103844E-01,5.675758E-01
