Time,PSZ-AC_1:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Heat Cap [W],PSZ-AC_1:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Heat Cap [W],PSZ-AC_1:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Heat Cap [W],PSZ-AC_2:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Heat Cap [W],PSZ-AC_2:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Tot Cool Cap [W]
00:15:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.604315E+04,3.144841E+00,2.991212E+04,1.011152E+05,7.055308E-02,4.296290E+03,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.257303E+03,6.346068E-01,6.036056E+03,2.040433E+04
00:30:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.655035E+04,3.144841E+00,2.940492E+04,9.920534E+04,7.055308E-02,4.296290E+03,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.268682E+03,6.305298E-01,5.895586E+03,1.989033E+04
00:45:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.705755E+04,3.144841E+00,2.889772E+04,9.730838E+04,7.055308E-02,4.296290E+03,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.280060E+03,6.264691E-01,5.756580E+03,1.938435E+04
01:00:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.756475E+04,3.144841E+00,2.839052E+04,9.542417E+04,7.055308E-02,4.296290E+03,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.291439E+03,6.224107E-01,5.618906E+03,1.888586E+04
01:15:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.790288E+04,3.144841E+00,2.805239E+04,9.417506E+04,7.775435E-02,4.734807E+03,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.299025E+03,5.292893E-01,4.721330E+03,1.585004E+04
01:30:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.824102E+04,3.144841E+00,2.771425E+04,9.293156E+04,1.390429E-01,8.466940E+03,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.306611E+03,4.566578E-01,4.024347E+03,1.349446E+04
01:45:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.857915E+04,3.144841E+00,2.737612E+04,9.169361E+04,2.000708E-01,1.218320E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.314197E+03,3.970885E-01,3.456691E+03,1.157784E+04
02:00:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.891728E+04,3.144841E+00,2.703799E+04,9.046119E+04,2.609732E-01,1.589182E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.321783E+03,3.444179E-01,2.961157E+03,9.907166E+03
02:15:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.917088E+04,3.144841E+00,2.678439E+04,8.954048E+04,2.612252E-01,1.590716E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.327472E+03,3.876988E-01,3.302004E+03,1.103863E+04
02:30:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.942448E+04,3.144841E+00,2.653079E+04,8.862286E+04,2.614513E-01,1.592093E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.333161E+03,4.144921E-01,3.496776E+03,1.168055E+04
02:45:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.967808E+04,3.144841E+00,2.627719E+04,8.770830E+04,2.616391E-01,1.593236E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.338851E+03,4.314417E-01,3.604976E+03,1.203273E+04
