Time,DINING:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DINING:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DINING:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DINING:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],KITCHEN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],KITCHEN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],KITCHEN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],KITCHEN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:15:00,1.115253E+04,2.510543E+04,5.755533E-01,2.468569E+00,7.784747E+01,6.470922E+03,3.665885E-03,5.288390E-01
00:30:00,1.151760E+04,2.503598E+04,5.943910E-01,2.461773E+00,1.478350E+02,6.429386E+03,6.934310E-03,5.254415E-01
00:45:00,1.188306E+04,2.496727E+04,6.132437E-01,2.455055E+00,2.237288E+02,6.388001E+03,1.047842E-02,5.220576E-01
01:00:00,1.224897E+04,2.489906E+04,6.321157E-01,2.448393E+00,3.029373E+02,6.346620E+03,1.417733E-02,5.186756E-01
01:15:00,1.225031E+04,1.956942E+04,6.321701E-01,1.890377E+00,1.387529E+03,5.611770E+03,6.479529E-02,4.410744E-01
01:30:00,1.225177E+04,1.413511E+04,6.322316E-01,1.326477E+00,2.481501E+03,5.154224E+03,1.158691E-01,3.805481E-01
01:45:00,1.225310E+04,9.011057E+03,6.322909E-01,7.820777E-01,3.570936E+03,4.869650E+03,1.667257E-01,3.309071E-01
02:00:00,1.225420E+04,4.044760E+03,6.323420E-01,2.479156E-01,4.658197E+03,4.675034E+03,2.174777E-01,2.870150E-01
02:15:00,1.225513E+04,4.473782E+03,6.323865E-01,2.743717E-01,4.663184E+03,5.258766E+03,2.176876E-01,3.230824E-01
02:30:00,1.225592E+04,5.101026E+03,6.324251E-01,3.130638E-01,4.667464E+03,5.617091E+03,2.178761E-01,3.454101E-01
02:45:00,1.225657E+04,5.491829E+03,6.324572E-01,3.373207E-01,4.670957E+03,5.843969E+03,2.180326E-01,3.595348E-01
