Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Humidifier:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,2145362778.4793678,0.0,126287464.97808255,350530781.5515637,74984400.0,407926009.7788609,117333098.90109866,396739862.2797197,155132440.38874615,2415343.755353352,498764992.96752718,15248383.878415956,3050070140.221728,2997412478.721008,20392811.859456,32264849.64126442,591615954.2227082,202783153.46490766,544918881.2365465,49026787.62680457,36615017.805022258,2386136942.5580308,219027810.09229619 
 01/01  02:00:00,2125919962.9168382,0.0,61623589.11079448,350530781.5515637,74984400.0,407926009.7788609,117333098.90109866,396739862.2797197,154334512.9534481,0.0,547334455.4418181,15113252.899534684,3527012524.2629749,3442143437.804227,20392811.859456,64476274.59929246,287751309.0319411,242662699.91609905,520254715.73434606,49026792.85492753,35827882.50687066,2722463736.9724628,105093693.50505935 
 01/01  03:00:00,2120250411.8030253,0.0,65136686.55350656,350530781.5515637,74984400.0,407926009.7788609,117333098.90109866,396739862.2797197,154420218.95020754,0.0,538085560.2200019,15093793.568066437,3480652381.5362637,3395783914.136771,20392811.859456,64475655.540036428,304438361.0052043,245111011.21980585,510416270.6122991,49027001.828284997,35719332.879753869,2685622079.578723,117611806.73161784 
 01/01  04:00:00,2118046771.026078,0.0,67563725.25852748,350530781.5515637,74984400.0,407926009.7788609,117333098.90109866,396739862.2797197,154489814.50553287,0.0,533386956.63792136,15092122.112853677,3474872651.091286,3390004801.688535,20392811.859456,64475037.54329533,315505081.2088611,251897794.57916767,500978264.5296704,49027186.10460166,35712237.08419418,2681217447.3337795,122500002.78689027 
 01/01  05:00:00,2232102332.952392,0.0,71217086.71324894,466682061.59458956,74984400.0,407926009.7788609,117333098.90109866,396739862.2797197,154377622.94010968,0.0,525436957.0465311,17405233.69823368,3416385191.5738255,3331517959.5811965,20392811.859456,64474420.13317311,332988222.3620099,244021682.2653413,520815991.4512152,49027347.10153257,45588254.84806439,2637879022.0549747,130317712.77136633 
 01/01  06:00:00,2237191271.067224,0.0,74438817.69718887,466682061.59458956,74984400.0,407926009.7788609,117333098.90109866,396739862.2797197,154387263.37551669,0.0,527442255.9342257,17257501.506024034,3427560845.737276,3312105012.7757627,50982029.64864,64473803.31287334,347594491.261279,246453907.25788117,524209910.8672806,49027484.82691462,44956956.28939344,2620076754.3463766,135388954.13955874 
 01/01  07:00:00,2590333991.3683607,0.0,75591592.15532825,582833341.6376149,74984400.0,636801372.8715168,117333098.90109866,396739862.2797197,153539791.9416611,0.0,535211274.344286,17299257.237134514,3283574407.776946,3117135079.018862,101964059.29728,64475269.46080451,352724772.24075618,201017080.0357039,638757599.4521262,49027594.610618557,46065605.863155458,2480716942.323086,136981839.0885095 
 01/01  08:00:00,2560720740.80686,0.0,80066282.62934132,582833341.6376149,18746100.0,663791564.0523169,117333098.90109866,396739862.2797197,153394419.6625375,0.0,531389215.0389613,16426856.605269865,3247337491.931965,3029918827.6382877,152946088.94592,64472575.34775786,373722014.75167718,196927413.8327425,687099702.4033457,49027673.671176869,42775944.10772368,2397674721.4599206,146246646.9006759 
 01/01  09:00:00,2867782319.721199,0.0,101150067.1410173,642985923.0816147,0.0,792155392.2367202,234666197.8021973,396739862.2797197,153289216.6604867,0.0,530143826.432088,16651834.08735516,3048753544.1462929,2747633493.8222148,203928118.59456,97191931.72951801,472851771.83858719,158259002.08309485,809648073.0526962,65324637.1494765,43282249.79968945,2179392746.6219198,183144433.37847055 
 01/01  10:00:00,2886184089.4835908,0.0,146354085.57258383,642985923.0816147,0.0,765165201.0559201,234666197.8021973,396739862.2797197,154196234.72882623,0.0,529329303.277153,16747281.685575612,2779418268.731998,2528757070.300925,152946088.94592,97715109.48515329,684843951.9953636,138547612.31111215,862806248.0547078,81621464.71051625,43858419.99616278,1999231128.135537,268176546.80975566 
 01/01  11:00:00,2945410650.536439,0.0,193322138.62388618,642985923.0816147,0.0,792155392.2367202,234666197.8021973,396739862.2797197,155040293.7032642,4825780.573748782,508997884.4247825,16677177.810505469,2681417386.210707,2295513103.9418957,254910148.24319998,130994134.02561172,906889094.8125277,123540720.36505682,921820904.8154752,97919775.0677091,43426306.885145,1811654321.6747704,355895136.9838822 
 01/01  12:00:00,2969726976.457837,0.0,235969424.01224388,642985923.0816147,0.0,792155392.2367202,234666197.8021973,396739862.2797197,155752090.05194909,12017184.619234683,478002983.79914227,21437918.575015457,2501725171.1129505,2115834607.8692375,254910148.24319998,130980415.00051299,1107786594.6143556,111555870.2828785,953155831.5350286,97919783.9267301,48814456.91473706,1671375030.369278,433934748.9519696 
 01/01  13:00:00,2980967567.86855,0.0,269606931.8175864,642985923.0816147,0.0,792155392.2367202,234666197.8021973,396739862.2797197,156349712.8695607,18722093.853101147,453171574.8229739,16569879.105075589,2422417850.4179308,2036541397.6837359,254910148.24319998,130966304.49099489,1266412742.1423462,105648999.6574854,952655549.2991741,97919768.47238869,42750540.32600425,1611412892.491501,494502693.07929328 
 01/01  14:00:00,2971199386.4406535,0.0,297140264.9750433,642985923.0816147,0.0,765165201.0559201,234666197.8021973,396739862.2797197,156828109.77802123,25168037.29825539,435608431.7302499,16897358.439631776,2310715211.2418787,1975834861.1531909,203928118.59456,130952231.49412744,1396388791.0458668,98066319.2318638,950595630.0359411,97919724.28962904,44713585.37558964,1563198817.533403,544961836.8949885 
 01/01  15:00:00,2972528911.39753,0.0,308560606.968065,642985923.0816147,0.0,765165201.0559201,234666197.8021973,396739862.2797197,156973980.40426875,28422278.26277596,422022229.3407915,16992632.20217692,2223797209.121296,1939912924.297019,152946088.94592,130938195.87835667,1450330357.1766337,91137078.56908605,956413969.3209201,97919651.14003486,45287655.96593314,1535889682.3380657,564228159.0654156 
 01/01  16:00:00,2955065128.428255,0.0,308500090.0021223,642985923.0816147,0.0,765165201.0559201,234666197.8021973,396739862.2797197,156960465.3982097,29501119.191602313,403632565.3505569,16913704.266311408,2243682511.5769999,1941491264.654405,203928118.59456,98263128.32803501,1450044439.2787584,90010442.13044919,956716205.7646483,97919230.22366363,44805167.1444131,1536354301.126642,563902021.8216989 
 01/01  17:00:00,2912715598.7910535,0.0,308597539.0028596,642985923.0816147,56238300.0,792155392.2367202,117333098.90109866,396739862.2797197,156956849.6144616,30003628.94938539,395711801.27763077,15993203.447562665,2375899065.785687,1938992242.3089133,305892177.89184,131014645.58493418,1450504844.7525726,90291034.95391079,963699606.0034959,97919739.60844738,40083821.58931181,1533773057.0155848,564123490.2060517 
 01/01  18:00:00,2734458846.375198,0.0,300238829.2254476,582833341.6376149,74984400.0,663791564.0523169,117333098.90109866,396739862.2797197,157093214.70307983,27805857.064532319,397558365.5626428,16080312.948744839,2493851749.6506025,2057701617.5479215,305892177.89184,130257954.21084118,1411020154.584489,110301279.69687087,908273338.2063192,81622262.3298355,40588942.28400752,1622640619.414507,547759173.3137983 
 01/01  19:00:00,2527805388.1158096,0.0,282629282.48917457,466682061.59458956,74984400.0,588435533.5237343,117333098.90109866,396739862.2797197,157233059.0250791,24154928.082958349,403517717.0330365,16095445.186419018,2565354176.8339035,2210425680.301371,305892177.89184,49036318.64069223,1327871700.688462,119139224.4138245,804803230.3208468,49026588.04813996,40677234.76267869,1737663535.0140782,514828325.5953353 
 01/01  20:00:00,2495806348.818743,0.0,288711641.6961589,466682061.59458956,74984400.0,561445342.3429346,117333098.90109866,396739862.2797197,157396544.97275014,26702563.124848714,387495447.3973445,18315386.50929813,2446972977.532383,2195349605.2959969,203928118.59456,47695253.64182663,1356586589.815668,121442822.35605899,780163631.7207656,49026668.81713881,50010807.25635035,1733932201.1154288,529391103.6115827 
 01/01  21:00:00,2361854500.282543,0.0,285718305.11685088,466682061.59458956,74984400.0,448411296.5500608,117333098.90109866,396739862.2797197,157657671.76098676,27165337.017357474,369054726.42658147,18107740.63529735,2543233947.814525,2274829780.268364,203928118.59456,64476048.9516013,1342454265.0109039,126379968.14450653,707203724.9032697,49026872.52226582,49030938.50922263,1793245318.6651469,520942016.1697883 
