Time,CAV_1:DesPer 1:Des Heat Mass Flow [kg/s],CAV_1:DesPer 1:Des Heat Cap [W],CAV_1:DesPer 1:Des Cool Mass Flow [kg/s],CAV_1:DesPer 1:Des Sens Cool Cap [W],CAV_1:DesPer 1:Des Tot Cool Cap [W],CAV_1:DesPer 2:Des Heat Mass Flow [kg/s],CAV_1:DesPer 2:Des Heat Cap [W],CAV_1:DesPer 2:Des Cool Mass Flow [kg/s],CAV_1:DesPer 2:Des Sens Cool Cap [W],CAV_1:DesPer 2:Des Tot Cool Cap [W],CAV_2:DesPer 1:Des Heat Mass Flow [kg/s],CAV_2:DesPer 1:Des Heat Cap [W],CAV_2:DesPer 1:Des Cool Mass Flow [kg/s],CAV_2:DesPer 1:Des Sens Cool Cap [W],CAV_2:DesPer 1:Des Tot Cool Cap [W],CAV_2:DesPer 2:Des Heat Mass Flow [kg/s],CAV_2:DesPer 2:Des Heat Cap [W],CAV_2:DesPer 2:Des Cool Mass Flow [kg/s],CAV_2:DesPer 2:Des Sens Cool Cap [W],CAV_2:DesPer 2:Des Tot Cool Cap [W],VAV_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_1:DesPer 1:Des Heat Cap [W],VAV_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_1:DesPer 1:Des Sens Cool Cap [W],VAV_1:DesPer 1:Des Tot Cool Cap [W],VAV_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_1:DesPer 2:Des Heat Cap [W],VAV_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_1:DesPer 2:Des Sens Cool Cap [W],VAV_1:DesPer 2:Des Tot Cool Cap [W],VAV_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_2:DesPer 1:Des Heat Cap [W],VAV_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_2:DesPer 1:Des Sens Cool Cap [W],VAV_2:DesPer 1:Des Tot Cool Cap [W],VAV_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_2:DesPer 2:Des Heat Cap [W],VAV_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_2:DesPer 2:Des Sens Cool Cap [W],VAV_2:DesPer 2:Des Tot Cool Cap [W]
00:15:00,5.724568E+00,1.758376E+05,1.795181E+01,4.960393E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.707218E+05,4.955020E+05,3.492279E+00,1.140366E+05,1.410469E+01,5.792981E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.127056E+05,3.217296E+05,7.422540E+00,2.314906E+05,1.083743E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.147934E+01,1.815404E+05,3.844672E+05,1.285272E+01,4.196499E+05,3.263934E+01,1.973599E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.335460E+01,5.611058E+05,9.665788E+05
00:30:00,5.731437E+00,1.758026E+05,1.795181E+01,4.960393E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.699352E+05,4.920236E+05,3.493088E+00,1.140416E+05,1.410469E+01,5.792997E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.122245E+05,3.196805E+05,7.432211E+00,2.315298E+05,1.083982E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.147262E+01,1.804261E+05,3.807632E+05,1.286470E+01,4.197032E+05,3.263934E+01,1.972127E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.333480E+01,5.589456E+05,9.601857E+05
00:45:00,5.737615E+00,1.757711E+05,1.795181E+01,4.960393E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.691487E+05,4.885694E+05,3.493817E+00,1.140461E+05,1.410469E+01,5.793009E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.117434E+05,3.176456E+05,7.441420E+00,2.315671E+05,1.084218E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.146660E+01,1.793256E+05,3.770758E+05,1.287623E+01,4.197543E+05,3.263934E+01,1.970718E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.332818E+01,5.570239E+05,9.541521E+05
01:00:00,5.743244E+00,1.757424E+05,1.795181E+01,4.960393E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.683622E+05,4.851236E+05,3.494483E+00,1.140501E+05,1.410469E+01,5.793018E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.112623E+05,3.156197E+05,7.450222E+00,2.316026E+05,1.084453E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.146112E+01,1.782361E+05,3.733997E+05,1.288734E+01,4.198035E+05,3.263934E+01,1.969363E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.332199E+01,5.551128E+05,9.481258E+05
01:15:00,5.748428E+00,1.757160E+05,1.795181E+01,4.960393E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.678387E+05,4.826484E+05,3.495098E+00,1.140539E+05,1.410469E+01,5.793025E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.109420E+05,3.141926E+05,7.458659E+00,2.316365E+05,1.084686E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.145640E+01,1.774888E+05,3.709456E+05,1.289805E+01,4.198507E+05,3.263934E+01,1.967677E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.331626E+01,5.538127E+05,9.443120E+05
01:30:00,5.753248E+00,1.756914E+05,1.795181E+01,4.960393E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.673151E+05,4.803608E+05,3.495672E+00,1.140574E+05,1.410469E+01,5.793029E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.106217E+05,3.128466E+05,7.466761E+00,2.316690E+05,1.084916E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.145233E+01,1.767536E+05,3.685322E+05,1.290839E+01,4.198963E+05,3.263934E+01,1.966032E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.331088E+01,5.525213E+05,9.405361E+05
01:45:00,5.757761E+00,1.756684E+05,1.795181E+01,4.960393E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.667912E+05,4.781459E+05,3.496212E+00,1.140607E+05,1.410469E+01,5.793033E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.103012E+05,3.115241E+05,7.474536E+00,2.317001E+05,1.085143E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.144886E+01,1.760295E+05,3.661398E+05,1.291835E+01,4.199400E+05,3.263934E+01,1.964423E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.330580E+01,5.512375E+05,9.367763E+05
02:00:00,5.762015E+00,1.756467E+05,1.795181E+01,4.960393E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.662672E+05,4.759603E+05,3.496722E+00,1.140638E+05,1.410469E+01,5.793036E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.099806E+05,3.102102E+05,7.482009E+00,2.317299E+05,1.085368E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.144594E+01,1.753159E+05,3.637606E+05,1.292794E+01,4.199820E+05,3.263934E+01,1.962850E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.330099E+01,5.499606E+05,9.330227E+05
02:15:00,5.766050E+00,1.756261E+05,1.795181E+01,4.960393E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.658745E+05,4.742616E+05,3.497208E+00,1.140668E+05,1.410469E+01,5.793038E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.097404E+05,3.091919E+05,7.489192E+00,2.317585E+05,1.085590E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.144329E+01,1.747714E+05,3.619769E+05,1.293720E+01,4.200225E+05,3.263934E+01,1.961306E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.329636E+01,5.489884E+05,9.303530E+05
02:30:00,5.769895E+00,1.756065E+05,1.795181E+01,4.960393E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.654817E+05,4.726611E+05,3.497671E+00,1.140696E+05,1.410469E+01,5.793040E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.095000E+05,3.082143E+05,7.496090E+00,2.317858E+05,1.085810E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.144091E+01,1.742320E+05,3.602104E+05,1.294614E+01,4.200615E+05,3.263934E+01,1.959791E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.329188E+01,5.480200E+05,9.276990E+05
02:45:00,5.773579E+00,1.755877E+05,1.795181E+01,4.960393E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.650887E+05,4.710997E+05,3.498115E+00,1.140723E+05,1.410469E+01,5.793041E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.092596E+05,3.072488E+05,7.502710E+00,2.318119E+05,1.086027E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.143876E+01,1.736973E+05,3.584516E+05,1.295779E+01,4.201122E+05,3.263934E+01,1.958300E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.328756E+01,5.470550E+05,9.250488E+05
03:00:00,5.777119E+00,1.755697E+05,1.795181E+01,4.960393E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.646957E+05,4.695538E+05,3.498542E+00,1.140749E+05,1.410469E+01,5.793042E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.090191E+05,3.062879E+05,7.509007E+00,2.318367E+05,1.086242E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.143686E+01,1.731673E+05,3.566965E+05,1.296924E+01,4.201619E+05,3.263934E+01,1.956832E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.328337E+01,5.460933E+05,9.223967E+05
03:15:00,5.780526E+00,1.755523E+05,1.795181E+01,4.960393E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.643025E+05,4.680142E+05,3.498953E+00,1.140774E+05,1.410469E+01,5.793042E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.087786E+05,3.053297E+05,7.515008E+00,2.318603E+05,1.086455E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.143492E+01,1.726371E+05,3.549367E+05,1.298033E+01,4.202100E+05,3.263934E+01,1.955384E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.327925E+01,5.451337E+05,9.197380E+05
