Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,254214580.94044949,0.0,0.0,85725350.6868,37868400.0,105272514.0,18415475.31740599,1118138.1201609937,5814702.816082453,640969105.3436459,629356657.3436459,11540448.000000002,72000.0,281970320.9584236,8866689.611825994,2864062.7950066116,15465825.536444359,432370658.4057377,0.0 
 01/01  02:00:00,254220339.77010534,0.0,0.0,85725350.6868,37868400.0,105272514.0,18326683.410772943,1357996.0142832637,5669395.658249114,645712676.1786609,634100228.1786609,11540448.000000002,72000.0,307417497.82998189,5683406.172059003,2864062.8157014737,14617185.548155029,468310771.8316666,0.0 
 01/01  03:00:00,257654138.7304991,0.0,0.0,85725350.6868,37868400.0,105272514.0,21188709.680526657,2086073.2491482464,5513091.114024184,867257889.7486599,845074066.386482,11540448.000000002,10643375.362177965,406535695.1041595,6134358.23799452,2864062.810968709,13707175.111422342,605596189.1304399,0.0 
 01/01  04:00:00,253823217.63876755,0.0,0.0,85725350.6868,37868400.0,105272514.0,18124134.88452458,1381372.0646639998,5451446.002778914,642678708.5901847,631066260.5901848,11540448.000000002,72000.0,312683062.09380128,4156459.192488151,2864062.8166791738,13347628.352897572,469231572.84005346,0.0 
 01/01  05:00:00,258605124.5916193,0.0,0.0,85725350.6868,37868400.0,105272514.0,21350748.501525348,2190093.172096653,6198018.2311972719,884994974.0281953,862810701.0514009,11540448.000000002,10643824.97679431,420015022.10912486,5004365.504074787,2864062.805462281,16497266.112173435,618033447.9603385,0.0 
 01/01  06:00:00,254808573.1408673,0.0,0.0,85725350.6868,37868400.0,105272514.0,18367193.116022618,1451056.7926375499,6124058.545407083,658260511.432978,646648063.432978,11540448.000000002,72000.0,324149756.3175217,3815510.2331438309,2864062.816630011,16142244.251866546,480530653.6718126,0.0 
 01/01  07:00:00,258849032.05848439,0.0,0.0,85725350.6868,37868400.0,105272514.0,21512787.322524039,2296012.58751175,6173967.461648568,906367115.5362496,884182929.4321189,11540448.000000002,10643738.104130796,435012407.6020263,4151614.2733187426,2864062.8164112034,16731236.217300736,633685310.9074227,0.0 
 01/01  08:00:00,226473108.85247929,0.0,0.0,85725350.6868,12622800.0,105272514.0,16176064.794255466,752782.2666717216,5923597.104752082,442928423.0957883,431315975.0957883,11540448.000000002,72000.0,194922813.3130365,3918135.86181907,2864062.8129658268,15850910.494812424,338442328.5741136,0.0 
 01/01  09:00:00,215190134.18222506,0.0,0.0,85725350.6868,0.0,105272514.0,17288965.261703604,826496.1163319456,6076808.117389487,535969524.4497374,513778580.99352946,11540448.000000002,10650495.456208008,196679710.27859438,5381025.374041355,4773437.856695065,16727286.32820094,372812275.52117058,0.0 
 01/01  10:00:00,210842612.9990827,0.0,0.0,85725350.6868,0.0,105272514.0,13244949.063139735,329369.9366743554,6270429.312468628,293893515.00031509,282281067.00031509,11540448.000000002,72000.0,91039937.50483535,12636811.619257816,4773437.836483273,17848338.861096868,216456595.39116148,0.0 
 01/01  11:00:00,214203295.73910869,0.0,0.0,85725350.6868,0.0,105272514.0,16556186.328924669,330290.9763687048,6318953.747015298,329215933.6614983,307025384.77529087,11540448.000000002,10650100.886207464,96147855.1786122,32677346.471794897,4773437.8422168749,18110431.666757257,227835269.99793,0.0 
 01/01  12:00:00,213326540.24935029,0.0,0.0,85725350.6868,0.0,105272514.0,13132773.204926236,159706.79830365635,9036195.559320352,212260926.68925715,190070345.84328337,11540448.000000002,10650132.84597377,55570459.39587511,29948492.566785516,4773438.018320916,21321741.3676611,151083534.1376775,0.0 
 01/01  13:00:00,212929538.90346004,0.0,0.0,85725350.6868,0.0,105272514.0,15434427.746789657,161374.88125527954,6335871.588615052,225795106.3672703,214182658.3672703,11540448.000000002,72000.0,57181907.45087298,31032615.54722273,4773438.003116304,18180442.08504194,168675877.41372327,0.0 
 01/01  14:00:00,208569666.99507935,0.0,0.0,85725350.6868,0.0,105272514.0,11001431.89886971,85557.97089403888,6484812.4385156319,164068034.40412215,141877136.48131038,11540448.000000002,10650449.922811753,31451799.75740984,18359219.14555937,4773437.878994153,19070362.329575927,112777893.33936566,0.0 
 01/01  15:00:00,210391373.89385674,0.0,0.0,85725350.6868,0.0,105272514.0,12760445.1027074,96697.48936984773,6536366.61497951,168041791.63213004,156429343.63213004,11540448.000000002,72000.0,34297433.01766025,22670867.029782066,2864062.814529279,19378329.50254952,123469907.5916031,0.0 
 01/01  16:00:00,208072550.5714069,0.0,0.0,85725350.6868,0.0,105272514.0,10505759.513429841,74335.39767019019,6494590.973506843,151079997.33704836,128896110.7943945,11540448.000000002,10643438.54265387,26007429.842195788,16665836.04454834,2864062.7968156936,19127373.102608526,100888905.53165543,0.0 
 01/01  17:00:00,235258437.49311359,0.0,0.0,85725350.6868,25245600.0,105272514.0,12760445.1027074,108468.84215142946,6146058.861454768,181325403.1219871,169712955.1219871,11540448.000000002,72000.0,36496598.75474702,16288404.666915253,2864062.81581612,17035784.901322165,130418955.83994937,0.0 
 01/01  18:00:00,246041186.1972361,0.0,0.0,85725350.6868,37868400.0,105272514.0,10926418.98173047,100749.7418588155,6147752.786846817,175475582.34279118,153291495.6478038,11540448.000000002,10643638.694987348,31551593.519472269,9657055.8511722,2864062.782039719,17045711.528950234,116867164.18824278,0.0 
 01/01  19:00:00,251182231.7411866,0.0,0.0,85725350.6868,37868400.0,105272514.0,15995307.037857164,173572.40907856558,6147087.607450858,254093593.052202,242481145.052202,11540448.000000002,72000.0,52664463.89671123,11631755.913375292,2864062.816216859,17041813.489402243,180657967.17064823,0.0 
 01/01  20:00:00,248747690.24450935,0.0,0.0,85725350.6868,37868400.0,105272514.0,12824289.594839106,139414.46550623736,6917721.497363935,215131424.08053369,192947176.74008487,11540448.000000002,10643799.340448818,42186578.25696044,8270756.762317805,2864062.814818828,20331050.677184587,144080771.2274127,0.0 
 01/01  21:00:00,251777135.95339323,0.0,0.0,85725350.6868,37868400.0,105272514.0,15855087.215090286,186816.9980158594,6868967.0534870619,262077470.9360572,250465022.9360572,11540448.000000002,72000.0,58554674.63730052,9960391.723240823,2864062.8055216127,20123878.428961167,184313300.11847533,0.0 
 01/01  22:00:00,248967596.41603739,0.0,0.0,85725350.6868,37868400.0,105272514.0,13244949.063139735,418121.89114128387,6438260.774956359,379997669.3314946,357813462.8746699,11540448.000000002,10643758.45682471,130349149.51224527,8838270.116239232,2864062.814091917,18238804.867820637,233434762.49052505,0.0 
 01/01  23:00:00,251935772.21289469,0.0,0.0,85725350.6868,37868400.0,105272514.0,16556186.328924669,660927.5255756495,5852393.671594381,469984097.33327236,458371649.33327236,11540448.000000002,72000.0,185744277.30306814,10907515.495759096,2864062.7899726175,15688531.259187673,314970022.3615254,0.0 
 01/01  24:00:00,251114113.6005043,0.0,0.0,85725350.6868,37868400.0,105272514.0,13244949.063139735,491943.8062726766,8510956.044291895,349479896.2720613,337867448.2720613,11540448.000000002,72000.0,147231553.82880027,8564436.95655521,2864062.815305516,18683737.68458513,251551005.1498555,0.0 
 01/02  01:00:00,254328973.7637837,0.0,0.0,85725350.6868,37868400.0,105272514.0,18754523.127261469,878576.1865971193,5829609.763125082,540571997.9466606,518381112.4388158,11540448.000000002,10650437.507844793,226231007.67141543,10558787.132786349,4782611.352640476,15554358.143267677,360582377.47106209,0.0 
 01/02  02:00:00,250505999.35623429,0.0,0.0,85725350.6868,37868400.0,105272514.0,15150174.28836496,664947.1695562303,5824613.21151305,406827428.6331313,384637272.8140032,11540448.000000002,10649707.81912809,179354310.00579573,7907271.1895189429,4782611.618977861,15524543.03664891,288430849.8594973,0.0 
 01/02  03:00:00,254467670.5704426,0.0,0.0,85725350.6868,37868400.0,105272514.0,18754523.127261469,1026723.1633217314,5820159.593059359,547269027.5343179,535656579.53431788,11540448.000000002,72000.0,241520622.86384288,9588711.440680147,4782611.75000715,15498400.242424565,377404725.3091154,0.0 
 01/02  04:00:00,250813678.9351008,0.0,0.0,85725350.6868,37868400.0,105272514.0,15443285.861476534,686107.837301704,5818020.5495225139,407851000.931299,385660798.3919976,11540448.000000002,10649754.53930137,183395608.04213105,7069951.31756448,4782611.686938683,15485557.020930646,291863727.0052154,0.0 
 01/02  05:00:00,255010555.5644279,0.0,0.0,85725350.6868,37868400.0,105272514.0,18607967.34070568,946559.6071688853,6589763.929753324,527441995.2355218,505251994.792433,11540448.000000002,10649552.443088806,229533545.68991787,8894863.184964065,4782611.632141279,18781437.61221319,360042824.0346381,0.0 
 01/02  06:00:00,251407292.25647504,0.0,0.0,85725350.6868,37868400.0,105272514.0,15443285.861476534,553546.4567451519,6544195.251453285,358550927.9685862,346938479.9685862,11540448.000000002,72000.0,163279309.01313374,6849548.618937838,4782611.647221939,18593054.288022799,264538434.95462079,0.0 
 01/02  07:00:00,274433471.28302469,0.0,17017.214535760435,85725350.6868,37868400.0,107346114.0,26694679.506363565,10444979.050592997,6336930.824732359,2306361125.143859,2284170219.1322066,11540448.000000002,10650458.01165277,855751987.169629,24605172.453343825,4782611.685252354,17694086.331242119,1589353544.1696923,142412.7006756721 
 01/02  08:00:00,593016485.0129608,0.0,4656.073733194962,435154064.4,12622800.0,107346114.0,26694679.506363565,4262250.125631139,6931920.907232735,1706800318.5678945,1684593304.984995,11540448.000000002,10666565.582899785,515064642.2760542,32778186.13373843,9565216.3352851,17879106.254188405,1266055141.4896789,41007.43861956515 
 01/02  09:00:00,740979751.4932309,0.0,20120.906137727376,435154064.4,0.0,270330255.0,26694679.506363565,1693549.9030867189,7087081.777642719,1243805923.9707943,1114484113.5961185,86553360.0,42768450.37467571,103501277.77826114,51862667.11239681,32521686.326276266,18782893.991805834,829820261.5008307,168228.1818766061 
