Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,632675755.743779,0.0,0.0,189733389.44400008,78746400.0,189143078.4,159997955.36572439,3200268.1999966895,11854664.334057847,1525627494.951042,1508152158.951042,17403336.0,72000.0,0.0,909514515.7369566,8224293.507786091,4298454.810337604,31197750.737111216,1041236750.1839355,0.0 
 01/01  02:00:00,621134480.4970585,0.0,0.0,189733389.44400008,78746400.0,189143078.4,148087816.87041439,3642799.9606129236,11780995.822031094,1462925809.7474173,1445450473.7474173,17403336.0,72000.0,0.0,929821183.7662034,6701962.232438294,4298454.810699973,30762348.519987763,1061650189.2169525,0.0 
 01/01  03:00:00,645127240.7009616,0.0,0.0,189733389.44400008,78746400.0,189143078.4,170141321.02350185,5617239.9990962189,11745811.834363614,1986173377.2591058,1968698041.259106,17403336.0,72000.0,0.0,1239985095.9532824,8366925.631789681,4298454.8112454139,30556295.169144699,1406640358.8153158,0.0 
 01/01  04:00:00,641101213.2570024,0.0,0.0,189733389.44400008,78746400.0,189143078.4,168045750.28976924,3701565.5149303807,11731029.608302826,1481482656.5411282,1464007320.5411282,17403336.0,72000.0,0.0,963086069.9693618,6630576.367844377,4298454.811161852,30469557.923800034,1079844136.6356245,0.0 
 01/01  05:00:00,670792768.4766004,0.0,0.0,189733389.44400008,78746400.0,189143078.4,194090841.12672765,5817887.431048495,13261172.07482414,2052331998.0695196,2003126452.2967115,17403336.0,31802209.772807965,0.0,1282941212.7818785,8292014.870320872,4298454.811159729,36982610.73355373,1431244918.9870005,0.0 
 01/01  06:00:00,610730695.7296462,0.0,0.0,189733389.44400008,78746400.0,189143078.4,136113056.81880147,3838627.3525712147,13156143.714273433,1492806249.5556865,1475330913.5556865,17403336.0,72000.0,0.0,962709703.0211353,6572712.865258843,4298454.810032281,36523927.2567452,1086762221.9583688,0.0 
 01/01  07:00:00,671682762.5563229,0.0,0.0,189733389.44400008,78746400.0,189143078.4,194764173.29765309,6053749.272882808,13241972.141787027,2081450153.7409032,2063974817.7409032,17403336.0,72000.0,0.0,1326027002.2538889,8226728.10198793,4298454.8109174449,37619947.10351746,1476197351.9630798,547.1374241862019 
 01/01  08:00:00,508270778.3830769,0.0,0.0,189733389.44400008,26248800.0,189143078.4,88588090.04064176,2062300.7100805075,12495119.788354595,985540715.9280746,968065379.9280746,17403336.0,72000.0,0.0,594046958.8607572,7948317.147768609,4298454.811265977,34371746.29938792,751865824.9639531,0.0 
 01/01  09:00:00,477476907.11695447,0.0,0.0,189733389.44400008,0.0,189143078.4,83286734.30452268,2605342.223492378,12708362.744939397,1038453066.1414092,1020977730.1414092,17403336.0,72000.0,0.0,647268604.1953528,13772427.289129682,7164091.348344685,35595362.641287628,708309278.9991284,0.0 
 01/01  10:00:00,456849724.39283379,0.0,0.0,189733389.44400008,0.0,189143078.4,63712770.74665302,1250915.6411509126,13009570.16102982,596844223.3962873,547609294.8497787,17403336.0,31831592.546508608,0.0,371143905.67983958,19571012.274590728,7164091.29598635,37348117.83592518,415283601.5393672,273.17488780692869 
 01/01  11:00:00,470637617.9644361,0.0,0.0,189733389.44400008,0.0,189143078.4,77281935.22253567,1453814.904765613,13025399.993134726,660775217.1294916,643299881.1294916,17403336.0,72000.0,0.0,387462795.5376059,38029744.065519679,7164091.351341062,37409417.391800109,439515064.00340428,0.0 
 01/01  12:00:00,448736962.7363666,0.0,0.0,189733389.44400008,0.0,189143078.4,52561001.02296286,779136.7473871198,16520357.122016563,384382377.4928227,366907041.4928227,17403336.0,72000.0,0.0,236278968.63745169,39917702.14948107,7164091.348494733,40554095.26744419,282279803.9794161,0.0 
 01/01  13:00:00,464763149.05884549,0.0,0.0,189733389.44400008,0.0,189143078.4,71943918.64583236,1041806.2519594046,12900956.317053635,558184858.0932599,508949674.45771017,17403336.0,31831847.635549718,0.0,298082428.72733989,37761863.59587841,7164091.3378154509,36646093.27343688,362476426.9603485,0.0 
 01/01  14:00:00,451060969.06057175,0.0,0.0,189733389.44400008,0.0,189143078.4,58374754.16994972,640463.8505086678,13169283.196113287,359233350.19346466,341758014.19346466,17403336.0,72000.0,0.0,213285627.76435448,27930869.65812489,7164091.342501125,38255339.53837926,266409577.49004085,0.0 
 01/01  15:00:00,455050818.29712197,0.0,0.0,189733389.44400008,0.0,189143078.4,62125713.932709638,795104.0694390189,13253532.4509732,473585234.1951063,456109898.1951063,17403336.0,72000.0,0.0,258797398.79139448,34740077.520883258,4298454.811244717,38761337.29526735,331386718.76401928,0.0 
 01/01  16:00:00,446558330.37873807,0.0,0.0,189733389.44400008,0.0,189143078.4,53958248.01186365,564908.3844613746,13158706.138412876,366670121.48609647,349194785.48609647,17403336.0,72000.0,0.0,205476144.913341,26866774.05832058,4298454.810875342,38193356.5763873,262940798.86626215,0.0 
 01/01  17:00:00,512169909.6375231,0.0,0.0,189733389.44400008,52497600.0,189143078.4,67527412.4877463,816191.2073711541,12452238.098405533,548913463.2257145,499707865.5734801,17403336.0,31802261.652234284,0.0,275252666.93952557,33032863.19711548,4298454.810092341,33955072.56447588,348993118.2745944,0.0 
 01/01  18:00:00,534233254.1046363,0.0,0.0,189733389.44400008,78746400.0,189143078.4,63553565.80081957,608339.3602458953,12448481.099570698,404805196.2512517,387329860.2512517,17403336.0,72000.0,0.0,233584830.48150299,25690390.510057779,4298454.809167974,33933056.052646297,283636120.2606035,0.0 
