Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,80428604.659737,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,12504807.185577009,398503244.13135066,398503244.13135066,324041841.119815,0.0,315926141.15851989,0.0 
 01/01  02:00:00,80907045.12075667,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,12983247.646596682,413362859.76386937,413362859.76386937,336555492.8210274,0.0,327759154.79832246,0.0 
 01/01  03:00:00,85415123.23927957,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,17491325.765119576,560663254.5199375,560663254.5199375,453679480.4142153,0.0,444564766.6479595,0.0 
 01/01  04:00:00,81161717.3470992,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,13237919.872939196,421139427.3358897,421139427.3358897,342973781.06928279,0.0,333943816.6169188,0.0 
 01/01  05:00:00,85817461.56806018,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,17893664.093900175,573767355.8224113,573767355.8224113,464334782.61914977,0.0,454974935.3059048,0.0 
 01/01  06:00:00,81389580.50658494,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,13465783.032424951,428574154.0460313,428574154.0460313,349018059.0866742,0.0,339844952.9341167,0.0 
 01/01  07:00:00,86200363.82885784,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,18276566.354697858,586404518.1840997,586404518.1840997,474585703.941178,0.0,464999343.64963868,0.0 
 01/01  08:00:00,49116274.89374909,0.0,0.0,14473678.14936,16198800.0,4853719.3248000009,13590077.419589099,432735718.1276739,432735718.1276739,352383012.5925557,0.0,343145092.0120281,0.0 
 01/01  09:00:00,92142947.83213502,0.0,0.0,28947356.29872,0.0,9707438.649600001,53488152.88381505,1325643685.3159598,1325643685.3159598,687330700.423217,0.0,1051613141.1929646,0.0 
 01/01  10:00:00,92142947.83213502,0.0,0.0,28947356.29872,0.0,9707438.649600001,53488152.88381505,994554915.3961145,994554915.3961145,454695635.1801645,0.0,788891621.1818117,0.0 
