Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,77598898.35644445,1325263.77505573,0.0,13347692.9325,35982000.0,6462622.566179999,20481319.082708729,422072810.2101943,422072810.2101943,346525782.8194622,0.0,330542055.7390073,0.0 
 01/01  02:00:00,79384523.71541837,1839402.0805735444,0.0,13347692.9325,35982000.0,6462622.566179999,21752806.13616484,446794038.2857187,446794038.2857187,367848534.1929033,0.0,350338751.9434341,0.0 
 01/01  03:00:00,87584488.1693473,2074913.3401518444,0.0,13347692.9325,35982000.0,6462622.566179999,29717259.330515468,612273480.6416112,612273480.6416112,500796848.0740648,0.0,479648228.2406086,0.0 
 01/01  04:00:00,80480490.22127745,2219342.1608960258,0.0,13347692.9325,35982000.0,6462622.566179999,22468832.561701433,460830869.0550903,460830869.0550903,379843021.5386827,0.0,361667420.0238665,0.0 
 01/01  05:00:00,88492996.57298753,2309880.487840459,0.0,13347692.9325,35982000.0,6462622.566179999,30390800.586467074,625712110.3817613,625712110.3817613,512119200.1192168,0.0,490365326.5856142,0.0 
 01/01  06:00:00,80943491.94658809,2367572.912344242,0.0,13347692.9325,35982000.0,6462622.566179999,22783603.535563854,467070235.6159475,467070235.6159475,385154547.6389917,0.0,366682356.6927834,0.0 
 01/01  07:00:00,89086099.27915335,2426622.1381719915,0.0,13347692.9325,35982000.0,6462622.566179999,30867161.642301356,635319764.0692182,635319764.0692182,520145628.2351521,0.0,497976038.1121623,0.0 
 01/01  08:00:00,56986444.34378935,2270961.649418843,0.0,13347692.9325,11994000.0,6462622.566179999,22911167.195690507,469270757.60253468,469270757.60253468,386864892.8547874,0.0,368302152.5793959,0.0 
 01/01  09:00:00,136206071.77957816,7579963.086903177,0.0,26695385.865,0.0,12925245.132359999,89005477.69531496,1382000271.2182048,1382000271.2182048,752146437.6757368,0.0,1085540174.6371029,0.0 
 01/01  10:00:00,132431680.38775382,3805571.695078872,0.0,26695385.865,0.0,12925245.132359999,89005477.69531496,1012864733.1559795,1012864733.1559795,499940278.5348172,0.0,793840063.556743,0.0 
 01/01  11:00:00,223436733.26594,1799221.8459050123,0.0,106781543.46,0.0,25850490.264719998,89005477.69531496,826639828.6401663,826639828.6401663,378098562.5484406,0.0,646578288.1852348,0.0 
 01/01  12:00:00,222553831.76805736,916320.3480223792,0.0,106781543.46,0.0,25850490.264719998,89005477.69531496,721483752.1505393,721483752.1505393,317780620.76326778,0.0,563673647.025443,0.0 
 01/01  13:00:00,284936395.5262376,1291282.2879626486,0.0,160172315.18999998,0.0,34467320.35296,89005477.69531496,611809973.7238221,611809973.7238221,250574958.04687885,0.0,478503061.792544,0.0 
 01/01  14:00:00,285503955.2330538,1858841.994778843,0.0,160172315.18999998,0.0,34467320.35296,89005477.69531496,557031917.9039375,557031917.9039375,223079333.8961362,0.0,436343737.9598502,0.0 
 01/01  15:00:00,285747457.03417506,2102343.7959000847,0.0,160172315.18999998,0.0,34467320.35296,89005477.69531496,528639045.98204788,528639045.98204788,207259742.65965844,0.0,414440799.6618974,0.0 
 01/01  16:00:00,286079822.12067416,2434708.8823991857,0.0,160172315.18999998,0.0,34467320.35296,89005477.69531496,521842772.7679611,521842772.7679611,202209623.64960347,0.0,409472071.6414089,0.0 
 01/01  17:00:00,310434051.41939958,2800938.181124635,0.0,160172315.18999998,23988000.0,34467320.35296,89005477.69531496,522217084.87607648,522217084.87607648,202832355.96081148,0.0,410130264.3844644,0.0 
 01/01  18:00:00,259377917.45115418,1758406.0311192107,0.0,106781543.46,35982000.0,25850490.264719998,89005477.69531496,837823026.2666861,837823026.2666861,443296597.6417586,0.0,655260366.5191344,0.0 
 01/01  19:00:00,197835013.44894598,2223103.84715099,0.0,53390771.73,35982000.0,17233660.17648,89005477.69531496,909335527.0669502,909335527.0669502,492268650.25981679,0.0,711504814.9593723,0.0 
 01/01  20:00:00,58609251.68860327,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,2816936.1899232778,64351882.37722643,64351882.37722643,52420707.40533762,0.0,50194468.25423661,0.0 
 01/01  21:00:00,64621078.08702353,22804.932951854356,0.0,13347692.9325,35982000.0,6462622.566179999,8805957.655391667,185398678.58317263,185398678.58317263,152213825.01249189,0.0,144633774.22782649,0.0 
 01/01  22:00:00,66523589.68622874,380357.5995332401,0.0,13347692.9325,35982000.0,6462622.566179999,10350916.588015497,214215946.9640772,214215946.9640772,175664315.7432238,0.0,167468796.2315135,0.0 
 01/01  23:00:00,68045256.15419545,660436.5264537014,0.0,13347692.9325,35982000.0,6462622.566179999,11592504.129061746,241682518.7674852,241682518.7674852,198917666.6647049,0.0,189172801.1650922,0.0 
 01/01  24:00:00,69246498.28576613,847004.1067287909,0.0,13347692.9325,35982000.0,6462622.566179999,12607178.680357337,259875237.25591756,259875237.25591756,213235179.79105283,0.0,203549689.16634447,0.0 
 01/02  01:00:00,73604219.51223752,1048631.786715601,0.0,13347692.9325,35982000.0,8616830.08824,14609064.70478193,303263466.5039152,303263466.5039152,249420195.30953569,0.0,237594135.65976946,0.0 
 01/02  02:00:00,74649346.54637075,1193617.3684460326,0.0,13347692.9325,35982000.0,8616830.08824,15509206.157184724,318698839.6108776,318698839.6108776,261121259.37948299,0.0,249778712.26493056,0.0 
 01/02  03:00:00,75044624.36029664,1292889.6649029325,0.0,13347692.9325,35982000.0,8616830.08824,15805211.674653708,327654913.331002,327654913.331002,269409087.1049292,0.0,256863722.0630845,0.0 
 01/02  04:00:00,75457555.99849476,1352417.7816351359,0.0,13347692.9325,35982000.0,8616830.08824,16158615.196119633,331083969.67944827,331083969.67944827,271371627.98228099,0.0,259597914.1316048,0.0 
 01/02  05:00:00,74385654.06799412,1331037.019356385,0.0,13347692.9325,35982000.0,8616830.08824,15108094.027897738,312923978.0022393,312923978.0022393,257469897.67078353,0.0,245411739.861103,0.0 
 01/02  06:00:00,73746311.93263723,1291534.874063811,0.0,13347692.9325,35982000.0,8616830.08824,14508254.03783342,297166335.7725184,297166335.7725184,244043913.31292299,0.0,233081276.7766282,0.0 
 01/02  07:00:00,154384284.8176472,7432284.101592255,0.0,13347692.9325,35982000.0,8616830.08824,89005477.69531496,1029821649.5049069,1029821649.5049069,600701240.5036078,0.0,810693170.7154195,0.0 
 01/02  08:00:00,177041442.38259299,5417532.780798016,0.0,53390771.73,11994000.0,17233660.17648,89005477.69531496,783658722.2191668,783658722.2191668,416005014.2528142,0.0,616671336.1117482,0.0 
 01/02  09:00:00,257065619.50708667,4424307.177931704,0.0,133476929.325,0.0,30158905.30883999,89005477.69531496,666263881.438393,666263881.438393,328099520.62631949,0.0,524110134.69987818,0.0 
 01/02  10:00:00,371350239.8558478,3310553.9784527898,0.0,240258472.78500004,0.0,38775735.39708,89005477.69531496,523598566.8261622,523598566.8261622,223723962.73624323,0.0,411717436.1028593,0.0 
 01/02  11:00:00,370687343.02563497,2647657.1482399546,0.0,240258472.78500004,0.0,38775735.39708,89005477.69531496,449236021.67657807,449236021.67657807,177016151.1790444,0.0,353051754.05597087,0.0 
