Date/Time,BACK_SPACE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BACK_SPACE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,77598898.35644445,1325263.77505573,0.0,13347692.9325,35982000.0,6462622.566179999,20481319.082708729,422072810.2101943,422072810.2101943,346525782.8194622,0.0,330542055.7390073,0.0,91389548.32202772,0.0,172857075.51356397,0.0,42101222.61625657,0.0,43308763.70958331,0.0 
 01/01  02:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,79384523.71541837,1839402.0805735444,0.0,13347692.9325,35982000.0,6462622.566179999,21752806.13616484,446794038.2857187,446794038.2857187,367848534.1929033,0.0,350338751.9434341,0.0,93987538.34895344,0.0,188370543.20804618,0.0,43531158.264923397,0.0,44321415.29187662,0.0 
 01/01  03:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,87584488.1693473,2074913.3401518444,0.0,13347692.9325,35982000.0,6462622.566179999,29717259.330515468,612273480.6416112,612273480.6416112,500796848.0740648,0.0,479648228.2406086,0.0,129134732.26884616,0.0,258737961.74331857,0.0,59086704.32751201,0.0,60289675.00606671,0.0 
 01/01  04:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,80480490.22127745,2219342.1608960258,0.0,13347692.9325,35982000.0,6462622.566179999,22468832.561701433,460830869.0550903,460830869.0550903,379843021.5386827,0.0,361667420.0238665,0.0,96880630.78835798,0.0,195212850.39855413,0.0,44420501.23716559,0.0,45361427.11536907,0.0 
 01/01  05:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,88492996.57298753,2309880.487840459,0.0,13347692.9325,35982000.0,6462622.566179999,30390800.586467074,625712110.3817613,625712110.3817613,512119200.1192168,0.0,490365326.5856142,0.0,130361807.31654963,0.0,267170748.98537556,0.0,59822201.691538918,0.0,61049987.80554739,0.0 
 01/01  06:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,80943491.94658809,2367572.912344242,0.0,13347692.9325,35982000.0,6462622.566179999,22783603.535563854,467070235.6159475,467070235.6159475,385154547.6389917,0.0,366682356.6927834,0.0,97266218.7674559,0.0,199378916.75019057,0.0,44735759.39393217,0.0,45675991.51919851,0.0 
 01/01  07:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,89086099.27915335,2426622.1381719915,0.0,13347692.9325,35982000.0,6462622.566179999,30867161.642301356,635319764.0692182,635319764.0692182,520145628.2351521,0.0,497976038.1121623,0.0,131164418.5640344,0.0,273283808.20648279,0.0,60352615.57231733,0.0,61574234.38822994,0.0 
 01/01  08:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,56986444.34378935,2270961.649418843,0.0,13347692.9325,11994000.0,6462622.566179999,22911167.195690507,469270757.60253468,469270757.60253468,386864892.8547874,0.0,368302152.5793959,0.0,97418635.39660396,0.0,201633524.98024328,0.0,44451947.139886308,0.0,45396749.72370949,0.0 
 01/01  09:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,136206071.77957816,7579963.086903177,0.0,26695385.865,0.0,12925245.132359999,89005477.69531496,1382000271.2182048,1382000271.2182048,752146437.6757368,0.0,1085540174.6371029,0.0,216087274.38222159,0.0,746606269.0619145,0.0,101053006.48509814,0.0,103177638.43105333,0.0 
 01/01  10:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,132431680.38775382,3805571.695078872,0.0,26695385.865,0.0,12925245.132359999,89005477.69531496,1012864733.1559795,1012864733.1559795,499940278.5348172,0.0,793840063.556743,0.0,159378693.78785805,0.0,582343342.414442,0.0,67868428.22835136,0.0,69408004.24110048,0.0 
 01/01  11:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,223436733.26594,1799221.8459050123,0.0,106781543.46,0.0,25850490.264719998,89005477.69531496,826639828.6401663,826639828.6401663,378098562.5484406,0.0,646578288.1852348,0.0,136293154.47719235,0.0,493969438.06342688,0.0,50234060.9619903,0.0,53246389.64681267,0.0 
 01/01  12:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,222553831.76805736,916320.3480223792,0.0,106781543.46,0.0,25850490.264719998,89005477.69531496,721483752.1505393,721483752.1505393,317780620.76326778,0.0,563673647.025443,0.0,121663961.95498432,0.0,442575508.7841429,0.0,42138661.241122689,0.0,45343171.507268559,0.0 
 01/01  13:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,284936395.5262376,1291282.2879626486,0.0,160172315.18999998,0.0,34467320.35296,89005477.69531496,611809973.7238221,611809973.7238221,250574958.04687885,0.0,478503061.792544,0.0,107417155.91134192,0.0,379931703.6165383,0.0,37028951.36545475,0.0,41797945.42133953,0.0 
 01/01  14:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,285503955.2330538,1858841.994778843,0.0,160172315.18999998,0.0,34467320.35296,89005477.69531496,557031917.9039375,557031917.9039375,223079333.8961362,0.0,436343737.9598502,0.0,98169302.11431855,0.0,347064744.21297159,0.0,36507181.51637986,0.0,41707644.93148941,0.0 
 01/01  15:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,285747457.03417506,2102343.7959000847,0.0,160172315.18999998,0.0,34467320.35296,89005477.69531496,528639045.98204788,528639045.98204788,207259742.65965844,0.0,414440799.6618974,0.0,93112427.61854732,0.0,330132880.3381571,0.0,36285822.10180303,0.0,41771302.61758376,0.0 
 01/01  16:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,286079822.12067416,2434708.8823991857,0.0,160172315.18999998,0.0,34467320.35296,89005477.69531496,521842772.7679611,521842772.7679611,202209623.64960347,0.0,409472071.6414089,0.0,91397658.81446718,0.0,323903411.3978938,0.0,37495818.96824848,0.0,43204450.38849321,0.0 
 01/01  17:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,310434051.41939958,2800938.181124635,0.0,160172315.18999998,23988000.0,34467320.35296,89005477.69531496,522217084.87607648,522217084.87607648,202832355.96081148,0.0,410130264.3844644,0.0,91110159.050613,0.0,321033352.37231698,0.0,39131197.58705279,0.0,45018594.00345058,0.0 
 01/01  18:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,259377917.45115418,1758406.0311192107,0.0,106781543.46,35982000.0,25850490.264719998,89005477.69531496,837823026.2666861,837823026.2666861,443296597.6417586,0.0,655260366.5191344,0.0,142676623.29387862,0.0,465243334.483977,0.0,64875338.43770703,0.0,69670641.08253928,0.0 
 01/01  19:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,197835013.44894598,2223103.84715099,0.0,53390771.73,35982000.0,17233660.17648,89005477.69531496,909335527.0669502,909335527.0669502,492268650.25981679,0.0,711504814.9593723,0.0,150172746.14603053,0.0,501493228.3449199,0.0,71553598.82715637,0.0,75026114.60421066,0.0 
 01/01  20:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,58609251.68860327,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,2816936.1899232778,64351882.37722643,64351882.37722643,52420707.40533762,0.0,50194468.25423661,0.0,27878702.83972262,0.0,0.0,0.0,11805647.609308418,0.0,13327053.99512814,0.0 
 01/01  21:00:00,15.600000000000004,30.00000000000001,15.600000000000004,30.00000000000001,15.600000000000004,90.00000000000002,15.600000000000004,30.00000000000001,15.600000000000004,30.00000000000001,64621078.08702353,22804.932951854356,0.0,13347692.9325,35982000.0,6462622.566179999,8805957.655391667,185398678.58317263,185398678.58317263,152213825.01249189,0.0,144633774.22782649,0.0,49773428.22745829,0.0,58218836.32903133,0.0,21992895.717580555,0.0,23420238.6525222,0.0 
 01/01  22:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,66523589.68622874,380357.5995332401,0.0,13347692.9325,35982000.0,6462622.566179999,10350916.588015497,214215946.9640772,214215946.9640772,175664315.7432238,0.0,167468796.2315135,0.0,50974596.51192842,0.0,79604180.65695174,0.0,22791084.306619098,0.0,24027992.859271699,0.0 
 01/01  23:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,68045256.15419545,660436.5264537014,0.0,13347692.9325,35982000.0,6462622.566179999,11592504.129061746,241682518.7674852,241682518.7674852,198917666.6647049,0.0,189172801.1650922,0.0,59539648.404419708,0.0,85182031.04538217,0.0,27014667.402471067,0.0,28327021.03020251,0.0 
 01/01  24:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,69246498.28576613,847004.1067287909,0.0,13347692.9325,35982000.0,6462622.566179999,12607178.680357337,259875237.25591756,259875237.25591756,213235179.79105283,0.0,203549689.16634447,0.0,57922295.08615142,0.0,103163924.7774576,0.0,26489377.993768809,0.0,27692764.997370468,0.0 
 01/02  01:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,73604219.51223752,1048631.786715601,0.0,13347692.9325,35982000.0,8616830.08824,14609064.70478193,303263466.5039152,303263466.5039152,249420195.30953569,0.0,237594135.65976946,0.0,70719736.25746072,0.0,114467959.49279739,0.0,32196444.243932964,0.0,33728927.69841963,0.0 
