Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),ATTIC:Zone Thermostat Heating Setpoint Temperature [C](Hourly),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_ZN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly),PSZ-AC:5:Air System Total Heating Energy [J](Hourly),PSZ-AC:5:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,15.600000000000004,26.700000000000008,15.600000000000004,26.700000000000008,15.600000000000004,26.700000000000008,15.600000000000004,26.700000000000008,15.600000000000004,26.700000000000008,20711302.081805167,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,5490434.515550625,0.000014538461538461542,11918232.963034507,11846232.963034507,72000.0,14316683.518505617,0.0,66266.90267790991,9476986.370427607,0.0,1556454.7347279506,0.0,3468000.103844268,0.0,2734764.7742778609,0.0,4248333.470375041,0.0,2959867.802753182,0.0 
 01/01  02:00:00,1247290.913939121,0.0,0.0,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,20458365.254468174,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,5237497.688213631,0.000014538461538461542,15522383.13437894,13891299.013633475,1631084.1207454648,15793588.387636414,0.0,66266.90267790991,11113039.21090678,0.0,2739137.3335964197,0.0,3513595.363864804,0.0,2800144.091824311,0.0,4314439.2063953489,0.0,2983220.903439573,0.0 
 01/01  03:00:00,0.0,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,21767739.67652158,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,6546872.110267038,0.000014538461538461542,13573445.680254929,13501445.680254929,72000.0,16461512.126800999,0.0,66266.90267790991,10801156.544203945,0.0,2885096.3138386609,0.0,3804830.550296021,0.0,3021894.063114135,0.0,4470677.616388194,0.0,3165530.110834048,0.0 
 01/01  04:00:00,1247301.9353521676,0.0,0.0,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,20458365.254468174,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,5237497.688213631,0.000014538461538461542,13912790.336809446,12281692.439558534,1631097.897250911,14561443.15139692,0.0,66266.90267790991,9825353.951646828,0.0,2655743.2961363277,0.0,3254556.8328974239,0.0,2573577.21192273,0.0,3876109.3870634047,0.0,2702864.911840618,0.0 
 01/01  05:00:00,1247309.476493427,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,21767739.67652158,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,6546872.110267038,0.000014538461538461542,15769984.414883826,14138877.091384832,1631107.323498997,16962081.651940254,0.0,66266.90267790991,11311101.673107865,0.0,2831425.546707103,0.0,4000086.7513031915,0.0,3135500.095360633,0.0,4632756.213767687,0.0,3258205.1762363065,0.0 
 01/01  06:00:00,0.0,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,20458365.254468174,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,5237497.688213631,0.000014538461538461542,12788998.922120477,12716998.922120477,72000.0,14891211.736520499,0.0,115967.07968634236,10173599.137696382,0.0,2600718.8363910869,0.0,3410650.470912629,0.0,2655022.0778410115,0.0,3965206.1576246556,0.0,2779499.283140699,0.0 
 01/01  07:00:00,1247248.7014908635,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,21767739.67652158,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,6546872.110267038,0.000014538461538461542,16407157.167504419,14776125.811320166,1631031.3561842538,17468565.86509852,0.0,66266.90267790991,11820900.649056133,0.0,2842827.460458928,0.0,4189270.6094542036,0.0,3232973.306923576,0.0,4751115.115130532,0.0,3351586.2673559596,0.0 
 01/01  08:00:00,1247306.4109877425,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,14931165.25446817,0.0,0.0,990009.6523200001,2763600.0,5940057.91392,5237497.688213631,0.000014538461538461542,14335712.520719398,12704609.02902995,1631103.4916894476,14870702.61195992,0.0,66266.90267790991,10163687.223223962,0.0,2571887.200766667,0.0,3391865.7209572887,0.0,2554512.281453613,0.0,4043861.1766845157,0.0,2839058.531575569,0.0 
 01/01  09:00:00,0.0,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,12905545.019056786,0.0,0.0,990009.6523200001,0.0,5940057.91392,5975477.4528022459,0.000014538461538461542,12417908.484987688,12345908.484987688,72000.0,14994263.484094134,0.0,66266.90267790991,9876726.78799015,0.0,2166733.74386566,0.0,1947442.9888111612,0.0,2259328.6585434565,0.0,5582425.633871444,0.0,3896273.215700697,0.0 
 01/01  10:00:00,1247318.498902444,0.0,0.0,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,9904457.89782357,0.0,0.0,990009.6523200001,0.0,5940057.91392,2974390.3315690329,0.000014538461538461542,7200940.15240468,5569821.55110796,1631118.60129672,7244093.93711127,0.0,66266.90267790991,4455857.240886368,0.0,0.0,0.0,0.0,0.0,1123166.8260523075,0.0,3750341.517677485,0.0,2556739.22872561,0.0 
