Time,CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:10:00,4.347780E+03,6.376989E+02,2.243128E-01,4.921081E-02,5.720377E+03,5.425046E+02,2.951646E-01,4.186295E-02,3.601663E+03,3.992560E+02,1.858370E-01,3.081063E-02,5.451994E+03,5.149740E+02,2.813161E-01,3.973812E-02,3.598122E+03,5.036534E+02,1.856543E-01,3.886801E-02
00:20:00,4.347808E+03,6.557284E+02,2.243143E-01,5.060309E-02,5.720399E+03,5.553735E+02,2.951658E-01,4.285671E-02,3.601678E+03,4.091850E+02,1.858378E-01,3.157724E-02,5.452016E+03,5.295570E+02,2.813172E-01,4.086409E-02,3.598137E+03,5.155589E+02,1.856551E-01,3.978728E-02
00:30:00,4.347836E+03,6.703777E+02,2.243157E-01,5.173443E-02,5.720421E+03,5.656078E+02,2.951669E-01,4.364700E-02,3.601692E+03,4.176565E+02,1.858385E-01,3.223127E-02,5.452037E+03,5.411716E+02,2.813184E-01,4.176094E-02,3.598151E+03,5.252219E+02,1.856558E-01,4.053338E-02
00:40:00,4.347862E+03,6.822432E+02,2.243170E-01,5.265092E-02,5.720442E+03,5.737464E+02,2.951680E-01,4.427547E-02,3.601705E+03,4.246408E+02,1.858392E-01,3.277048E-02,5.452058E+03,5.504616E+02,2.813194E-01,4.247834E-02,3.598164E+03,5.329685E+02,1.856565E-01,4.113147E-02
00:50:00,4.347888E+03,6.920062E+02,2.243184E-01,5.340496E-02,5.720462E+03,5.802311E+02,2.951690E-01,4.477619E-02,3.601718E+03,4.303047E+02,1.858399E-01,3.320773E-02,5.452078E+03,5.578569E+02,2.813205E-01,4.304941E-02,3.598178E+03,5.390648E+02,1.856572E-01,4.160210E-02
01:00:00,4.347913E+03,7.001318E+02,2.243197E-01,5.403247E-02,5.720482E+03,5.854880E+02,2.951700E-01,4.518205E-02,3.601731E+03,4.348031E+02,1.858405E-01,3.355499E-02,5.452098E+03,5.637401E+02,2.813215E-01,4.350368E-02,3.598190E+03,5.437404E+02,1.856578E-01,4.196300E-02
01:10:00,4.347937E+03,7.099365E+02,2.243209E-01,5.478942E-02,5.720499E+03,5.921993E+02,2.951709E-01,4.570004E-02,3.601742E+03,4.396179E+02,1.858411E-01,3.392660E-02,5.452115E+03,5.706767E+02,2.813224E-01,4.403914E-02,3.598201E+03,5.485394E+02,1.856584E-01,4.233335E-02
01:20:00,4.347961E+03,7.191493E+02,2.243221E-01,5.550062E-02,5.720516E+03,5.980924E+02,2.951718E-01,4.615483E-02,3.601753E+03,4.436778E+02,1.858416E-01,3.423994E-02,5.452132E+03,5.769873E+02,2.813232E-01,4.452624E-02,3.598212E+03,5.524254E+02,1.856590E-01,4.263321E-02
01:30:00,4.347983E+03,7.282789E+02,2.243233E-01,5.620528E-02,5.720532E+03,6.032617E+02,2.951726E-01,4.655376E-02,3.601763E+03,4.470895E+02,1.858422E-01,3.450323E-02,5.452148E+03,5.829377E+02,2.813240E-01,4.498546E-02,3.598223E+03,5.555341E+02,1.856595E-01,4.287305E-02
01:40:00,4.348005E+03,7.371789E+02,2.243244E-01,5.689207E-02,5.720547E+03,6.077999E+02,2.951734E-01,4.690397E-02,3.601773E+03,4.499530E+02,1.858427E-01,3.472419E-02,5.452163E+03,5.883237E+02,2.813248E-01,4.540107E-02,3.598233E+03,5.579884E+02,1.856600E-01,4.306235E-02
