Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,428806311.73142209,0.0,0.0,20374527.54585125,59047200.0,24526752.225707845,140156127.50917567,0.00027024331853391613,184701704.45041717,649544115.9318202,643167615.9318202,6304500.0,72000.0,480953533.63576087,0.0,449600.52206968856,429255889.3850039,502043693.2836455,0.0 
 01/01  02:00:00,435529768.7816565,0.0,0.0,20374527.54585125,59047200.0,24526752.225707845,148278485.7817381,0.00027176942670363254,183302803.22808755,907233891.4875581,900857391.4875581,6304500.0,72000.0,665959907.9692056,0.0,449600.5436508921,420552772.2471918,703206166.7194256,0.0 
 01/01  03:00:00,385599576.022209,0.0,0.0,20374527.54585125,59047200.0,24526752.225707845,98852323.85449207,0.0002747866154266654,182798772.39588306,661137336.01812,650535506.11132,6304500.0,4297329.9068,475882816.8878229,0.0,449600.5438215158,417554055.24895659,507811254.7587104,0.0 
 01/01  04:00:00,432471447.9871244,0.0,0.0,20374527.54585125,59047200.0,24526752.225707845,148278485.7817381,0.00023151947030344863,180244482.43359567,1066252313.9392035,1059875813.9392035,6304500.0,72000.0,764844309.2132142,0.0,385371.8896395257,400551545.0848962,827350205.1346257,0.0 
 01/01  05:00:00,458434790.58695927,0.0,0.0,20374527.54585125,59047200.0,24526752.225707845,148278485.7817381,0.00023336300866229725,206207825.03342877,958721430.9275907,952344930.9275907,6304500.0,72000.0,711662157.476536,0.0,385371.8948126058,552803236.1613512,743398564.582593,0.0 
 01/01  06:00:00,407476520.7528304,0.0,0.0,20374527.54585125,59047200.0,24526752.225707845,98852323.85449207,0.00023531320515094917,204675717.12654398,695676324.1097509,685074771.7790452,6304500.0,4297052.330705663,504059702.27694848,0.0,385371.8955726403,543927616.8398717,534774181.87872019,0.0 
 01/01  07:00:00,562564160.1335315,0.0,0.0,40749055.0917025,59047200.0,50939904.45141569,197704647.70898415,0.0002702299318551816,214123352.8811588,3201911519.234268,3189230519.234268,12609000.0,72000.0,1837111126.2384413,0.0,449600.538722042,586270746.4252604,2489193365.7195575,0.0 
 01/01  08:00:00,552543262.3333932,0.0,0.0,40749055.0917025,14761800.0,50939904.45141569,197704647.70898415,0.0003905859489808653,248387855.08090026,2798676310.130267,2785995310.130267,12609000.0,72000.0,1604617225.7185193,0.0,642286.4818107191,774337687.7991792,2174305550.075477,0.0 
 01/01  09:00:00,665805823.3705932,0.0,0.0,40749055.0917025,0.0,50939904.45141569,197704647.70898415,0.00046591248182874576,376412216.11802509,2025688616.76943,2008782179.6351374,12609000.0,4297437.134292602,1020336233.0426035,0.0,770742.7380602469,869869552.2881445,1567569395.4259756,0.0 
 01/01  10:00:00,566860186.2683925,0.0,0.0,40749055.0917025,0.0,50939904.45141569,197704647.70898415,0.000545389076821168,277466579.0157447,1865807620.8506556,1853126620.8506556,12609000.0,72000.0,942727923.375238,0.0,899201.064972502,882161693.9359278,1446095756.1733387,0.0 
