Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:6:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:6:DesPer 1:Des Heat Cap [W],PSZ-AC:6:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:6:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:6:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:6:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:6:DesPer 2:Des Heat Cap [W],PSZ-AC:6:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:6:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:6:DesPer 2:Des Tot Cool Cap [W]
00:15:00,5.434345E-01,1.539016E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.001982E+03,5.622585E-02,5.347916E+02,1.807814E+03,2.771951E+00,8.799406E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,9.773791E+03,5.484527E-01,5.216602E+03,1.763424E+04,8.997116E-01,5.478743E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.063483E+03,4.154395E-01,3.951448E+03,1.335751E+04,7.284048E+00,3.278548E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.307881E+04,4.100790E+00,3.900462E+04,1.318515E+05,2.747161E+00,1.130480E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.236000E+04,1.254723E+00,1.193429E+04,4.034276E+04,1.022465E+00,3.850636E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.570692E+03,4.046471E-01,4.127238E+03,1.306223E+04
00:30:00,5.497853E-01,1.554625E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.011050E+03,5.622585E-02,5.257235E+02,1.773668E+03,2.805423E+00,8.881595E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,9.862246E+03,5.484527E-01,5.128147E+03,1.730117E+04,9.124150E-01,5.556099E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.127409E+03,4.212846E-01,3.939099E+03,1.328960E+04,7.369104E+00,3.299432E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.374018E+04,4.100790E+00,3.834325E+04,1.293612E+05,2.779503E+00,1.138422E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.256236E+04,1.254723E+00,1.173193E+04,3.958078E+04,1.034523E+00,3.880245E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.630158E+03,4.105140E-01,4.169036E+03,1.302159E+04
00:45:00,5.549660E-01,1.567361E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.020118E+03,5.622585E-02,5.166554E+02,1.739753E+03,2.833129E+00,8.949644E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,9.950700E+03,5.484527E-01,5.039693E+03,1.697035E+04,9.228817E-01,5.619836E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.191334E+03,4.253314E-01,3.908340E+03,1.316070E+04,7.442990E+00,3.317574E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.440156E+04,4.100790E+00,3.768187E+04,1.268876E+05,2.806405E+00,1.145029E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.276473E+04,1.254723E+00,1.152956E+04,3.882393E+04,1.044471E+00,3.904679E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.689624E+03,4.144428E-01,4.177396E+03,1.291524E+04
01:00:00,5.592652E-01,1.577935E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.029186E+03,5.622585E-02,5.075873E+02,1.706066E+03,2.856487E+00,9.007024E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.003915E+04,5.484527E-01,4.951239E+03,1.664175E+04,9.316869E-01,5.673454E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.255260E+03,4.279776E-01,3.863632E+03,1.298616E+04,7.503532E+00,3.332449E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.506293E+04,4.100790E+00,3.702050E+04,1.244306E+05,2.829318E+00,1.150659E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.296709E+04,1.254723E+00,1.132720E+04,3.807217E+04,1.052831E+00,3.925215E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.749089E+03,4.167777E-01,4.158255E+03,1.275672E+04
01:15:00,5.628858E-01,1.586842E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.035232E+03,5.622585E-02,5.015419E+02,1.683733E+03,2.876496E+00,9.056183E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.009812E+04,5.484527E-01,4.892269E+03,1.642391E+04,9.392172E-01,5.719310E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.297877E+03,4.297626E-01,3.833538E+03,1.286962E+04,7.554862E+00,3.345058E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.550385E+04,4.100790E+00,3.657958E+04,1.228018E+05,2.849145E+00,1.155530E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.310200E+04,1.254723E+00,1.119229E+04,3.757381E+04,1.059968E+00,3.942752E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.788733E+03,4.181851E-01,4.142929E+03,1.264223E+04
01:30:00,5.659696E-01,1.594433E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.041277E+03,5.622585E-02,4.954965E+02,1.661501E+03,2.893860E+00,9.098849E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.015709E+04,5.484527E-01,4.833299E+03,1.620704E+04,9.457431E-01,5.759049E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.340494E+03,4.309262E-01,3.797584E+03,1.273408E+04,7.599523E+00,3.356028E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.594477E+04,4.100790E+00,3.613866E+04,1.211803E+05,2.866517E+00,1.159798E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.323690E+04,1.254723E+00,1.105739E+04,3.707768E+04,1.066142E+00,3.957923E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.828377E+03,4.189617E-01,4.116715E+03,1.250940E+04
01:45:00,5.686233E-01,1.600968E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.047322E+03,5.622585E-02,4.894511E+02,1.639368E+03,2.909119E+00,9.136346E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.021606E+04,5.484527E-01,4.774330E+03,1.599115E+04,9.514722E-01,5.793936E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.383111E+03,4.316917E-01,3.757915E+03,1.258676E+04,7.639118E+00,3.365752E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.638568E+04,4.100790E+00,3.569775E+04,1.195661E+05,2.881921E+00,1.163582E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.337181E+04,1.254723E+00,1.092248E+04,3.658376E+04,1.071549E+00,3.971212E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.868021E+03,4.193476E-01,4.083756E+03,1.236585E+04
02:00:00,5.709209E-01,1.606630E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.053368E+03,5.622585E-02,4.834057E+02,1.617334E+03,2.922679E+00,9.169674E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.027503E+04,5.484527E-01,4.715360E+03,1.577622E+04,9.565610E-01,5.824924E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.425728E+03,4.322247E-01,3.716082E+03,1.243292E+04,7.674754E+00,3.374504E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.682660E+04,4.100790E+00,3.525683E+04,1.179590E+05,2.895730E+00,1.166974E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.350672E+04,1.254723E+00,1.078757E+04,3.609206E+04,1.076338E+00,3.982986E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.907665E+03,4.195186E-01,4.047086E+03,1.221703E+04
02:15:00,5.729296E-01,1.611585E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.057902E+03,5.622585E-02,4.788716E+02,1.600873E+03,2.934849E+00,9.199587E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.031926E+04,5.484527E-01,4.671133E+03,1.561565E+04,9.611274E-01,5.852731E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.457691E+03,4.324097E-01,3.682803E+03,1.231165E+04,7.707200E+00,3.382472E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.715729E+04,4.100790E+00,3.492614E+04,1.167585E+05,2.908225E+00,1.170044E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.360790E+04,1.254723E+00,1.068639E+04,3.572471E+04,1.080623E+00,3.993519E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.937398E+03,4.193420E-01,4.014324E+03,1.209453E+04
02:30:00,5.747343E-01,1.616041E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.062436E+03,5.622585E-02,4.743376E+02,1.584467E+03,2.945882E+00,9.226711E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.036349E+04,5.484527E-01,4.626906E+03,1.545561E+04,9.652696E-01,5.877954E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.489654E+03,4.323491E-01,3.647423E+03,1.218377E+04,7.737055E+00,3.389804E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.748797E+04,4.100790E+00,3.459546E+04,1.155619E+05,2.919642E+00,1.172849E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.370908E+04,1.254723E+00,1.058521E+04,3.535860E+04,1.084496E+00,4.003041E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.967131E+03,4.189245E-01,3.977402E+03,1.196607E+04
02:45:00,5.763818E-01,1.620104E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.066970E+03,5.622585E-02,4.698035E+02,1.568116E+03,2.955955E+00,9.251478E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.040771E+04,5.484527E-01,4.582679E+03,1.529612E+04,9.690548E-01,5.901004E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.521617E+03,4.321237E-01,3.610675E+03,1.205175E+04,7.764717E+00,3.396598E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.781866E+04,4.100790E+00,3.426477E+04,1.143693E+05,2.930145E+00,1.175429E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.381026E+04,1.254723E+00,1.048403E+04,3.499371E+04,1.088022E+00,4.011712E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.996864E+03,4.183503E-01,3.937772E+03,1.183397E+04
03:00:00,5.779112E-01,1.623871E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.071504E+03,5.622585E-02,4.652695E+02,1.551819E+03,2.965203E+00,9.274217E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.045194E+04,5.484527E-01,4.538452E+03,1.513715E+04,9.725342E-01,5.922192E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.553579E+03,4.317974E-01,3.573128E+03,1.191750E+04,7.790485E+00,3.402926E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.814935E+04,4.100790E+00,3.393408E+04,1.131808E+05,2.939863E+00,1.177817E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.391144E+04,1.254723E+00,1.038285E+04,3.463004E+04,1.091252E+00,4.019655E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,7.026596E+03,4.176860E-01,3.896586E+03,1.170013E+04
03:15:00,5.793430E-01,1.627390E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.076038E+03,5.622585E-02,4.607355E+02,1.535577E+03,2.973747E+00,9.295232E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.049617E+04,5.484527E-01,4.494224E+03,1.497872E+04,9.757488E-01,5.941767E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.585542E+03,4.311758E-01,3.533214E+03,1.177578E+04,7.814601E+00,3.408849E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.848004E+04,4.100790E+00,3.360340E+04,1.119961E+05,2.948900E+00,1.180038E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.401262E+04,1.254723E+00,1.028167E+04,3.426758E+04,1.094225E+00,4.026970E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,7.056329E+03,4.167156E-01,3.850112E+03,1.155771E+04
03:30:00,5.806649E-01,1.630635E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.080572E+03,5.622585E-02,4.562014E+02,1.519389E+03,2.981686E+00,9.314759E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.054040E+04,5.484527E-01,4.449997E+03,1.482081E+04,9.787308E-01,5.959926E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.617505E+03,4.302996E-01,3.491335E+03,1.162797E+04,7.837259E+00,3.414414E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.881072E+04,4.100790E+00,3.327271E+04,1.108155E+05,2.957343E+00,1.182112E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.411380E+04,1.254723E+00,1.018049E+04,3.390633E+04,1.096976E+00,4.033737E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,7.086062E+03,4.154816E-01,3.799088E+03,1.140802E+04
03:45:00,5.818843E-01,1.633631E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.085106E+03,5.622585E-02,4.516674E+02,1.503254E+03,2.989097E+00,9.332986E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.058462E+04,5.484527E-01,4.405770E+03,1.466343E+04,9.815012E-01,5.976795E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.649468E+03,4.292013E-01,3.447813E+03,1.147513E+04,7.858616E+00,3.419660E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.914141E+04,4.100790E+00,3.294202E+04,1.096387E+05,2.965259E+00,1.184057E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.421498E+04,1.254723E+00,1.007931E+04,3.354628E+04,1.099529E+00,4.040020E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,7.115795E+03,4.140183E-01,3.744103E+03,1.125212E+04
