Time,BAKERY:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BAKERY:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BAKERY:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BAKERY:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],DELI:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DELI:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DELI:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DELI:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],DRYSTORAGE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DRYSTORAGE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DRYSTORAGE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DRYSTORAGE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],OFFICE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],OFFICE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],OFFICE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],OFFICE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PRODUCE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PRODUCE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PRODUCE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PRODUCE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],SALES:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SALES:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],SALES:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SALES:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:15:00,2.123270E+04,5.498556E+03,8.520538E-01,3.372060E-01,1.867962E+04,5.645442E+03,7.497597E-01,3.461996E-01,5.755771E+04,0.000000E+00,2.309959E+00,0.000000E+00,1.128714E+04,0.000000E+00,4.528621E-01,0.000000E+00,5.703772E+04,0.000000E+00,2.289301E+00,0.000000E+00,1.512039E+05,0.000000E+00,6.070040E+00,0.000000E+00
00:30:00,2.148308E+04,5.578299E+03,8.621029E-01,3.420950E-01,1.894352E+04,5.724916E+03,7.603458E-01,3.510705E-01,5.825275E+04,0.000000E+00,2.337852E+00,0.000000E+00,1.141915E+04,0.000000E+00,4.581544E-01,0.000000E+00,5.770944E+04,0.000000E+00,2.316253E+00,0.000000E+00,1.529704E+05,0.000000E+00,6.140920E+00,0.000000E+00
00:45:00,2.168973E+04,5.631804E+03,8.703927E-01,3.453690E-01,1.916093E+04,5.780026E+03,7.690681E-01,3.544428E-01,5.882825E+04,0.000000E+00,2.360940E+00,0.000000E+00,1.152687E+04,0.000000E+00,4.624717E-01,0.000000E+00,5.826824E+04,0.000000E+00,2.338671E+00,0.000000E+00,1.545052E+05,0.000000E+00,6.202491E+00,0.000000E+00
01:00:00,2.186344E+04,5.663700E+03,8.773588E-01,3.473148E-01,1.934390E+04,5.816180E+03,7.764057E-01,3.566480E-01,5.931353E+04,0.000000E+00,2.380406E+00,0.000000E+00,1.161629E+04,0.000000E+00,4.660543E-01,0.000000E+00,5.874464E+04,0.000000E+00,2.357765E+00,0.000000E+00,1.557644E+05,0.000000E+00,6.252944E+00,0.000000E+00
01:15:00,2.201178E+04,5.683004E+03,8.833066E-01,3.484876E-01,1.950039E+04,5.840638E+03,7.826810E-01,3.581355E-01,5.972930E+04,0.000000E+00,2.397080E+00,0.000000E+00,1.169164E+04,0.000000E+00,4.690715E-01,0.000000E+00,5.915682E+04,0.000000E+00,2.374287E+00,0.000000E+00,1.568317E+05,0.000000E+00,6.295718E+00,0.000000E+00
01:30:00,2.214012E+04,5.693734E+03,8.884513E-01,3.491348E-01,1.963601E+04,5.856640E+03,7.881192E-01,3.591051E-01,6.009016E+04,0.000000E+00,2.411550E+00,0.000000E+00,1.175584E+04,0.000000E+00,4.716414E-01,0.000000E+00,5.951789E+04,0.000000E+00,2.388764E+00,0.000000E+00,1.577599E+05,0.000000E+00,6.332936E+00,0.000000E+00
01:45:00,2.225255E+04,5.699145E+03,8.929572E-01,3.494563E-01,1.975508E+04,5.867217E+03,7.928935E-01,3.597430E-01,6.040731E+04,0.000000E+00,2.424265E+00,0.000000E+00,1.181112E+04,0.000000E+00,4.738527E-01,0.000000E+00,5.983804E+04,0.000000E+00,2.401601E+00,0.000000E+00,1.585827E+05,0.000000E+00,6.365932E+00,0.000000E+00
02:00:00,2.235217E+04,5.701623E+03,8.969486E-01,3.495988E-01,1.986085E+04,5.874617E+03,7.971342E-01,3.601873E-01,6.068921E+04,0.000000E+00,2.435566E+00,0.000000E+00,1.185902E+04,0.000000E+00,4.757674E-01,0.000000E+00,6.012502E+04,0.000000E+00,2.413108E+00,0.000000E+00,1.593232E+05,0.000000E+00,6.395629E+00,0.000000E+00
02:15:00,2.244129E+04,5.699361E+03,9.005191E-01,3.494516E-01,1.995578E+04,5.877270E+03,8.009395E-01,3.603414E-01,6.094223E+04,0.000000E+00,2.445707E+00,0.000000E+00,1.190094E+04,0.000000E+00,4.774413E-01,0.000000E+00,6.038471E+04,0.000000E+00,2.423521E+00,0.000000E+00,1.599973E+05,0.000000E+00,6.422667E+00,0.000000E+00
02:30:00,2.252186E+04,5.693813E+03,9.037465E-01,3.491038E-01,2.004190E+04,5.876572E+03,8.043914E-01,3.602910E-01,6.117166E+04,0.000000E+00,2.454901E+00,0.000000E+00,1.193864E+04,0.000000E+00,4.789453E-01,0.000000E+00,6.062201E+04,0.000000E+00,2.433035E+00,0.000000E+00,1.606176E+05,0.000000E+00,6.447546E+00,0.000000E+00
