Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,310976028.4687763,180890356.67515768,0.0,9649497.642210719,53294400.0,57896985.85326433,9214403.959320134,30384.33882352941,13783360.40212962,13711360.40212962,72000.0,184985091.79387827,17677659.94438501,656357.8931907268,191859444.99686138,0.0 
 01/01  02:00:00,304931380.8915,176175651.87127868,0.0,9649497.642210719,53294400.0,57896985.85326433,7884461.185922701,30384.33882352941,17744136.835122695,17672136.835122695,72000.0,184151913.6215748,15205817.512534265,656357.8931907268,190313361.33937688,0.0 
 01/01  03:00:00,365042607.81438216,234315763.4976802,0.0,9649497.642210719,53294400.0,57896985.85326433,9855576.482403376,30384.33882352941,29004298.5338476,25033580.59731353,3970717.936534071,247148534.17577935,19048974.594550715,656357.8931907268,254342627.975531,0.0 
 01/01  04:00:00,312206515.3624191,183450786.3421979,0.0,9649497.642210719,53294400.0,57896985.85326433,7884461.185922701,30384.33882352941,19894739.980352105,19822739.980352105,72000.0,193302053.98609443,14655682.092229929,656357.8931907268,199308978.32647956,0.0 
 01/01  05:00:00,374498953.93348518,243772109.61678318,0.0,9649497.642210719,53294400.0,57896985.85326433,9855576.482403376,30384.33882352941,31483880.0820252,27512919.421340906,3970960.660684295,258821281.49126614,18398929.74211312,656357.8931907269,265782445.15385593,0.0 
 01/01  06:00:00,318097643.1718639,189341914.15164269,0.0,9649497.642210719,53294400.0,57896985.85326433,7884461.185922701,30384.33882352941,21691567.50730469,21619567.50730469,72000.0,200667799.82155396,14184441.267120246,1148626.3130837719,206637568.1574864,0.0 
 01/01  07:00:00,381566375.1459797,250839530.82927776,0.0,9649497.642210719,53294400.0,57896985.85326433,9855576.482403376,30384.33882352941,33228942.128443716,29258172.48425516,3970769.64418856,267305873.82064028,17791102.070246847,656357.8931907269,274246068.81668189,0.0 
 01/01  08:00:00,281847987.27638158,188621858.25616024,0.0,9649497.642210719,17764800.0,57896985.85326433,7884461.185922701,30384.33882352941,22837827.62828525,22765827.62828525,72000.0,200726459.6267218,13783787.148504589,656357.8931907268,206834520.35878847,0.0 
 01/01  09:00:00,269919870.68223479,192487426.3655328,0.0,9649497.642210719,0.0,57896985.85326433,9855576.482403376,30384.33882352941,32756519.93073026,28785726.730158636,3970793.2005716238,211008267.04418028,20653619.79334004,656357.8931907268,215516007.74965973,0.0 
 01/01  10:00:00,192125272.05920808,116663943.0389868,0.0,9649497.642210719,0.0,57896985.85326433,7884461.185922701,30384.33882352941,20297649.28805747,20225649.28805747,72000.0,132689335.74191588,21819142.642494129,656357.8931907268,132844462.46943277,0.0 
 01/01  11:00:00,217528142.43934567,140095698.12264369,0.0,9649497.642210719,0.0,57896985.85326433,9855576.482403376,30384.33882352941,22569293.19469935,22497293.19469935,72000.0,160628517.687686,32187033.13988926,656357.8931907268,158093532.67840318,0.0 
 01/01  12:00:00,173663464.7552302,98202135.73500893,0.0,9649497.642210719,0.0,57896985.85326433,7884461.185922701,30384.33882352941,18002496.08522416,14031882.517316977,3970613.56790718,110913024.1035338,26881733.067971626,984536.83978609,109427641.7488625,0.0 
 01/01  13:00:00,192831387.808804,116633690.81103757,0.0,9649497.642210719,0.0,57896985.85326433,8620829.163467842,30384.33882352941,18475325.64298316,14504646.809614128,3970678.8333690359,127760997.84916063,22351836.155305368,984536.83978609,128237408.25872886,0.0 
 01/01  14:00:00,157397056.88966505,84405222.50731485,0.0,9649497.642210719,0.0,57896985.85326433,5414966.548051632,30384.33882352941,8487461.38288526,8415461.38288526,72000.0,89600236.07961834,6069343.408502057,1476805.2596791352,91137591.61362306,0.0 
 01/01  15:00:00,182510244.8758446,108164668.85648152,0.0,9649497.642210719,0.0,57896985.85326433,6768708.18506454,30384.33882352941,12778276.46607467,8807402.213050178,3970874.253024494,112281655.45695971,6711548.867490043,984536.83978609,115210590.62692166,0.0 
 01/01  16:00:00,167810242.70419286,93336711.53912002,0.0,9649497.642210719,0.0,57896985.85326433,6896663.330774274,30384.33882352941,5553834.613202835,5481834.613202835,72000.0,93539634.2163387,13754920.826950979,656357.8931907268,97722179.22968228,0.0 
 01/01  17:00:00,238989051.4982285,127261754.50046206,0.0,9649497.642210719,35529600.0,57896985.85326433,8620829.163467842,30384.33882352941,11028846.56191099,7057988.27621578,3970858.28569521,127332237.52850539,17017148.80043032,656357.8931907268,132908145.12143469,0.0 
 01/01  18:00:00,237331654.90069474,108575925.88047347,0.0,9649497.642210719,53294400.0,57896985.85326433,7884461.185922701,30384.33882352941,4812343.707995795,4740343.707995795,72000.0,106054573.11949791,17697182.196884287,656357.8931907268,112368200.8468701,0.0 
