Time,VAV_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_1:DesPer 1:Des Heat Cap [W],VAV_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_1:DesPer 1:Des Sens Cool Cap [W],VAV_1:DesPer 1:Des Tot Cool Cap [W],VAV_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_1:DesPer 2:Des Heat Cap [W],VAV_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_1:DesPer 2:Des Sens Cool Cap [W],VAV_1:DesPer 2:Des Tot Cool Cap [W],VAV_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_2:DesPer 1:Des Heat Cap [W],VAV_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_2:DesPer 1:Des Sens Cool Cap [W],VAV_2:DesPer 1:Des Tot Cool Cap [W],VAV_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_2:DesPer 2:Des Heat Cap [W],VAV_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_2:DesPer 2:Des Sens Cool Cap [W],VAV_2:DesPer 2:Des Tot Cool Cap [W],VAV_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_3:DesPer 1:Des Heat Cap [W],VAV_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_3:DesPer 1:Des Sens Cool Cap [W],VAV_3:DesPer 1:Des Tot Cool Cap [W],VAV_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_3:DesPer 2:Des Heat Cap [W],VAV_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_3:DesPer 2:Des Sens Cool Cap [W],VAV_3:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.243014E+00,4.523255E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.256678E+04,4.250924E+04,2.359189E+00,4.473128E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.256678E+04,4.250924E+04,3.386965E+00,4.029510E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.452738E+00,1.547244E+04,4.587650E+04
00:20:00,2.243127E+00,4.523206E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.242552E+04,4.197554E+04,2.359366E+00,4.473052E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.242552E+04,4.197554E+04,3.389762E+00,4.028302E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.457102E+00,1.542047E+04,4.544239E+04
00:30:00,2.243238E+00,4.523158E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.228426E+04,4.144423E+04,2.359543E+00,4.472975E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.228426E+04,4.144423E+04,3.392461E+00,4.027137E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.459669E+00,1.533345E+04,4.496977E+04
00:40:00,2.243348E+00,4.523111E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.214300E+04,4.091532E+04,2.359720E+00,4.472899E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.214300E+04,4.091532E+04,3.395067E+00,4.026012E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.460829E+00,1.521908E+04,4.446776E+04
00:50:00,2.243455E+00,4.523065E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.200174E+04,4.038878E+04,2.359895E+00,4.472823E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.200174E+04,4.038878E+04,3.397584E+00,4.024925E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.460884E+00,1.508322E+04,4.394332E+04
01:00:00,2.243562E+00,4.523019E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.186048E+04,3.986460E+04,2.360070E+00,4.472748E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.186048E+04,3.986460E+04,3.400018E+00,4.023874E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.461657E+00,1.496373E+04,4.344072E+04
01:10:00,2.243672E+00,4.522971E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.176631E+04,3.951646E+04,2.360258E+00,4.472667E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.319910E+00,1.190539E+04,3.968016E+04,3.402393E+00,4.022849E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.463736E+00,1.491729E+04,4.314410E+04
01:20:00,2.243780E+00,4.522924E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.167214E+04,3.916935E+04,2.360445E+00,4.472586E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.327921E+00,1.199279E+04,3.954627E+04,3.404692E+00,4.021857E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.465379E+00,1.486242E+04,4.283902E+04
01:30:00,2.243887E+00,4.522878E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.157797E+04,3.882329E+04,2.360631E+00,4.472506E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.335562E+00,1.207118E+04,3.940225E+04,3.406918E+00,4.020896E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.466649E+00,1.480031E+04,4.252685E+04
01:40:00,2.243993E+00,4.522833E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.148379E+04,3.847825E+04,2.360816E+00,4.472426E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.342891E+00,1.214196E+04,3.924978E+04,3.409075E+00,4.019964E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.467617E+00,1.473232E+04,4.220915E+04
01:50:00,2.244096E+00,4.522788E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.138962E+04,3.813424E+04,2.361001E+00,4.472346E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.349952E+00,1.220623E+04,3.909020E+04,3.411165E+00,4.019062E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.468343E+00,1.465956E+04,4.188720E+04
02:00:00,2.244199E+00,4.522744E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.129545E+04,3.779126E+04,2.361184E+00,4.472267E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.356782E+00,1.226485E+04,3.892456E+04,3.413192E+00,4.018186E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.468874E+00,1.458292E+04,4.156200E+04
02:10:00,2.244300E+00,4.522700E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.122482E+04,3.753469E+04,2.361366E+00,4.472189E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.363411E+00,1.234211E+04,3.883916E+04,3.415159E+00,4.017337E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.469248E+00,1.452677E+04,4.131991E+04
02:20:00,2.244399E+00,4.522657E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.115419E+04,3.727870E+04,2.361548E+00,4.472110E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.369861E+00,1.241502E+04,3.874885E+04,3.417067E+00,4.016514E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.469494E+00,1.446813E+04,4.107574E+04
02:30:00,2.244497E+00,4.522615E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.108356E+04,3.702327E+04,2.361728E+00,4.472033E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.376150E+00,1.248400E+04,3.865415E+04,3.418920E+00,4.015714E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.469635E+00,1.440741E+04,4.082992E+04
02:40:00,2.244592E+00,4.522574E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.101293E+04,3.676842E+04,2.361904E+00,4.471957E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.382293E+00,1.254938E+04,3.855548E+04,3.420686E+00,4.014951E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.469688E+00,1.434493E+04,4.058282E+04
02:50:00,2.244684E+00,4.522534E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.313795E+00,1.094230E+04,3.651413E+04,2.362076E+00,4.471882E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.388301E+00,1.261142E+04,3.845318E+04,3.422377E+00,4.014221E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,1.469667E+00,1.428096E+04,4.033474E+04
