Time,CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:10:00,6.074987E+03,3.255501E+03,2.054329E-01,2.294807E-01,8.139901E+03,7.795069E+03,2.752604E-01,5.494784E-01,2.644424E+04,9.721293E+03,8.942433E-01,6.852555E-01,9.836552E+03,4.179990E+02,3.325430E-01,2.952297E-02,6.532347E+03,2.582000E+02,2.208361E-01,1.824835E-02,9.690334E+03,3.909635E+02,3.275997E-01,2.766379E-02,6.521867E+03,1.728020E+02,2.204818E-01,1.218134E-02,1.062379E+04,1.047041E+03,3.591581E-01,7.381977E-02,7.004714E+03,6.652935E+02,2.368058E-01,4.690558E-02,1.049805E+04,1.004546E+03,3.549069E-01,7.082349E-02,7.038233E+03,9.199726E+02,2.379390E-01,6.486335E-02,1.481495E+04,1.420267E+03,5.008545E-01,1.001361E-01,9.638662E+03,9.029048E+02,3.258547E-01,6.365987E-02,1.472540E+04,1.376850E+03,4.978267E-01,9.707471E-02,9.696538E+03,1.167252E+03,3.278113E-01,8.229974E-02
00:20:00,6.081079E+03,3.316074E+03,2.056389E-01,2.337506E-01,8.145190E+03,7.913764E+03,2.754393E-01,5.578441E-01,2.648090E+04,9.778595E+03,8.954829E-01,6.892930E-01,9.837321E+03,4.179990E+02,3.325690E-01,2.952297E-02,6.532833E+03,2.582000E+02,2.208525E-01,1.824835E-02,9.691106E+03,3.909635E+02,3.276258E-01,2.766379E-02,6.522352E+03,1.659640E+02,2.204982E-01,1.169934E-02,1.062500E+04,1.055671E+03,3.591990E-01,7.442888E-02,7.005478E+03,6.705808E+02,2.368316E-01,4.727879E-02,1.049926E+04,1.013582E+03,3.549479E-01,7.146119E-02,7.038996E+03,9.192529E+02,2.379648E-01,6.481311E-02,1.482277E+04,1.416136E+03,5.011186E-01,9.984562E-02,9.643593E+03,8.999270E+02,3.260214E-01,6.345038E-02,1.473327E+04,1.373535E+03,4.980927E-01,9.684173E-02,9.701467E+03,1.156518E+03,3.279780E-01,8.154335E-02
00:30:00,6.087053E+03,3.365055E+03,2.058409E-01,2.372033E-01,8.150463E+03,8.018681E+03,2.756176E-01,5.652384E-01,2.651630E+04,9.819771E+03,8.966801E-01,6.921936E-01,9.838079E+03,4.178864E+02,3.325946E-01,2.950705E-02,6.533310E+03,2.573587E+02,2.208687E-01,1.818528E-02,9.691866E+03,3.914826E+02,3.276515E-01,2.769214E-02,6.522830E+03,1.573858E+02,2.205144E-01,1.109465E-02,1.062621E+04,1.060402E+03,3.592397E-01,7.476292E-02,7.006239E+03,6.732278E+02,2.368574E-01,4.746574E-02,1.050047E+04,1.018890E+03,3.549888E-01,7.183594E-02,7.039756E+03,9.156416E+02,2.379905E-01,6.455883E-02,1.483029E+04,1.407369E+03,5.013731E-01,9.922794E-02,9.648344E+03,8.938468E+02,3.261820E-01,6.302199E-02,1.474085E+04,1.365673E+03,4.983489E-01,9.628784E-02,9.706216E+03,1.142746E+03,3.281385E-01,8.057254E-02
00:40:00,6.092911E+03,3.404731E+03,2.060390E-01,2.400000E-01,8.155719E+03,8.112476E+03,2.757953E-01,5.718486E-01,2.655051E+04,9.848182E+03,8.978370E-01,6.941944E-01,9.838824E+03,4.178864E+02,3.326198E-01,2.950705E-02,6.533781E+03,2.573587E+02,2.208846E-01,1.818528E-02,9.692614E+03,3.914826E+02,3.276768E-01,2.769214E-02,6.523301E+03,1.475524E+02,2.205303E-01,1.040146E-02,1.062741E+04,1.062043E+03,3.592803E-01,7.487899E-02,7.006997E+03,6.737807E+02,2.368830E-01,4.750496E-02,1.050168E+04,1.021236E+03,3.550296E-01,7.200172E-02,7.040514E+03,9.098576E+02,2.380161E-01,6.415121E-02,1.483755E+04,1.395049E+03,5.016186E-01,9.835961E-02,9.652926E+03,8.853879E+02,3.263369E-01,6.242575E-02,1.474816E+04,1.354325E+03,4.985960E-01,9.548802E-02,9.710795E+03,1.126741E+03,3.282933E-01,7.944413E-02
00:50:00,6.098657E+03,3.437031E+03,2.062333E-01,2.422767E-01,8.160958E+03,8.197246E+03,2.759725E-01,5.778225E-01,2.658359E+04,9.866433E+03,8.989558E-01,6.954790E-01,9.839558E+03,4.109193E+02,3.326446E-01,2.902384E-02,6.534244E+03,2.520557E+02,2.209002E-01,1.781751E-02,9.693351E+03,3.852847E+02,3.277017E-01,2.726070E-02,6.523764E+03,1.368159E+02,2.205459E-01,9.644581E-03,1.062860E+04,1.061256E+03,3.593208E-01,7.482383E-02,7.007752E+03,6.726888E+02,2.369085E-01,4.742813E-02,1.050288E+04,1.021251E+03,3.550702E-01,7.200303E-02,7.041269E+03,9.024565E+02,2.380416E-01,6.362946E-02,1.484456E+04,1.380022E+03,5.018555E-01,9.730018E-02,9.657347E+03,8.751154E+02,3.264864E-01,6.170152E-02,1.475521E+04,1.340319E+03,4.988344E-01,9.450068E-02,9.715213E+03,1.109116E+03,3.284427E-01,7.820138E-02
01:00:00,6.104294E+03,3.463590E+03,2.064239E-01,2.441486E-01,8.166179E+03,8.274650E+03,2.761490E-01,5.832771E-01,2.661560E+04,9.876551E+03,9.000382E-01,6.961903E-01,9.840281E+03,4.109193E+02,3.326691E-01,2.902384E-02,6.534700E+03,2.520557E+02,2.209156E-01,1.781751E-02,9.694076E+03,3.852847E+02,3.277262E-01,2.726070E-02,6.524220E+03,1.254378E+02,2.205613E-01,8.842475E-03,1.062980E+04,1.058575E+03,3.593610E-01,7.463493E-02,7.008503E+03,6.703126E+02,2.369339E-01,4.726069E-02,1.050407E+04,1.019444E+03,3.551106E-01,7.187577E-02,7.042020E+03,8.938669E+02,2.380670E-01,6.302383E-02,1.485133E+04,1.362945E+03,5.020842E-01,9.609610E-02,9.661615E+03,8.634711E+02,3.266307E-01,6.088047E-02,1.476202E+04,1.324302E+03,4.990646E-01,9.337136E-02,9.719479E+03,1.090339E+03,3.285869E-01,7.687726E-02
01:10:00,6.109998E+03,3.503775E+03,2.066168E-01,2.469810E-01,8.171797E+03,8.364565E+03,2.763390E-01,5.896136E-01,2.664686E+04,9.898756E+03,9.010951E-01,6.977536E-01,9.841031E+03,4.040939E+02,3.326944E-01,2.856024E-02,6.535173E+03,2.467851E+02,2.209316E-01,1.745800E-02,9.694829E+03,3.793399E+02,3.277516E-01,2.685601E-02,6.524693E+03,1.162695E+02,2.205773E-01,8.196146E-03,1.063108E+04,1.058658E+03,3.594043E-01,7.464085E-02,7.009311E+03,6.696341E+02,2.369612E-01,4.721288E-02,1.050536E+04,1.020450E+03,3.551541E-01,7.194676E-02,7.042828E+03,8.871354E+02,2.380943E-01,6.254914E-02,1.485792E+04,1.348587E+03,5.023072E-01,9.508362E-02,9.665776E+03,8.535049E+02,3.267714E-01,6.017769E-02,1.476865E+04,1.311028E+03,4.992890E-01,9.243530E-02,9.723637E+03,1.073489E+03,3.287275E-01,7.568895E-02
01:20:00,6.115596E+03,3.540737E+03,2.068061E-01,2.495862E-01,8.177392E+03,8.450038E+03,2.765282E-01,5.956369E-01,2.667714E+04,9.916307E+03,9.021190E-01,6.989889E-01,9.841769E+03,4.040939E+02,3.327194E-01,2.856024E-02,6.535639E+03,2.467851E+02,2.209474E-01,1.745800E-02,9.695571E+03,3.793399E+02,3.277767E-01,2.685601E-02,6.525159E+03,1.071070E+02,2.205931E-01,7.550229E-03,1.063235E+04,1.058101E+03,3.594473E-01,7.460166E-02,7.010115E+03,6.685143E+02,2.369884E-01,4.713396E-02,1.050664E+04,1.020853E+03,3.551973E-01,7.197529E-02,7.043631E+03,8.801385E+02,2.381215E-01,6.205573E-02,1.486430E+04,1.333608E+03,5.025228E-01,9.402741E-02,9.669798E+03,8.431201E+02,3.269074E-01,5.944538E-02,1.477507E+04,1.297149E+03,4.995060E-01,9.145665E-02,9.727657E+03,1.056468E+03,3.288635E-01,7.448865E-02
01:30:00,6.121090E+03,3.574953E+03,2.069919E-01,2.519978E-01,8.182961E+03,8.531568E+03,2.767165E-01,6.013823E-01,2.670648E+04,9.929875E+03,9.031113E-01,6.999436E-01,9.842497E+03,3.969188E+02,3.327440E-01,2.806643E-02,6.536099E+03,2.412655E+02,2.209629E-01,1.707744E-02,9.696302E+03,3.730756E+02,3.278014E-01,2.642353E-02,6.525619E+03,9.804668E+01,2.206086E-01,6.911519E-03,1.063362E+04,1.057131E+03,3.594902E-01,7.453325E-02,7.010915E+03,6.671099E+02,2.370154E-01,4.703494E-02,1.050791E+04,1.020872E+03,3.552404E-01,7.197663E-02,7.044431E+03,8.730386E+02,2.381485E-01,6.155503E-02,1.487047E+04,1.318279E+03,5.027314E-01,9.294644E-02,9.673689E+03,8.324995E+02,3.270389E-01,5.869644E-02,1.478128E+04,1.282928E+03,4.997158E-01,9.045380E-02,9.731546E+03,1.039457E+03,3.289949E-01,7.328899E-02
01:40:00,6.126483E+03,3.607160E+03,2.071743E-01,2.542678E-01,8.188505E+03,8.609757E+03,2.769040E-01,6.068924E-01,2.673493E+04,9.940227E+03,9.040735E-01,7.006719E-01,9.843215E+03,3.969188E+02,3.327683E-01,2.806643E-02,6.536551E+03,2.412655E+02,2.209782E-01,1.707744E-02,9.697022E+03,3.730756E+02,3.278258E-01,2.642353E-02,6.526071E+03,8.918000E+01,2.206239E-01,6.286462E-03,1.063488E+04,1.055959E+03,3.595328E-01,7.445062E-02,7.011711E+03,6.655663E+02,2.370424E-01,4.692609E-02,1.050918E+04,1.020710E+03,3.552832E-01,7.196521E-02,7.045227E+03,8.659862E+02,2.381754E-01,6.105767E-02,1.487644E+04,1.302852E+03,5.029333E-01,9.185851E-02,9.677454E+03,8.218136E+02,3.271662E-01,5.794287E-02,1.478728E+04,1.268611E+03,4.999189E-01,8.944421E-02,9.735309E+03,1.022620E+03,3.291221E-01,7.210161E-02
