Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,258365347.11016909,0.0,0.0,85725350.6868,37868400.0,105272514.0,22463587.886627906,1395548.050816967,5639946.485924152,760425570.7221875,748813122.7221875,11540448.000000002,72000.0,362082677.66614297,2883555.1290622537,2864062.8083613307,14445867.717347054,541933047.5609218,0.0 
 01/01  02:00:00,256137110.28520645,0.0,0.0,85725350.6868,37868400.0,105272514.0,20195767.223686737,1600747.650697185,5474330.724022473,744480330.0794638,732867882.0794638,11540448.000000002,72000.0,377882965.5938074,1181269.9868825325,2864062.8160470507,13479486.890698307,556791661.0428665,0.0 
 01/01  03:00:00,261015806.95121656,0.0,0.0,85725350.6868,37868400.0,105272514.0,24190594.923590747,2559974.6081576889,5398972.7326680929,1010328295.4539127,988408761.5464952,11540448.000000002,10379085.907417568,520696294.86347916,1444480.942361326,2864062.8109649259,13039415.588333104,732386946.1554278,0.0 
 01/01  04:00:00,256208753.93801994,0.0,0.0,85725350.6868,37868400.0,105272514.0,20195767.223686737,1772720.958862672,5374001.068670536,772353172.347105,760740724.347105,11540448.000000002,72000.0,407788503.9698896,943856.8194713045,2864062.816679176,12893762.786096715,582458335.6217278,0.0 
 01/01  05:00:00,261984959.00221468,0.0,0.0,85725350.6868,37868400.0,105272514.0,24190594.923590747,2796036.7171233075,6132062.674700566,1048582449.8788788,1026662477.600883,11540448.000000002,10379524.277995915,553548276.2828976,672331.7984390662,2864062.805689576,16109133.964413945,762342356.4418269,0.0 
 01/01  06:00:00,257020222.8449232,0.0,0.0,85725350.6868,37868400.0,105272514.0,20195767.223686737,1877166.6358083047,6081024.298628147,793514453.4834036,781902005.4834036,11540448.000000002,72000.0,425914526.83724167,194362.6829819648,2864062.816986044,15888695.128810469,598532823.0045033,0.0 
 01/01  07:00:00,262075088.2394703,0.0,0.0,85725350.6868,37868400.0,105272514.0,24190594.923590747,2888281.272506181,6129947.356573366,1071304323.3877082,1049384435.7972899,11540448.000000002,10379439.590418337,571747884.7747045,24907.28429037723,2864062.816411568,16470719.825379638,779712175.470466,0.0 
 01/01  08:00:00,230772310.76100645,0.0,0.0,85725350.6868,12622800.0,105272514.0,20195767.223686737,1089087.5546911467,5866791.295828506,593973146.7484797,582360698.7484797,11540448.000000002,72000.0,295161533.0712917,0.0,2864062.814351479,15525983.381136127,466778214.3129756,0.0 
 01/01  09:00:00,220409232.72918607,0.0,0.0,85725350.6868,0.0,105272514.0,22256541.899802798,1251035.6779299295,5903790.464653304,697466120.6356062,675539644.4611518,11540448.000000002,10386028.17445437,305656272.78989347,0.0,4773437.859083681,15740815.580388017,505304549.93530538,0.0 
 01/01  10:00:00,214699965.36332346,0.0,0.0,85725350.6868,0.0,105272514.0,17120512.499757414,520232.07272339149,6061356.104042606,376144533.969502,364532085.969502,11540448.000000002,72000.0,144595205.73085729,3018446.06779618,4773437.836327098,16650548.85601331,286456264.325217,0.0 
 01/01  11:00:00,218403588.9462493,0.0,0.0,85725350.6868,0.0,105272514.0,20704500.63855678,543777.9482686216,6157445.672623907,411566923.6571017,389640832.38576397,11540448.000000002,10385643.271337755,139403175.2231277,27817003.648488664,4773437.842254182,17184256.280801637,287165193.25397649,0.0 
 01/01  12:00:00,215094244.54856128,0.0,0.0,85725350.6868,0.0,105272514.0,14922175.70142061,233293.64378906578,8940910.516551579,243408997.54292507,221482875.11670844,11540448.000000002,10385674.426216655,76903530.91266959,33398399.16352608,4773438.018322081,20737558.960020517,182361581.46747703,0.0 
 01/01  13:00:00,215729021.55245076,0.0,0.0,85725350.6868,0.0,105272514.0,18241791.912644876,229442.62911503615,6259922.323890806,259338164.47854043,247725716.47854043,11540448.000000002,72000.0,77933619.758573,40684328.11830631,4773438.004368394,17742133.691820597,199869105.84579645,0.0 
 01/01  14:00:00,210420264.3280191,0.0,0.0,85725350.6868,0.0,105272514.0,12867537.130766176,113823.47350573275,6441039.03694717,179402428.6395033,157475997.08978639,11540448.000000002,10385983.549716939,40993617.35253733,24282205.330693678,4773437.878993817,18815732.906592344,129066177.5207352,0.0 
 01/01  15:00:00,212855357.27902333,0.0,0.0,85725350.6868,0.0,105272514.0,15228322.009018373,124979.15304545927,6504191.430159499,198703959.3626022,187091511.3626022,11540448.000000002,72000.0,45571851.19390323,26599141.81818045,2864062.814623005,19190077.183183265,150543602.36324717,0.0 
 01/01  16:00:00,211141019.25114063,0.0,0.0,85725350.6868,0.0,105272514.0,13552416.654317657,126551.99486442979,6464185.91515855,192524238.92162634,170604643.4213341,11540448.000000002,10379147.500292279,40704123.20853417,16824488.044864544,2864062.8057701026,18949195.425096904,137555726.93694953,0.0 
 01/01  17:00:00,239847366.45012517,0.0,0.0,85725350.6868,25245600.0,105272514.0,17282960.579672807,207737.40900698486,6113203.774645366,265038205.0118844,253425757.0118844,11540448.000000002,72000.0,64907989.36791331,12671164.110210568,2864062.815920797,16843249.731842035,196514040.75224585,0.0 
 01/01  18:00:00,249929336.00841449,0.0,0.0,85725350.6868,37868400.0,105272514.0,14750955.820532743,202038.3059713327,6110077.195110377,254124678.20556838,232204736.91803823,11540448.000000002,10379493.287530166,65715488.953997749,10188672.830586382,2864062.7832673068,16824927.560783574,177904240.90086145,0.0 
 01/01  19:00:00,253950509.94371674,0.0,0.0,85725350.6868,37868400.0,105272514.0,18652719.626775765,328414.52200531525,6103111.108135617,358250552.7705157,346638104.7705157,11540448.000000002,72000.0,111286819.71640012,12372205.381495312,2864062.8162989735,16784105.366519438,256053439.93013666,0.0 
 01/01  20:00:00,250925354.49936206,0.0,0.0,85725350.6868,37868400.0,105272514.0,14922175.70142061,269957.35169389247,6866956.759447521,297596165.59719088,275676218.43750628,11540448.000000002,10379499.159684632,91953541.00991798,8690517.617398657,2864062.8149295325,20033562.57511223,207295049.91438855,0.0 
 01/01  21:00:00,254712777.4278581,0.0,0.0,85725350.6868,37868400.0,105272514.0,18652719.626775765,381530.0180979715,6812263.096184372,380581056.5423209,368968608.5423209,11540448.000000002,72000.0,129136482.99543199,10155381.111394406,2864062.8058663366,19791585.712986866,273224917.23502436,0.0 
 01/01  22:00:00,253571602.6337266,0.0,0.0,85725350.6868,37868400.0,105272514.0,17706735.645980557,615425.016850014,6383177.284096041,459886775.7249223,437966868.37825307,11540448.000000002,10379459.346669263,188839122.4276907,5628108.446802464,2864062.8154567715,17912242.802019594,303539555.44456908,0.0 
 01/01  23:00:00,257809528.37083689,0.0,0.0,85725350.6868,37868400.0,105272514.0,22170058.504114648,973300.6141982203,5799904.565724049,578835092.6884019,567222644.6884019,11540448.000000002,72000.0,262673961.7948415,5801038.799783552,2864062.8053865267,15377077.839577582,407522100.2537956,0.0 
 01/01  24:00:00,256685098.78450794,0.0,0.0,85725350.6868,37868400.0,105272514.0,18643725.962440716,720609.5112861347,8454498.623981055,438637662.3989984,427025214.3989984,11540448.000000002,72000.0,207889580.1743425,3632579.3443481849,2864062.8161839039,18347427.660830764,329978596.898821,0.0 
 01/02  01:00:00,259387973.43990667,0.0,0.0,85725350.6868,37868400.0,105272514.0,23628400.73371465,1248525.5181865222,5644782.50120545,664865906.9809203,642939487.5287333,11540448.000000002,10385971.452187062,306893590.2260078,4017249.877840877,4782611.735019205,14474382.683215494,466771468.9357007,0.0 
 01/02  02:00:00,254632049.64874236,0.0,0.0,85725350.6868,37868400.0,105272514.0,19258776.90722658,918163.3201831505,5588844.734532576,507714900.00806459,485789192.09694048,11540448.000000002,10385259.911124124,245545835.77650444,2611074.101872799,4782611.716970894,14147945.936431643,377237406.52522477,0.0 
 01/02  03:00:00,260019707.64162208,0.0,0.0,85725350.6868,37868400.0,105272514.0,24190594.923590747,1414408.517800646,5548439.513430655,689385719.7093179,677773271.7093179,11540448.000000002,72000.0,332740527.203713,2861932.532166251,4782611.746630849,13913150.813000637,496996378.1638615,0.0 
 01/02  04:00:00,254403685.25724215,0.0,0.0,85725350.6868,37868400.0,105272514.0,19071378.843934549,947365.1524918294,5518676.574015734,515685486.9820335,493759089.10441187,11540448.000000002,10385949.877621737,254328443.01569916,1796961.255468908,4782611.7127394699,13739668.76119123,384673005.92043307,0.0 
 01/02  05:00:00,260713715.32964457,0.0,0.0,85725350.6868,37868400.0,105272514.0,24190594.923590743,1366230.5078362716,6290625.211417541,676403398.5957184,654478082.0128002,11540448.000000002,10384868.582918136,322810908.8247154,2199229.665486312,4782611.639067963,17035836.418264364,481031225.4505573,0.0 
 01/02  06:00:00,255203407.05423863,0.0,0.0,85725350.6868,37868400.0,105272514.0,19258776.90722658,832794.5600173875,6245570.900194622,464152107.84546348,452539659.84546348,11540448.000000002,72000.0,231326589.9885821,1696923.613144197,4782611.746862763,16850087.199240325,354563759.7300753,0.0 
 01/02  07:00:00,278759581.3164483,0.0,16236.107524030094,85725350.6868,37868400.0,107346114.0,29590908.098184989,11951658.81809176,6260913.60584747,2591452402.7392475,2569525963.5542767,11540448.000000002,10385991.184971374,1001766141.2480028,16109748.480131653,4782611.685113865,17249495.440565394,1855595400.5743933,139889.7435866563 
 01/02  08:00:00,596391510.8586373,0.0,3395.4918584638678,435154064.4,12622800.0,107346114.0,29590908.098184989,4758721.90432281,6915506.9642710559,1890562031.938551,1868620816.8918248,11540448.000000002,10400767.046726605,589857997.112849,33522885.701201079,9565216.691281869,17782685.85376429,1451910682.1932767,29564.86795831647 
 01/02  09:00:00,744402757.2509617,0.0,25540.31878852562,435154064.4,0.0,270330255.0,29590908.098184989,2229218.595454294,7072770.838533833,1443140718.0319637,1314886340.5283223,86553360.0,41701017.50364135,163458496.47829575,44410386.313536617,32521686.306697664,18698758.98440018,1007817333.8883677,210110.48890740396 
 01/02  10:00:00,744112272.2782718,0.0,11441.745586499486,435154064.4,0.0,270330255.0,29590908.098184989,1813253.046579705,7212349.987920558,1315815484.8549708,1155741185.4510942,86553360.0,73520939.40387644,84205288.06691218,76317697.17882966,57391339.19144402,19449769.17527856,874548607.5825574,91019.65317143132 
 01/02  11:00:00,758264802.7128155,0.0,14485.80795860782,435154064.4,0.0,284728041.0,29590908.098184989,1491458.5678258788,7285844.83884613,1194970681.9130009,995465376.8640112,115404480.0,84100825.04898966,52291647.7426299,128373290.40876062,60260901.87613145,19684824.095699043,754696297.2953079,111424.37109762457 
 01/02  12:00:00,760827622.8257573,0.0,0.0,435154064.4,0.0,284728041.0,29590908.098184989,1301027.4434338317,10053581.884138294,1028023684.4042697,828284023.9340537,115404480.0,84335180.47021604,15655606.649288314,206520283.6644077,68869558.94999115,23183753.427514569,622695133.4714613,0.0 
 01/02  13:00:00,758062499.9973416,0.0,0.0,435154064.4,0.0,284728041.0,29590908.098184989,1251689.1549736777,7337797.344183019,993377959.6125617,782884368.2688288,115404480.0,95089111.34373304,8284069.826459234,236514432.79091556,75565259.75202489,19873705.589559925,591301740.3303446,0.0 
 01/02  14:00:00,743866284.8255637,0.0,0.0,435154064.4,0.0,270330255.0,29590908.098184989,1405588.3129300143,7385469.014448625,1043083118.4781427,890176852.7187915,57702240.0,95204025.75935139,8147406.4637746079,208866160.39571909,79391054.64086595,20384382.17045935,667824075.9698379,0.0 
 01/02  15:00:00,744039656.0646615,0.0,0.0,435154064.4,0.0,270330255.0,29590908.098184989,1598597.0553842339,7365831.511092266,1077120449.8528338,945880000.7837322,57702240.0,73538209.06910146,9200677.005089917,214056395.1042978,58347856.89656467,20425078.67938182,713640768.8959857,0.0 
 01/02  16:00:00,736675722.7878289,0.0,0.0,435154064.4,0.0,263131362.0,29590908.098184989,1514199.2654755628,7285189.0241683819,1016304723.7559402,920616496.3294141,11540448.000000002,84147779.42652616,18296131.828895779,216328881.21322838,62173950.24790414,19905922.86601082,702655908.0305548,0.0 
 01/02  17:00:00,761545119.011504,0.0,0.0,435154064.4,25245600.0,263131362.0,29590908.098184989,1548442.33810547,6874742.175213575,981521278.8969753,959580928.8602021,11540448.000000002,10399902.0367734,32700626.988162675,163609144.49935545,9565217.073628433,17367651.685093367,735051495.0111731,0.0 
 01/02  18:00:00,618724112.8378787,0.0,0.0,435154064.4,37868400.0,107346114.0,29590908.098184989,1942915.3569716989,6821710.9827219969,1198752401.790337,1176810914.839037,11540448.000000002,10401038.951299996,68553040.58545715,73099000.11691357,9565217.34491796,17161519.309475084,889433141.2154436,0.0 
 01/02  19:00:00,618731024.0703431,0.0,0.0,435154064.4,37868400.0,107346114.0,29590908.098184989,1949507.4413331412,6822030.130825024,1226489547.2131799,1183803570.7321487,11540448.000000002,31145528.481031225,83746966.72229098,69635511.54683557,18173876.685075616,17141796.689534598,898590559.4732299,0.0 
 01/02  20:00:00,619402236.0890415,0.0,0.0,435154064.4,37868400.0,107346114.0,29590908.098184989,1813453.565502627,7629296.025353931,1187905444.4323474,1145163394.1662312,11540448.000000002,31201602.26611621,86261647.22361969,68446009.5269206,23912980.96107631,20499351.43623986,867141837.556541,0.0 
 01/02  21:00:00,619281591.0724354,0.0,0.0,435154064.4,37868400.0,107346114.0,29590908.098184989,1717856.51039033,7604248.063860066,1144794508.5086656,1112447303.5633462,11540448.000000002,20806756.9453192,85531339.66153875,67783902.72009975,21043427.91592164,20312870.474332666,842405500.7210925,0.0 
 01/02  22:00:00,235332316.9334935,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.12731821563360899,6466052.11937524,42719893.69068285,0.0,11540448.000000002,31179445.69068285,0.0,0.0,21043423.777108708,18012353.298979246,0.0,0.0 
 01/02  23:00:00,236418318.7934078,0.0,0.0,85725350.6868,37868400.0,105272514.0,1558647.24548407,12952.330078453528,5980454.531045234,27925435.62641145,5977029.426920815,11540448.000000002,10407958.199490631,4035895.9195199797,10873143.973179592,11478258.750408253,16268358.752992519,6913854.400914634,0.0 
 01/02  24:00:00,245495464.9160586,0.0,0.0,85725350.6868,37868400.0,105272514.0,7793236.227420351,64958.97141572907,8771005.030422492,64209305.806584659,31945111.37299975,11540448.000000002,20723746.433584915,20357800.060510529,47463930.809460569,8608698.639623993,20040513.305583747,34869869.11244007,0.0 
 01/03  01:00:00,242272331.13513566,0.0,0.0,85725350.6868,37868400.0,105272514.0,7320537.321871821,87424.07938889515,5998105.0470748669,68540323.05913833,56927875.05913832,11540448.000000002,72000.0,25088430.705944484,28573052.082028595,4791611.489326719,16555577.330464738,52981087.88677206,0.0 
 01/03  02:00:00,252592277.39822925,0.0,0.0,85725350.6868,37868400.0,105272514.0,17566771.286840224,163850.46110458009,5995390.963484439,206591692.1990305,184665234.72786198,11540448.000000002,10386009.471168466,41321585.92187278,27465117.64614396,4791611.326855017,16537117.198885568,157509158.85678143,0.0 
 01/03  03:00:00,249599850.79160819,0.0,0.0,85725350.6868,37868400.0,105272514.0,14550421.41234071,187338.75724331919,5995825.935224172,215689123.18016459,193762607.8467437,11540448.000000002,10386067.333420882,52717622.656970079,15861185.444207408,4791611.564686969,16464251.059190467,153957834.27875877,0.0 
 01/03  04:00:00,253762894.18579979,0.0,0.0,85725350.6868,37868400.0,105272514.0,18652719.626775765,264504.8837794312,5979404.988444573,288339109.9086067,276726661.9086067,11540448.000000002,72000.0,81809405.05999328,17053952.653754068,4791611.160807518,16387951.630578872,215241440.18035398,0.0 
 01/03  05:00:00,253900910.7829642,0.0,0.0,85725350.6868,37868400.0,105272514.0,14922175.70142061,324254.8073627354,9788215.587380853,321437941.8129147,299512094.83585146,11540448.000000002,10385398.977063265,102616649.31244239,13176514.582819552,4791611.433621177,32659351.270137259,213097574.26920326,0.0 
 01/03  06:00:00,257108857.4811067,0.0,0.0,85725350.6868,37868400.0,105272514.0,18652719.626775765,446146.8174302286,9143726.35010071,412072533.6408217,390146628.83561459,11540448.000000002,10385456.805207225,148673294.33838196,15759153.772545837,4791611.544116435,29873994.826388129,291804703.2171762,0.0 
 01/03  07:00:00,279552683.6561211,0.0,21952.29793871753,85725350.6868,37868400.0,107346114.0,29590908.098184989,11392554.366274205,7607404.206923155,2639824442.6047637,2628211994.6047637,11540448.000000002,72000.0,933821072.9617217,33319008.65769636,4791611.565897582,23178084.536783548,1878727593.5666357,184556.94132939424 
 01/03  08:00:00,595831628.2095499,0.0,5092.390178069978,435154064.4,12622800.0,107346114.0,29590908.098184989,4181593.7809920485,6931055.540194698,1879906338.379892,1857964037.1974173,11540448.000000002,10401853.18247493,460672884.80969217,42233345.89119239,9583217.943598399,17874258.537274254,1437419839.7179919,48101.76232789943 
 01/03  09:00:00,744967652.8111234,0.0,15152.464565610971,435154064.4,0.0,270330255.0,29590908.098184989,2804394.0817283,7072878.766644521,1582181716.3615423,1453923144.0645142,86553360.0,41705212.2970278,101843406.36152365,61895714.142067808,32582865.42132029,18700392.68813507,1095177028.5192862,138106.126142102 
 01/03  10:00:00,744981270.9750925,0.0,8922.397164359916,435154064.4,0.0,270330255.0,29590908.098184989,2723585.661060512,7173535.418682804,1540862539.537251,1380787456.3288727,86553360.0,73521723.20837851,70929809.66989392,108142743.40814379,57499337.42285038,19298437.25691207,1041580458.1820573,82077.55854111862 
 01/03  11:00:00,759226332.9113638,0.0,11787.53844860755,435154064.4,0.0,284728041.0,29590908.098184989,2537167.177864163,7204364.696866086,1480737461.8048895,1281233773.597453,115404480.0,84099208.2074363,47333477.51650752,147300934.8390297,60374269.135983128,19471876.28688424,968689057.4909968,105769.84825022312 
