Time,PSZ-AC_1:6:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:6:DesPer 1:Des Heat Cap [W],PSZ-AC_1:6:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:6:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:6:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:6:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:6:DesPer 2:Des Heat Cap [W],PSZ-AC_1:6:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:6:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:6:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:5:DesPer 1:Des Heat Cap [W],PSZ-AC_2:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:5:DesPer 2:Des Heat Cap [W],PSZ-AC_2:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:5:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:7:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:7:DesPer 1:Des Heat Cap [W],PSZ-AC_2:7:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:7:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:7:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:7:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:7:DesPer 2:Des Heat Cap [W],PSZ-AC_2:7:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:7:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:7:DesPer 2:Des Tot Cool Cap [W],VAV_OTHER:DesPer 1:Des Heat Mass Flow [kg/s],VAV_OTHER:DesPer 1:Des Heat Cap [W],VAV_OTHER:DesPer 1:Des Cool Mass Flow [kg/s],VAV_OTHER:DesPer 1:Des Sens Cool Cap [W],VAV_OTHER:DesPer 1:Des Tot Cool Cap [W],VAV_OTHER:DesPer 2:Des Heat Mass Flow [kg/s],VAV_OTHER:DesPer 2:Des Heat Cap [W],VAV_OTHER:DesPer 2:Des Cool Mass Flow [kg/s],VAV_OTHER:DesPer 2:Des Sens Cool Cap [W],VAV_OTHER:DesPer 2:Des Tot Cool Cap [W],VAV_POD_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_1:DesPer 1:Des Heat Cap [W],VAV_POD_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_1:DesPer 1:Des Sens Cool Cap [W],VAV_POD_1:DesPer 1:Des Tot Cool Cap [W],VAV_POD_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_1:DesPer 2:Des Heat Cap [W],VAV_POD_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_1:DesPer 2:Des Sens Cool Cap [W],VAV_POD_1:DesPer 2:Des Tot Cool Cap [W],VAV_POD_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_2:DesPer 1:Des Heat Cap [W],VAV_POD_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_2:DesPer 1:Des Sens Cool Cap [W],VAV_POD_2:DesPer 1:Des Tot Cool Cap [W],VAV_POD_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_2:DesPer 2:Des Heat Cap [W],VAV_POD_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_2:DesPer 2:Des Sens Cool Cap [W],VAV_POD_2:DesPer 2:Des Tot Cool Cap [W],VAV_POD_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_3:DesPer 1:Des Heat Cap [W],VAV_POD_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_3:DesPer 1:Des Sens Cool Cap [W],VAV_POD_3:DesPer 1:Des Tot Cool Cap [W],VAV_POD_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_3:DesPer 2:Des Heat Cap [W],VAV_POD_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_3:DesPer 2:Des Sens Cool Cap [W],VAV_POD_3:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.370584E-01,1.443553E+04,2.370584E-01,0.000000E+00,0.000000E+00,2.370584E-01,4.211793E+03,2.370584E-01,2.267522E+03,7.670275E+03,1.260633E+00,7.676554E+04,1.260633E+00,0.000000E+00,0.000000E+00,1.260633E+00,2.239755E+04,1.260633E+00,1.205827E+04,4.078912E+04,2.664775E+00,1.622699E+05,2.664775E+00,0.000000E+00,0.000000E+00,2.664775E+00,4.734480E+04,2.664775E+00,2.548923E+04,8.622161E+04,4.436672E+00,9.209623E+04,2.633961E+00,0.000000E+00,0.000000E+00,2.633961E+00,0.000000E+00,2.633961E+00,2.519449E+04,8.522460E+04,4.695005E+00,1.074454E+05,3.054948E+00,0.000000E+00,0.000000E+00,3.054948E+00,0.000000E+00,3.054948E+00,2.922134E+04,9.884610E+04,3.644081E+00,9.250907E+04,2.589298E+00,0.000000E+00,0.000000E+00,2.589298E+00,0.000000E+00,2.589298E+00,2.476728E+04,8.377949E+04,3.658647E+00,8.625672E+04,2.441137E+00,0.000000E+00,0.000000E+00,2.441137E+00,0.000000E+00,2.441137E+00,2.335008E+04,7.898557E+04
00:20:00,2.370584E-01,1.443553E+04,2.370584E-01,0.000000E+00,0.000000E+00,2.370584E-01,4.237282E+03,2.370584E-01,2.242034E+03,7.573974E+03,1.260633E+00,7.676554E+04,1.260633E+00,0.000000E+00,0.000000E+00,1.260633E+00,2.253309E+04,1.260633E+00,1.192273E+04,4.027701E+04,2.664775E+00,1.622699E+05,2.664775E+00,0.000000E+00,0.000000E+00,2.664775E+00,4.763131E+04,2.664775E+00,2.520272E+04,8.513910E+04,4.438161E+00,9.209044E+04,2.633961E+00,0.000000E+00,0.000000E+00,2.633961E+00,0.000000E+00,2.633961E+00,2.491129E+04,8.415460E+04,4.697742E+00,1.074336E+05,3.054948E+00,0.000000E+00,0.000000E+00,3.054948E+00,0.000000E+00,3.054948E+00,2.889287E+04,9.760508E+04,3.646619E+00,9.249815E+04,2.589298E+00,0.000000E+00,0.000000E+00,2.589298E+00,0.000000E+00,2.589298E+00,2.448888E+04,8.272763E+04,3.660590E+00,8.624836E+04,2.441137E+00,0.000000E+00,0.000000E+00,2.441137E+00,0.000000E+00,2.441137E+00,2.308761E+04,7.799390E+04
00:30:00,2.370584E-01,1.443553E+04,2.370584E-01,0.000000E+00,0.000000E+00,2.370584E-01,4.262770E+03,2.370584E-01,2.216545E+03,7.478106E+03,1.260633E+00,7.676554E+04,1.260633E+00,0.000000E+00,0.000000E+00,1.260633E+00,2.266863E+04,1.260633E+00,1.178718E+04,3.976721E+04,2.664775E+00,1.622699E+05,2.664775E+00,0.000000E+00,0.000000E+00,2.664775E+00,4.791783E+04,2.664775E+00,2.491620E+04,8.406145E+04,4.439544E+00,9.208506E+04,2.633961E+00,0.000000E+00,0.000000E+00,2.633961E+00,0.000000E+00,2.633961E+00,2.462808E+04,8.308942E+04,4.700278E+00,1.074227E+05,3.054948E+00,0.000000E+00,0.000000E+00,3.054948E+00,0.000000E+00,3.054948E+00,2.856441E+04,9.636965E+04,3.648976E+00,9.248800E+04,2.589298E+00,0.000000E+00,0.000000E+00,2.589298E+00,0.000000E+00,2.589298E+00,2.421048E+04,8.168051E+04,3.662384E+00,8.624064E+04,2.441137E+00,0.000000E+00,0.000000E+00,2.441137E+00,0.000000E+00,2.441137E+00,2.282514E+04,7.700669E+04
00:40:00,2.370584E-01,1.443553E+04,2.370584E-01,0.000000E+00,0.000000E+00,2.370584E-01,4.288259E+03,2.370584E-01,2.191057E+03,7.382670E+03,1.260633E+00,7.676554E+04,1.260633E+00,0.000000E+00,0.000000E+00,1.260633E+00,2.280418E+04,1.260633E+00,1.165164E+04,3.925969E+04,2.664775E+00,1.622699E+05,2.664775E+00,0.000000E+00,0.000000E+00,2.664775E+00,4.820435E+04,2.664775E+00,2.462968E+04,8.298865E+04,4.440835E+00,9.208004E+04,2.633961E+00,0.000000E+00,0.000000E+00,2.633961E+00,0.000000E+00,2.633961E+00,2.434488E+04,8.202902E+04,4.702638E+00,1.074126E+05,3.054948E+00,0.000000E+00,0.000000E+00,3.054948E+00,0.000000E+00,3.054948E+00,2.823594E+04,9.513977E+04,3.651175E+00,9.247854E+04,2.589298E+00,0.000000E+00,0.000000E+00,2.589298E+00,0.000000E+00,2.589298E+00,2.393208E+04,8.063809E+04,3.664050E+00,8.623347E+04,2.441137E+00,0.000000E+00,0.000000E+00,2.441137E+00,0.000000E+00,2.441137E+00,2.256267E+04,7.602392E+04
00:50:00,2.370584E-01,1.443553E+04,2.370584E-01,0.000000E+00,0.000000E+00,2.370584E-01,4.313747E+03,2.370584E-01,2.165568E+03,7.287663E+03,1.260633E+00,7.676554E+04,1.260633E+00,0.000000E+00,0.000000E+00,1.260633E+00,2.293972E+04,1.260633E+00,1.151610E+04,3.875446E+04,2.664775E+00,1.622699E+05,2.664775E+00,0.000000E+00,0.000000E+00,2.664775E+00,4.849086E+04,2.664775E+00,2.434317E+04,8.192067E+04,4.442049E+00,9.207530E+04,2.633961E+00,0.000000E+00,0.000000E+00,2.633961E+00,0.000000E+00,2.633961E+00,2.406168E+04,8.097339E+04,4.704850E+00,1.074031E+05,3.054948E+00,0.000000E+00,0.000000E+00,3.054948E+00,0.000000E+00,3.054948E+00,2.790747E+04,9.391542E+04,3.653240E+00,9.246965E+04,2.589298E+00,0.000000E+00,0.000000E+00,2.589298E+00,0.000000E+00,2.589298E+00,2.365368E+04,7.960037E+04,3.665606E+00,8.622677E+04,2.441137E+00,0.000000E+00,0.000000E+00,2.441137E+00,0.000000E+00,2.441137E+00,2.230020E+04,7.504558E+04
01:00:00,2.370584E-01,1.443553E+04,2.370584E-01,0.000000E+00,0.000000E+00,2.370584E-01,4.339236E+03,2.370584E-01,2.140080E+03,7.193082E+03,1.260633E+00,7.676554E+04,1.260633E+00,0.000000E+00,0.000000E+00,1.260633E+00,2.307526E+04,1.260633E+00,1.138055E+04,3.825150E+04,2.664775E+00,1.622699E+05,2.664775E+00,0.000000E+00,0.000000E+00,2.664775E+00,4.877738E+04,2.664775E+00,2.405665E+04,8.085748E+04,4.443196E+00,9.207083E+04,2.633961E+00,0.000000E+00,0.000000E+00,2.633961E+00,0.000000E+00,2.633961E+00,2.377848E+04,7.992250E+04,4.706931E+00,1.073941E+05,3.054948E+00,0.000000E+00,0.000000E+00,3.054948E+00,0.000000E+00,3.054948E+00,2.757900E+04,9.269656E+04,3.655187E+00,9.246127E+04,2.589298E+00,0.000000E+00,0.000000E+00,2.589298E+00,0.000000E+00,2.589298E+00,2.337528E+04,7.856729E+04,3.667066E+00,8.622049E+04,2.441137E+00,0.000000E+00,0.000000E+00,2.441137E+00,0.000000E+00,2.441137E+00,2.203773E+04,7.407161E+04
01:10:00,2.370584E-01,1.443553E+04,2.370584E-01,0.000000E+00,0.000000E+00,2.370584E-01,4.356228E+03,2.370584E-01,2.123087E+03,7.130263E+03,1.260633E+00,7.676554E+04,1.260633E+00,0.000000E+00,0.000000E+00,1.260633E+00,2.316563E+04,1.260633E+00,1.129019E+04,3.791744E+04,2.664775E+00,1.622699E+05,2.664775E+00,0.000000E+00,0.000000E+00,2.664775E+00,4.896839E+04,2.664775E+00,2.386564E+04,8.015134E+04,4.444285E+00,9.206658E+04,2.633961E+00,0.000000E+00,0.000000E+00,2.633961E+00,0.000000E+00,2.633961E+00,2.358967E+04,7.922452E+04,4.708895E+00,1.073856E+05,3.054948E+00,0.000000E+00,0.000000E+00,3.054948E+00,0.000000E+00,3.054948E+00,2.736003E+04,9.188702E+04,3.657029E+00,9.245333E+04,2.589298E+00,0.000000E+00,0.000000E+00,2.589298E+00,0.000000E+00,2.589298E+00,2.318967E+04,7.788115E+04,3.668442E+00,8.621457E+04,2.441137E+00,0.000000E+00,0.000000E+00,2.441137E+00,0.000000E+00,2.441137E+00,2.186275E+04,7.342474E+04
01:20:00,2.370584E-01,1.443553E+04,2.370584E-01,0.000000E+00,0.000000E+00,2.370584E-01,4.373220E+03,2.370584E-01,2.106095E+03,7.067632E+03,1.260633E+00,7.676554E+04,1.260633E+00,0.000000E+00,0.000000E+00,1.260633E+00,2.325599E+04,1.260633E+00,1.119983E+04,3.758438E+04,2.664775E+00,1.622699E+05,2.664775E+00,0.000000E+00,0.000000E+00,2.664775E+00,4.915940E+04,2.664775E+00,2.367463E+04,7.944730E+04,4.445321E+00,9.206254E+04,2.633961E+00,0.000000E+00,0.000000E+00,2.633961E+00,0.000000E+00,2.633961E+00,2.340087E+04,7.852863E+04,4.710757E+00,1.073776E+05,3.054948E+00,0.000000E+00,0.000000E+00,3.054948E+00,0.000000E+00,3.054948E+00,2.714105E+04,9.107990E+04,3.658778E+00,9.244580E+04,2.589298E+00,0.000000E+00,0.000000E+00,2.589298E+00,0.000000E+00,2.589298E+00,2.300407E+04,7.719705E+04,3.669742E+00,8.620897E+04,2.441137E+00,0.000000E+00,0.000000E+00,2.441137E+00,0.000000E+00,2.441137E+00,2.168776E+04,7.277978E+04
01:30:00,2.370584E-01,1.443553E+04,2.370584E-01,0.000000E+00,0.000000E+00,2.370584E-01,4.390213E+03,2.370584E-01,2.089103E+03,7.005189E+03,1.260633E+00,7.676554E+04,1.260633E+00,0.000000E+00,0.000000E+00,1.260633E+00,2.334635E+04,1.260633E+00,1.110947E+04,3.725232E+04,2.664775E+00,1.622699E+05,2.664775E+00,0.000000E+00,0.000000E+00,2.664775E+00,4.935041E+04,2.664775E+00,2.348362E+04,7.874538E+04,4.446312E+00,9.205867E+04,2.633961E+00,0.000000E+00,0.000000E+00,2.633961E+00,0.000000E+00,2.633961E+00,2.321207E+04,7.783481E+04,4.712527E+00,1.073700E+05,3.054948E+00,0.000000E+00,0.000000E+00,3.054948E+00,0.000000E+00,3.054948E+00,2.692207E+04,9.027520E+04,3.660445E+00,9.243863E+04,2.589298E+00,0.000000E+00,0.000000E+00,2.589298E+00,0.000000E+00,2.589298E+00,2.281847E+04,7.651501E+04,3.670975E+00,8.620366E+04,2.441137E+00,0.000000E+00,0.000000E+00,2.441137E+00,0.000000E+00,2.441137E+00,2.151278E+04,7.213676E+04
01:40:00,2.370584E-01,1.443553E+04,2.370584E-01,0.000000E+00,0.000000E+00,2.370584E-01,4.407205E+03,2.370584E-01,2.072110E+03,6.942931E+03,1.260633E+00,7.676554E+04,1.260633E+00,0.000000E+00,0.000000E+00,1.260633E+00,2.343671E+04,1.260633E+00,1.101911E+04,3.692124E+04,2.664775E+00,1.622699E+05,2.664775E+00,0.000000E+00,0.000000E+00,2.664775E+00,4.954142E+04,2.664775E+00,2.329261E+04,7.804553E+04,4.447261E+00,9.205496E+04,2.633961E+00,0.000000E+00,0.000000E+00,2.633961E+00,0.000000E+00,2.633961E+00,2.302327E+04,7.714306E+04,4.714215E+00,1.073627E+05,3.054948E+00,0.000000E+00,0.000000E+00,3.054948E+00,0.000000E+00,3.054948E+00,2.670309E+04,8.947289E+04,3.662037E+00,9.243177E+04,2.589298E+00,0.000000E+00,0.000000E+00,2.589298E+00,0.000000E+00,2.589298E+00,2.263287E+04,7.583499E+04,3.672149E+00,8.619861E+04,2.441137E+00,0.000000E+00,0.000000E+00,2.441137E+00,0.000000E+00,2.441137E+00,2.133780E+04,7.149566E+04
