Time,CAV_1:DesPer 1:Des Heat Mass Flow [kg/s],CAV_1:DesPer 1:Des Heat Cap [W],CAV_1:DesPer 1:Des Cool Mass Flow [kg/s],CAV_1:DesPer 1:Des Sens Cool Cap [W],CAV_1:DesPer 1:Des Tot Cool Cap [W],CAV_1:DesPer 2:Des Heat Mass Flow [kg/s],CAV_1:DesPer 2:Des Heat Cap [W],CAV_1:DesPer 2:Des Cool Mass Flow [kg/s],CAV_1:DesPer 2:Des Sens Cool Cap [W],CAV_1:DesPer 2:Des Tot Cool Cap [W],CAV_2:DesPer 1:Des Heat Mass Flow [kg/s],CAV_2:DesPer 1:Des Heat Cap [W],CAV_2:DesPer 1:Des Cool Mass Flow [kg/s],CAV_2:DesPer 1:Des Sens Cool Cap [W],CAV_2:DesPer 1:Des Tot Cool Cap [W],CAV_2:DesPer 2:Des Heat Mass Flow [kg/s],CAV_2:DesPer 2:Des Heat Cap [W],CAV_2:DesPer 2:Des Cool Mass Flow [kg/s],CAV_2:DesPer 2:Des Sens Cool Cap [W],CAV_2:DesPer 2:Des Tot Cool Cap [W],VAV_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_1:DesPer 1:Des Heat Cap [W],VAV_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_1:DesPer 1:Des Sens Cool Cap [W],VAV_1:DesPer 1:Des Tot Cool Cap [W],VAV_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_1:DesPer 2:Des Heat Cap [W],VAV_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_1:DesPer 2:Des Sens Cool Cap [W],VAV_1:DesPer 2:Des Tot Cool Cap [W],VAV_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_2:DesPer 1:Des Heat Cap [W],VAV_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_2:DesPer 1:Des Sens Cool Cap [W],VAV_2:DesPer 1:Des Tot Cool Cap [W],VAV_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_2:DesPer 2:Des Heat Cap [W],VAV_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_2:DesPer 2:Des Sens Cool Cap [W],VAV_2:DesPer 2:Des Tot Cool Cap [W]
00:15:00,4.925607E+00,1.799502E+05,1.795181E+01,5.273113E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.708325E+05,4.456394E+05,3.119591E+00,1.114320E+05,1.410469E+01,7.344377E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.127575E+05,3.128611E+05,6.298991E+00,2.247957E+05,1.077504E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.116921E+01,1.757340E+05,3.565743E+05,1.207512E+01,4.158700E+05,3.263934E+01,3.163756E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.308189E+01,5.547151E+05,9.128048E+05
00:30:00,4.925655E+00,1.799500E+05,1.795181E+01,5.269502E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.700438E+05,4.424918E+05,3.119861E+00,1.114347E+05,1.410469E+01,7.344227E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.122755E+05,3.108378E+05,6.302761E+00,2.248086E+05,1.077729E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.116786E+01,1.747233E+05,3.529712E+05,1.208608E+01,4.159290E+05,3.263934E+01,3.164187E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.307610E+01,5.528267E+05,9.060686E+05
00:45:00,4.925698E+00,1.799499E+05,1.795181E+01,5.266098E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.692550E+05,4.393651E+05,3.120102E+00,1.114372E+05,1.410469E+01,7.344993E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.117935E+05,3.088346E+05,6.306311E+00,2.248207E+05,1.077955E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.117002E+01,1.737736E+05,3.494695E+05,1.209661E+01,4.159856E+05,3.263934E+01,3.164660E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.307082E+01,5.509504E+05,8.994128E+05
01:00:00,4.925737E+00,1.799497E+05,1.795181E+01,5.262868E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.684663E+05,4.362545E+05,3.120321E+00,1.114395E+05,1.410469E+01,7.346487E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.113115E+05,3.068483E+05,6.309607E+00,2.248360E+05,1.078181E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.117236E+01,1.728274E+05,3.459914E+05,1.210675E+01,4.160400E+05,3.263934E+01,3.165168E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.306595E+01,5.490834E+05,8.928284E+05
01:15:00,4.925773E+00,1.799496E+05,1.795181E+01,5.259782E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.679408E+05,4.341249E+05,3.120523E+00,1.114415E+05,1.410469E+01,7.348561E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.109903E+05,3.054672E+05,6.312585E+00,2.248503E+05,1.078408E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.117497E+01,1.722145E+05,3.437426E+05,1.211652E+01,4.160921E+05,3.263934E+01,3.165315E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.306149E+01,5.478258E+05,8.885154E+05
01:30:00,4.925807E+00,1.799495E+05,1.795181E+01,5.256817E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.674152E+05,4.320676E+05,3.120711E+00,1.114435E+05,1.410469E+01,7.351100E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.106691E+05,3.041248E+05,6.315442E+00,2.248642E+05,1.078634E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.117777E+01,1.716049E+05,3.415162E+05,1.212592E+01,4.161423E+05,3.263934E+01,3.165485E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.305735E+01,5.465748E+05,8.842566E+05
01:45:00,4.925838E+00,1.799494E+05,1.795181E+01,5.253955E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.668896E+05,4.300512E+05,3.120888E+00,1.114453E+05,1.410469E+01,7.354014E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.103479E+05,3.028061E+05,6.318189E+00,2.248779E+05,1.078859E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.118071E+01,1.709982E+05,3.393066E+05,1.213499E+01,4.161906E+05,3.263934E+01,3.165676E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.305347E+01,5.453296E+05,8.800433E+05
02:00:00,4.925867E+00,1.799493E+05,1.795181E+01,5.251180E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.663640E+05,4.280599E+05,3.121055E+00,1.114470E+05,1.410469E+01,7.357229E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.100266E+05,3.015034E+05,6.320878E+00,2.248872E+05,1.079084E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.118379E+01,1.703940E+05,3.371104E+05,1.214373E+01,4.162370E+05,3.263934E+01,3.165885E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.304985E+01,5.440894E+05,8.758694E+05
02:15:00,4.925895E+00,1.799491E+05,1.795181E+01,5.248479E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.659699E+05,4.265609E+05,3.121214E+00,1.114486E+05,1.410469E+01,7.360686E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.097857E+05,3.005028E+05,6.323690E+00,2.248969E+05,1.079308E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.118689E+01,1.699541E+05,3.355161E+05,1.215216E+01,4.162817E+05,3.263934E+01,3.166109E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.304642E+01,5.431532E+05,8.728149E+05
02:30:00,4.925922E+00,1.799490E+05,1.795181E+01,5.245842E+04,0.000000E+00,4.895949E+00,0.000000E+00,1.795181E+01,2.655757E+05,4.251036E+05,3.121365E+00,1.114502E+05,1.410469E+01,7.364339E+04,0.000000E+00,2.991909E+00,0.000000E+00,1.410469E+01,2.095448E+05,2.995246E+05,6.326487E+00,2.249065E+05,1.079531E+01,0.000000E+00,0.000000E+00,6.091895E+00,0.000000E+00,1.119000E+01,1.695147E+05,3.339317E+05,1.216029E+01,4.163247E+05,3.263934E+01,3.166347E+04,0.000000E+00,1.115719E+01,0.000000E+00,3.304317E+01,5.422207E+05,8.697920E+05
