Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,1037087145.5405349,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,43999912.087912078,92297877.75956513,6197540.272517738,0.0,3388745149.770733,3380862562.735414,7882587.035318983,0.0,2265041062.8706696,142162615.48728699,5654775.653159879,2438075004.9412515,719.6975027494905 
 01/01  02:00:00,1022374263.312305,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,43999912.087912078,76914898.13297095,6867637.670881887,0.0,3066937746.9872486,3059054878.924748,7882868.062500402,0.0,2227562277.676675,106179320.09892431,5654775.602717774,2354676634.782373,843.3261573872753 
 01/01  03:00:00,1044601881.4609552,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,43999912.087912078,96143622.66621368,9866531.286289256,0.0,4101354545.235015,4093472198.4224979,7882346.812517152,0.0,2943671213.209061,134063043.93527085,5654775.617259882,3098992845.555981,0.0 
 01/01  04:00:00,1022383277.188803,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,43999912.087912078,76914898.13297095,6876651.547379846,0.0,3072558980.147539,3064676022.110442,7882958.03709703,0.0,2239759651.353677,97787766.243898,5654775.595219892,2376344449.052204,0.0 
 01/01  05:00:00,1088671098.208758,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,87999824.17582415,96143622.66621368,9935835.946180037,0.0,4139153317.1938168,4131270668.059463,7882649.134353714,0.0,2964433078.367927,126686734.93451494,5654775.658661466,3126945832.474164,0.0 
 01/01  06:00:00,1154439743.3086148,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,175999648.3516483,76914898.13297095,6933381.403455481,0.0,3096757298.850149,3088863583.950695,7893714.899454114,0.0,2253965523.9819629,92439751.1163202,9895854.785064603,2395643616.6688787,0.0 
 01/01  07:00:00,1352791463.5278762,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,351999296.7032966,96143622.66621368,10056728.73782559,0.0,4185485433.153208,4177602514.97936,7882918.1738477549,0.0,2993418155.9891788,119539669.41086203,5654775.510120371,3159902153.482333,0.0 
 01/01  08:00:00,1270536188.5038706,0.0,0.0,134569963.08410803,73914000.0,538279852.336432,439999120.8791207,76914898.13297095,6858354.071238762,0.0,3058638299.9565389,3050756303.213193,7881996.743345448,0.0,2229277850.9740445,88196976.78381726,5654775.670805822,2373615629.418335,0.0 
 01/01  09:00:00,1216803494.7395144,0.0,0.0,134569963.08410803,0.0,538279852.336432,439999120.8791207,96143622.66621368,7810935.773639794,0.0,3485048749.757172,3477165927.669685,7882822.087487767,0.0,2489976730.207723,146727790.6723974,5654775.427335453,2639812647.591873,0.0 
 01/01  10:00:00,1062186302.5424258,0.0,0.0,134569963.08410803,0.0,538279852.336432,307999384.6153846,76914898.13297095,4422204.373530135,0.0,2191068129.3375999,2183185831.343428,7882297.994171441,0.0,1575468873.9324556,134863486.68276835,5654775.682671129,1696658890.9652844,1570.5744006273222 
 01/01  11:00:00,906303877.7569695,0.0,0.0,134569963.08410803,0.0,538279852.336432,131999736.26373624,96143622.66621368,5310703.406479431,0.0,2549390662.306177,2541507752.804427,7882909.501749837,0.0,1809054479.8904727,225341164.69686235,5654775.478668017,1920473961.209442,0.0 
