Time,BASEMENT:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BASEMENT:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:10:00,1.403417E+04,2.073955E+04,4.745823E-01,1.461919E+00,1.876121E+04,3.897330E+04,6.344324E-01,2.747225E+00,2.111511E+05,4.084841E+05,7.140326E+00,2.879401E+01,1.008452E+05,3.998005E+04,3.410200E+00,2.818184E+00,2.755340E+04,3.470921E+03,9.309958E-01,2.448247E-01,1.833674E+04,2.344205E+03,6.195653E-01,1.653540E-01,2.730265E+04,3.119709E+03,9.225221E-01,2.200445E-01,1.831523E+04,2.926462E+03,6.188386E-01,2.064377E-01,2.989426E+05,3.433545E+04,1.010096E+01,2.421872E+00,1.968564E+05,2.318026E+04,6.651462E+00,1.635068E+00,2.975610E+05,3.141342E+04,1.005427E+01,2.215706E+00,1.990133E+05,3.022870E+04,6.724341E+00,2.132394E+00,4.044015E+04,3.188021E+03,1.366469E+00,2.248620E-01,2.641970E+04,2.159634E+03,8.927043E-01,1.523296E-01,4.036682E+04,2.934551E+03,1.363989E+00,2.069788E-01,2.671546E+04,2.819900E+03,9.026981E-01,1.989159E-01
00:20:00,1.403192E+04,2.091884E+04,4.745059E-01,1.474555E+00,1.876030E+04,3.938287E+04,6.344018E-01,2.776087E+00,2.111413E+05,4.144971E+05,7.139994E+00,2.921777E+01,1.010206E+05,4.030735E+04,3.416131E+00,2.841247E+00,2.755347E+04,3.470138E+03,9.309978E-01,2.447696E-01,1.833678E+04,2.341130E+03,6.195667E-01,1.651370E-01,2.730270E+04,3.123165E+03,9.225238E-01,2.202887E-01,1.831527E+04,2.915186E+03,6.188399E-01,2.056414E-01,2.989446E+05,3.446612E+04,1.010103E+01,2.431095E+00,1.968577E+05,2.324804E+04,6.651507E+00,1.639851E+00,2.975628E+05,3.158775E+04,1.005433E+01,2.228011E+00,1.990146E+05,3.011976E+04,6.724386E+00,2.124699E+00,4.046088E+04,3.166925E+03,1.367170E+00,2.233740E-01,2.643312E+04,2.144285E+03,8.931580E-01,1.512468E-01,4.038761E+04,2.918020E+03,1.364692E+00,2.058130E-01,2.672886E+04,2.786172E+03,9.031510E-01,1.965355E-01
00:30:00,1.402969E+04,2.110416E+04,4.744308E-01,1.487615E+00,1.875944E+04,3.975023E+04,6.343727E-01,2.801973E+00,2.111319E+05,4.200354E+05,7.139675E+00,2.960807E+01,1.011897E+05,4.059053E+04,3.421849E+00,2.861200E+00,2.755353E+04,3.461409E+03,9.310000E-01,2.441528E-01,1.833682E+04,2.332740E+03,6.195681E-01,1.645443E-01,2.730275E+04,3.118867E+03,9.225256E-01,2.199849E-01,1.831531E+04,2.898253E+03,6.188414E-01,2.044451E-01,2.989465E+05,3.451587E+04,1.010109E+01,2.434597E+00,1.968590E+05,2.326113E+04,6.651551E+00,1.640767E+00,2.975646E+05,3.168289E+04,1.005439E+01,2.234719E+00,1.990159E+05,2.995704E+04,6.724430E+00,2.113203E+00,4.048080E+04,3.138422E+03,1.367843E+00,2.213624E-01,2.644601E+04,2.123915E+03,8.935936E-01,1.498090E-01,4.040757E+04,2.894223E+03,1.365367E+00,2.041338E-01,2.674173E+04,2.747636E+03,9.035858E-01,1.938152E-01
00:40:00,1.402751E+04,2.128712E+04,4.743569E-01,1.500510E+00,1.875861E+04,4.008412E+04,6.343446E-01,2.825499E+00,2.111226E+05,4.251752E+05,7.139362E+00,2.997027E+01,1.013527E+05,4.083687E+04,3.427360E+00,2.878555E+00,2.755359E+04,3.446806E+03,9.310022E-01,2.431209E-01,1.833686E+04,2.320434E+03,6.195695E-01,1.636748E-01,2.730281E+04,3.108804E+03,9.225274E-01,2.192738E-01,1.831535E+04,2.877189E+03,6.188428E-01,2.029569E-01,2.989484E+05,3.450304E+04,1.010116E+01,2.433677E+00,1.968602E+05,2.323202E+04,6.651593E+00,1.638702E+00,2.975663E+05,3.171653E+04,1.005445E+01,2.237081E+00,1.990172E+05,2.975424E+04,6.724473E+00,2.098873E+00,4.049992E+04,3.104283E+03,1.368489E+00,2.189526E-01,2.645839E+04,2.099732E+03,8.940118E-01,1.481019E-01,4.042674E+04,2.864871E+03,1.366014E+00,2.020620E-01,2.675408E+04,2.705599E+03,9.040031E-01,1.908475E-01
00:50:00,1.402536E+04,2.146786E+04,4.742842E-01,1.513248E+00,1.875779E+04,4.039115E+04,6.343171E-01,2.847133E+00,2.111135E+05,4.299759E+05,7.139053E+00,3.030857E+01,1.015098E+05,4.105209E+04,3.432673E+00,2.893717E+00,2.755366E+04,3.427887E+03,9.310043E-01,2.417841E-01,1.833690E+04,2.305261E+03,6.195709E-01,1.626028E-01,2.730286E+04,3.094479E+03,9.225292E-01,2.182616E-01,1.831539E+04,2.853137E+03,6.188442E-01,2.012576E-01,2.989501E+05,3.444166E+04,1.010122E+01,2.429327E+00,1.968614E+05,2.317027E+04,6.651634E+00,1.634331E+00,2.975680E+05,3.170223E+04,1.005451E+01,2.236055E+00,1.990184E+05,2.952168E+04,6.724513E+00,2.082441E+00,4.051828E+04,3.065862E+03,1.369109E+00,2.162404E-01,2.647027E+04,2.072661E+03,8.944133E-01,1.461908E-01,4.044515E+04,2.831275E+03,1.366637E+00,1.996904E-01,2.676594E+04,2.661049E+03,9.044038E-01,1.877023E-01
01:00:00,1.402325E+04,2.164636E+04,4.742127E-01,1.525828E+00,1.875700E+04,4.067637E+04,6.342901E-01,2.867229E+00,2.111043E+05,4.344842E+05,7.138744E+00,3.062626E+01,1.016613E+05,4.124072E+04,3.437796E+00,2.907005E+00,2.755372E+04,3.405831E+03,9.310063E-01,2.402257E-01,1.833694E+04,2.288016E+03,6.195723E-01,1.613845E-01,2.730291E+04,3.077035E+03,9.225309E-01,2.170290E-01,1.831543E+04,2.826956E+03,6.188455E-01,1.994081E-01,2.989518E+05,3.434248E+04,1.010127E+01,2.422307E+00,1.968626E+05,2.308320E+04,6.651672E+00,1.628171E+00,2.975696E+05,3.165042E+04,1.005456E+01,2.232381E+00,1.990195E+05,2.926723E+04,6.724552E+00,2.064464E+00,4.053592E+04,3.024197E+03,1.369705E+00,2.132991E-01,2.648168E+04,2.043410E+03,8.947988E-01,1.441257E-01,4.046283E+04,2.794443E+03,1.367234E+00,1.970905E-01,2.677732E+04,2.614735E+03,9.047886E-01,1.844327E-01
01:10:00,1.402509E+04,2.185683E+04,4.742752E-01,1.540661E+00,1.877439E+04,4.100847E+04,6.348782E-01,2.890629E+00,2.113069E+05,4.393972E+05,7.145593E+00,3.097247E+01,1.018074E+05,4.145444E+04,3.442738E+00,2.922061E+00,2.755618E+04,3.390614E+03,9.310895E-01,2.391496E-01,1.833853E+04,2.275188E+03,6.196258E-01,1.604776E-01,2.730538E+04,3.066410E+03,9.226145E-01,2.162773E-01,1.831702E+04,2.805230E+03,6.188991E-01,1.978728E-01,2.989800E+05,3.430537E+04,1.010222E+01,2.419664E+00,1.968808E+05,2.303584E+04,6.652287E+00,1.624812E+00,2.975978E+05,3.166076E+04,1.005551E+01,2.233089E+00,1.990377E+05,2.905664E+04,6.725166E+00,2.049581E+00,4.055286E+04,2.987227E+03,1.370278E+00,2.106889E-01,2.649264E+04,2.017153E+03,8.951692E-01,1.422718E-01,4.047982E+04,2.762284E+03,1.367808E+00,1.948199E-01,2.678826E+04,2.571876E+03,9.051582E-01,1.814068E-01
01:20:00,1.402695E+04,2.206577E+04,4.743380E-01,1.555387E+00,1.879168E+04,4.132738E+04,6.354630E-01,2.913100E+00,2.115082E+05,4.441022E+05,7.152402E+00,3.130403E+01,1.019484E+05,4.165006E+04,3.447506E+00,2.935843E+00,2.755862E+04,3.375310E+03,9.311720E-01,2.380676E-01,1.834010E+04,2.262332E+03,6.196790E-01,1.595691E-01,2.730784E+04,3.055671E+03,9.226975E-01,2.155177E-01,1.831859E+04,2.783513E+03,6.189523E-01,1.963385E-01,2.990078E+05,3.426048E+04,1.010317E+01,2.416473E+00,1.968988E+05,2.298327E+04,6.652896E+00,1.621086E+00,2.976258E+05,3.166308E+04,1.005646E+01,2.233232E+00,1.990557E+05,2.884497E+04,6.725775E+00,2.034625E+00,4.056915E+04,2.949991E+03,1.370829E+00,2.080602E-01,2.650317E+04,1.990710E+03,8.955251E-01,1.404050E-01,4.049615E+04,2.729811E+03,1.368360E+00,1.925274E-01,2.679877E+04,2.529308E+03,9.055133E-01,1.784018E-01
01:30:00,1.402882E+04,2.227301E+04,4.744012E-01,1.569992E+00,1.880888E+04,4.163435E+04,6.360445E-01,2.934731E+00,2.117084E+05,4.486118E+05,7.159169E+00,3.162183E+01,1.020845E+05,4.182920E+04,3.452109E+00,2.948464E+00,2.756105E+04,3.360348E+03,9.312540E-01,2.370099E-01,1.834167E+04,2.249740E+03,6.197318E-01,1.586792E-01,2.731028E+04,3.045237E+03,9.227799E-01,2.147798E-01,1.832016E+04,2.762119E+03,6.190051E-01,1.948270E-01,2.990355E+05,3.421194E+04,1.010410E+01,2.413026E+00,1.969167E+05,2.292831E+04,6.653500E+00,1.617194E+00,2.976535E+05,3.166140E+04,1.005740E+01,2.233093E+00,1.990736E+05,2.863515E+04,6.726378E+00,2.019800E+00,4.058482E+04,2.912927E+03,1.371358E+00,2.054436E-01,2.651329E+04,1.964378E+03,8.958672E-01,1.385461E-01,4.051185E+04,2.697450E+03,1.368891E+00,1.902430E-01,2.680887E+04,2.487333E+03,9.058547E-01,1.754387E-01
01:40:00,1.403070E+04,2.247864E+04,4.744648E-01,1.584485E+00,1.882598E+04,4.193108E+04,6.366227E-01,2.955641E+00,2.119073E+05,4.529444E+05,7.165896E+00,3.192717E+01,1.022160E+05,4.199398E+04,3.456554E+00,2.960073E+00,2.756345E+04,3.346129E+03,9.313354E-01,2.360047E-01,1.834322E+04,2.237682E+03,6.197843E-01,1.578270E-01,2.731270E+04,3.035504E+03,9.228617E-01,2.140913E-01,1.832171E+04,2.741337E+03,6.190575E-01,1.933590E-01,2.990629E+05,3.416378E+04,1.010503E+01,2.409607E+00,1.969344E+05,2.287371E+04,6.654098E+00,1.613326E+00,2.976810E+05,3.165966E+04,1.005833E+01,2.232952E+00,1.990913E+05,2.842995E+04,6.726977E+00,2.005304E+00,4.059988E+04,2.876457E+03,1.371867E+00,2.028692E-01,2.652303E+04,1.938446E+03,8.961962E-01,1.367155E-01,4.052695E+04,2.665618E+03,1.369401E+00,1.879959E-01,2.681858E+04,2.446238E+03,9.061829E-01,1.725378E-01
