Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,1034905591.2200176,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,43999912.087912078,90374488.1763477,5939375.535217907,0.0,3487733778.1349728,3479650897.0676724,8082881.067300533,0.0,2157478765.492221,160778478.00381319,5654775.637016885,2322344765.7548549,698.4821014893023 
 01/01  02:00:00,1020546329.316219,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,43999912.087912078,75312073.48028974,6642528.327477159,0.0,3166724956.917798,3158641793.6684968,8083163.249301407,0.0,2129633916.9384077,124103875.55299175,5654775.597017672,2248697044.0149176,972.8098706680571 
 01/01  03:00:00,1042303217.2606189,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,43999912.087912078,94140091.85036218,9571397.90180472,0.0,4221321304.2305109,4213238676.721821,8082627.508690035,0.0,2815371939.5147588,158710113.30632628,5654775.617616233,2959132795.807403,0.0 
 01/01  04:00:00,1020555557.6364315,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,43999912.087912078,75312073.48028974,6651756.647689729,0.0,3157082991.2403767,3148999737.1396467,8083254.1007299949,0.0,2136715746.5421818,115828187.3412085,5654775.593615314,2265438554.673418,0.0 
 01/01  05:00:00,1086335681.6364589,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,87999824.17582415,94140091.85036218,9603950.189732386,0.0,4250722420.9476735,4242639483.648401,8082937.299272685,0.0,2827627467.50634,151286198.4997683,5654775.660086269,2978769916.6323406,0.0 
 01/01  06:00:00,1152592777.299441,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,175999648.3516483,75312073.48028974,6689240.046963132,0.0,3174432967.7954719,3166338680.9733736,8094286.822098367,0.0,2144260016.4457865,111189859.56535879,9895854.725782488,2277569728.2116539,0.0 
 01/01  07:00:00,1350440203.1561166,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,351999296.7032966,94140091.85036218,9708999.181917683,0.0,4291501865.352828,4283418652.1359388,8083213.21688907,0.0,2851084909.774119,145053405.5524886,5654775.496447129,3006188289.1366565,0.0 
 01/01  08:00:00,1268689142.0492886,0.0,0.0,134569963.08410803,73914000.0,538279852.336432,439999120.8791207,75312073.48028974,6614132.269338048,0.0,3135872456.883754,3127790188.82759,8082268.056163336,0.0,2121488304.670379,107558845.4686833,5654775.6716256919,2257527944.0861656,0.0 
 01/01  09:00:00,1214600024.6482993,0.0,0.0,134569963.08410803,0.0,538279852.336432,439999120.8791207,94140091.85036218,7610996.498276425,0.0,3600009048.768368,3591925934.2154328,8083114.552935065,0.0,2387100124.7727615,170252219.2632568,5654775.429213641,2528052644.5548965,0.0 
 01/01  10:00:00,1060438499.366126,0.0,0.0,134569963.08410803,0.0,538279852.336432,307999384.6153846,75312073.48028974,4277225.849911674,0.0,2254094400.6495316,2246011823.53724,8082577.11229132,0.0,1513383114.4611283,149968739.51577194,5654775.682905565,1630763778.1804083,1587.076617983675 
 01/01  11:00:00,904083010.7723754,0.0,0.0,134569963.08410803,0.0,538279852.336432,131999736.26373624,94140091.85036218,5093367.237736836,0.0,2643632134.813063,2635548930.6054117,8083204.207651642,0.0,1735565817.5702606,239440218.4513771,5654775.480503457,1847324321.2549177,0.0 
 01/01  12:00:00,883329195.7188687,0.0,0.0,134569963.08410803,0.0,538279852.336432,131999736.26373624,75312073.48028974,3167570.554302785,0.0,1754531865.6052554,1738423263.4632257,16108602.142029705,0.0,1196396847.5181089,210335140.23109705,8482163.506097008,1284135861.292388,0.0 
 01/01  13:00:00,903115547.8357532,0.0,0.0,134569963.08410803,0.0,538279852.336432,131999736.26373624,94140091.85036218,4125904.301114816,0.0,2365552545.807207,2357462402.8339269,8090142.973280333,0.0,1530387167.1653305,214706399.12305177,8482163.480235162,1691956059.2398079,0.0 
 01/01  14:00:00,882946643.9771593,0.0,0.0,134569963.08410803,0.0,538279852.336432,131999736.26373624,75312073.48028974,2785018.812593224,0.0,1796662626.6078926,1772501755.9821497,24160870.62574292,0.0,1164295123.0450793,151382531.18489418,12723241.68556546,1322480937.816373,0.0 
 01/01  15:00:00,902676174.4308636,0.0,0.0,134569963.08410803,0.0,538279852.336432,131999736.26373624,94140091.85036218,3686530.896225152,0.0,2430927214.3571469,2422836577.2055017,8090637.151645055,0.0,1519547455.8482309,201169028.33930276,8482163.246720737,1706083870.0751484,0.0 
 01/01  16:00:00,882914220.4207083,0.0,0.0,134569963.08410803,0.0,538279852.336432,131999736.26373624,75312073.48028974,2752595.2561423585,0.0,1880788443.060775,1872705189.5266517,8083253.534123345,0.0,1203750093.2692044,149177976.68912555,5654775.430883389,1367438426.3277226,0.0 
 01/01  17:00:00,1226879448.0416094,0.0,0.0,134569963.08410803,147828000.0,538279852.336432,307999384.6153846,94140091.85036218,4062156.1553227074,0.0,2672254325.706502,2664171827.5055305,8082498.200971682,0.0,1658196157.081211,193412101.5709651,5654775.67779856,1850734623.7079223,0.0 
 01/01  18:00:00,1412909571.4508525,0.0,0.0,134569963.08410803,221742000.0,538279852.336432,439999120.8791207,75312073.48028974,3006561.670901816,0.0,2019941722.1307026,2011858596.1666985,8083125.964004389,0.0,1295425479.3189202,141082309.06796143,5654775.472576689,1463750633.5798598,0.0 
