Time,BASEMENT:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BASEMENT:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:10:00,1.249578E+04,2.509330E+04,4.225598E-01,1.768810E+00,1.643264E+04,3.901669E+04,5.556891E-01,2.750284E+00,1.850088E+05,4.044483E+05,6.256293E+00,2.850954E+01,9.502370E+04,4.040584E+04,3.213339E+00,2.848199E+00,2.610385E+04,3.316920E+03,8.820139E-01,2.339591E-01,1.737490E+04,2.227856E+03,5.870645E-01,1.571448E-01,2.587271E+04,3.070922E+03,8.742033E-01,2.166025E-01,1.735612E+04,2.720515E+03,5.864300E-01,1.919061E-01,2.823258E+05,3.270931E+04,9.539462E+00,2.307141E+00,1.860554E+05,2.188855E+04,6.286491E+00,1.543929E+00,2.810452E+05,3.054515E+04,9.496186E+00,2.154448E+00,1.879893E+05,2.823611E+04,6.351834E+00,1.991798E+00,3.837761E+04,3.164388E+03,1.296771E+00,2.231953E-01,2.509040E+04,2.119363E+03,8.477852E-01,1.494887E-01,3.831679E+04,2.970568E+03,1.294715E+00,2.095206E-01,2.535563E+04,2.725747E+03,8.567473E-01,1.922731E-01
00:20:00,1.249327E+04,2.535703E+04,4.224746E-01,1.787398E+00,1.643150E+04,3.943145E+04,5.556507E-01,2.779511E+00,1.849971E+05,4.104477E+05,6.255898E+00,2.893234E+01,9.521246E+04,4.080313E+04,3.219722E+00,2.876195E+00,2.610389E+04,3.322271E+03,8.820152E-01,2.343369E-01,1.737493E+04,2.229002E+03,5.870654E-01,1.572257E-01,2.587274E+04,3.079316E+03,8.742043E-01,2.171953E-01,1.735615E+04,2.714579E+03,5.864308E-01,1.914868E-01,2.823277E+05,3.289663E+04,9.539525E+00,2.320362E+00,1.860567E+05,2.199427E+04,6.286534E+00,1.551390E+00,2.810470E+05,3.076517E+04,9.496246E+00,2.169978E+00,1.879906E+05,2.817981E+04,6.351877E+00,1.987821E+00,3.840024E+04,3.156988E+03,1.297536E+00,2.226736E-01,2.510506E+04,2.113078E+03,8.482806E-01,1.490455E-01,3.833950E+04,2.966768E+03,1.295482E+00,2.092530E-01,2.537027E+04,2.702597E+03,8.572419E-01,1.906392E-01
00:30:00,1.249079E+04,2.560972E+04,4.223910E-01,1.805207E+00,1.643052E+04,3.980419E+04,5.556176E-01,2.805776E+00,1.849871E+05,4.159764E+05,6.255559E+00,2.932196E+01,9.539621E+04,4.115316E+04,3.225936E+00,2.900860E+00,2.610394E+04,3.319844E+03,8.820169E-01,2.341650E-01,1.737497E+04,2.224942E+03,5.870666E-01,1.569386E-01,2.587278E+04,3.080090E+03,8.742057E-01,2.172494E-01,1.735618E+04,2.703132E+03,5.864320E-01,1.906779E-01,2.823297E+05,3.300488E+04,9.539592E+00,2.327994E+00,1.860580E+05,2.204672E+04,6.286579E+00,1.555085E+00,2.810488E+05,3.090765E+04,9.496308E+00,2.180027E+00,1.879920E+05,2.807101E+04,6.351923E+00,1.980132E+00,3.842215E+04,3.141865E+03,1.298277E+00,2.216061E-01,2.511926E+04,2.101578E+03,8.487603E-01,1.482335E-01,3.836150E+04,2.955355E+03,1.296226E+00,2.084475E-01,2.538444E+04,2.674400E+03,8.577207E-01,1.886486E-01
00:40:00,1.248836E+04,2.585319E+04,4.223087E-01,1.822366E+00,1.642965E+04,4.014362E+04,5.555882E-01,2.829693E+00,1.849781E+05,4.211098E+05,6.255256E+00,2.968371E+01,9.557472E+04,4.146326E+04,3.231973E+00,2.922710E+00,2.610400E+04,3.311596E+03,8.820190E-01,2.335817E-01,1.737501E+04,2.216997E+03,5.870680E-01,1.563770E-01,2.587283E+04,3.075133E+03,8.742074E-01,2.168986E-01,1.735623E+04,2.687607E+03,5.864334E-01,1.895808E-01,2.823317E+05,3.305140E+04,9.539661E+00,2.331263E+00,1.860594E+05,2.205765E+04,6.286625E+00,1.555847E+00,2.810507E+05,3.098939E+04,9.496372E+00,2.185784E+00,1.879933E+05,2.792257E+04,6.351969E+00,1.969640E+00,3.844336E+04,3.120715E+03,1.298993E+00,2.201128E-01,2.513299E+04,2.086016E+03,8.492244E-01,1.471347E-01,3.838279E+04,2.937980E+03,1.296945E+00,2.072206E-01,2.539815E+04,2.642404E+03,8.581840E-01,1.863894E-01
00:50:00,1.248597E+04,2.608889E+04,4.222278E-01,1.838977E+00,1.642883E+04,4.045631E+04,5.555605E-01,2.851725E+00,1.849696E+05,4.259068E+05,6.254967E+00,3.002175E+01,9.574772E+04,4.173925E+04,3.237823E+00,2.942155E+00,2.610406E+04,3.299011E+03,8.820212E-01,2.326920E-01,1.737505E+04,2.206168E+03,5.870694E-01,1.556117E-01,2.587289E+04,3.065888E+03,8.742093E-01,2.162448E-01,1.735627E+04,2.669081E+03,5.864349E-01,1.882717E-01,2.823337E+05,3.304947E+04,9.539728E+00,2.331109E+00,1.860607E+05,2.203610E+04,6.286671E+00,1.554313E+00,2.810526E+05,3.102331E+04,9.496435E+00,2.188161E+00,1.879947E+05,2.774422E+04,6.352014E+00,1.957036E+00,3.846385E+04,3.094844E+03,1.299686E+00,2.182859E-01,2.514625E+04,2.067283E+03,8.496725E-01,1.458118E-01,3.840335E+04,2.915914E+03,1.297640E+00,2.056625E-01,2.541139E+04,2.607560E+03,8.586314E-01,1.839292E-01
01:00:00,1.248361E+04,2.631801E+04,4.221482E-01,1.855124E+00,1.642805E+04,4.074726E+04,5.555339E-01,2.872226E+00,1.849613E+05,4.304137E+05,6.254685E+00,3.033934E+01,9.591533E+04,4.198576E+04,3.243491E+00,2.959522E+00,2.610413E+04,3.283214E+03,8.820234E-01,2.315754E-01,1.737509E+04,2.193215E+03,5.870709E-01,1.546963E-01,2.587294E+04,3.053452E+03,8.742112E-01,2.153656E-01,1.735631E+04,2.648371E+03,5.864363E-01,1.868085E-01,2.823356E+05,3.300933E+04,9.539793E+00,2.328257E+00,1.860620E+05,2.198900E+04,6.286714E+00,1.550976E+00,2.810544E+05,3.101937E+04,9.496496E+00,2.187865E+00,1.879960E+05,2.754341E+04,6.352058E+00,1.942846E+00,3.848363E+04,3.065264E+03,1.300354E+00,2.161972E-01,2.515905E+04,2.046067E+03,8.501052E-01,1.443137E-01,3.842321E+04,2.890148E+03,1.298311E+00,2.038430E-01,2.542417E+04,2.570597E+03,8.590633E-01,1.813194E-01
01:10:00,1.248553E+04,2.657627E+04,4.222131E-01,1.873326E+00,1.644559E+04,4.108529E+04,5.561270E-01,2.896044E+00,1.851661E+05,4.353299E+05,6.261611E+00,3.068578E+01,9.607775E+04,4.225460E+04,3.248983E+00,2.978464E+00,2.610663E+04,3.274157E+03,8.821081E-01,2.309340E-01,1.737671E+04,2.184601E+03,5.871254E-01,1.540869E-01,2.587546E+04,3.047747E+03,8.742963E-01,2.149610E-01,1.735793E+04,2.632027E+03,5.864909E-01,1.856531E-01,2.823643E+05,3.303078E+04,9.540763E+00,2.329747E+00,1.860806E+05,2.198127E+04,6.287342E+00,1.550414E+00,2.810832E+05,3.107718E+04,9.497471E+00,2.191922E+00,1.880145E+05,2.738573E+04,6.352685E+00,1.931698E+00,3.850274E+04,3.039888E+03,1.301000E+00,2.144048E-01,2.517142E+04,2.027524E+03,8.505230E-01,1.430040E-01,3.844239E+04,2.868569E+03,1.298959E+00,2.023188E-01,2.543651E+04,2.536717E+03,8.594804E-01,1.789270E-01
01:20:00,1.248746E+04,2.683020E+04,4.222784E-01,1.891222E+00,1.646304E+04,4.141017E+04,5.567171E-01,2.918936E+00,1.853698E+05,4.400396E+05,6.268499E+00,3.101767E+01,9.623518E+04,4.250271E+04,3.254307E+00,2.995945E+00,2.610912E+04,3.264866E+03,8.821922E-01,2.302764E-01,1.737831E+04,2.175859E+03,5.871796E-01,1.534686E-01,2.587797E+04,3.041793E+03,8.743808E-01,2.145391E-01,1.735953E+04,2.615574E+03,5.865451E-01,1.844904E-01,2.823928E+05,3.304323E+04,9.541726E+00,2.330603E+00,1.860990E+05,2.196756E+04,6.287964E+00,1.549432E+00,2.811118E+05,3.112588E+04,9.498437E+00,2.195339E+00,1.880329E+05,2.722582E+04,6.353307E+00,1.920395E+00,3.852120E+04,3.013752E+03,1.301624E+00,2.125591E-01,2.518336E+04,2.008473E+03,8.509266E-01,1.416587E-01,3.846092E+04,2.846195E+03,1.299585E+00,2.007386E-01,2.544843E+04,2.502753E+03,8.598832E-01,1.765289E-01
01:30:00,1.248941E+04,2.708001E+04,4.223442E-01,1.908827E+00,1.648040E+04,4.172315E+04,5.573042E-01,2.940991E+00,1.855723E+05,4.445556E+05,6.275348E+00,3.133593E+01,9.638782E+04,4.273183E+04,3.259469E+00,3.012088E+00,2.611160E+04,3.255759E+03,8.822757E-01,2.296319E-01,1.737990E+04,2.167272E+03,5.872335E-01,1.528614E-01,2.588045E+04,3.036003E+03,8.744649E-01,2.141287E-01,1.736112E+04,2.599319E+03,5.865989E-01,1.833417E-01,2.824211E+05,3.305070E+04,9.542680E+00,2.331108E+00,1.861173E+05,2.195061E+04,6.288582E+00,1.548221E+00,2.811402E+05,3.116940E+04,9.499396E+00,2.198390E+00,1.880512E+05,2.706651E+04,6.353924E+00,1.909136E+00,3.853905E+04,2.987303E+03,1.302227E+00,2.106914E-01,2.519490E+04,1.989217E+03,8.513166E-01,1.402990E-01,3.847883E+04,2.823460E+03,1.300191E+00,1.991331E-01,2.545995E+04,2.469015E+03,8.602724E-01,1.741469E-01
01:40:00,1.249136E+04,2.732614E+04,4.224103E-01,1.926174E+00,1.649766E+04,4.202590E+04,5.578881E-01,2.962325E+00,1.857737E+05,4.488959E+05,6.282159E+00,3.164180E+01,9.653587E+04,4.294418E+04,3.264475E+00,3.027051E+00,2.611405E+04,3.247236E+03,8.823587E-01,2.290286E-01,1.738149E+04,2.159111E+03,5.872870E-01,1.522843E-01,2.588292E+04,3.030768E+03,8.745483E-01,2.137576E-01,1.736271E+04,2.583549E+03,5.866524E-01,1.822274E-01,2.824491E+05,3.305716E+04,9.543627E+00,2.331544E+00,1.861354E+05,2.193313E+04,6.289194E+00,1.546974E+00,2.811684E+05,3.121163E+04,9.500347E+00,2.201350E+00,1.880693E+05,2.691055E+04,6.354536E+00,1.898115E+00,3.855630E+04,2.960980E+03,1.302810E+00,2.088326E-01,2.520605E+04,1.970053E+03,8.516935E-01,1.389458E-01,3.849614E+04,2.800798E+03,1.300776E+00,1.975328E-01,2.547108E+04,2.435801E+03,8.606485E-01,1.718022E-01
