Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,30070245.857928728,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,12380265.636634184,0.000014538461538461542,90369047.42954678,90297047.42954678,72000.0,79211067.32928609,0.0,66266.90267790991,70431696.9950465,0.0 
 01/01  02:00:00,27941619.29132729,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,10251639.070032752,0.000014538461538461542,118869692.21566734,117238620.71412975,1631071.5015375959,97674854.2195955,0.0,66266.90267790991,91446124.1570212,0.0 
 01/01  03:00:00,30504529.058835478,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,12814548.83754094,0.000014538461538461542,155147979.5401069,155075979.5401069,72000.0,125851415.09268922,0.0,66266.90267790991,120959264.04128337,0.0 
 01/01  04:00:00,27941619.29132729,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,10251639.070032752,0.000014538461538461542,117326808.48006325,115695763.61315479,1631044.866908466,96495444.01673503,0.0,66266.90267790991,90242695.61826074,0.0 
 01/01  05:00:00,30504529.058835478,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,12814548.83754094,0.000014538461538461542,157087905.11334006,155456797.89869017,1631107.214649897,126117377.70000932,0.0,66266.90267790991,121256302.36097834,0.0 
 01/01  06:00:00,27941619.29132729,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,10251639.070032752,0.000014538461538461542,115538711.3010573,115466711.3010573,72000.0,96331796.00836681,0.0,115967.07968634236,90064034.81482467,0.0 
 01/01  07:00:00,30504529.058835478,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,12814548.83754094,0.000014538461538461542,155787930.048039,154156820.46642889,1631109.5816101225,123072496.34273705,0.0,66266.90267790991,120242319.96381453,0.0 
 01/01  08:00:00,21303219.29132729,0.0,0.0,1792322.3073600005,3319200.0,5940057.91392,10251639.070032752,0.000014538461538461542,116413113.40445888,114782111.0211358,1631002.3833230865,95620814.32129759,0.0,66266.90267790991,89530046.59648593,0.0 
 01/01  09:00:00,20546929.05883548,0.0,0.0,1792322.3073600005,0.0,5940057.91392,12814548.83754094,0.000014538461538461542,135828398.58875174,135756398.58875174,72000.0,107418434.41077659,0.0,66266.90267790991,105889990.89922634,0.0 
 01/01  10:00:00,17984019.291327295,0.0,0.0,1792322.3073600005,0.0,5940057.91392,10251639.070032752,0.000014538461538461542,87802177.99527107,86171059.71406561,1631118.2812054624,72288771.79820377,0.0,66266.90267790991,67213426.57697118,0.0 
 01/01  11:00:00,20546929.05883548,0.0,0.0,1792322.3073600005,0.0,5940057.91392,12814548.83754094,0.000014538461538461542,99054219.87973479,97423117.911457,1631101.9682777832,83193639.68498922,0.0,66266.90267790991,75990031.97093648,0.0 
 01/01  12:00:00,17984019.291327295,0.0,0.0,1792322.3073600005,0.0,5940057.91392,10251639.070032752,0.000014538461538461542,59588889.8319843,59516889.8319843,72000.0,52934659.50890146,0.0,99400.35401686483,46423174.06894776,0.0 
 01/01  13:00:00,20546929.05883548,0.0,0.0,1792322.3073600005,0.0,5940057.91392,12814548.83754094,0.000014538461538461542,74130353.10994222,72499283.28285487,1631069.8270873347,62537668.363520998,0.0,99400.35401686483,56549440.960626799,0.0 
 01/01  14:00:00,17788272.409840093,0.0,0.0,1792322.3073600005,0.0,5940057.91392,10055892.188545552,0.000014538461538461542,52166273.86014457,50535143.3970783,1631130.4630662769,45916586.30594223,0.0,149100.53102529728,39417411.849721077,0.0 
 01/01  15:00:00,19763941.532886678,0.0,0.0,1792322.3073600005,0.0,5940057.91392,12031561.311592136,0.000014538461538461542,66967196.39283751,66895196.39283751,72000.0,58656769.21659468,0.0,99400.35401686482,52178253.18641326,0.0 
 01/01  16:00:00,16732705.732652057,0.0,1466.482842853122,1792322.3073600005,0.0,5940057.91392,8998859.028514663,0.000014538461538461542,51673688.07127106,50042679.87607577,1631008.195195289,44694552.57052474,0.0,66266.90267790991,39033290.303339097,11159.251790108654 
 01/01  17:00:00,26017540.449079664,0.0,6692.6791673916209,1792322.3073600005,6638400.0,5940057.91392,11640067.548617732,0.000014538461538461542,71693453.73500806,70062361.24085428,1631092.4941537907,59649706.29005364,0.0,66266.90267790991,54648641.76786634,50844.221141215865 
 01/01  18:00:00,27941619.29132729,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,10251639.070032752,0.000014538461538461542,55887950.16445303,55815950.16445303,72000.0,49974595.81864042,0.0,66266.90267790991,43536441.12827336,0.0 
 01/01  19:00:00,30426230.3062406,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,12736250.08494606,0.000014538461538461542,59646287.15464343,58015169.52233043,1631117.6323129968,53271861.69689138,0.0,66266.90267790991,45251832.22741774,0.0 
 01/01  20:00:00,27941619.291327295,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,10251639.070032752,0.000014538461538461542,53317847.737597379,51686757.25293339,1631090.4846639897,47885869.046692099,0.0,66266.90267790991,40315670.65728804,0.0 
 01/01  21:00:00,30504529.05883548,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,12814548.83754094,0.000014538461538461542,59699676.80687218,59627676.80687218,72000.0,54637600.20984232,0.0,66266.90267790991,46509587.90936031,0.0 
 01/01  22:00:00,27941619.291327295,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,10251639.070032752,0.000014538461538461542,54656667.72763575,53025525.760259117,1631141.9673766343,48976700.618740897,0.0,115967.07968634236,41359910.09300211,0.0 
 01/01  23:00:00,30504529.05883548,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,12814548.837540942,0.000014538461538461542,63009258.097682427,61378244.934266548,1631013.1634158735,55999203.78741247,0.0,66266.90267790991,47875031.048727918,0.0 
 01/01  24:00:00,27941619.291327295,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,10251639.070032753,0.000014538461538461542,55879153.693669188,55807153.693669188,72000.0,51148503.84179839,0.0,66266.90267790991,43529579.88106197,0.0 
 01/02  01:00:00,32484548.363475477,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,12814548.837540942,0.000014538461538461542,69707547.82924512,68076432.63686674,1631115.1923783886,61038952.80751211,0.0,83009.40229773079,53099617.45675603,0.0 
 01/02  02:00:00,29921638.59596729,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,10251639.070032753,0.000014538461538461542,64162388.35571471,62531269.48031827,1631118.8753964336,56133577.48761587,0.0,83009.40229773079,48774390.19464825,0.0 
 01/02  03:00:00,32484548.363475477,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,12814548.837540942,0.000014538461538461542,71028094.56481676,70956094.56481676,72000.0,62961575.185311648,0.0,83009.40229773079,55345753.76055707,0.0 
 01/02  04:00:00,29921638.59596729,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,10251639.070032753,0.000014538461538461542,64936937.56185543,63305852.316182088,1631085.2456733455,56699802.93707531,0.0,83009.4022977308,49378564.80662204,0.0 
 01/02  05:00:00,32484548.363475477,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,12814548.837540942,0.000014538461538461542,68517413.48745495,66886291.53043024,1631121.957024701,59614366.521668639,0.0,83009.40229773079,52171307.39373559,0.0 
 01/02  06:00:00,31713960.903327295,0.0,0.0,3584644.614720001,9957600.0,7920077.218560001,10251639.070032753,0.000014538461538461542,55941500.16933381,55869500.16933381,72000.0,51131387.49172258,0.0,132815.04367636925,43578210.132080379,0.0 
 01/02  07:00:00,36839780.43834367,0.0,0.0,3584644.614720001,9957600.0,7920077.218560001,15377458.60504913,0.000014538461538461542,165504531.2192303,163873508.78790248,1631022.431327838,138823860.23779727,0.0,116213.16321682312,127821336.85456394,0.0 
 01/02  08:00:00,37370669.66778367,0.0,0.0,10753933.844160002,3319200.0,7920077.218560001,15377458.605049128,0.000014538461538461542,128934988.30710604,127303875.07999893,1631113.2271071035,89279885.465567,0.0,315435.72873137696,99297022.56239917,0.0 
 01/02  09:00:00,65459433.87930367,0.0,0.0,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,83200334.8578099,81569144.29902375,1631190.5587861562,54014668.984179969,0.0,581065.8160841153,63623932.553238529,0.0 
 01/02  10:00:00,65459433.87930367,0.0,0.0,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,63906557.92603528,62275254.06811054,1631303.857924733,39668405.6117102,0.0,630871.4574627539,48574698.17312623,0.0 
