Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),CORE_ZN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly),PSZ-AC:5:Air System Total Heating Energy [J](Hourly),PSZ-AC:5:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,30070245.857928728,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,12380265.636634184,0.000014538461538461542,90369047.42954678,90297047.42954678,72000.0,79211067.32928609,0.0,66266.90267790991,70431696.9950465,0.0,4201609.157503722,0.0,24036795.9355086,0.0,15252472.490503539,0.0,24056851.344746,0.0,15264233.703419317,0.0 
 01/01  02:00:00,1247280.8183816674,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,27941619.29132729,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,10251639.070032752,0.000014538461538461542,118869692.21566734,117238620.71412975,1631071.5015375959,97674854.2195955,0.0,66266.90267790991,91446124.1570212,0.0,4756791.287272791,0.0,29632824.329320209,0.0,18845621.779603885,0.0,29614672.30528883,0.0,18847853.52556846,0.0 
 01/01  03:00:00,0.0,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,30504529.058835478,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,12814548.83754094,0.000014538461538461542,155147979.5401069,155075979.5401069,72000.0,125851415.09268922,0.0,66266.90267790991,120959264.04128337,0.0,6415004.773050431,0.0,38964443.48183684,0.0,24746149.040923679,0.0,38913063.71123352,0.0,24735151.871780795,0.0 
 01/01  04:00:00,1247259.5102748962,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,27941619.29132729,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,10251639.070032752,0.000014538461538461542,117326808.48006325,115695763.61315479,1631044.866908466,96495444.01673503,0.0,66266.90267790991,90242695.61826074,0.0,5007315.653553719,0.0,29192523.90641616,0.0,18596582.287548964,0.0,29118124.25195226,0.0,18579788.588822657,0.0 
 01/01  05:00:00,1247309.3894124984,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,30504529.058835478,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,12814548.83754094,0.000014538461538461542,157087905.11334006,155456797.89869017,1631107.214649897,126117377.70000932,0.0,66266.90267790991,121256302.36097834,0.0,6905529.615428062,0.0,38915305.235628839,0.0,24729256.467434639,0.0,38809412.81054435,0.0,24711347.069484217,0.0 
 01/01  06:00:00,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,27941619.29132729,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,10251639.070032752,0.000014538461538461542,115538711.3010573,115466711.3010573,72000.0,96331796.00836681,0.0,115967.07968634236,90064034.81482467,0.0,5307451.5070916139,0.0,29106964.43886017,0.0,18462252.063790814,0.0,28991876.13045734,0.0,18447129.744657417,0.0 
 01/01  07:00:00,1247311.2830165339,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,30504529.058835478,0.0,0.0,1792322.3073600005,9957600.0,5940057.91392,12814548.83754094,0.000014538461538461542,155787930.048039,154156820.46642889,1631109.5816101225,123072496.34273705,0.0,66266.90267790991,120242319.96381453,0.0,7170266.062536566,0.0,38598756.82363186,0.0,24410442.397322727,0.0,38484632.876668129,0.0,24392770.641196554,0.0 
 01/01  08:00:00,1247225.5227630423,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,21303219.29132729,0.0,0.0,1792322.3073600005,3319200.0,5940057.91392,10251639.070032752,0.000014538461538461542,116413113.40445888,114782111.0211358,1631002.3833230865,95620814.32129759,0.0,66266.90267790991,89530046.59648593,0.0,5457751.425018713,0.0,28832417.12378563,0.0,18163251.41046286,0.0,28939014.90411911,0.0,18389250.803132029,0.0 
 01/01  09:00:00,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,20546929.05883548,0.0,0.0,1792322.3073600005,0.0,5940057.91392,12814548.83754094,0.000014538461538461542,135828398.58875174,135756398.58875174,72000.0,107418434.41077659,0.0,66266.90267790991,105889990.89922634,0.0,6607321.084516026,0.0,32518651.67307906,0.0,20486426.843020724,0.0,36176366.96912672,0.0,22915773.16702508,0.0 
 01/01  10:00:00,1247318.2428245892,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,17984019.291327295,0.0,0.0,1792322.3073600005,0.0,5940057.91392,10251639.070032752,0.000014538461538461542,87802177.99527107,86171059.71406561,1631118.2812054624,72288771.79820377,0.0,66266.90267790991,67213426.57697118,0.0,4352108.601577665,0.0,18919396.577286375,0.0,13127733.910919,0.0,25174235.623401006,0.0,15891590.933819933,0.0 
