Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,294800466.3159107,0.0,0.0,12577284.029609569,48877200.0,24526752.225707845,22666795.3040181,0.000270357189621502,186152434.75630484,72983653.06032446,66607153.06032446,6304500.0,72000.0,29631359.63422125,0.0,449600.5375941816,439067987.0287494,51964342.75955961,0.0 
 01/01  02:00:00,328283960.9709142,0.0,0.0,12577284.029609569,48877200.0,24526752.225707845,57526778.40276355,0.0002717671895236298,184775946.31256149,213492219.65009523,207115719.65009523,6304500.0,72000.0,116326323.96662218,0.0,449600.5436713927,430188766.10829576,161596422.82953657,0.0 
 01/01  03:00:00,334872819.81626096,0.0,0.0,12577284.029609569,48877200.0,24526752.225707845,64135907.47358322,0.00027478792596542974,184755676.0870855,235940126.3156159,225443932.27120943,6304500.0,4191694.0444064668,143028917.70447899,0.0,449600.543186129,430388377.1579838,175891215.74952648,0.0 
 01/01  04:00:00,320384228.5024881,0.0,0.0,12577284.029609569,48877200.0,24526752.225707845,49937354.67615689,0.0002315241138149053,184465637.5707822,185203670.91670818,178827170.91670818,6304500.0,72000.0,124604510.33346987,0.0,385371.8957246118,428668054.9503365,139574217.75847356,0.0 
 01/01  05:00:00,351823876.59342929,0.0,0.0,12577284.029609569,48877200.0,24526752.225707845,58578302.79656015,0.00023335708045680925,207264337.5413183,274121579.5603502,267745079.56035016,6304500.0,72000.0,170736820.34348775,0.0,385371.89569322936,559799409.1464245,208930573.79140855,0.0 
 01/01  06:00:00,356391998.2180427,0.0,0.0,12577284.029609569,48877200.0,24526752.225707845,64135907.47358323,0.0002353798005758526,206274854.48890663,290572750.6507518,280076682.2673157,6304500.0,4191568.3834361645,188417460.8361243,0.0,385371.89559070739,554588250.1190106,218530785.80984653,0.0 
 01/01  07:00:00,445373122.91423836,0.0,0.0,25154568.059219138,48877200.0,50939904.45141569,103793307.55866869,0.0002701766575222884,216608142.8446647,2170758239.214377,2158077239.214377,12609000.0,72000.0,1006114523.2601919,0.0,449600.54233917736,602917639.9311028,1686146262.1736422,0.0 
 01/01  08:00:00,440508675.99493,0.0,0.0,25154568.059219138,12219300.0,50939904.45141569,103793307.55866869,0.00039058493379111315,248401595.92523594,1999189291.2346225,1986508291.2346225,12609000.0,72000.0,888232773.2361966,0.0,642286.4817614463,774412117.8860928,1551733634.074105,0.0 
 01/01  09:00:00,556300407.5555379,0.0,0.0,25154568.059219138,0.0,50939904.45141569,103793307.55866869,0.0004659112518530476,376412627.48576846,1718051388.7995549,1701250589.3640538,12609000.0,4191799.4355009195,687591074.3857386,0.0,770742.7383652477,869872045.0485743,1328732672.3009728,0.0 
 01/01  10:00:00,457334912.2728225,0.0,0.0,25154568.059219138,0.0,50939904.45141569,103793307.55866869,0.0005453902649399183,277447132.2029736,1594111314.1876398,1581430314.1876398,12609000.0,72000.0,637846694.9278098,0.0,899201.0649715677,882091269.3274763,1235124691.8787275,0.0 
 01/01  11:00:00,582131828.4133577,0.0,0.0,100618272.23687655,0.0,99993408.90283138,103793307.55866869,0.0011261585989025946,277726839.71385487,1409801569.1714836,1380390422.4398025,25218000.0,4193146.7316811105,530339356.9358892,3689660.575601372,1862619.7239105392,816779487.7837228,1077819621.6412287,0.0 
 01/01  12:00:00,695478210.0743575,0.0,0.0,100618272.23687655,0.0,99993408.90283138,103793307.55866869,0.0012061808161191795,391073221.3747748,1304138589.7562204,1274727275.546574,25218000.0,4193314.2096461185,495435717.8694762,9934446.392407787,1991075.594723782,827747228.3872954,995221418.8060956,0.0 
