Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:6:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:6:DesPer 1:Des Heat Cap [W],PSZ-AC:6:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:6:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:6:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:6:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:6:DesPer 2:Des Heat Cap [W],PSZ-AC:6:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:6:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:6:DesPer 2:Des Tot Cool Cap [W]
00:15:00,1.626779E-01,6.035238E+03,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.001982E+03,5.622585E-02,5.347916E+02,1.807814E+03,6.999627E-01,3.711381E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,9.773791E+03,5.484527E-01,5.216602E+03,1.763424E+04,3.963647E-01,2.413640E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.063483E+03,5.123214E-01,4.872939E+03,1.647252E+04,4.100790E+00,2.497153E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.307881E+04,4.100790E+00,3.900462E+04,1.318515E+05,1.254723E+00,7.640566E+04,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.236000E+04,1.254723E+00,1.193429E+04,4.034276E+04,3.687119E-01,2.245250E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.570692E+03,5.249387E-01,6.204588E+03,1.586772E+04
00:30:00,1.689817E-01,6.189971E+03,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.011050E+03,5.622585E-02,5.257235E+02,1.773668E+03,7.350470E-01,3.797448E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,9.862246E+03,5.484527E-01,5.128147E+03,1.730117E+04,3.963647E-01,2.413640E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.127409E+03,5.205555E-01,4.867303E+03,1.642114E+04,4.100790E+00,2.497153E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.374018E+04,4.100790E+00,3.834325E+04,1.293612E+05,1.254723E+00,7.640566E+04,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.256236E+04,1.254723E+00,1.173193E+04,3.958078E+04,3.687119E-01,2.245250E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.630158E+03,5.321489E-01,6.269485E+03,1.581562E+04
00:45:00,1.739584E-01,6.312134E+03,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.020118E+03,5.622585E-02,5.166554E+02,1.739753E+03,7.635523E-01,3.867379E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,9.950700E+03,5.484527E-01,5.039693E+03,1.697035E+04,3.963647E-01,2.413640E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.191334E+03,5.265279E-01,4.838228E+03,1.629195E+04,4.100790E+00,2.497153E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.440156E+04,4.100790E+00,3.768187E+04,1.268876E+05,1.254723E+00,7.640566E+04,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.276473E+04,1.254723E+00,1.152956E+04,3.882393E+04,3.687119E-01,2.245250E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.689624E+03,5.373764E-01,6.300191E+03,1.571014E+04
01:00:00,1.780315E-01,6.412116E+03,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.029186E+03,5.622585E-02,5.075873E+02,1.706066E+03,7.872102E-01,3.925420E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.003915E+04,5.484527E-01,4.951239E+03,1.664175E+04,3.963647E-01,2.413640E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.255260E+03,5.307178E-01,4.791134E+03,1.610361E+04,4.100790E+00,2.497153E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.506293E+04,4.100790E+00,3.702050E+04,1.244306E+05,1.254723E+00,7.640566E+04,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.296709E+04,1.254723E+00,1.132720E+04,3.807217E+04,3.687119E-01,2.245250E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.749089E+03,5.412434E-01,6.307461E+03,1.556850E+04
01:15:00,1.814499E-01,6.496019E+03,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.035232E+03,5.622585E-02,5.015419E+02,1.683733E+03,8.072004E-01,3.974463E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.009812E+04,5.484527E-01,4.892269E+03,1.642391E+04,3.963647E-01,2.413640E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.297877E+03,5.337959E-01,4.761529E+03,1.598500E+04,4.100790E+00,2.497153E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.550385E+04,4.100790E+00,3.657958E+04,1.228018E+05,1.254723E+00,7.640566E+04,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.310200E+04,1.254723E+00,1.119229E+04,3.757381E+04,3.687119E-01,2.245250E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.788733E+03,5.443238E-01,6.321012E+03,1.547979E+04
01:30:00,1.843952E-01,6.568298E+03,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.041277E+03,5.622585E-02,4.954965E+02,1.661501E+03,8.243856E-01,4.016625E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.015709E+04,5.484527E-01,4.833299E+03,1.620704E+04,3.963647E-01,2.413640E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.340494E+03,5.361543E-01,4.724918E+03,1.584362E+04,4.100790E+00,2.497153E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.594477E+04,4.100790E+00,3.613866E+04,1.211803E+05,1.254723E+00,7.640566E+04,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.323690E+04,1.254723E+00,1.105739E+04,3.707768E+04,3.687119E-01,2.245250E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.828377E+03,5.470280E-01,6.328102E+03,1.538290E+04
01:45:00,1.870081E-01,6.632412E+03,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.047322E+03,5.622585E-02,4.894511E+02,1.639368E+03,8.393582E-01,4.053359E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.021606E+04,5.484527E-01,4.774330E+03,1.599115E+04,3.963647E-01,2.413640E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.383111E+03,5.380903E-01,4.684124E+03,1.568901E+04,4.100790E+00,2.497153E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.638568E+04,4.100790E+00,3.569775E+04,1.195661E+05,1.254723E+00,7.640566E+04,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.337181E+04,1.254723E+00,1.092248E+04,3.658376E+04,3.687119E-01,2.245250E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.868021E+03,5.492580E-01,6.327030E+03,1.527552E+04
02:00:00,1.892879E-01,6.688346E+03,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.053368E+03,5.622585E-02,4.834057E+02,1.617334E+03,8.525749E-01,4.085785E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.027503E+04,5.484527E-01,4.715360E+03,1.577622E+04,3.963647E-01,2.413640E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.425728E+03,5.398977E-01,4.641808E+03,1.553013E+04,4.100790E+00,2.497153E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.682660E+04,4.100790E+00,3.525683E+04,1.179590E+05,1.254723E+00,7.640566E+04,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.350672E+04,1.254723E+00,1.078757E+04,3.609206E+04,3.687119E-01,2.245250E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.907665E+03,5.511275E-01,6.319725E+03,1.516055E+04
02:15:00,1.912769E-01,6.737148E+03,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.057902E+03,5.622585E-02,4.788716E+02,1.600873E+03,8.643772E-01,4.114740E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.031926E+04,5.484527E-01,4.671133E+03,1.561565E+04,3.963647E-01,2.413640E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.457691E+03,5.414560E-01,4.611543E+03,1.541643E+04,4.100790E+00,2.497153E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.715729E+04,4.100790E+00,3.492614E+04,1.167585E+05,1.254723E+00,7.640566E+04,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.360790E+04,1.254723E+00,1.068639E+04,3.572471E+04,3.687119E-01,2.245250E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.937398E+03,5.526465E-01,6.316271E+03,1.507417E+04
02:30:00,1.929978E-01,6.779378E+03,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.062436E+03,5.622585E-02,4.743376E+02,1.584467E+03,8.749854E-01,4.140766E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.036349E+04,5.484527E-01,4.626906E+03,1.545561E+04,3.963647E-01,2.413640E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.489654E+03,5.427855E-01,4.579096E+03,1.529591E+04,4.100790E+00,2.497153E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.748797E+04,4.100790E+00,3.459546E+04,1.155619E+05,1.254723E+00,7.640566E+04,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.370908E+04,1.254723E+00,1.058521E+04,3.535860E+04,3.687119E-01,2.245250E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.967131E+03,5.538834E-01,6.307944E+03,1.498263E+04
