Time,BAKERY:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BAKERY:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BAKERY:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BAKERY:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],DELI:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DELI:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DELI:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DELI:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],DRYSTORAGE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DRYSTORAGE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DRYSTORAGE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DRYSTORAGE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],OFFICE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],OFFICE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],OFFICE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],OFFICE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PRODUCE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PRODUCE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PRODUCE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PRODUCE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],SALES:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SALES:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],SALES:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SALES:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:15:00,5.674393E+03,7.136342E+03,2.279706E-01,4.374489E-01,4.426651E+03,6.965486E+03,1.778589E-01,4.269345E-01,1.451820E+04,0.000000E+00,5.833022E-01,0.000000E+00,3.374733E+03,0.000000E+00,1.355650E-01,0.000000E+00,1.464342E+04,0.000000E+00,5.883354E-01,0.000000E+00,4.449184E+04,0.000000E+00,1.787618E+00,0.000000E+00
00:30:00,5.934081E+03,7.233992E+03,2.383959E-01,4.434574E-01,4.705328E+03,7.077123E+03,1.890495E-01,4.337962E-01,1.524639E+04,0.000000E+00,6.125392E-01,0.000000E+00,3.505621E+03,0.000000E+00,1.408181E-01,0.000000E+00,1.535250E+04,0.000000E+00,6.168062E-01,0.000000E+00,4.668049E+04,0.000000E+00,1.875503E+00,0.000000E+00
00:45:00,6.144163E+03,7.304819E+03,2.468296E-01,4.478137E-01,4.931315E+03,7.158177E+03,1.981236E-01,4.387733E-01,1.583804E+04,0.000000E+00,6.362936E-01,0.000000E+00,3.608956E+03,0.000000E+00,1.449654E-01,0.000000E+00,1.593547E+04,0.000000E+00,6.402115E-01,0.000000E+00,4.857762E+04,0.000000E+00,1.951674E+00,0.000000E+00
01:00:00,6.317730E+03,7.357303E+03,2.537975E-01,4.510362E-01,5.118616E+03,7.215061E+03,2.056440E-01,4.422648E-01,1.632909E+04,0.000000E+00,6.560085E-01,0.000000E+00,3.693528E+03,0.000000E+00,1.483596E-01,0.000000E+00,1.642532E+04,0.000000E+00,6.598765E-01,0.000000E+00,5.012730E+04,0.000000E+00,2.013885E+00,0.000000E+00
01:15:00,6.463692E+03,7.399203E+03,2.596574E-01,4.536032E-01,5.276675E+03,7.256833E+03,2.119903E-01,4.448299E-01,1.674399E+04,0.000000E+00,6.726670E-01,0.000000E+00,3.764494E+03,0.000000E+00,1.512082E-01,0.000000E+00,1.684443E+04,0.000000E+00,6.767019E-01,0.000000E+00,5.141257E+04,0.000000E+00,2.065480E+00,0.000000E+00
01:30:00,6.588296E+03,7.436077E+03,2.646602E-01,4.558567E-01,5.411906E+03,7.288902E+03,2.174200E-01,4.467952E-01,1.710067E+04,0.000000E+00,6.869880E-01,0.000000E+00,3.825625E+03,0.000000E+00,1.536626E-01,0.000000E+00,1.720870E+04,0.000000E+00,6.913260E-01,0.000000E+00,5.249484E+04,0.000000E+00,2.108927E+00,0.000000E+00
01:45:00,6.695863E+03,7.466569E+03,2.689789E-01,4.577150E-01,5.529735E+03,7.315287E+03,2.221510E-01,4.484086E-01,1.741141E+04,0.000000E+00,6.994652E-01,0.000000E+00,3.879846E+03,0.000000E+00,1.558400E-01,0.000000E+00,1.752937E+04,0.000000E+00,7.042001E-01,0.000000E+00,5.342023E+04,0.000000E+00,2.146076E+00,0.000000E+00
02:00:00,6.790256E+03,7.492134E+03,2.727688E-01,4.592730E-01,5.633748E+03,7.339969E+03,2.263276E-01,4.499147E-01,1.768569E+04,0.000000E+00,7.104791E-01,0.000000E+00,3.927146E+03,0.000000E+00,1.577399E-01,0.000000E+00,1.781507E+04,0.000000E+00,7.156711E-01,0.000000E+00,5.422251E+04,0.000000E+00,2.178285E+00,0.000000E+00
02:15:00,6.874058E+03,7.512915E+03,2.761337E-01,4.605387E-01,5.726756E+03,7.361330E+03,2.300624E-01,4.512133E-01,1.793062E+04,0.000000E+00,7.203144E-01,0.000000E+00,3.968418E+03,0.000000E+00,1.593974E-01,0.000000E+00,1.807234E+04,0.000000E+00,7.260005E-01,0.000000E+00,5.492773E+04,0.000000E+00,2.206599E+00,0.000000E+00
02:30:00,6.949249E+03,7.529850E+03,2.791529E-01,4.615695E-01,5.811057E+03,7.379545E+03,2.334477E-01,4.523213E-01,1.815075E+04,0.000000E+00,7.291545E-01,0.000000E+00,4.004133E+03,0.000000E+00,1.608315E-01,0.000000E+00,1.830607E+04,0.000000E+00,7.353854E-01,0.000000E+00,5.555556E+04,0.000000E+00,2.231807E+00,0.000000E+00
