Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),DINING:Zone Thermostat Heating Setpoint Temperature [C](Hourly),DINING:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),KITCHEN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),KITCHEN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC_1:1:Air System Total Heating Energy [J](Hourly),PSZ-AC_1:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC_2:2:Air System Total Heating Energy [J](Hourly),PSZ-AC_2:2:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,6599946.062868461,21.0,24.0,19.0,26.0,57079540.15301194,0.0,0.0,12027720.822196469,10666800.0,20077200.0,9322216.98862597,0.0038963294037087329,4985602.338293168,313286116.38223227,294160380.0153878,10803960.0,8321776.366844444,50391632.06128265,0.0,6438157.441070281,11951761.029609798,229445096.41200254,0.0,136271007.50480718,0.0,102496305.89021582,0.0 
 01/01  02:00:00,0.0,15.600000000000005,30.00000000000001,15.600000000000005,30.00000000000001,43226285.305564548,0.0,0.0,4009240.274065489,10666800.0,18000000.0,6114995.527803886,0.0,4435249.503695169,185134526.7923283,174258566.7923283,10803960.0,72000.0,22029852.518807487,0.0,0.0,9910823.72220791,135921682.09801609,0.0,73697192.57476989,0.0,68339485.04735378,0.0 
 01/01  03:00:00,1647661.1952430453,15.6,30.0,15.6,30.0,44010584.944261778,0.0,0.0,4009240.274065489,10666800.0,18000000.0,6991662.741469477,0.0,4342881.928726806,217485466.7565463,204549969.2603906,10803960.0,2131537.496155694,32565209.978331239,0.0,0.0,9361261.564673728,159548976.02310468,0.0,88113835.05410373,0.0,78426803.70626705,0.0 
 01/01  04:00:00,0.0,15.600000000000005,30.00000000000001,15.600000000000005,30.00000000000001,41674700.182937089,0.0,0.0,4009240.274065489,10666800.0,18000000.0,4661108.494312985,0.0,4337551.414558609,151943646.25275816,141067686.25275816,10803960.0,72000.0,25764988.79276895,0.0,0.0,9329334.061842062,110032795.27715138,0.0,60790548.74637547,0.0,53903355.02228659,0.0 
 01/01  05:00:00,1647656.9531241053,15.600000000000005,30.00000000000001,15.600000000000005,30.00000000000001,44410238.291770089,0.0,0.0,4009240.274065489,10666800.0,18000000.0,6991662.741469477,0.0,4742535.276235113,227901062.79175914,214965570.5981517,10803960.0,2131532.1936074246,42510029.05788849,0.0,0.0,10873193.160425602,167673145.06655834,0.0,92494048.9352774,0.0,82170758.86854717,0.0 
 01/01  06:00:00,0.0,21.0,24.0,19.0,26.0,57482197.03097919,0.0,0.0,12027720.822196469,10666800.0,20077200.0,9322216.98862597,0.0,5388259.220156742,329129052.20691207,312851112.20691207,16205939.999999999,72000.0,49134969.050857249,0.0,0.0,13543806.774521266,244023867.5213914,0.0,144196678.49410204,0.0,109149406.01031059,0.0 
 01/01  07:00:00,4947427.719240794,21.0,24.0,19.0,26.0,115061856.08212856,0.0,0.0,24055441.644392939,10666800.0,65077200.0,9322216.98862597,0.002340284807525769,5940197.446769385,330651619.0251304,275777631.4749603,48617819.99999999,6256167.550170063,20561960.54000868,0.0,3862880.628187171,15174805.037780114,215106552.5504691,0.0,128931400.42114488,0.0,95497369.11234565,0.0 
 01/01  08:00:00,4947539.693568155,21.0,24.0,19.0,26.0,106877472.2148393,0.0,0.0,24055441.644392939,2666700.0,65077200.0,9322216.98862597,0.002340378043431777,5755913.579480021,337731381.8144881,255847354.29905913,75627720.0,6256307.515428985,8342896.728239177,863536.6893098347,3862889.1126799399,14514533.799602308,199560936.35326613,0.0,119412055.93118203,0.0,89471097.40510527,0.0 
 01/01  09:00:00,3298839.1893051567,21.0,24.0,19.0,26.0,86210717.42575017,0.0,0.0,24055441.644392939,0.0,47077200.0,9322216.98862597,0.002341559580203861,5755858.79038971,305496378.3141021,247281107.40650476,54019800.0,4195470.907597379,6905791.987065644,58837.588881321426,3862888.4843544655,14514752.726466712,192879263.7770737,0.0,114813752.52104202,0.0,87387728.23905303,0.0 
 01/01  10:00:00,4948037.718217634,21.0,24.0,19.0,26.0,86246490.55401191,0.0,0.0,24055441.644392939,0.0,47077200.0,9322216.98862597,0.0023394383865147285,5791631.918653579,286956161.3689728,226679431.3345195,54019800.0,6256930.034453268,3965504.547033291,1324121.2216102887,3862876.8447507314,14730257.498349365,176809956.44092519,0.0,105617606.7048307,0.0,80514566.71911572,0.0 
 01/01  11:00:00,14890782.664274883,21.0,24.0,19.0,26.0,104222708.12477185,0.0,0.0,24055441.644392939,0.0,65077200.0,9322216.98862597,0.0078022949443654139,5767849.483950666,333426336.11470708,195897650.2289236,118843560.0,18685125.8857835,763564.7158667736,9660134.823089095,12876308.578714373,14582632.80580141,152800167.17856039,0.0,95676463.61944968,0.0,66445920.54213185,0.0 
 01/01  12:00:00,13227789.19317517,21.0,24.0,19.0,26.0,108388968.01277173,0.0,0.0,24055441.644392939,0.0,65077200.0,9322216.98862597,0.007797007750107101,9934109.37195583,327448988.598311,164989105.1906099,145853460.00000004,16606423.407701076,0.0,21796688.029034769,12876314.878430993,17515305.239589968,128691502.04867572,0.0,82888740.29941471,0.0,55124978.73228242,0.0 
 01/01  13:00:00,9916479.055510108,21.0,24.0,19.0,26.0,105020862.39420426,0.0,0.0,24055441.644392939,0.0,65077200.0,9322216.98862597,0.006242243221793305,6566003.754943125,288248701.1971895,146133817.08736534,129647519.99999999,12467364.10982419,0.0,27757625.348890656,10301025.542746608,17915644.79503417,113984377.32814497,0.0,74553064.59290391,0.0,48753529.718261819,0.0 
 01/01  14:00:00,11570768.764745892,21.0,24.0,19.0,26.0,104299440.21673042,0.0,0.0,24055441.644392939,0.0,65077200.0,9322216.98862597,0.006237990180838088,5844581.577473534,265314441.28918369,137337674.19760079,113441580.0,14535187.091582904,0.0,27340772.614172155,10300981.059749958,15032729.839004558,107123385.87412863,0.0,71651417.7432007,0.0,44794185.113948497,0.0 
 01/01  15:00:00,8256917.3218560549,21.0,24.0,19.0,26.0,86324821.52797064,0.0,0.0,24055441.644392939,0.0,47077200.0,9322216.98862597,0.004679948690450627,5869962.890271805,232594151.94052945,146573480.71820516,75627720.0,10392951.222324284,0.0,17406476.586131645,7725787.488385048,15187743.646202373,114327314.96020003,0.0,75351711.21331096,0.0,48297820.72991055,0.0 
 01/01  16:00:00,8256087.578054842,21.0,24.0,19.0,26.0,86284017.15187077,0.0,0.0,24055441.644392939,0.0,47077200.0,9322216.98862597,0.004681362278982094,5829158.514170509,231096890.25598616,150479236.19377447,70225740.0,10391914.062211674,0.0,14393601.900225016,7725787.886125701,14943953.30364366,117373804.23114409,0.0,76886567.66352615,0.0,49809453.55063851,0.0 
 01/01  17:00:00,9908541.48575898,21.0,24.0,19.0,26.0,93997354.30740556,0.0,0.0,24055441.644392939,8000100.0,47077200.0,9322216.98862597,0.004680833613244471,5542395.669705829,244399579.19568116,150912436.8601744,81029700.0,12457442.335506754,0.0,14075017.291791877,7725787.5297535839,13221921.65878604,117711700.750936,0.0,77369538.5997919,0.0,49664379.1341651,0.0 
 01/01  18:00:00,9914641.635208235,21.0,24.0,19.0,26.0,114673387.2111813,0.0,0.0,24055441.644392939,10666800.0,65077200.0,9322216.98862597,0.006238476148627315,5551728.571923928,250761307.36225713,146462579.98432104,91833660.00000002,12465067.377936086,0.0,20049041.293128235,10300967.583668426,13275655.218233902,114240812.38777042,0.0,76354866.04570875,0.0,47208163.32508284,0.0 
 01/01  19:00:00,13235593.704763694,21.0,24.0,19.0,26.0,114679342.44619112,0.0,0.0,24055441.644392939,10666800.0,65077200.0,9322216.98862597,0.007802620630097814,5557683.805369589,252272625.922132,143822787.05966745,91833660.00000002,16616178.862464562,0.0,25689132.293974919,12876314.488903439,13309935.64507028,112181773.9065406,0.0,73898416.31048855,0.0,47605574.57907313,0.0 
 01/01  20:00:00,14884618.413667132,21.0,24.0,19.0,26.0,115198517.2338666,0.0,0.0,24055441.644392939,10666800.0,65077200.0,9322216.98862597,0.007797676484093877,6076858.593050026,248650161.40626408,138139080.68784083,91833660.00000002,18677420.718423238,0.0,26814551.23171947,12876314.901541822,15534014.196863704,107748482.93651587,0.0,71665705.98894821,0.0,45404993.930588047,0.0 
 01/01  21:00:00,9916053.974060487,21.0,24.0,19.0,26.0,97161887.30887103,0.0,0.0,24055441.644392939,10666800.0,47077200.0,9322216.98862597,0.0062411693562599069,6040228.669610976,239392672.36613954,145896139.59806628,81029700.0,12466832.768073263,0.0,20530986.445602098,10301040.275508766,15372087.636290212,113798988.88649172,0.0,74213920.94748774,0.0,48907284.92202544,0.0 
 01/01  22:00:00,14886606.616142212,21.0,24.0,19.0,26.0,96932729.82273256,0.0,0.0,24055441.644392939,10666800.0,47077200.0,9322216.98862597,0.007799855072073326,5811071.181913802,241050853.86673296,146743227.9422739,75627720.0,18679905.924459038,0.0,18881842.593168267,12876299.91595787,14389736.369387864,114459717.79497367,0.0,74761175.20684578,0.0,49020759.571148488,0.0 
 01/01  23:00:00,9915483.271030209,21.0,24.0,19.0,26.0,96559102.04837935,0.0,0.0,24055441.644392939,10666800.0,47077200.0,9322216.98862597,0.006239731757054922,5437443.409120722,231255123.98687706,153965244.5840839,64823759.99999999,12466119.40279318,0.0,14243276.49284108,10301039.818777755,12789050.782523865,120092890.77558545,0.0,78474516.84362595,0.0,50940590.91498147,0.0 
 01/01  24:00:00,6600118.594254556,21.0,24.0,19.0,26.0,100875660.80608315,0.0,0.0,24055441.644392939,10666800.0,47077200.0,9322216.98862597,0.003118197985222619,9754002.169946062,184573560.62499798,165447608.59800447,10803960.0,8321992.026993478,1514315.1741729775,8256618.089885756,5150520.852490572,16434662.027531349,129049134.7064435,0.0,82585647.6350335,0.0,55785704.05443,0.0 
 01/02  01:00:00,4948595.732018377,21.0,24.0,19.0,26.0,57796059.5854401,0.0,0.0,12027720.822196469,10666800.0,20077200.0,9322216.98862597,0.003124686972107765,5702121.771492967,250324826.48923517,233263238.95073838,10803960.0,6257627.538496769,37046478.82802296,0.0,5159922.662114087,15018300.871743592,181945326.38157595,0.0,110861852.89471366,0.0,80405690.46988406,0.0 
 01/02  02:00:00,1647660.380993258,15.6,30.0,15.6,30.0,42635999.704927589,0.0,0.0,4009240.274065489,10666800.0,18000000.0,5449122.885759173,0.0,4510836.545102924,108086210.86702952,95150714.38866678,10803960.0,2131536.478362732,6441578.854227444,0.0,0.0,10354259.627023332,74217557.22316009,0.0,40915182.427670609,0.0,38751497.677952889,0.0 
 01/02  03:00:00,0.0,15.6,30.0,15.6,30.0,44092767.672089207,0.0,0.0,4009240.274065489,10666800.0,18000000.0,6991662.741469477,0.0,4425064.656554235,139786668.39813055,128910708.39813054,10803960.0,72000.0,14229971.311303217,0.0,0.0,9843851.480068258,100550352.55054182,0.0,56756804.87697266,0.0,50785210.41083522,0.0 
 01/02  04:00:00,1647656.1422724305,15.600000000000005,30.00000000000001,15.600000000000005,30.00000000000001,41753668.345701,0.0,0.0,4009240.274065489,10666800.0,18000000.0,4661108.494312985,0.0,4416519.577322524,102096601.26694072,89161110.08687869,10803960.0,2131531.180062023,12279868.241767083,0.0,0.0,9793107.805518467,69545665.86776537,0.0,39171278.74555263,0.0,35035495.61372293,0.0 
 01/02  05:00:00,0.0,15.600000000000005,30.00000000000001,15.600000000000005,30.00000000000001,44560928.80565365,0.0,0.0,4009240.274065489,10666800.0,18000000.0,6991662.741469476,0.0,4893225.790118678,137021226.49244429,126145266.49244426,10803960.0,72000.0,18290156.104518005,0.0,0.0,11763905.947391225,98393307.86410654,0.0,55562252.599780078,0.0,49822718.00159208,0.0 
 01/02  06:00:00,1647545.482041587,21.0,24.0,19.0,26.0,57498186.30279948,0.0,0.0,12027720.822196469,10666800.0,20077200.0,9322216.98862597,0.0,5404248.491977035,229423074.27546729,211085741.41807465,16205939.999999999,2131392.8573926456,32482024.3331425,0.0,0.0,13632009.678508476,164646878.30609823,0.0,101461058.87087304,0.0,72508036.41824749,0.0 
 01/02  07:00:00,4947883.735445849,21.0,24.0,19.0,26.0,115092377.93012738,0.0,0.0,24055441.644392939,10666800.0,65077200.0,9322216.98862597,0.002342427709231595,5970719.29476608,225695360.06575037,170820802.50611729,48617819.99999999,6256737.559633099,6521249.89237093,3002693.8368838925,3869931.749282177,15350677.334104103,133240225.95477149,0.0,84317935.66857392,0.0,58244507.26921824,0.0 
