Time,PSZ-AC_1:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Heat Cap [W],PSZ-AC_1:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Heat Cap [W],PSZ-AC_1:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Heat Cap [W],PSZ-AC_2:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Heat Cap [W],PSZ-AC_2:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Tot Cool Cap [W]
00:15:00,9.827644E-01,5.984488E+04,9.827644E-01,0.000000E+00,0.000000E+00,9.827644E-01,1.751352E+04,1.325708E+00,1.319267E+04,3.788587E+04,8.495386E-01,5.173217E+04,8.495386E-01,0.000000E+00,0.000000E+00,8.495386E-01,1.513934E+04,8.495386E-01,8.080377E+03,2.731497E+04
00:30:00,1.013070E+00,6.042423E+04,9.827644E-01,0.000000E+00,0.000000E+00,9.827644E-01,1.767202E+04,1.309734E+00,1.285535E+04,3.751532E+04,8.495386E-01,5.173217E+04,8.495386E-01,0.000000E+00,0.000000E+00,8.495386E-01,1.527636E+04,8.495386E-01,7.943364E+03,2.679906E+04
00:45:00,1.117555E+00,6.242212E+04,9.827644E-01,0.000000E+00,0.000000E+00,9.827644E-01,1.783052E+04,1.293570E+00,1.251558E+04,3.661682E+04,8.495386E-01,5.173217E+04,8.495386E-01,0.000000E+00,0.000000E+00,8.495386E-01,1.541337E+04,8.495386E-01,7.806350E+03,2.628662E+04
01:00:00,1.222018E+00,6.442039E+04,9.827644E-01,0.000000E+00,0.000000E+00,9.827644E-01,1.798902E+04,1.277093E+00,1.217216E+04,3.568936E+04,8.720954E-01,5.310575E+04,8.495386E-01,0.000000E+00,0.000000E+00,8.495386E-01,1.555038E+04,8.495386E-01,7.669337E+03,2.577762E+04
01:15:00,1.221807E+00,6.441732E+04,9.827644E-01,0.000000E+00,0.000000E+00,9.827644E-01,1.809468E+04,9.827644E-01,8.766386E+03,2.942976E+04,8.993549E-01,5.476571E+04,8.495386E-01,0.000000E+00,0.000000E+00,8.495386E-01,1.564173E+04,8.495386E-01,7.577995E+03,2.544019E+04
01:30:00,1.221709E+00,6.441610E+04,9.827644E-01,0.000000E+00,0.000000E+00,9.827644E-01,1.820035E+04,9.827644E-01,8.660720E+03,2.904116E+04,9.264449E-01,5.641534E+04,8.495386E-01,0.000000E+00,0.000000E+00,8.495386E-01,1.573307E+04,8.495386E-01,7.486652E+03,2.510428E+04
01:45:00,1.221722E+00,6.441662E+04,9.827644E-01,0.000000E+00,0.000000E+00,9.827644E-01,1.830602E+04,9.827644E-01,8.555053E+03,2.865430E+04,9.534333E-01,5.805878E+04,8.495386E-01,0.000000E+00,0.000000E+00,8.495386E-01,1.582441E+04,8.495386E-01,7.395310E+03,2.476986E+04
02:00:00,1.221771E+00,6.441766E+04,9.827644E-01,0.000000E+00,0.000000E+00,9.827644E-01,1.841168E+04,9.827644E-01,8.449386E+03,2.826917E+04,9.804069E-01,5.970132E+04,8.495386E-01,0.000000E+00,0.000000E+00,8.495386E-01,1.591575E+04,8.495386E-01,7.303968E+03,2.443694E+04
02:15:00,1.221824E+00,6.441872E+04,9.827644E-01,0.000000E+00,0.000000E+00,9.827644E-01,1.849093E+04,9.827644E-01,8.370136E+03,2.798145E+04,9.802228E-01,5.969011E+04,8.495386E-01,0.000000E+00,0.000000E+00,8.495386E-01,1.598426E+04,8.495386E-01,7.235461E+03,2.418822E+04
02:30:00,1.221869E+00,6.441959E+04,9.827644E-01,0.000000E+00,0.000000E+00,9.827644E-01,1.857018E+04,9.827644E-01,8.290886E+03,2.769469E+04,9.802233E-01,5.969014E+04,8.495386E-01,0.000000E+00,0.000000E+00,8.495386E-01,1.605277E+04,8.495386E-01,7.166954E+03,2.394033E+04
02:45:00,1.221905E+00,6.442028E+04,9.827644E-01,0.000000E+00,0.000000E+00,9.827644E-01,1.864943E+04,9.827644E-01,8.211636E+03,2.740889E+04,9.802742E-01,5.969324E+04,8.495386E-01,0.000000E+00,0.000000E+00,8.495386E-01,1.612127E+04,8.495386E-01,7.098448E+03,2.369328E+04
03:00:00,1.221933E+00,6.442082E+04,9.827644E-01,0.000000E+00,0.000000E+00,9.827644E-01,1.872868E+04,9.827644E-01,8.132386E+03,2.712405E+04,9.803285E-01,5.969655E+04,8.495386E-01,0.000000E+00,0.000000E+00,8.495386E-01,1.618978E+04,8.495386E-01,7.029941E+03,2.344705E+04
03:15:00,1.221957E+00,6.442129E+04,9.827644E-01,0.000000E+00,0.000000E+00,9.827644E-01,1.880793E+04,9.827644E-01,8.053136E+03,2.684015E+04,9.803793E-01,5.969964E+04,8.495386E-01,0.000000E+00,0.000000E+00,8.495386E-01,1.625829E+04,8.495386E-01,6.961434E+03,2.320163E+04
