Time,DINING:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DINING:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DINING:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DINING:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],KITCHEN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],KITCHEN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],KITCHEN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],KITCHEN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:15:00,1.468605E+04,1.122810E+04,7.570742E-01,1.104757E+00,1.073660E+04,5.214473E+03,5.010796E-01,4.263999E-01
00:30:00,1.637807E+04,1.109376E+04,8.442246E-01,1.091445E+00,1.234854E+04,5.022625E+03,5.762590E-01,4.106867E-01
00:45:00,1.807028E+04,1.095676E+04,9.312959E-01,1.077975E+00,1.396224E+04,4.826157E+03,6.514929E-01,3.946049E-01
01:00:00,1.976285E+04,1.081663E+04,1.018348E+00,1.064244E+00,1.557677E+04,4.625433E+03,7.267462E-01,3.781846E-01
01:15:00,1.976361E+04,8.371709E+03,1.018172E+00,8.129568E-01,1.606597E+04,3.467979E+03,7.494624E-01,2.829838E-01
01:30:00,1.976488E+04,5.984884E+03,1.018091E+00,5.660372E-01,1.655394E+04,2.351209E+03,7.720374E-01,1.906700E-01
01:45:00,1.976625E+04,3.701181E+03,1.018102E+00,3.261210E-01,1.704072E+04,1.396946E+03,7.945277E-01,1.087031E-01
02:00:00,1.976749E+04,1.485789E+03,1.018142E+00,9.115425E-02,1.752728E+04,5.282302E+02,8.170058E-01,3.236712E-02
02:15:00,1.976853E+04,1.679255E+03,1.018187E+00,1.029927E-01,1.752868E+04,8.058549E+02,8.168524E-01,4.938786E-02
02:30:00,1.976932E+04,1.851601E+03,1.018224E+00,1.136242E-01,1.753056E+04,1.091898E+03,8.168528E-01,6.693361E-02
02:45:00,1.976992E+04,1.950573E+03,1.018254E+00,1.197579E-01,1.753215E+04,1.255852E+03,8.168952E-01,7.700537E-02
03:00:00,1.977038E+04,2.009905E+03,1.018277E+00,1.234397E-01,1.753336E+04,1.367517E+03,8.169404E-01,8.386581E-02
03:15:00,1.977078E+04,2.046498E+03,1.018298E+00,1.257053E-01,1.753436E+04,1.443221E+03,8.169828E-01,8.851638E-02
03:30:00,1.977113E+04,2.070832E+03,1.018316E+00,1.272038E-01,1.753518E+04,1.494905E+03,8.170199E-01,9.169048E-02
03:45:00,1.977144E+04,2.087717E+03,1.018332E+00,1.282360E-01,1.753587E+04,1.530031E+03,8.170515E-01,9.384699E-02
04:00:00,1.977171E+04,2.097110E+03,1.018346E+00,1.288026E-01,1.753645E+04,1.553407E+03,8.170785E-01,9.528164E-02
04:15:00,1.977195E+04,2.103288E+03,1.018358E+00,1.291749E-01,1.753695E+04,1.570210E+03,8.171018E-01,9.631244E-02
04:30:00,1.977217E+04,2.107208E+03,1.018370E+00,1.294100E-01,1.753739E+04,1.582565E+03,8.171223E-01,9.707014E-02
04:45:00,1.977237E+04,2.109685E+03,1.018380E+00,1.295576E-01,1.753778E+04,1.591861E+03,8.171404E-01,9.764007E-02
05:00:00,1.977255E+04,2.118693E+03,1.018389E+00,1.301070E-01,1.753813E+04,1.599304E+03,8.171568E-01,9.809629E-02
05:15:00,1.808063E+04,4.472554E+03,9.312465E-01,3.429224E-01,1.544232E+04,3.265152E+03,7.195066E-01,2.264290E-01
05:30:00,1.638876E+04,7.220666E+03,8.441745E-01,6.321795E-01,1.334573E+04,4.595274E+03,6.219534E-01,3.433205E-01
05:45:00,1.469653E+04,9.813663E+03,7.571332E-01,9.071158E-01,1.124689E+04,5.731798E+03,5.243239E-01,4.445390E-01
06:00:00,1.300378E+04,1.233999E+04,6.700855E-01,1.175499E+00,9.146745E+03,6.780079E+03,4.266437E-01,5.385208E-01
06:15:00,1.300276E+04,1.249273E+04,6.701774E-01,1.228726E+00,9.142011E+03,6.112963E+03,4.265982E-01,4.999718E-01
06:30:00,1.300140E+04,1.223845E+04,6.701856E-01,1.204242E+00,9.137565E+03,5.744258E+03,4.264334E-01,4.698452E-01
06:45:00,1.300016E+04,1.213561E+04,6.701514E-01,1.193709E+00,9.135001E+03,5.544453E+03,4.263278E-01,4.533968E-01
07:00:00,1.299924E+04,1.209361E+04,6.701137E-01,1.189412E+00,9.133457E+03,5.416624E+03,4.262593E-01,4.428711E-01
07:15:00,1.299852E+04,1.209440E+04,6.700795E-01,1.189450E+00,9.147757E+03,5.324380E+03,4.269275E-01,4.353160E-01
07:30:00,1.299795E+04,1.212498E+04,6.700511E-01,1.192473E+00,9.162320E+03,5.271565E+03,4.276069E-01,4.309972E-01
07:45:00,1.299749E+04,1.218015E+04,6.700281E-01,1.197941E+00,9.177065E+03,5.249910E+03,4.282946E-01,4.292302E-01
08:00:00,1.299713E+04,1.225717E+04,6.700096E-01,1.205577E+00,9.191935E+03,5.254541E+03,4.289882E-01,4.296156E-01
08:15:00,1.299684E+04,1.234385E+04,6.699943E-01,1.214177E+00,9.191524E+03,5.292679E+03,4.289686E-01,4.327433E-01
08:30:00,1.299659E+04,1.243724E+04,6.699816E-01,1.223451E+00,9.191184E+03,5.344176E+03,4.289527E-01,4.369675E-01
08:45:00,1.299638E+04,1.253325E+04,6.699709E-01,1.232984E+00,9.190894E+03,5.407708E+03,4.289391E-01,4.421769E-01
09:00:00,1.299620E+04,1.262895E+04,6.699616E-01,1.242474E+00,9.190642E+03,5.482136E+03,4.289274E-01,4.482766E-01
09:15:00,1.299604E+04,1.271713E+04,6.699535E-01,1.251204E+00,9.190420E+03,5.562653E+03,4.289170E-01,4.548724E-01
09:30:00,1.299591E+04,1.279776E+04,6.699463E-01,1.259169E+00,9.190222E+03,5.648259E+03,4.289078E-01,4.618820E-01
