Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,74036122.56661453,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,18539155.17854286,470147103.53039327,470147103.53039327,384101780.3179612,0.0,367507479.0737157,0.0 
 01/01  02:00:00,73013284.14631619,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,17516316.758244538,510575945.7608781,510575945.7608781,414863804.68259236,0.0,398986053.008028,0.0 
 01/01  03:00:00,79213728.27939737,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,23716760.891325706,653583783.3973379,653583783.3973379,531090607.22111728,0.0,510799906.30320289,0.0 
 01/01  04:00:00,73984065.43555518,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,18487098.04748351,559381008.7204905,559381008.7204905,453840604.4596062,0.0,437102780.5281628,0.0 
 01/01  05:00:00,79700364.44135617,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,24203397.0532845,677516202.4596775,677516202.4596775,550158989.4381425,0.0,529489438.4111429,0.0 
 01/01  06:00:00,74111822.99337888,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,18614855.605307219,566233692.8264403,566233692.8264403,459300662.2679279,0.0,442452727.9966317,0.0 
 01/01  07:00:00,79786066.17558311,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,24289098.787511454,681847641.2818437,681847641.2818437,553614105.8906996,0.0,532870704.19562068,0.0 
 01/01  08:00:00,52692108.16999665,0.0,0.0,19732408.546916885,10707600.0,3641758.8411547804,18610340.781924994,565032603.3389216,565032603.3389216,458343950.52409669,0.0,441507383.21302148,0.0 
 01/01  09:00:00,46730025.39894427,0.0,0.0,19732408.546916885,0.0,3641758.8411547804,23355858.01087261,644787056.406141,644787056.406141,523817517.9470526,0.0,503852711.0565935,0.0 
 01/01  10:00:00,40092005.67101984,0.0,0.0,19732408.546916885,0.0,3641758.8411547804,16717838.282948174,475793032.5251201,475793032.5251201,386862964.72457769,0.0,371750857.40127369,0.0 
 01/01  11:00:00,43230602.63838864,0.0,0.0,19732408.546916885,0.0,3641758.8411547804,19856435.25031699,490641912.8873818,490641912.8873818,400398548.99070999,0.0,383424550.9433983,0.0 
 01/01  12:00:00,37086956.161777477,0.0,0.0,19732408.546916885,0.0,3641758.8411547804,13712788.773705814,325780826.4875773,325780826.4875773,267084725.75122658,0.0,254607342.33568136,0.0 
 01/01  13:00:00,39938224.58140221,0.0,0.0,19732408.546916885,0.0,3641758.8411547804,16564057.19333055,351684648.79073569,351684648.79073569,289158865.5285735,0.0,274951355.83301827,0.0 
 01/01  14:00:00,35505655.83637935,0.0,0.0,19732408.546916885,0.0,3641758.8411547804,12131488.44830769,245225574.7779922,245225574.7779922,202790321.00301037,0.0,191765249.7587354,0.0 
 01/01  15:00:00,38992572.89296352,0.0,0.0,19732408.546916885,0.0,3641758.8411547804,15618405.50489186,302990976.0886061,302990976.0886061,250455358.1629932,0.0,236959643.92069597,0.0 
 01/01  16:00:00,35544774.96888654,0.0,0.0,19732408.546916885,0.0,3641758.8411547804,12170607.580814876,234841728.60043476,234841728.60043476,194747635.41614978,0.0,183673703.8800322,0.0 
 01/01  17:00:00,61224147.37064623,0.0,0.0,19732408.546916885,21415200.0,3641758.8411547804,16434779.982574568,324505323.81523159,324505323.81523159,267860807.81488899,0.0,253787137.604266,0.0 
 01/01  18:00:00,68524638.28663965,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,13027670.898567984,271131125.0532929,271131125.0532929,223824091.866427,0.0,212021341.99884699,0.0 
 01/01  19:00:00,73108532.89664963,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,17611565.50857796,377014541.61958137,377014541.61958137,309900095.80017229,0.0,294791436.59707507,0.0 
 01/01  20:00:00,69176724.86453328,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,13679757.476461614,302686663.0967175,302686663.0967175,249064248.21236594,0.0,236657712.4843002,0.0 
 01/01  21:00:00,73322703.62334064,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,17825736.235268978,384936554.16877058,384936554.16877058,316265327.8087193,0.0,300974390.3762259,0.0 
