Date/Time,BULKSTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BULKSTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Cooling Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,74036122.56661453,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,18539155.17854286,470147103.53039327,470147103.53039327,384101780.3179612,0.0,367507479.0737157,0.0,33191039.81854,0.0,249825754.6653435,0.0 
 01/01  02:00:00,7.2,30.0,15.6,26.7,15.5,30.0,73013284.14631619,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,17516316.758244538,510575945.7608781,510575945.7608781,414863804.68259236,0.0,398986053.008028,0.0,30849608.031606217,0.0,235891682.24816779,0.0 
 01/01  03:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,79213728.27939737,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,23716760.891325706,653583783.3973379,653583783.3973379,531090607.22111728,0.0,510799906.30320289,0.0,42059570.69306777,0.0,327956385.61599668,0.0 
 01/01  04:00:00,7.2,30.0,15.6,26.7,15.5,30.0,73984065.43555518,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,18487098.04748351,559381008.7204905,559381008.7204905,453840604.4596062,0.0,437102780.5281628,0.0,32891903.90916283,0.0,249791861.8374995,0.0 
 01/01  05:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,79700364.44135617,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,24203397.0532845,677516202.4596775,677516202.4596775,550158989.4381425,0.0,529489438.4111429,0.0,42990953.22529096,0.0,335068797.52547267,0.0 
 01/01  06:00:00,7.2,30.0,15.6,26.7,15.5,30.0,74111822.99337888,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,18614855.605307219,566233692.8264403,566233692.8264403,459300662.2679279,0.0,442452727.9966317,0.0,33095129.67723944,0.0,251587820.97158424,0.0 
 01/01  07:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,79786066.17558311,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,24289098.787511454,681847641.2818437,681847641.2818437,553614105.8906996,0.0,532870704.19562068,0.0,43105820.541861597,0.0,336263077.0408079,0.0 
 01/01  08:00:00,7.2,30.0,15.6,26.7,15.5,30.0,52692108.16999665,0.0,0.0,19732408.546916885,10707600.0,3641758.8411547804,18610340.781924994,565032603.3389216,565032603.3389216,458343950.52409669,0.0,441507383.21302148,0.0,32739454.515133099,0.0,251738733.51074297,0.0 
 01/01  09:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,46730025.39894427,0.0,0.0,19732408.546916885,0.0,3641758.8411547804,23355858.01087261,644787056.406141,644787056.406141,523817517.9470526,0.0,503852711.0565935,0.0,38469392.658034849,0.0,324483138.4242644,0.0 
 01/01  10:00:00,7.2,30.0,15.6,26.7,15.5,30.0,40092005.67101984,0.0,0.0,19732408.546916885,0.0,3641758.8411547804,16717838.282948174,475793032.5251201,475793032.5251201,386862964.72457769,0.0,371750857.40127369,0.0,26473338.642443643,0.0,226043144.11942549,0.0 
 01/01  11:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,43230602.63838864,0.0,0.0,19732408.546916885,0.0,3641758.8411547804,19856435.25031699,490641912.8873818,490641912.8873818,400398548.99070999,0.0,383424550.9433983,0.0,30307137.520360244,0.0,273769276.39780846,0.0 
 01/01  12:00:00,7.2,30.0,15.6,26.7,15.5,30.0,37086956.161777477,0.0,0.0,19732408.546916885,0.0,3641758.8411547804,13712788.773705814,325780826.4875773,325780826.4875773,267084725.75122658,0.0,254607342.33568136,0.0,20863149.373856576,0.0,182399959.42278213,0.0 
