Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,45102734.49550967,739819.6294364128,0.0,6876431.089379999,29757600.0,6462622.566179999,1266261.2105132514,38370926.55717306,38370926.55717306,32483978.186986038,0.0,31436560.875174855,0.0 
 01/01  02:00:00,45865333.97729023,1100750.5134247938,0.0,6876431.089379999,29757600.0,6462622.566179999,1667929.808305433,50541450.32859872,50541450.32859872,42997292.42455804,0.0,41533910.77630377,0.0 
 01/01  03:00:00,46163402.42953964,1175190.903658568,0.0,6876431.089379999,29757600.0,6462622.566179999,1891557.8703210774,57998931.889204207,57998931.889204207,49016713.90417579,0.0,47574336.41502193,0.0 
 01/01  04:00:00,46180192.07464109,1255853.4800472595,0.0,6876431.089379999,29757600.0,6462622.566179999,1827684.9390338367,55475400.72889193,55475400.72889193,47215399.25514288,0.0,45636174.06316081,0.0 
 01/01  05:00:00,46504266.00997199,1336009.545454162,0.0,6876431.089379999,29757600.0,6462622.566179999,2071602.8089578294,63684038.22217209,63684038.22217209,53800436.42396906,0.0,52283240.12319183,0.0 
 01/01  06:00:00,47718327.22229505,1409333.8872765455,0.0,6876431.089379999,29757600.0,6462622.566179999,3212339.6794585029,83136290.83029431,83136290.83029431,70234472.65823339,0.0,67458252.03162642,0.0 
 01/01  07:00:00,48564276.02248787,1480791.557293412,0.0,6876431.089379999,29757600.0,6462622.566179999,3986830.809634465,101441354.44601977,101441354.44601977,85062114.92476133,0.0,81975811.85033703,0.0 
 01/01  08:00:00,28440624.10542924,1391811.4307505943,0.0,6876431.089379999,9919200.0,6462622.566179999,3790559.0191186449,94557359.82635707,94557359.82635707,79717428.2394109,0.0,76384332.53282744,0.0 
 01/01  09:00:00,77318969.48589719,6823074.316340021,0.0,13752862.178759998,0.0,12925245.132359999,43817787.85843718,1010611962.0516695,1010611962.0516695,440336200.6874716,0.0,801574382.2333527,0.0 
 01/01  10:00:00,74420847.02640446,3924951.8568472869,0.0,13752862.178759998,0.0,12925245.132359999,43817787.85843718,785187164.5729644,785187164.5729644,282016198.3211837,0.0,621092778.8322178,0.0 
 01/01  11:00:00,127177417.37591107,2497690.537713869,0.0,55011448.71503999,0.0,25850490.264719998,43817787.85843718,660510565.8742963,660510565.8742963,207846981.3151289,0.0,521511227.0320471,0.0 
 01/01  12:00:00,126676399.60387647,1996672.7656792955,0.0,55011448.71503999,0.0,25850490.264719998,43817787.85843718,592093234.6143117,592093234.6143117,176134978.90443529,0.0,467214469.9466166,0.0 
 01/01  13:00:00,163182168.67763595,2379887.3936787096,0.0,82517173.07255998,0.0,34467320.35296,43817787.85843718,512537718.8869501,512537718.8869501,132072437.72408635,0.0,405188068.0302051,0.0 
 01/01  14:00:00,163452402.4121837,2650121.1282265034,0.0,82517173.07255998,0.0,34467320.35296,43817787.85843718,471640295.9823283,471640295.9823283,114930430.03294945,0.0,373382226.71814396,0.0 
