Date/Time,BACK_SPACE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BACK_SPACE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,45102734.49550967,739819.6294364128,0.0,6876431.089379999,29757600.0,6462622.566179999,1266261.2105132514,38370926.55717306,38370926.55717306,32483978.186986038,0.0,31436560.875174855,0.0,16319429.115633658,0.0,0.0,0.0,7311560.853535851,0.0,8293291.244090131,0.0 
 01/01  02:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,45865333.97729023,1100750.5134247938,0.0,6876431.089379999,29757600.0,6462622.566179999,1667929.808305433,50541450.32859872,50541450.32859872,42997292.42455804,0.0,41533910.77630377,0.0,17669709.349539333,0.0,0.0,0.0,11653871.10207102,0.0,12738788.376582183,0.0 
 01/01  03:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,46163402.42953964,1175190.903658568,0.0,6876431.089379999,29757600.0,6462622.566179999,1891557.8703210774,57998931.889204207,57998931.889204207,49016713.90417579,0.0,47574336.41502193,0.0,24744463.311970887,0.0,0.0,0.0,11252008.674416082,0.0,12255510.152305302,0.0 
 01/01  04:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,46180192.07464109,1255853.4800472595,0.0,6876431.089379999,29757600.0,6462622.566179999,1827684.9390338367,55475400.72889193,55475400.72889193,47215399.25514288,0.0,45636174.06316081,0.0,19405721.79172101,0.0,0.0,0.0,12860869.445388247,0.0,13902693.042046255,0.0 
 01/01  05:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,46504266.00997199,1336009.545454162,0.0,6876431.089379999,29757600.0,6462622.566179999,2071602.8089578294,63684038.22217209,63684038.22217209,53800436.42396906,0.0,52283240.12319183,0.0,27268686.800298636,0.0,0.0,0.0,12361340.572217623,0.0,13350084.771187596,0.0 
 01/01  06:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,47718327.22229505,1409333.8872765455,0.0,6876431.089379999,29757600.0,6462622.566179999,3212339.6794585029,83136290.83029431,83136290.83029431,70234472.65823339,0.0,67458252.03162642,0.0,21285013.821680614,0.0,19180200.664418766,0.0,13891923.574412277,0.0,14865398.520304703,0.0 
 01/01  07:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,48564276.02248787,1480791.557293412,0.0,6876431.089379999,29757600.0,6462622.566179999,3986830.809634465,101441354.44601977,101441354.44601977,85062114.92476133,0.0,81975811.85033703,0.0,29737040.597225589,0.0,27426331.528617994,0.0,13199551.674174574,0.0,14080206.059667577,0.0 
 01/01  08:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,28440624.10542924,1391811.4307505943,0.0,6876431.089379999,9919200.0,6462622.566179999,3790559.0191186449,94557359.82635707,94557359.82635707,79717428.2394109,0.0,76384332.53282744,0.0,22623427.4471545,0.0,27240131.11808732,0.0,13927735.928522218,0.0,14953064.384438962,0.0 
 01/01  09:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,77318969.48589719,6823074.316340021,0.0,13752862.178759998,0.0,12925245.132359999,43817787.85843718,1010611962.0516695,1010611962.0516695,440336200.6874716,0.0,801574382.2333527,0.0,135485262.7629572,0.0,567545858.5573676,0.0,66628773.19120721,0.0,68870480.02092703,0.0 
 01/01  10:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,74420847.02640446,3924951.8568472869,0.0,13752862.178759998,0.0,12925245.132359999,43817787.85843718,785187164.5729644,785187164.5729644,282016198.3211837,0.0,621092778.8322178,0.0,103158836.88409785,0.0,460047933.9458139,0.0,47511921.09844918,0.0,50228201.66245596,0.0 
