Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,939357134.9596739,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,43999912.087912078,80104868.03441902,2715993.7781719535,0.0,1787015705.4380544,1779133680.7298606,7882024.708193699,0.0,1099710542.5218673,202556437.5649908,5654775.651891884,1316655262.6287127,965.4721111042691 
 01/01  02:00:00,926376447.3776038,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,43999912.087912078,66978635.077774647,2861539.1527463828,0.0,1608845707.077032,1600962843.4507819,7882863.62625016,0.0,1081323955.603736,163900257.2831672,5654775.645711498,1261474917.0377992,1358.2587334354194 
 01/01  03:00:00,944374639.8569732,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,43999912.087912078,83723293.8472183,4115072.862672111,0.0,2157241720.7810766,2149359378.0621945,7882342.718882023,0.0,1435480351.6811159,213084932.88702677,5654775.617038031,1651295105.8644334,1041.3039774322472 
 01/01  04:00:00,926428722.9788472,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,43999912.087912078,66978635.077774647,2913814.7539896664,0.0,1600718545.3843616,1592835591.311059,7882954.073302489,0.0,1098884095.570367,157861856.4972268,5654775.595787653,1283832421.045655,609.9311195219137 
 01/01  05:00:00,988473123.2252379,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,87999824.17582415,83723293.8472183,4213644.143024463,0.0,2197719689.3026626,2189837044.2049729,7882645.097689644,0.0,1464060062.0034879,207433794.19683097,5654775.658139582,1683523740.3947387,312.33157529179098 
 01/01  06:00:00,1058507507.3957369,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,175999648.3516483,66978635.077774647,2992862.907143259,0.0,1631832672.096061,1623938961.2707453,7893710.825315712,0.0,1121035826.9396883,153880820.7948122,9895854.806274742,1308384363.278596,0.0 
 01/01  07:00:00,1252586655.413261,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,351999296.7032966,83723293.8472183,4327703.803575125,0.0,2242669187.665846,2234786273.484317,7882914.181528981,0.0,1496233062.7777222,202752325.0627099,5654775.5149674,1717477615.6633168,0.0 
 01/01  08:00:00,1199450647.3666969,0.0,0.0,89713308.72273873,61514400.0,538279852.336432,439999120.8791207,66978635.077774647,2965330.350630805,0.0,1608733893.710772,1600851900.929441,7881992.781330787,0.0,1108979915.9826616,150609262.62929649,5654775.670506664,1297765381.717535,0.0 
 01/01  09:00:00,1154646565.600974,0.0,0.0,89713308.72273873,0.0,538279852.336432,439999120.8791207,83723293.8472183,2930989.8154642267,0.0,1672655904.6319628,1664773086.5209876,7882818.110975375,0.0,1103384517.472039,231446642.02913583,5654775.426652859,1299317214.5497375,0.0 
 01/01  10:00:00,1004575116.1690278,0.0,0.0,89713308.72273873,0.0,538279852.336432,307999384.6153846,66978635.077774647,1603935.4166976512,0.0,971957488.1023061,964075194.083054,7882294.019252169,0.0,656275178.6137341,229008715.98383633,5654775.681986539,779711981.265455,0.0 
