Time,BASEMENT:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BASEMENT:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:10:00,1.299231E+04,1.159336E+04,4.393503E-01,8.172032E-01,1.241242E+04,2.723021E+04,4.197409E-01,1.919471E+00,1.386257E+05,2.925175E+05,4.687792E+00,2.061969E+01,6.353117E+04,3.168634E+04,2.148382E+00,2.233577E+00,1.604824E+04,2.765840E+03,5.425444E-01,1.950130E-01,1.068353E+04,1.894026E+03,3.611768E-01,1.335448E-01,1.581178E+04,2.501723E+03,5.345499E-01,1.763892E-01,1.066519E+04,2.389353E+03,3.605567E-01,1.684724E-01,1.804538E+05,2.857457E+04,6.100638E+00,2.014733E+00,1.183679E+05,1.947945E+04,4.001663E+00,1.373469E+00,1.791373E+05,2.625348E+04,6.056130E+00,1.851064E+00,1.202137E+05,2.584010E+04,4.064066E+00,1.821981E+00,2.477674E+04,3.061186E+03,8.376425E-01,2.158382E-01,1.611994E+04,2.081416E+03,5.449733E-01,1.467580E-01,2.468989E+04,2.851944E+03,8.347061E-01,2.010838E-01,1.637335E+04,2.692897E+03,5.535409E-01,1.898755E-01
00:20:00,1.298851E+04,1.186744E+04,4.392219E-01,8.365229E-01,1.239914E+04,2.757443E+04,4.192917E-01,1.943729E+00,1.384648E+05,2.976849E+05,4.682353E+00,2.098388E+01,6.363268E+04,3.208672E+04,2.151815E+00,2.261793E+00,1.604649E+04,2.786978E+03,5.424851E-01,1.965049E-01,1.068240E+04,1.906088E+03,3.611387E-01,1.343962E-01,1.581000E+04,2.524985E+03,5.344899E-01,1.780308E-01,1.066406E+04,2.395091E+03,3.605185E-01,1.688778E-01,1.804342E+05,2.891211E+04,6.099975E+00,2.038548E+00,1.183552E+05,1.968961E+04,4.001235E+00,1.388298E+00,1.791175E+05,2.661327E+04,6.055459E+00,1.876448E+00,1.202011E+05,2.590446E+04,4.063639E+00,1.826526E+00,2.478923E+04,3.079230E+03,8.380647E-01,2.171119E-01,1.612802E+04,2.092119E+03,5.452466E-01,1.475136E-01,2.470243E+04,2.873053E+03,8.351300E-01,2.025736E-01,1.638143E+04,2.687861E+03,5.538139E-01,1.895210E-01
00:30:00,1.298475E+04,1.212284E+04,4.390946E-01,8.545257E-01,1.238593E+04,2.788372E+04,4.188450E-01,1.965525E+00,1.383048E+05,3.024723E+05,4.676942E+00,2.132128E+01,6.373076E+04,3.244499E+04,2.155131E+00,2.287040E+00,1.604475E+04,2.800699E+03,5.424262E-01,1.974732E-01,1.068128E+04,1.913124E+03,3.611007E-01,1.348928E-01,1.580823E+04,2.541190E+03,5.344302E-01,1.791743E-01,1.066293E+04,2.395381E+03,3.604806E-01,1.688985E-01,1.804147E+05,2.917573E+04,6.099315E+00,2.057146E+00,1.183427E+05,1.984920E+04,4.000810E+00,1.399557E+00,1.790977E+05,2.690254E+04,6.054790E+00,1.896855E+00,1.201885E+05,2.591670E+04,4.063213E+00,1.827392E+00,2.480124E+04,3.089510E+03,8.384710E-01,2.178375E-01,1.613580E+04,2.097544E+03,5.455097E-01,1.478966E-01,2.471450E+04,2.886617E+03,8.355381E-01,2.035309E-01,1.638920E+04,2.677548E+03,5.540766E-01,1.887939E-01
00:40:00,1.298101E+04,1.236249E+04,4.389683E-01,8.714180E-01,1.237280E+04,2.816504E+04,4.184008E-01,1.985349E+00,1.381456E+05,3.069381E+05,4.671559E+00,2.163600E+01,6.382558E+04,3.276752E+04,2.158338E+00,2.309767E+00,1.604301E+04,2.808685E+03,5.423675E-01,1.980368E-01,1.068016E+04,1.916286E+03,3.610629E-01,1.351160E-01,1.580648E+04,2.551909E+03,5.343707E-01,1.799307E-01,1.066182E+04,2.391516E+03,3.604428E-01,1.686259E-01,1.803952E+05,2.938013E+04,6.098657E+00,2.071563E+00,1.183301E+05,1.996838E+04,4.000385E+00,1.407963E+00,1.790780E+05,2.713501E+04,6.054124E+00,1.913253E+00,1.201760E+05,2.588853E+04,4.062789E+00,1.825404E+00,2.481282E+04,3.093573E+03,8.388624E-01,2.181243E-01,1.614329E+04,2.098754E+03,5.457630E-01,1.479821E-01,2.472613E+04,2.894111E+03,8.359311E-01,2.040598E-01,1.639668E+04,2.663145E+03,5.543296E-01,1.877781E-01
00:50:00,1.297730E+04,1.258858E+04,4.388428E-01,8.873547E-01,1.235973E+04,2.842375E+04,4.179589E-01,2.003579E+00,1.379873E+05,3.111283E+05,4.666204E+00,2.193130E+01,6.391729E+04,3.305939E+04,2.161439E+00,2.330334E+00,1.604128E+04,2.812237E+03,5.423091E-01,1.982874E-01,1.067905E+04,1.916464E+03,3.610253E-01,1.351286E-01,1.580473E+04,2.558359E+03,5.343116E-01,1.803857E-01,1.066070E+04,2.384486E+03,3.604051E-01,1.681299E-01,1.803758E+05,2.953678E+04,6.098002E+00,2.082611E+00,1.183176E+05,2.005505E+04,3.999963E+00,1.414075E+00,1.790584E+05,2.732149E+04,6.053460E+00,1.926405E+00,1.201635E+05,2.582898E+04,4.062367E+00,1.821201E+00,2.482397E+04,3.092629E+03,8.392395E-01,2.180578E-01,1.615051E+04,2.096579E+03,5.460071E-01,1.478286E-01,2.473733E+04,2.896695E+03,8.363098E-01,2.042420E-01,1.640389E+04,2.645573E+03,5.545733E-01,1.865386E-01
01:00:00,1.297362E+04,1.280279E+04,4.387184E-01,9.024536E-01,1.234673E+04,2.866401E+04,4.175194E-01,2.020508E+00,1.378298E+05,3.150799E+05,4.660877E+00,2.220977E+01,6.400605E+04,3.332471E+04,2.164440E+00,2.349028E+00,1.603957E+04,2.812363E+03,5.422510E-01,1.982961E-01,1.067794E+04,1.914347E+03,3.609878E-01,1.349792E-01,1.580299E+04,2.561488E+03,5.342528E-01,1.806064E-01,1.065960E+04,2.375052E+03,3.603677E-01,1.674642E-01,1.803565E+05,2.965472E+04,6.097349E+00,2.090926E+00,1.183052E+05,2.011545E+04,3.999542E+00,1.418332E+00,1.790388E+05,2.747048E+04,6.052799E+00,1.936911E+00,1.201510E+05,2.574503E+04,4.061947E+00,1.815276E+00,2.483473E+04,3.087630E+03,8.396031E-01,2.177050E-01,1.615747E+04,2.091671E+03,5.462424E-01,1.474822E-01,2.474812E+04,2.895281E+03,8.366748E-01,2.041422E-01,1.641084E+04,2.625543E+03,5.548082E-01,1.851256E-01
01:10:00,1.297436E+04,1.304215E+04,4.387435E-01,9.193256E-01,1.235237E+04,2.895331E+04,4.177101E-01,2.040894E+00,1.378965E+05,3.194829E+05,4.663132E+00,2.252006E+01,6.409198E+04,3.361456E+04,2.167346E+00,2.369453E+00,1.604038E+04,2.818230E+03,5.422785E-01,1.987095E-01,1.067846E+04,1.915902E+03,3.610055E-01,1.350885E-01,1.580380E+04,2.570374E+03,5.342804E-01,1.812327E-01,1.066012E+04,2.369313E+03,3.603854E-01,1.670589E-01,1.803659E+05,2.982627E+04,6.097665E+00,2.103018E+00,1.183112E+05,2.020969E+04,3.999745E+00,1.424974E+00,1.790481E+05,2.767370E+04,6.053115E+00,1.951237E+00,1.201571E+05,2.569797E+04,4.062150E+00,1.811951E+00,2.484510E+04,3.085802E+03,8.399539E-01,2.175755E-01,1.616418E+04,2.088735E+03,5.464693E-01,1.472748E-01,2.475854E+04,2.897061E+03,8.370270E-01,2.042673E-01,1.641754E+04,2.607824E+03,5.550348E-01,1.838753E-01
01:20:00,1.297511E+04,1.327235E+04,4.387687E-01,9.355513E-01,1.235798E+04,2.923154E+04,4.178996E-01,2.060500E+00,1.379628E+05,3.237175E+05,4.665375E+00,2.281848E+01,6.417521E+04,3.388558E+04,2.170161E+00,2.388549E+00,1.604119E+04,2.822881E+03,5.423058E-01,1.990370E-01,1.067898E+04,1.916656E+03,3.610231E-01,1.351413E-01,1.580461E+04,2.578077E+03,5.343077E-01,1.817756E-01,1.066064E+04,2.362770E+03,3.604030E-01,1.665969E-01,1.803751E+05,2.998055E+04,6.097978E+00,2.113892E+00,1.183171E+05,2.029216E+04,3.999947E+00,1.430785E+00,1.790574E+05,2.786010E+04,6.053427E+00,1.964378E+00,1.201630E+05,2.564208E+04,4.062351E+00,1.808002E+00,2.485512E+04,3.082153E+03,8.402925E-01,2.173176E-01,1.617066E+04,2.084571E+03,5.466883E-01,1.469807E-01,2.476859E+04,2.897015E+03,8.373669E-01,2.042636E-01,1.642401E+04,2.589238E+03,5.552535E-01,1.825641E-01
01:30:00,1.297586E+04,1.349376E+04,4.387941E-01,9.511576E-01,1.236355E+04,2.949973E+04,4.180881E-01,2.079399E+00,1.380287E+05,3.277928E+05,4.667605E+00,2.310567E+01,6.425586E+04,3.413906E+04,2.172888E+00,2.406410E+00,1.604199E+04,2.826699E+03,5.423329E-01,1.993058E-01,1.067950E+04,1.916874E+03,3.610405E-01,1.351564E-01,1.580542E+04,2.584966E+03,5.343349E-01,1.822610E-01,1.066115E+04,2.355717E+03,3.604204E-01,1.660990E-01,1.803843E+05,3.012117E+04,6.098288E+00,2.123802E+00,1.183231E+05,2.036538E+04,4.000147E+00,1.435944E+00,1.790666E+05,2.803311E+04,6.053738E+00,1.976573E+00,1.201689E+05,2.558004E+04,4.062551E+00,1.803621E+00,2.486479E+04,3.077083E+03,8.406194E-01,2.169595E-01,1.617691E+04,2.079455E+03,5.468996E-01,1.466195E-01,2.477830E+04,2.895532E+03,8.376950E-01,2.041585E-01,1.643025E+04,2.570078E+03,5.554645E-01,1.812123E-01
01:40:00,1.297661E+04,1.370689E+04,4.388195E-01,9.661805E-01,1.236909E+04,2.975929E+04,4.182756E-01,2.097690E+00,1.380943E+05,3.317229E+05,4.669822E+00,2.338264E+01,6.433403E+04,3.437681E+04,2.175532E+00,2.423164E+00,1.604278E+04,2.830055E+03,5.423598E-01,1.995419E-01,1.068001E+04,1.916810E+03,3.610578E-01,1.351514E-01,1.580622E+04,2.591393E+03,5.343620E-01,1.827138E-01,1.066167E+04,2.348428E+03,3.604377E-01,1.655844E-01,1.803934E+05,3.025169E+04,6.098596E+00,2.133000E+00,1.183289E+05,2.043182E+04,4.000346E+00,1.440624E+00,1.790757E+05,2.819614E+04,6.054046E+00,1.988064E+00,1.201748E+05,2.551448E+04,4.062750E+00,1.798990E+00,2.487412E+04,3.070991E+03,8.409350E-01,2.165292E-01,1.618295E+04,2.073658E+03,5.471037E-01,1.462103E-01,2.478767E+04,2.892996E+03,8.380119E-01,2.039791E-01,1.643628E+04,2.550620E+03,5.556682E-01,1.798396E-01
