Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,435537438.5215808,0.0,0.0,20374527.54585125,59047200.0,24526752.225707845,146942592.94500698,0.00027024267105270154,184646365.80474455,683167309.8318827,676790809.8318827,6304500.0,72000.0,507046461.5902869,0.0,449600.52207949719,428899170.1242925,527896831.6688685,0.0 
 01/01  02:00:00,441392180.9064538,0.0,0.0,20374527.54585125,59047200.0,24526752.225707845,154299388.24883724,0.000271769400566672,183144312.88578577,957154688.5981153,950778188.5981153,6304500.0,72000.0,706948085.2042453,0.0,449600.54365079288,419481877.54722979,741606987.10653,0.0 
 01/01  03:00:00,389556975.50509956,0.0,0.0,20374527.54585125,59047200.0,24526752.225707845,102866258.83255816,0.00027478661648302094,182742236.90070758,697382489.3702713,686886294.6624382,6304500.0,4191694.707833161,505158640.363595,0.0,449600.5438215278,417169370.62214806,535771309.83670189,0.0 
 01/01  04:00:00,438377383.42515888,0.0,0.0,20374527.54585125,59047200.0,24526752.225707845,154299388.24883724,0.0002315190679970075,180129515.40453104,1135191385.5723124,1128814885.5723124,6304500.0,72000.0,826470030.717649,0.0,385371.88968435607,399773429.13418295,880475610.7464037,0.0 
 01/01  05:00:00,464344160.52756437,0.0,0.0,20374527.54585125,59047200.0,24526752.225707845,154299388.24883724,0.00023336338724892961,206096292.50693474,1017965405.1034305,1011588905.1034305,6304500.0,72000.0,760266677.146256,0.0,385371.8948312562,552052257.952724,789039345.9806757,0.0 
 01/01  06:00:00,411354835.5864011,0.0,0.0,20374527.54585125,59047200.0,24526752.225707845,102866258.83255816,0.0002353132321784701,204540096.9820486,738204246.996862,727708322.9264503,6304500.0,4191424.0704117489,537376870.2533739,0.0,385371.8955726399,543015599.0310826,567612491.8826313,0.0 
 01/01  07:00:00,570439861.0576565,0.0,0.0,40749055.0917025,59047200.0,50939904.45141569,205732517.6651163,0.00027022993191910816,213971183.84915183,3306098395.454757,3293417395.454757,12609000.0,72000.0,1919188887.3107315,0.0,449600.53872190779,585247826.048836,2568865568.454711,0.0 
 01/01  08:00:00,560568993.7630056,0.0,0.0,40749055.0917025,14761800.0,50939904.45141569,205732517.6651163,0.00039058593984845225,248385716.55438058,2884068045.7424838,2871387045.7424838,12609000.0,72000.0,1677999765.9201933,0.0,642286.4818107253,774326077.2569063,2239681895.6791379,0.0 
 01/01  09:00:00,673832862.2934749,0.0,0.0,40749055.0917025,0.0,50939904.45141569,205732517.6651163,0.00046591249499520354,376411385.0847743,2103075122.3295966,2086274323.0758649,12609000.0,4191799.2537319737,1088087737.0191973,0.0,770742.738056934,869864585.4416045,1627293971.9991747,0.0 
 01/01  10:00:00,574884786.9429314,0.0,0.0,40749055.0917025,0.0,50939904.45141569,205732517.6651163,0.000545389063944211,277463309.7341515,1936620334.3330386,1923939334.3330386,12609000.0,72000.0,1005332374.2954674,0.0,899201.064972509,882148174.1622506,1500672680.7797704,0.0 
 01/01  11:00:00,746444775.4553536,0.0,0.0,162996220.36681,0.0,99993408.90283138,205732517.6651163,0.0011261592807712386,277722628.5194697,1689611710.6595546,1660200564.1024385,25218000.0,4193146.5571161767,845726956.9857516,0.0,1862619.7186782896,816758310.9471015,1294956439.9999018,0.0 
 01/01  12:00:00,859792799.9968271,0.0,0.0,162996220.36681,0.0,99993408.90283138,205732517.6651163,0.0012061813739212698,391070653.06086328,1539952714.0640417,1510541400.0283685,25218000.0,4193314.03567331,770445548.452131,0.0,1991075.5898720343,827737244.8309563,1178222292.0221275,0.0 
 01/01  13:00:00,917072253.9377675,0.0,0.0,244494330.55021499,0.0,132695745.20377517,205732517.6651163,0.0014012543219194616,334149660.5172597,1373711572.5048295,1335893560.1965757,33624000.00000001,4194012.3082538896,666848403.3591552,273155.11704024978,2312224.60639006,1019228468.8013803,1041996976.953329,0.0 
 01/01  14:00:00,907191333.7052784,0.0,0.0,244494330.55021499,0.0,132695745.20377517,205732517.6651163,0.0014015319231520979,324268740.2847703,1282066742.4664806,1244248955.25898,33624000.00000001,4193787.207500619,627045917.697807,5035195.115089537,2312216.586560659,966133856.0518444,970514185.1020044,0.0 
 01/01  15:00:00,893670835.3357704,0.0,0.0,244494330.55021499,0.0,132695745.20377517,205732517.6651163,0.001324639444717938,310748241.91533908,1237596073.2059227,1199778058.1400693,33624000.00000001,4194015.0658533328,606323893.7399519,8957339.021332639,2183758.746036471,910459135.5191004,935826885.349254,0.0 
 01/01  16:00:00,881569351.9716168,0.0,0.0,244494330.55021499,0.0,132695745.20377517,205732517.6651163,0.0013625735181659214,298646758.5511476,1225933985.0769783,1188116184.3476709,33624000.00000001,4193800.7293074887,599293777.8702499,11175511.703879286,2248001.3872871308,851965721.1904403,926730623.7911832,0.0 
 01/01  17:00:00,926067280.2854403,0.0,0.0,244494330.55021499,44285400.0,132695745.20377517,205732517.6651163,0.001440330318381227,298859286.8648934,1219087549.6313065,1181269770.786321,33624000.00000001,4193778.8449856347,595509440.2925317,12786777.240098592,2376447.4904769437,853042590.5359523,921390421.2133303,0.0 
 01/01  18:00:00,807307512.8308072,0.0,0.0,162996220.36681,59047200.0,99993408.90283138,205732517.6651163,0.0013230436916999028,279538165.8947264,1736415701.2190335,1711125701.2190335,25218000.0,72000.0,986808687.5176296,0.0,2183758.861854029,825957979.6353893,1334678046.9508463,0.0 
 01/01  19:00:00,799105695.9630995,0.0,0.0,81498110.183405,59047200.0,67291072.60188759,205732517.6651163,0.0009687104590130034,385536795.5117216,1857354362.9987803,1836349234.2686134,16812000.000000005,4193128.7301670459,1071260169.8650385,0.0,1605712.5727269657,884111388.3317221,1432352402.7295182,0.0 
