Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:6:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:6:DesPer 1:Des Heat Cap [W],PSZ-AC:6:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:6:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:6:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:6:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:6:DesPer 2:Des Heat Cap [W],PSZ-AC:6:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:6:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:6:DesPer 2:Des Tot Cool Cap [W]
00:15:00,6.013604E-01,1.681396E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.001982E+03,5.622585E-02,5.347916E+02,1.807814E+03,3.052241E+00,9.487818E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,9.773791E+03,5.484527E-01,5.216602E+03,1.763424E+04,9.900848E-01,6.029065E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.063483E+03,4.130590E-01,3.928806E+03,1.328097E+04,7.705746E+00,3.382063E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.307881E+04,4.100790E+00,3.900462E+04,1.318515E+05,2.998762E+00,1.192260E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.236000E+04,1.254723E+00,1.193429E+04,4.034276E+04,1.126881E+00,4.107111E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.570692E+03,4.066558E-01,4.161905E+03,1.312780E+04
00:30:00,6.070985E-01,1.695528E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.011050E+03,5.622585E-02,5.257235E+02,1.773668E+03,3.084323E+00,9.566692E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,9.862246E+03,5.484527E-01,5.128147E+03,1.730117E+04,1.002336E+00,6.103668E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.127409E+03,4.173408E-01,3.902224E+03,1.316519E+04,7.791394E+00,3.403096E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.374018E+04,4.100790E+00,3.834325E+04,1.293612E+05,3.030610E+00,1.200084E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.256236E+04,1.254723E+00,1.173193E+04,3.958078E+04,1.138171E+00,4.134871E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.630158E+03,4.106782E-01,4.171869E+03,1.302605E+04
00:45:00,6.116832E-01,1.706817E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.020118E+03,5.622585E-02,5.166554E+02,1.739753E+03,3.110076E+00,9.630012E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,9.950700E+03,5.484527E-01,5.039693E+03,1.697035E+04,1.012205E+00,6.163763E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.191334E+03,4.198149E-01,3.857650E+03,1.299001E+04,7.865942E+00,3.421411E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.440156E+04,4.100790E+00,3.768187E+04,1.268876E+05,3.056596E+00,1.206471E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.276473E+04,1.254723E+00,1.152956E+04,3.882393E+04,1.147161E+00,4.156983E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.689624E+03,4.128084E-01,4.149187E+03,1.286151E+04
01:00:00,6.155858E-01,1.716426E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.029186E+03,5.622585E-02,5.075873E+02,1.706066E+03,3.131292E+00,9.682186E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.003915E+04,5.484527E-01,4.951239E+03,1.664175E+04,1.020355E+00,6.213392E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.255260E+03,4.210599E-01,3.801182E+03,1.277626E+04,7.926619E+00,3.436325E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.506293E+04,4.100790E+00,3.702050E+04,1.244306E+05,3.078325E+00,1.211815E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.296709E+04,1.254723E+00,1.132720E+04,3.807217E+04,1.154493E+00,4.175021E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.749089E+03,4.134339E-01,4.100540E+03,1.264883E+04
01:15:00,6.188758E-01,1.724512E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.035232E+03,5.622585E-02,5.015419E+02,1.683733E+03,3.149150E+00,9.726112E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.009812E+04,5.484527E-01,4.892269E+03,1.642391E+04,1.027287E+00,6.255607E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.297877E+03,4.215541E-01,3.760318E+03,1.262382E+04,7.977839E+00,3.448912E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.550385E+04,4.100790E+00,3.657958E+04,1.228018E+05,3.096858E+00,1.216372E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.310200E+04,1.254723E+00,1.119229E+04,3.757381E+04,1.160578E+00,4.189996E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.788733E+03,4.132466E-01,4.057688E+03,1.248472E+04
01:30:00,6.217443E-01,1.731556E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.041277E+03,5.622585E-02,4.954965E+02,1.661501E+03,3.164465E+00,9.763798E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.015709E+04,5.484527E-01,4.833299E+03,1.620704E+04,1.033296E+00,6.292196E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.340494E+03,4.215498E-01,3.714954E+03,1.245700E+04,8.022250E+00,3.459824E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.594477E+04,4.100790E+00,3.613866E+04,1.211803E+05,3.112963E+00,1.220332E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.323690E+04,1.254723E+00,1.105739E+04,3.707768E+04,1.165739E+00,4.202706E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.828377E+03,4.125604E-01,4.006223E+03,1.230701E+04
01:45:00,6.243467E-01,1.737937E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.047322E+03,5.622585E-02,4.894511E+02,1.639368E+03,3.177901E+00,9.796856E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.021606E+04,5.484527E-01,4.774330E+03,1.599115E+04,1.038553E+00,6.324210E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.383111E+03,4.212495E-01,3.667015E+03,1.228230E+04,8.061491E+00,3.469464E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.638568E+04,4.100790E+00,3.569775E+04,1.195661E+05,3.127165E+00,1.223823E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.337181E+04,1.254723E+00,1.092248E+04,3.658376E+04,1.170071E+00,4.213378E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.868021E+03,4.116010E-01,3.950038E+03,1.212266E+04
02:00:00,6.267412E-01,1.743794E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.053368E+03,5.622585E-02,4.834057E+02,1.617334E+03,3.189860E+00,9.826273E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.027503E+04,5.484527E-01,4.715360E+03,1.577622E+04,1.043226E+00,6.352664E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.425728E+03,4.208077E-01,3.617924E+03,1.210451E+04,8.096673E+00,3.478107E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.682660E+04,4.100790E+00,3.525683E+04,1.179590E+05,3.139854E+00,1.226942E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.350672E+04,1.254723E+00,1.078757E+04,3.609206E+04,1.173916E+00,4.222863E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.907665E+03,4.105351E-01,3.892013E+03,1.193674E+04
02:15:00,6.289014E-01,1.749073E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.057902E+03,5.622585E-02,4.788716E+02,1.600873E+03,3.200655E+00,9.852822E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.031926E+04,5.484527E-01,4.671133E+03,1.561565E+04,1.047385E+00,6.377989E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.457691E+03,4.201004E-01,3.577966E+03,1.196118E+04,8.128554E+00,3.485939E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.715729E+04,4.100790E+00,3.492614E+04,1.167585E+05,3.151326E+00,1.229762E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.360790E+04,1.254723E+00,1.068639E+04,3.572471E+04,1.177491E+00,4.231667E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.937398E+03,4.092211E-01,3.839614E+03,1.178046E+04
02:30:00,6.308726E-01,1.753894E+04,5.622585E-02,0.000000E+00,0.000000E+00,5.622585E-02,1.062436E+03,5.622585E-02,4.743376E+02,1.584467E+03,3.210422E+00,9.876836E+04,5.484527E-01,0.000000E+00,0.000000E+00,5.484527E-01,1.036349E+04,5.484527E-01,4.626906E+03,1.545561E+04,1.051119E+00,6.400731E+04,3.963647E-01,0.000000E+00,0.000000E+00,3.963647E-01,7.489654E+03,4.192201E-01,3.536663E+03,1.181379E+04,8.157711E+00,3.493103E+05,4.100790E+00,0.000000E+00,0.000000E+00,4.100790E+00,7.748797E+04,4.100790E+00,3.459546E+04,1.155619E+05,3.161752E+00,1.232325E+05,1.254723E+00,0.000000E+00,0.000000E+00,1.254723E+00,2.370908E+04,1.254723E+00,1.058521E+04,3.535860E+04,1.180894E+00,4.240025E+04,3.687119E-01,0.000000E+00,0.000000E+00,3.687119E-01,6.967131E+03,4.077546E-01,3.784579E+03,1.162100E+04
