Time,BAKERY:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BAKERY:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BAKERY:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BAKERY:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],DELI:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DELI:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DELI:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DELI:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],DRYSTORAGE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DRYSTORAGE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DRYSTORAGE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DRYSTORAGE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],OFFICE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],OFFICE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],OFFICE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],OFFICE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PRODUCE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PRODUCE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PRODUCE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PRODUCE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],SALES:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SALES:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],SALES:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SALES:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:15:00,2.340186E+04,5.525836E+03,9.390675E-01,3.388798E-01,2.055658E+04,5.613100E+03,8.250706E-01,3.442158E-01,6.337962E+04,0.000000E+00,2.543534E+00,0.000000E+00,1.249128E+04,0.000000E+00,5.011336E-01,0.000000E+00,6.226263E+04,0.000000E+00,2.498968E+00,0.000000E+00,1.599576E+05,0.000000E+00,6.421455E+00,0.000000E+00
00:30:00,2.363676E+04,5.580525E+03,9.484756E-01,3.422318E-01,2.081131E+04,5.671342E+03,8.352800E-01,3.477840E-01,6.404680E+04,0.000000E+00,2.570269E+00,0.000000E+00,1.261082E+04,0.000000E+00,5.059154E-01,0.000000E+00,6.292454E+04,0.000000E+00,2.525508E+00,0.000000E+00,1.617373E+05,0.000000E+00,6.492828E+00,0.000000E+00
00:45:00,2.382388E+04,5.609600E+03,9.559673E-01,3.440070E-01,2.101657E+04,5.705085E+03,8.435040E-01,3.498458E-01,6.458240E+04,0.000000E+00,2.591730E+00,0.000000E+00,1.270630E+04,0.000000E+00,5.097360E-01,0.000000E+00,6.346506E+04,0.000000E+00,2.547163E+00,0.000000E+00,1.632874E+05,0.000000E+00,6.554951E+00,0.000000E+00
01:00:00,2.397655E+04,5.618282E+03,9.620775E-01,3.445282E-01,2.118613E+04,5.722190E+03,8.502956E-01,3.508833E-01,6.502375E+04,0.000000E+00,2.609410E+00,0.000000E+00,1.278758E+04,0.000000E+00,5.129882E-01,0.000000E+00,6.391745E+04,0.000000E+00,2.565271E+00,0.000000E+00,1.645504E+05,0.000000E+00,6.605516E+00,0.000000E+00
01:15:00,2.410331E+04,5.615926E+03,9.671482E-01,3.443722E-01,2.133035E+04,5.729117E+03,8.560726E-01,3.512951E-01,6.539534E+04,0.000000E+00,2.624292E+00,0.000000E+00,1.285596E+04,0.000000E+00,5.157298E-01,0.000000E+00,6.430319E+04,0.000000E+00,2.580715E+00,0.000000E+00,1.656160E+05,0.000000E+00,6.648199E+00,0.000000E+00
01:30:00,2.421093E+04,5.606785E+03,9.714489E-01,3.438004E-01,2.145532E+04,5.729252E+03,8.610798E-01,3.512915E-01,6.571417E+04,0.000000E+00,2.637054E+00,0.000000E+00,1.291552E+04,0.000000E+00,5.181202E-01,0.000000E+00,6.463832E+04,0.000000E+00,2.594136E+00,0.000000E+00,1.665396E+05,0.000000E+00,6.685208E+00,0.000000E+00
01:45:00,2.430130E+04,5.593918E+03,9.750589E-01,3.430008E-01,2.156465E+04,5.725344E+03,8.654610E-01,3.510412E-01,6.599384E+04,0.000000E+00,2.648251E+00,0.000000E+00,1.296948E+04,0.000000E+00,5.202890E-01,0.000000E+00,6.493380E+04,0.000000E+00,2.605971E+00,0.000000E+00,1.673555E+05,0.000000E+00,6.717910E+00,0.000000E+00
02:00:00,2.438168E+04,5.579589E+03,9.782630E-01,3.421126E-01,2.166182E+04,5.719496E+03,8.693548E-01,3.506731E-01,6.624269E+04,0.000000E+00,2.658216E+00,0.000000E+00,1.301899E+04,0.000000E+00,5.222844E-01,0.000000E+00,6.519779E+04,0.000000E+00,2.616545E+00,0.000000E+00,1.680869E+05,0.000000E+00,6.747228E+00,0.000000E+00
02:15:00,2.445622E+04,5.561871E+03,9.812422E-01,3.410176E-01,2.174831E+04,5.710021E+03,8.728205E-01,3.500837E-01,6.646727E+04,0.000000E+00,2.667212E+00,0.000000E+00,1.306361E+04,0.000000E+00,5.240845E-01,0.000000E+00,6.543646E+04,0.000000E+00,2.626105E+00,0.000000E+00,1.687497E+05,0.000000E+00,6.773795E+00,0.000000E+00
02:30:00,2.452689E+04,5.542067E+03,9.840782E-01,3.397955E-01,2.182602E+04,5.698181E+03,8.759327E-01,3.493501E-01,6.667040E+04,0.000000E+00,2.675352E+00,0.000000E+00,1.310436E+04,0.000000E+00,5.257272E-01,0.000000E+00,6.565334E+04,0.000000E+00,2.634793E+00,0.000000E+00,1.693559E+05,0.000000E+00,6.798093E+00,0.000000E+00
02:45:00,2.459661E+04,5.521171E+03,9.868842E-01,3.385071E-01,2.189602E+04,5.684948E+03,8.787348E-01,3.485319E-01,6.685394E+04,0.000000E+00,2.682703E+00,0.000000E+00,1.314190E+04,0.000000E+00,5.272391E-01,0.000000E+00,6.585168E+04,0.000000E+00,2.642735E+00,0.000000E+00,1.699136E+05,0.000000E+00,6.820441E+00,0.000000E+00
