Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),DINING:Zone Thermostat Heating Setpoint Temperature [C](Hourly),DINING:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),KITCHEN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),KITCHEN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC_1:1:Air System Total Heating Energy [J](Hourly),PSZ-AC_1:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC_2:2:Air System Total Heating Energy [J](Hourly),PSZ-AC_2:2:Air System Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,21562014.081743167,21.0,24.0,19.0,26.0,101673307.6058673,0.0,0.0,20186052.19281932,18291600.0,29481120.0,28684105.52327201,0.012965856852085596,5030429.876810126,556299232.3144852,517251657.05583479,12023568.0,27024007.258650397,91801548.21674295,135006.44755930134,21409547.745873635,12217745.907501959,403456292.5035512,0.0,420538322.1460872,0.0,11602075.87393979,0.0 
 01/01  02:00:00,0.0,15.600000000000005,30.00000000000001,15.600000000000005,30.00000000000001,73877899.16574148,0.0,0.0,6728684.064273106,18291600.0,26964720.0,17415349.78198658,0.0,4477545.319481801,210154786.49918706,198059218.49918706,12023568.0,72000.0,36302438.03735185,0.0,0.0,10158622.089578379,154486190.42936588,0.0,159314877.7921871,0.0,12586662.415038735,0.0 
 01/01  03:00:00,1647662.3300894327,15.6,30.0,15.6,30.0,77890975.2829945,0.0,0.0,6728684.064273106,18291600.0,26964720.0,21513079.14245401,0.0,4392892.076267378,273887493.42279568,259732386.5081088,12023568.0,2131538.914686818,60186117.19075738,0.0,0.0,9653521.926122789,202591261.47632487,0.0,202914211.75577817,0.0,21190128.85790258,0.0 
 01/01  04:00:00,0.0,15.600000000000005,30.00000000000001,15.600000000000005,30.00000000000001,70713304.64267589,0.0,0.0,6728684.064273106,18291600.0,26964720.0,14342052.761636006,0.0,4386247.816766787,193585489.1052353,181489921.1052353,12023568.0,72000.0,46718056.8906997,0.0,0.0,9613818.546561109,141562138.46208356,0.0,139412499.8145243,0.0,16491691.405796655,0.0 
 01/01  05:00:00,1647658.0866412086,15.600000000000005,30.00000000000001,15.600000000000005,30.00000000000001,78315780.57764352,0.0,0.0,6728684.064273106,18291600.0,26964720.0,21513079.14245401,0.0,4817697.370916406,293942277.1006161,279787175.4901391,12023568.0,2131533.6104769746,76492213.80035822,0.0,0.0,11315903.009749234,218233996.88230855,0.0,212374133.16843603,0.0,27372942.85122846,0.0 
 01/01  06:00:00,0.0,21.0,24.0,19.0,26.0,102037208.2923752,0.0,0.0,20186052.19281932,18291600.0,29481120.0,28684105.523272009,0.0,5394330.576283868,598111752.2249274,567980832.2249274,30058920.000000005,72000.0,102984381.38132495,0.0,0.0,13578170.981331706,443025049.1354434,0.0,452054750.6974379,0.0,19654403.954479666,0.0 
 01/01  07:00:00,13234148.893275483,21.0,24.0,19.0,26.0,163247355.52727575,0.0,21989.31712459139,40372104.38563864,18291600.0,69928200.0,28684105.52327201,0.007781965000390677,5949356.293458545,585570942.4911258,508838729.60882487,60117840.00000001,16614372.882301022,61145457.5427707,4155799.687051203,12845729.769915654,15230010.137577516,396894209.0948834,196853.04967725255,421407270.8630208,0.0,4171043.748337733,196853.04967725255 
 01/01  08:00:00,14888482.631779151,21.0,24.0,19.0,26.0,176405144.13358716,0.0,49093.93110065196,40372104.38563864,4572900.0,96892920.0,28684105.52327201,0.0077836280915162419,5834020.285792212,561367607.0713329,452508596.17173048,90176760.0,18682250.89960248,21654154.517493179,4979116.934112728,12845729.801699965,14974714.279572834,352956705.01394978,424852.1244176334,377680785.8725805,0.0,3960024.6578437185,424852.1244176316 
 01/01  09:00:00,13228049.753527889,21.0,24.0,19.0,26.0,171883703.9574435,0.0,42371.10526391579,40372104.38563864,0.0,96892920.0,28684105.52327201,0.007778768847621414,5892202.935490146,562249261.9942038,425406832.89222887,120235680.00000002,16606749.101974864,10890364.352155474,4618244.87161203,12845729.849284556,15315327.768393912,331817329.6559385,357150.0817363878,356541410.51456937,0.0,3960024.6578437185,357150.0817363804 
 01/01  10:00:00,13230574.121737978,21.0,24.0,19.0,26.0,144907084.25354583,0.0,0.0,40372104.38563864,0.0,69928200.0,28684105.52327201,0.007780508292078921,5922674.336854657,522946064.09439638,416159399.59190729,90176760.0,16609904.502489118,23899660.08329566,3079838.3199838998,12845729.86061879,15500831.366726622,324604331.68168768,0.0,349183945.0927327,0.0,4104492.1054286577,0.0 
