Time,PSZ-AC_1:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Heat Cap [W],PSZ-AC_1:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Heat Cap [W],PSZ-AC_1:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Heat Cap [W],PSZ-AC_2:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Heat Cap [W],PSZ-AC_2:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Tot Cool Cap [W]
00:15:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.604315E+04,3.144841E+00,2.991212E+04,1.011152E+05,5.780419E-01,3.519953E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.257303E+03,5.372133E-01,5.109698E+03,1.727287E+04
00:30:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.655035E+04,3.144841E+00,2.940492E+04,9.920534E+04,6.842820E-01,4.166896E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.268682E+03,5.143151E-01,4.808954E+03,1.622429E+04
00:45:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.705755E+04,3.144841E+00,2.889772E+04,9.730838E+04,7.906912E-01,4.814869E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.280060E+03,4.909195E-01,4.511025E+03,1.519014E+04
01:00:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.756475E+04,3.144841E+00,2.839052E+04,9.542417E+04,8.971668E-01,5.463246E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.291439E+03,4.671062E-01,4.216871E+03,1.417344E+04
01:15:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.790288E+04,3.144841E+00,2.805239E+04,9.417506E+04,9.570937E-01,5.828168E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.299025E+03,3.679257E-01,3.281945E+03,1.101786E+04
01:30:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.824102E+04,3.144841E+00,2.771425E+04,9.293156E+04,1.016629E+00,6.190704E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.306611E+03,2.813907E-01,2.479786E+03,8.315230E+03
01:45:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.857915E+04,3.144841E+00,2.737612E+04,9.169361E+04,1.075941E+00,6.551879E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.314197E+03,2.082475E-01,1.812813E+03,6.071837E+03
02:00:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.891728E+04,3.144841E+00,2.703799E+04,9.046119E+04,1.135199E+00,6.912732E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.321783E+03,1.427699E-01,1.227474E+03,4.106769E+03
02:15:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.917088E+04,3.144841E+00,2.678439E+04,8.954048E+04,1.134900E+00,6.910908E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.327472E+03,1.731709E-01,1.474885E+03,4.930555E+03
02:30:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.942448E+04,3.144841E+00,2.653079E+04,8.862286E+04,1.134901E+00,6.910913E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.333161E+03,1.957157E-01,1.651114E+03,5.515345E+03
02:45:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.967808E+04,3.144841E+00,2.627719E+04,8.770830E+04,1.134976E+00,6.911375E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.338851E+03,2.091467E-01,1.747557E+03,5.833015E+03
03:00:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.993168E+04,3.144841E+00,2.602359E+04,8.679679E+04,1.135057E+00,6.911864E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.344540E+03,2.185273E-01,1.808316E+03,6.031298E+03
03:15:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,6.018528E+04,3.144841E+00,2.576999E+04,8.588832E+04,1.135132E+00,6.912319E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.350230E+03,2.251094E-01,1.844630E+03,6.147933E+03
03:30:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,6.043888E+04,3.144841E+00,2.551639E+04,8.498288E+04,1.135197E+00,6.912717E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.355919E+03,2.298109E-01,1.864624E+03,6.210169E+03
03:45:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,6.069248E+04,3.144841E+00,2.526279E+04,8.408046E+04,1.135252E+00,6.913054E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.361608E+03,2.331789E-01,1.873147E+03,6.234270E+03
04:00:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,6.094608E+04,3.144841E+00,2.500919E+04,8.318104E+04,1.135300E+00,6.913342E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.367298E+03,2.355827E-01,1.873460E+03,6.231162E+03
04:15:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,6.111514E+04,3.144841E+00,2.484012E+04,8.258309E+04,1.135340E+00,6.913590E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.371091E+03,2.374314E-01,1.875397E+03,6.234915E+03
04:30:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,6.128421E+04,3.144841E+00,2.467106E+04,8.198645E+04,1.135376E+00,6.913806E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.374884E+03,2.388862E-01,1.874046E+03,6.227799E+03
04:45:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,6.145328E+04,3.144841E+00,2.450199E+04,8.139114E+04,1.135407E+00,6.913997E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.378677E+03,2.400745E-01,1.870461E+03,6.213330E+03
05:00:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,6.162234E+04,3.144841E+00,2.433293E+04,8.079716E+04,1.135435E+00,6.914168E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.382469E+03,2.411092E-01,1.865561E+03,6.194570E+03
05:15:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,6.145328E+04,3.144841E+00,2.450199E+04,8.139114E+04,9.700482E-01,5.907054E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.378677E+03,3.946969E-01,3.075151E+03,1.021509E+04
05:30:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,6.128421E+04,3.144841E+00,2.467106E+04,8.198645E+04,8.047032E-01,4.900195E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.374884E+03,5.179120E-01,4.062984E+03,1.350204E+04
05:45:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,6.111514E+04,3.144841E+00,2.484012E+04,8.258309E+04,6.391550E-01,3.892098E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.371091E+03,6.205461E-01,4.901502E+03,1.629545E+04
06:00:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,6.094608E+04,3.154965E+00,2.512532E+04,8.337333E+04,4.734959E-01,2.883326E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.367298E+03,7.164445E-01,5.697489E+03,1.894996E+04
06:15:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,6.035435E+04,3.213456E+00,2.637016E+04,8.656932E+04,4.731928E-01,2.881481E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.354022E+03,6.569312E-01,5.347821E+03,1.781520E+04
06:30:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.976261E+04,3.172125E+00,2.649843E+04,8.791686E+04,4.728104E-01,2.879152E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.340747E+03,6.271175E-01,5.223118E+03,1.742939E+04
06:45:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.917088E+04,3.163245E+00,2.699074E+04,8.988731E+04,4.726035E-01,2.877892E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.327472E+03,6.182935E-01,5.265963E+03,1.760417E+04
07:00:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.857915E+04,3.170179E+00,2.766028E+04,9.217189E+04,4.724858E-01,2.877175E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.314197E+03,6.170994E-01,5.371905E+03,1.799267E+04
07:15:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.714208E+04,3.188264E+00,2.930021E+04,9.781386E+04,4.732678E-01,2.881937E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.281957E+03,6.189177E-01,5.670555E+03,1.908871E+04
07:30:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.570502E+04,3.213637E+00,3.102185E+04,1.036993E+05,4.740695E-01,2.886819E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.249717E+03,6.233881E-01,5.996376E+03,2.029743E+04
07:45:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.426795E+04,3.244490E+00,3.280492E+04,1.097971E+05,4.748841E-01,2.891780E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.217477E+03,6.294163E-01,6.341979E+03,2.159588E+04
08:00:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.283089E+04,3.279968E+00,3.463984E+04,1.160941E+05,4.757077E-01,2.896795E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.185237E+03,6.365253E-01,6.704475E+03,2.297614E+04
08:15:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,5.122476E+04,3.316954E+00,3.666066E+04,1.208742E+05,4.756765E-01,2.896605E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.149204E+03,6.455722E-01,7.129472E+03,2.413709E+04
08:30:00,3.144841E+00,1.915033E+05,3.144841E+00,0.000000E+00,0.000000E+00,3.144841E+00,4.961863E+04,3.355223E+00,3.869582E+04,1.232679E+05,4.756507E-01,2.896448E+04,7.055308E-02,0.000000E+00,0.000000E+00,7.055308E-02,1.113171E+03,6.550455E-01,7.568636E+03,2.483746E+04
